ID,WeaponSubClassID,ParrySoundType,ImpactSource,ImpactSoundID[0],ImpactSoundID[1],ImpactSoundID[2],ImpactSoundID[3],ImpactSoundID[4],ImpactSoundID[5],ImpactSoundID[6],ImpactSoundID[7],ImpactSoundID[8],ImpactSoundID[9],ImpactSoundID[10],CritImpactSoundID[0],CritImpactSoundID[1],CritImpactSoundID[2],CritImpactSoundID[3],CritImpactSoundID[4],CritImpactSoundID[5],CritImpactSoundID[6],CritImpactSoundID[7],CritImpactSoundID[8],CritImpactSoundID[9],CritImpactSoundID[10],PierceImpactSoundID[0],PierceImpactSoundID[1],PierceImpactSoundID[2],PierceImpactSoundID[3],PierceImpactSoundID[4],PierceImpactSoundID[5],PierceImpactSoundID[6],PierceImpactSoundID[7],PierceImpactSoundID[8],PierceImpactSoundID[9],PierceImpactSoundID[10],PierceCritImpactSoundID[0],PierceCritImpactSoundID[1],PierceCritImpactSoundID[2],PierceCritImpactSoundID[3],PierceCritImpactSoundID[4],PierceCritImpactSoundID[5],PierceCritImpactSoundID[6],PierceCritImpactSoundID[7],PierceCritImpactSoundID[8],PierceCritImpactSoundID[9],PierceCritImpactSoundID[10]
11,11,0,1,57919,57919,57919,57919,57919,57919,57919,57919,57919,3210,57919,57919,57919,57919,57919,57919,57919,57919,57919,57919,3210,57919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,1,57787,57787,57787,57787,57787,57787,57787,57787,57787,3210,57787,57787,57787,57787,57787,57787,57787,57787,57787,57787,3210,57787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,0,1014,1014,1014,1021,1022,1019,1020,1014,1014,1014,1014,1014,1014,1014,3263,3262,1019,1020,3203,3207,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,1,0,63965,63961,63962,63969,63970,63966,63967,63964,63963,3210,0,63958,63954,63955,63959,63960,63966,63967,63957,63956,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,1,0,64018,64015,64013,64011,64008,64016,64003,64007,64005,3211,64018,64017,64014,64012,64010,64009,64016,64003,64006,64004,3211,64017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,1,0,129,131,133,3263,3262,57539,57541,3204,3208,3211,53818,130,132,134,3263,3262,57540,57542,3205,3209,3211,53817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,0,0,143,145,147,3263,3262,1001,999,3202,3206,3210,0,144,146,148,3263,3262,1001,999,3203,3207,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8,0,0,129,131,133,3263,3262,997,995,3204,3208,3211,0,130,132,134,3263,3262,997,995,3205,3209,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,15,1,0,63987,63989,63991,63993,63995,63997,63998,63999,64001,3210,63987,63988,63990,63992,63994,63996,63997,63998,64000,64002,3210,63988,63987,63989,63991,63993,63995,63997,63998,63999,64001,3210,63987,63988,63990,63992,63994,63996,63997,63998,64000,64002,3210,63988
22,15,0,0,1151,1149,1155,3263,3262,1002,1001,3202,3206,3210,0,1152,1150,1156,3263,3262,63998,1001,3203,3207,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,10,1,0,61579,61576,61577,61587,61586,61574,61557,61572,61582,3211,61583,61580,61575,61578,61571,61585,61574,61557,61573,61581,3211,61584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,157,159,161,3263,3262,998,997,3204,3208,3211,0,158,160,162,3263,3262,998,997,3205,3209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,171,173,175,3263,3262,1002,1001,3202,3206,3210,0,172,174,176,3263,3262,1002,1001,3203,3207,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,14,0,0,941,939,945,3263,3262,1001,999,3202,3206,3210,0,942,940,946,3263,3262,1001,999,3203,3207,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,14,1,0,969,967,973,3263,3262,1002,1001,3202,3206,3210,0,970,968,974,3263,3262,1002,1001,3203,3207,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,20,0,0,941,939,945,3263,3262,1001,999,3204,3208,3210,0,942,940,946,3263,3262,1001,999,3205,3209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,20,1,0,969,967,973,3263,3262,1002,1001,3204,3208,0,0,970,968,974,3263,3262,1002,1001,3205,3209,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,17,0,0,955,953,959,3263,3262,997,997,3204,3208,3211,0,956,954,960,3263,3262,997,997,3205,3209,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,17,1,0,129,131,133,3263,3262,57539,57541,3204,3208,3211,0,130,132,134,3263,3262,998,997,3205,3209,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,13,1,0,1014,1014,1014,3263,3262,1019,1019,3202,3206,3210,0,1014,1014,1014,3263,3262,1019,1019,3203,3207,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,9,1,1,53246,56762,56767,56769,56771,56782,56777,56773,56775,3210,53246,56761,56766,56768,56770,56772,56783,56781,56774,56776,3210,56761,53246,56762,56767,56769,56771,56782,56777,56773,56775,3210,53246,56761,56766,56768,56770,56772,56783,56781,56774,56776,3210,56761
208,9,0,1,143,145,147,3263,3262,1001,999,3202,3206,3210,0,144,146,148,3263,3262,1001,999,3203,3207,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,18,0,1,56665,56665,56665,124581,124581,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665,56665
215,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,1,1,1,57453,57508,57506,57510,57512,57518,57520,57514,57516,57453,57453,57454,57509,57507,57511,57513,57518,57520,57515,57517,57454,57454,57453,57508,57506,57510,57512,57518,57520,57514,57516,57453,57453,57454,57509,61593,57511,57513,57518,57520,57515,57517,57454,57454
227,0,1,0,61610,61614,61622,61609,61615,61620,61619,61623,61616,61610,61610,61621,61618,61617,61612,61611,61620,61619,61608,61607,61621,61621,61610,61614,61622,61609,61615,61620,61619,61623,61616,61610,61610,61621,61618,61617,61612,61611,61620,61619,61608,61607,61621,61621
229,4,1,1,53818,53812,53810,53808,53806,53814,53804,53802,53800,3210,0,53817,53811,53809,53807,53805,53813,53803,53801,53799,3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,10,0,1,58689,58685,58687,58697,58695,58684,58683,58719,58691,58689,58693,58690,58686,58688,58698,58696,58684,58683,58720,58692,58690,58694,58689,58685,58687,58697,58695,58684,58683,58719,58691,58689,58693,58690,58686,58688,58698,58696,58684,58683,58720,58692,58690,58694
231,8,1,1,56760,53269,53271,53273,53275,53250,53281,53277,53279,3211,0,53247,53270,53272,53274,53276,53251,53282,53278,53280,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,15,1,1,55381,57680,57682,57684,57686,57688,57689,57690,57692,3210,55381,55382,57681,57683,57685,57687,57688,57689,57691,57693,3210,55382,55381,57680,57682,57684,57686,57688,57689,57690,57692,3210,55381,55382,57681,57683,57685,57687,57688,57689,57691,57693,3210,55382
233,10,1,1,58708,58701,58706,58717,58716,58684,58684,58721,58712,58708,58713,58710,58700,58707,58718,58715,58684,58684,58722,58711,58710,58714,58708,58701,58706,58717,58716,58684,58684,58721,58712,58708,58713,58710,58700,58707,58718,58715,58684,58684,58722,58711,58710,58714
236,7,1,0,69044,69039,69046,69042,69050,69052,69053,69041,69040,3210,69044,69049,69043,69037,69038,69051,69052,69053,69045,69048,3210,69049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,9,1,0,69054,69068,69066,69064,69062,69055,69056,69060,69058,3210,69054,69069,69067,69065,69063,69061,69055,69056,69059,69057,3210,69069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
