ID,Name_lang,MapID,QuestPOIBlobID,AreaPOIIconEnum
1288,Five Sisters Digsite,870,92026,177
1292,North Ruins of Guo-Lai Digsite,870,92030,177
1294,South Ruins of Guo-Lai Digsite,870,92032,177
1300,Tu Shen Digsite,870,92038,177
1308,West Ruins of Guo-Lai Digsite,870,92046,177
1316,Winterbough Digsite,870,92150,177
1318,Emperor's Approach Digsite,870,92156,177
1322,North Summer Fields Digsite,870,92162,177
1326,East Summer Fields Digsite,870,92166,177
1332,Sra'thik Digsite,870,92172,177
1334,Niuzao Temple Digsite,870,92174,177
1338,Fire Camp Osul Digsite,870,92178,177
1340,Hatred's Vice Digsite,870,92180,177
1342,Shanze'Dao Digsite,870,92196,177
1346,Lake of Stars Digsite,870,92200,177
1348,Terrace of Gurthan Digsite,870,92202,177
1352,Writhingwood Digsite,870,92206,177
1356,South Ruins of Dojan Digsite,870,92210,177
1358,North Ruins of Dojan Digsite,870,92212,177
1463,Kor'vess Digsite,870,177485,177
1465,Sra'thik Swarmdock Digsite,870,177487,177
1467,West Sra'vess Digsite,870,177489,177
1469,The Feeding Pits Digsite,870,177491,177
1471,Kzzok Warcamp Digsite,870,177493,177
1473,East Sra'vess Digsite,870,177495,177
1475,The Underbough Digsite,870,177497,177
1479,Ikz'ka Ridge Digsite,870,177501,177
1481,Sik'vess Digsite,870,177503,177
1483,West Sik'vess Digsite,870,177505,177
1485,North Sik'vess Digsite,870,177507,177
1487,The Clutches of Shek'zeer Digsite,870,177509,177
1489,Kypari'ik Digsite,870,177511,177
1491,Zan'vess Digsite,870,177513,177
1493,Venomous Ledge Digsite,870,177515,177
1495,Amber Quarry Digsite,870,177517,177
1497,The Briny Muck Digsite,870,177519,177
1501,Kypari'zar Digsite,870,177523,177
1503,Lake of Stars Digsite,870,177525,177
1507,Kypari Vor Digsite,870,177529,177
