ID,UiWidgetSetID,WidgetType,GossipNPCOptionID
203,1322,1,120083
204,1177,0,120084
205,1322,1,120084
206,1165,0,120085
207,1322,1,120085
208,1153,0,120086
209,1322,1,120086
210,1249,0,122094
211,1322,1,122094
212,1237,0,122095
213,1322,1,122095
214,1225,0,122096
215,1322,1,122096
216,1213,0,122097
217,1322,1,122097
218,1201,0,122098
219,1322,1,122098
220,1188,0,120268
221,1315,1,120268
222,1176,0,120269
223,1315,1,120269
224,1164,0,120270
225,1315,1,120270
226,1152,0,120271
227,1315,1,120271
228,1248,0,122099
229,1315,1,122099
230,1236,0,122100
231,1315,1,122100
232,1224,0,122101
233,1315,1,122101
234,1212,0,122102
235,1315,1,122102
236,1200,0,122103
237,1315,1,122103
238,1187,0,121079
239,1323,1,121079
240,1175,0,121080
241,1323,1,121080
242,1163,0,121081
243,1323,1,121081
244,1151,0,121082
245,1323,1,121082
246,1247,0,122124
247,1323,1,122124
248,1235,0,122125
249,1323,1,122125
250,1223,0,122126
251,1323,1,122126
252,1211,0,122127
253,1323,1,122127
254,1199,0,122128
255,1323,1,122128
256,1198,0,121200
257,1324,1,121200
258,1186,0,121201
259,1324,1,121201
260,1174,0,121202
261,1324,1,121202
262,1162,0,121203
263,1324,1,121203
264,1150,0,121204
265,1324,1,121204
266,1234,0,122057
267,1324,1,122057
268,1222,0,122058
269,1324,1,122058
270,1210,0,122059
271,1324,1,122059
272,1246,0,122072
273,1324,1,122072
274,1185,0,120313
275,1325,1,120313
276,1173,0,120314
277,1325,1,120314
278,1161,0,120315
279,1325,1,120315
280,1149,0,120316
281,1325,1,120316
282,1245,0,122104
283,1325,1,122104
284,1233,0,122105
285,1325,1,122105
286,1221,0,122106
287,1325,1,122106
288,1209,0,122107
289,1325,1,122107
290,1197,0,122108
291,1325,1,122108
292,1326,1,122701
293,1327,0,122701
296,1435,0,124714
297,1425,1,124714
298,1434,0,124715
299,1425,1,124715
300,1433,0,124716
301,1425,1,124716
302,1432,0,124717
303,1425,1,124717
304,1431,0,124718
305,1425,1,124718
306,1430,0,124719
307,1425,1,124719
308,1429,0,124720
309,1425,1,124720
310,1428,0,124721
311,1425,1,124721
312,1427,0,124722
313,1425,1,124722
314,1426,0,124723
315,1425,1,124723
316,1424,0,124724
317,1425,1,124724
319,1423,0,125217
320,1412,1,125217
321,1422,0,125218
322,1412,1,125218
323,1421,0,125219
324,1412,1,125219
325,1420,0,125220
326,1412,1,125220
327,1419,0,125221
328,1412,1,125221
329,1418,0,125222
330,1412,1,125222
331,1417,0,125223
332,1412,1,125223
333,1416,0,125224
334,1412,1,125224
335,1415,0,125225
336,1412,1,125225
337,1414,0,125226
338,1412,1,125226
339,1413,0,125227
340,1412,1,125227
341,1409,1,125522
342,1411,0,125522
343,1409,1,125523
344,1410,0,125523
345,1315,1,131440
346,1248,0,131440
347,1315,1,131441
348,1236,0,131441
349,1315,1,131442
350,1224,0,131442
351,1315,1,131443
352,1212,0,131443
353,1315,1,131444
354,1200,0,131444
355,1188,0,131445
356,1315,1,131445
357,1176,0,131446
358,1315,1,131446
359,1164,0,131447
360,1315,1,131447
361,1152,0,131448
362,1315,1,131448
363,1315,1,131449
364,1141,0,131449
365,1315,1,131450
366,1140,0,131450
367,1326,1,131487
368,1148,0,131487
369,1409,1,131488
370,1327,0,131488
380,1517,1,132873
381,1507,0,132873
382,1517,1,132874
383,1508,0,132874
384,1517,1,132875
385,1509,0,132875
386,1517,1,132876
387,1510,0,132876
388,1517,1,132877
389,1511,0,132877
390,1512,0,132878
391,1517,1,132878
392,1513,0,132879
393,1517,1,132879
394,1514,0,132880
395,1517,1,132880
396,1515,0,132881
397,1517,1,132881
398,1516,0,132882
399,1517,1,132882
400,1506,0,132883
401,1517,1,132883
402,1591,1,134179
403,1593,0,134179
404,1591,1,134180
405,1592,0,134180
406,1612,1,134270
407,1623,0,134270
408,1612,1,134271
409,1622,0,134271
410,1612,1,134272
411,1621,0,134272
412,1612,1,134273
413,1620,0,134273
414,1612,1,134274
415,1619,0,134274
416,1618,0,134275
417,1612,1,134275
418,1617,0,134276
419,1612,1,134276
420,1616,0,134277
421,1612,1,134277
422,1615,0,134278
423,1612,1,134278
424,1612,1,134279
425,1614,0,134279
426,1613,0,134280
427,1612,1,134280
428,1632,1,134320
429,1643,0,134320
430,1632,1,134321
431,1642,0,134321
432,1632,1,134322
433,1641,0,134322
434,1632,1,134323
435,1640,0,134323
436,1632,1,134324
437,1639,0,134324
438,1638,0,134325
439,1632,1,134325
440,1637,0,134326
441,1632,1,134326
442,1636,0,134327
443,1632,1,134327
444,1635,0,134328
445,1632,1,134328
446,1632,1,134329
447,1634,0,134329
448,1633,0,134330
449,1632,1,134330
450,1644,1,134331
451,1655,0,134331
452,1644,1,134332
453,1654,0,134332
454,1644,1,134333
455,1653,0,134333
456,1644,1,134334
457,1652,0,134334
458,1644,1,134335
459,1651,0,134335
460,1650,0,134336
461,1644,1,134336
462,1649,0,134337
463,1644,1,134337
464,1648,0,134338
465,1644,1,134338
466,1647,0,134339
467,1644,1,134339
468,1644,1,134340
469,1646,0,134340
470,1645,0,134341
471,1644,1,134341
472,1656,1,134342
473,1667,0,134342
474,1656,1,134343
475,1666,0,134343
476,1656,1,134344
477,1665,0,134344
478,1656,1,134345
479,1664,0,134345
480,1656,1,134346
481,1663,0,134346
482,1662,0,134347
483,1656,1,134347
484,1661,0,134348
485,1656,1,134348
486,1660,0,134349
487,1656,1,134349
488,1659,0,134350
489,1656,1,134350
490,1656,1,134351
491,1658,0,134351
492,1657,0,134352
493,1656,1,134352
494,1671,1,134433
496,1673,1,134434
497,1674,0,134434
498,1673,1,134435
499,1675,0,134435
500,1673,1,134436
501,1676,0,134436
502,1673,1,134437
503,1677,0,134437
504,1673,1,134438
505,1678,0,134438
506,1679,0,134439
507,1673,1,134439
508,1680,0,134440
509,1673,1,134440
510,1681,0,134441
511,1673,1,134441
512,1682,0,134442
513,1673,1,134442
514,1673,1,134443
515,1683,0,134443
516,1684,0,134444
517,1673,1,134444
518,1672,0,134433
519,1685,1,134448
520,1696,0,134448
521,1685,1,134449
522,1695,0,134449
523,1685,1,134450
524,1694,0,134450
525,1685,1,134451
526,1693,0,134451
527,1685,1,134452
528,1692,0,134452
529,1691,0,134453
530,1685,1,134453
531,1690,0,134454
532,1685,1,134454
533,1689,0,134455
534,1685,1,134455
535,1688,0,134456
536,1685,1,134456
537,1685,1,134457
538,1687,0,134457
539,1686,0,134458
540,1685,1,134458
541,1744,1,135315
542,1745,0,135315
543,1744,1,135316
544,1746,0,135316
545,1744,1,135317
546,1747,0,135317
547,1744,1,135318
548,1748,0,135318
549,1744,1,135319
550,1749,0,135319
551,1750,0,135320
552,1744,1,135320
553,1751,0,135321
554,1744,1,135321
555,1752,0,135322
556,1744,1,135322
557,1753,0,135323
558,1744,1,135323
559,1744,1,135324
560,1754,0,135324
561,1755,0,135325
562,1744,1,135325
563,1756,1,135326
564,1757,0,135326
565,1756,1,135327
566,1758,0,135327
567,1756,1,135328
568,1759,0,135328
569,1756,1,135329
570,1760,0,135329
571,1756,1,135330
572,1761,0,135330
573,1762,0,135331
574,1756,1,135331
575,1763,0,135332
576,1756,1,135332
577,1764,0,135333
578,1756,1,135333
579,1765,0,135334
580,1756,1,135334
581,1756,1,135335
582,1766,0,135335
583,1767,0,135336
584,1756,1,135336
585,1779,1,135338
586,1768,0,135338
587,1779,1,135339
588,1769,0,135339
589,1779,1,135340
590,1770,0,135340
591,1779,1,135341
592,1771,0,135341
593,1779,1,135342
594,1772,0,135342
595,1773,0,135343
596,1779,1,135343
597,1774,0,135344
598,1779,1,135344
599,1775,0,135345
600,1779,1,135345
601,1776,0,135346
602,1779,1,135346
603,1779,1,135347
604,1777,0,135347
605,1778,0,135348
606,1779,1,135348
607,1783,1,135364
608,1782,0,135364
609,1783,1,135365
610,1781,0,135365
611,1828,1,135814
612,1817,0,135814
613,1828,1,135815
614,1818,0,135815
615,1828,1,135816
616,1819,0,135816
617,1828,1,135817
618,1820,0,135817
619,1828,1,135818
620,1821,0,135818
621,1822,0,135819
622,1828,1,135819
623,1823,0,135820
624,1828,1,135820
625,1824,0,135821
626,1828,1,135821
627,1825,0,135822
628,1828,1,135822
629,1826,0,135823
630,1828,1,135823
631,1827,0,135824
632,1828,1,135824
