ID,Tier,Component,ShirtID,FileDataID,Color
2377,0,3,1,650152,3
2378,0,4,1,650151,3
2379,1,3,1,650216,3
2380,1,4,1,650215,3
2381,2,3,1,650186,3
2382,2,4,1,650185,3
2383,0,0,2,650413,3
2384,0,3,2,650415,3
2385,0,4,2,650414,3
2386,1,0,2,650512,3
2387,1,3,2,650514,3
2388,1,4,2,650513,3
2389,2,0,2,650466,3
2390,2,3,2,650468,3
2391,2,4,2,650467,3
2392,0,0,3,650822,3
2393,0,1,3,650821,3
2394,0,3,3,650824,3
2395,0,4,3,650823,3
2396,1,0,3,650950,3
2397,1,1,3,650949,3
2398,1,3,3,650952,3
2399,1,4,3,650951,3
2400,2,0,3,650890,3
2401,2,1,3,650889,3
2402,2,3,3,650892,3
2403,2,4,3,650891,3
2404,0,3,1,650154,4
2405,0,4,1,650153,4
2406,1,3,1,650218,4
2407,1,4,1,650217,4
2408,2,3,1,650188,4
2409,2,4,1,650187,4
2410,0,0,2,650416,4
2411,0,3,2,650418,4
2412,0,4,2,650417,4
2413,1,0,2,650515,4
2414,1,3,2,650517,4
2415,1,4,2,650516,4
2416,2,0,2,650469,4
2417,2,3,2,650471,4
2418,2,4,2,650470,4
2419,0,0,3,650826,4
2420,0,1,3,650825,4
2421,0,3,3,650828,4
2422,0,4,3,650827,4
2423,1,0,3,650954,4
2424,1,1,3,650953,4
2425,1,3,3,650956,4
2426,1,4,3,650955,4
2427,2,0,3,650894,4
2428,2,1,3,650893,4
2429,2,3,3,650896,4
2430,2,4,3,650895,4
2431,0,3,1,650156,5
2432,0,4,1,650155,5
2433,1,3,1,650220,5
2434,1,4,1,650219,5
2435,2,3,1,650190,5
2436,2,4,1,650189,5
2437,0,0,2,650419,5
2438,0,3,2,650421,5
2439,0,4,2,650420,5
2440,1,0,2,650518,5
2441,1,3,2,650520,5
2442,1,4,2,650519,5
2443,2,0,2,650472,5
2444,2,3,2,650474,5
2445,2,4,2,650473,5
2446,0,0,3,650830,5
2447,0,1,3,650829,5
2448,0,3,3,650832,5
2449,0,4,3,650831,5
2450,1,0,3,650958,5
2451,1,1,3,650957,5
2452,1,3,3,650960,5
2453,1,4,3,650959,5
2454,2,0,3,650898,5
2455,2,1,3,650897,5
2456,2,3,3,650900,5
2457,2,4,3,650899,5
2458,0,3,1,650158,6
2459,0,4,1,650157,6
2460,1,3,1,650222,6
2461,1,4,1,650221,6
2462,2,3,1,650192,6
2463,2,4,1,650191,6
2464,0,0,2,650422,6
2465,0,3,2,650424,6
2466,0,4,2,650423,6
2467,1,0,2,650521,6
2468,1,3,2,650524,6
2469,1,4,2,650522,6
2470,2,0,2,650475,6
2471,2,3,2,650477,6
2472,2,4,2,650476,6
2473,0,0,3,650834,6
2474,0,1,3,650833,6
2475,0,3,3,650836,6
2476,0,4,3,650835,6
2477,1,0,3,650962,6
2478,1,1,3,650961,6
2479,1,3,3,650964,6
2480,1,4,3,650963,6
2481,2,0,3,650902,6
2482,2,1,3,650901,6
2483,2,3,3,650904,6
2484,2,4,3,650903,6
2485,0,3,1,650160,7
2486,0,4,1,650159,7
2487,1,3,1,650224,7
2488,1,4,1,650223,7
2489,2,3,1,650194,7
2490,2,4,1,650193,7
2491,0,0,2,650426,7
2492,0,3,2,650428,7
2493,0,4,2,650427,7
2494,1,0,2,650525,7
2495,1,3,2,650527,7
2496,1,4,2,650526,7
2497,2,0,2,650478,7
2498,2,3,2,650480,7
2499,2,4,2,650479,7
2500,0,0,3,650838,7
2501,0,1,3,650837,7
2502,0,3,3,650840,7
2503,0,4,3,650839,7
2504,1,0,3,650966,7
2505,1,1,3,650965,7
2506,1,3,3,650968,7
2507,1,4,3,650967,7
2508,2,0,3,650906,7
2509,2,1,3,650905,7
2510,2,3,3,650908,7
2511,2,4,3,650907,7
2512,0,3,1,650162,8
2513,0,4,1,650161,8
2514,1,3,1,650226,8
2515,1,4,1,650225,8
2516,2,3,1,650196,8
2517,2,4,1,650195,8
2518,0,0,2,650429,8
2519,0,3,2,650431,8
2520,0,4,2,650430,8
2521,1,0,2,650528,8
2522,1,3,2,650530,8
2523,1,4,2,650529,8
2524,2,0,2,650481,8
2525,2,3,2,650483,8
2526,2,4,2,650482,8
2527,0,0,3,650842,8
2528,0,1,3,650841,8
2529,0,3,3,650844,8
2530,0,4,3,650843,8
2531,1,0,3,650970,8
2532,1,1,3,650969,8
2533,1,3,3,650972,8
2534,1,4,3,650971,8
2535,2,0,3,650910,8
2536,2,1,3,650909,8
2537,2,3,3,650912,8
2538,2,4,3,650911,8
2539,0,3,1,650164,9
2540,0,4,1,650163,9
2541,1,3,1,650228,9
2542,1,4,1,650227,9
2543,2,3,1,650198,9
2544,2,4,1,650197,9
2545,0,0,2,650432,9
2546,0,3,2,650434,9
2547,0,4,2,650433,9
2548,1,0,2,650531,9
2549,1,3,2,650533,9
2550,1,4,2,650532,9
2551,2,0,2,650484,9
2552,2,3,2,650487,9
2553,2,4,2,650486,9
2554,0,0,3,650846,9
2555,0,1,3,650845,9
2556,0,3,3,650848,9
2557,0,4,3,650847,9
2558,1,0,3,650974,9
2559,1,1,3,650973,9
2560,1,3,3,650976,9
2561,1,4,3,650975,9
2562,2,0,3,650914,9
2563,2,1,3,650913,9
2564,2,3,3,650916,9
2565,2,4,3,650915,9
2566,0,3,1,650166,10
2567,0,4,1,650165,10
2568,1,3,1,650230,10
2569,1,4,1,650229,10
2570,2,3,1,650200,10
2571,2,4,1,650199,10
2572,0,0,2,650435,10
2573,0,3,2,650437,10
2574,0,4,2,650436,10
2575,1,0,2,650534,10
2576,1,3,2,650536,10
2577,1,4,2,650535,10
2578,2,0,2,650488,10
2579,2,3,2,650490,10
2580,2,4,2,650489,10
2581,0,0,3,650850,10
2582,0,1,3,650849,10
2583,0,3,3,650852,10
2584,0,4,3,650851,10
2585,1,0,3,650978,10
2586,1,1,3,650977,10
2587,1,3,3,650980,10
2588,1,4,3,650979,10
2589,2,0,3,650918,10
2590,2,1,3,650917,10
2591,2,3,3,650920,10
2592,2,4,3,650919,10
2593,0,3,1,650168,11
2594,0,4,1,650167,11
2595,1,3,1,650232,11
2596,1,4,1,650231,11
2597,2,3,1,650202,11
2598,2,4,1,650201,11
2599,0,0,2,650438,11
2600,0,3,2,650440,11
2601,0,4,2,650439,11
2602,1,0,2,650537,11
2603,1,3,2,650539,11
2604,1,4,2,650538,11
2605,2,0,2,650491,11
2606,2,3,2,650493,11
2607,2,4,2,650492,11
2608,0,0,3,650854,11
2609,0,1,3,650853,11
2610,0,3,3,650856,11
2611,0,4,3,650855,11
2612,1,0,3,650982,11
2613,1,1,3,650981,11
2614,1,3,3,650984,11
2615,1,4,3,650983,11
2616,2,0,3,650922,11
2617,2,1,3,650921,11
2618,2,3,3,650924,11
2619,2,4,3,650923,11
2620,0,3,1,650170,12
2621,0,4,1,650169,12
2622,1,3,1,650234,12
2623,1,4,1,650233,12
2624,2,3,1,650204,12
2625,2,4,1,650203,12
2626,0,0,2,650441,12
2627,0,3,2,650444,12
2628,0,4,2,650442,12
2629,1,0,2,650540,12
2630,1,3,2,650542,12
2631,1,4,2,650541,12
2632,2,0,2,650494,12
2633,2,3,2,650496,12
2634,2,4,2,650495,12
2635,0,0,3,650858,12
2636,0,1,3,650857,12
2637,0,3,3,650860,12
2638,0,4,3,650859,12
2639,1,0,3,650986,12
2640,1,1,3,650985,12
2641,1,3,3,650988,12
2642,1,4,3,650987,12
2643,2,0,3,650926,12
2644,2,1,3,650925,12
2645,2,3,3,650928,12
2646,2,4,3,650927,12
2647,0,3,1,650172,13
2648,0,4,1,650171,13
2649,1,3,1,650236,13
2650,1,4,1,650235,13
2651,2,3,1,650206,13
2652,2,4,1,650205,13
2653,0,0,2,650445,13
2654,0,3,2,650447,13
2655,0,4,2,650446,13
2656,1,0,2,650543,13
2657,1,3,2,650545,13
2658,1,4,2,650544,13
2659,2,0,2,650497,13
2660,2,3,2,650499,13
2661,2,4,2,650498,13
2662,0,0,3,650862,13
2663,0,1,3,650861,13
2664,0,3,3,650864,13
2665,0,4,3,650863,13
2666,1,0,3,650990,13
2667,1,1,3,650989,13
2668,1,3,3,650992,13
2669,1,4,3,650991,13
2670,2,0,3,650930,13
2671,2,1,3,650929,13
2672,2,3,3,650932,13
2673,2,4,3,650931,13
2674,0,3,1,650174,14
2675,0,4,1,650173,14
2676,1,3,1,650238,14
2677,1,4,1,650237,14
2678,2,3,1,650208,14
2679,2,4,1,650207,14
2680,0,0,2,650448,14
2681,0,3,2,650450,14
2682,0,4,2,650449,14
2683,1,0,2,650546,14
2684,1,3,2,650548,14
2685,1,4,2,650547,14
2686,2,0,2,650500,14
2687,2,3,2,650502,14
2688,2,4,2,650501,14
2689,0,0,3,650866,14
2690,0,1,3,650865,14
2691,0,3,3,650868,14
2692,0,4,3,650867,14
2693,1,0,3,650994,14
2694,1,1,3,650993,14
2695,1,3,3,650996,14
2696,1,4,3,650995,14
2697,2,0,3,650934,14
2698,2,1,3,650933,14
2699,2,3,3,650936,14
2700,2,4,3,650935,14
2701,0,3,1,650176,15
2702,0,4,1,650175,15
2703,1,3,1,650240,15
2704,1,4,1,650239,15
2705,2,3,1,651400,15
2706,2,4,1,651399,15
2707,0,0,2,650451,15
2708,0,3,2,650453,15
2709,0,4,2,650452,15
2710,1,0,2,650549,15
2711,1,3,2,650551,15
2712,1,4,2,650550,15
2713,2,0,2,651405,15
2714,2,3,2,651407,15
2715,2,4,2,651406,15
2716,0,0,3,650870,15
2717,0,1,3,650869,15
2718,0,3,3,650872,15
2719,0,4,3,650871,15
2720,1,0,3,650998,15
2721,1,1,3,650997,15
2722,1,3,3,651000,15
2723,1,4,3,650999,15
2724,2,0,3,651419,15
2725,2,1,3,651418,15
2726,2,3,3,651421,15
2727,2,4,3,651420,15
2728,0,3,1,650178,16
2729,0,4,1,650177,16
2730,1,3,1,651404,16
2731,1,4,1,651403,16
2732,2,3,1,651402,16
2733,2,4,1,651401,16
2734,0,0,2,650454,16
2735,0,3,2,650456,16
2736,0,4,2,650455,16
2737,1,0,2,651411,16
2738,1,3,2,651413,16
2739,1,4,2,651412,16
2740,2,0,2,651408,16
2741,2,3,2,651410,16
2742,2,4,2,651409,16
2743,0,0,3,650874,16
2744,0,1,3,650873,16
2745,0,3,3,650876,16
2746,0,4,3,650875,16
2747,1,0,3,651427,16
2748,1,1,3,651426,16
2749,1,3,3,651429,16
2750,1,4,3,651428,16
2751,2,0,3,651423,16
2752,2,1,3,651422,16
2753,2,3,3,651425,16
2754,2,4,3,651424,16
