ID,Component,FileDataID,ShirtID,Color
1631,4,650097,1,28
1632,0,650332,2,28
1633,3,650334,2,28
1634,4,650333,2,28
1635,0,650718,3,28
1636,1,650717,3,28
1637,3,650720,3,28
1638,4,650719,3,28
1639,3,650100,1,29
1640,4,650099,1,29
1641,0,650335,2,29
1642,3,650337,2,29
1643,4,650336,2,29
1644,0,650722,3,29
1645,1,650721,3,29
1646,3,650724,3,29
1647,4,650723,3,29
1648,3,650102,1,30
1649,4,650101,1,30
1650,0,650338,2,30
1651,3,650340,2,30
1652,4,650339,2,30
1653,0,650726,3,30
1654,1,650725,3,30
1655,3,650728,3,30
1656,4,650727,3,30
1657,3,650104,1,31
1658,4,650103,1,31
1659,0,650341,2,31
1660,3,650343,2,31
1661,4,650342,2,31
1662,0,650730,3,31
1663,1,650729,3,31
1664,3,650732,3,31
1665,4,650731,3,31
1666,3,650106,1,32
1667,4,650105,1,32
1668,0,650344,2,32
1669,3,650346,2,32
1670,4,650345,2,32
1671,0,650734,3,32
1672,1,650733,3,32
1673,3,650736,3,32
1674,4,650735,3,32
1675,3,650108,1,33
1676,4,650107,1,33
1677,0,650347,2,33
1678,3,650349,2,33
1679,4,650348,2,33
1680,0,650738,3,33
1681,1,650737,3,33
1682,3,650740,3,33
1683,4,650739,3,33
1684,3,650110,1,34
1685,4,650109,1,34
1686,0,650350,2,34
1687,3,650352,2,34
1688,4,650351,2,34
1689,0,650742,3,34
1690,1,650741,3,34
1691,3,650744,3,34
1692,4,650743,3,34
1693,3,650112,1,35
1694,4,650111,1,35
1695,0,650353,2,35
1696,3,650355,2,35
1697,4,650354,2,35
1698,0,650746,3,35
1699,1,650745,3,35
1700,3,650748,3,35
1701,4,650747,3,35
1702,3,650114,1,36
1703,4,650113,1,36
1704,0,650356,2,36
1705,3,650358,2,36
1706,4,650357,2,36
1707,0,650750,3,36
1708,1,650749,3,36
1709,3,650752,3,36
1710,4,650751,3,36
1711,3,650116,1,37
1712,4,650115,1,37
1713,0,650359,2,37
1714,3,650361,2,37
1715,4,650360,2,37
1716,0,650754,3,37
1717,1,650753,3,37
1718,3,650756,3,37
1719,4,650755,3,37
1720,3,650118,1,38
1721,4,650117,1,38
1722,0,650362,2,38
1723,3,650364,2,38
1724,4,650363,2,38
1725,0,650758,3,38
1726,1,650757,3,38
1727,3,650760,3,38
1728,4,650759,3,38
1729,3,650120,1,39
1730,4,650119,1,39
1731,0,650365,2,39
1732,3,650367,2,39
1733,4,650366,2,39
1734,0,650762,3,39
1735,1,650761,3,39
1736,3,650764,3,39
1737,4,650763,3,39
1738,3,650122,1,40
1739,4,650121,1,40
1740,0,650368,2,40
1741,3,650370,2,40
1742,4,650369,2,40
1743,0,651415,3,40
1744,1,651414,3,40
1745,3,651417,3,40
1746,4,651416,3,40
1747,3,650124,1,41
1748,4,650123,1,41
1749,0,650371,2,41
1750,3,650373,2,41
1751,4,650372,2,41
1752,0,650766,3,41
1753,1,650765,3,41
1754,3,650768,3,41
1755,4,650767,3,41
1756,3,650126,1,42
1757,4,650125,1,42
1758,0,650374,2,42
1759,3,650376,2,42
1760,4,650375,2,42
1761,0,650770,3,42
1762,1,650769,3,42
1763,3,650772,3,42
1764,4,650771,3,42
1765,3,650128,1,43
1766,4,650127,1,43
1767,0,650377,2,43
1768,3,650379,2,43
1769,4,650378,2,43
1770,0,650774,3,43
1771,1,650773,3,43
1772,3,650776,3,43
1773,4,650775,3,43
1774,3,650130,1,44
1775,4,650129,1,44
1776,0,650380,2,44
1777,3,650382,2,44
1778,4,650381,2,44
1779,0,650778,3,44
1780,1,650777,3,44
1781,3,650780,3,44
1782,4,650779,3,44
1783,3,650132,1,45
1784,4,650131,1,45
1785,0,650383,2,45
1786,3,650385,2,45
1787,4,650384,2,45
1788,0,650782,3,45
1789,1,650781,3,45
1790,3,650784,3,45
1791,4,650783,3,45
1792,3,650134,1,46
1793,4,650133,1,46
1794,0,650386,2,46
1795,3,650388,2,46
1796,4,650387,2,46
1797,0,650786,3,46
1798,1,650785,3,46
1799,3,650788,3,46
1800,4,650787,3,46
1801,3,650136,1,47
1802,4,650135,1,47
1803,0,650389,2,47
1804,3,650391,2,47
1805,4,650390,2,47
1806,0,650790,3,47
1807,1,650789,3,47
1808,3,650792,3,47
1809,4,650791,3,47
1810,3,650138,1,48
1811,4,650137,1,48
1812,0,650392,2,48
1813,3,650394,2,48
1814,4,650393,2,48
1815,0,650794,3,48
1816,1,650793,3,48
1817,3,650796,3,48
1818,4,650795,3,48
1819,3,650140,1,49
1820,4,650139,1,49
1821,0,650395,2,49
1822,3,650397,2,49
1823,4,650396,2,49
1824,0,650798,3,49
1825,1,650797,3,49
1826,3,650800,3,49
1827,4,650799,3,49
1828,3,650142,1,50
1829,4,650141,1,50
1830,0,650398,2,50
1831,3,650400,2,50
1832,4,650399,2,50
1833,0,650802,3,50
1834,1,650801,3,50
1835,3,650804,3,50
1836,4,650803,3,50
