ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang,Type,PlayerConditionID,Flags,ButtonActionType,TextureFileDataID,LfgDungeonID,QuestID,BattleMasterListID,PriorityMin,PriorityMax,ItemID,ItemQuantity,CurrencyType,CurrencyQuantity,UIMapID,BonusPlayerConditionID[0],BonusPlayerConditionID[1],BonusValue[0],BonusValue[1]
61,Northrend,The Warsong Offensive in Northrend needs your help to overcome the continued threat from the undead Scourge.,Start Quest,,,0,33594,0,3,236812,0,28711,0,9,10,0,0,0,0,114,33634,34302,0,0
62,Twilight Highlands,The Warchief requires your help to prepare for an assault on the Twilight Highlands!,Start Quest,,,0,33595,0,3,409549,0,28717,0,9,10,0,0,0,0,241,33635,0,0,0
63,Redridge Mountains,Alliance forces in the Redridge Mountains are spread too thin and need your help.,Start Quest,,,0,33637,0,3,236814,0,28563,0,9,10,0,0,0,0,49,33638,0,1,0
64,The Hinterlands,Our new brothers in the Alliance need your help to fend off the aggressive Horde offensive in their beloved homeland.,Start Quest,,,0,33639,0,3,236780,0,26542,0,9,10,0,0,0,0,26,33640,0,1,0
65,Westfall,"The crime rate of Westfall has skyrocketed as people fight for shelter and food. If you want to help the Alliance, this would be a good place to start.",Start Quest,,,0,33641,0,3,236852,0,28562,0,9,10,0,0,0,0,52,33642,0,1,0
66,Duskwood,The citizens of Duskwood are in dire need of your assistance!,Start Quest,,,0,33643,0,3,236757,0,28564,0,9,10,0,0,0,0,47,33644,0,1,0
67,Vashj'ir,Recent attacks by the Horde on our trade ships off the coast of Stormwind Harbor must be met with swift and just force!,Start Quest,,,0,33645,0,3,409551,0,27724,0,9,10,0,0,0,0,203,33646,33713,0,0
68,Mount Hyjal,Your help is needed at Mount Hyjal. The Cenarion Circle reports that Deathwing's minions have launched a destructive offensive against the world tree!,Start Quest,,,0,33648,0,3,409547,0,27726,0,9,10,0,0,0,0,198,33649,33713,0,0
69,Deepholm,The Earthen Ring requires our aid! They report that the elemental plane of Deepholm threatens to overtake our world and destroy all life on Azeroth!,Start Quest,,,0,33650,0,3,409546,0,27727,0,9,10,0,0,0,0,207,33651,0,0,0
70,Darkshore,The people of Lor'danel need your aid in securing their town against the Twilight's Hammer.,Start Quest,,,0,33652,0,3,236739,0,28490,0,9,10,0,0,0,0,62,33653,0,1,0
71,Ashenvale,The Horde's aggression in Ashenvale cannot be allowed to stand! Repel the invaders and restore the sacred forest.,Start Quest,,,0,33657,0,3,236713,0,28492,0,9,10,0,0,0,0,63,33658,34292,1,1
72,Thousand Needles,The sentinels of Thousand Needles need your help to turn back the marauding Grimtotem raiders who dominate the area.,Start Quest,,,0,33659,0,3,236848,0,28503,0,9,10,0,0,0,0,64,33660,34328,1,1
73,Tanaris,The Alliance needs your help to win concessions from the local baron of Tanaris and access to the desert's priceless resources.,Start Quest,,,0,33661,0,3,236846,0,28507,0,9,10,0,0,0,0,71,33662,0,1,0
74,Feralas,"The Alliance forces of Feralas need your help to overcome our enemies, the Horde and the Grimtotems.",Start Quest,,,0,33663,0,3,236764,0,28511,0,9,10,0,0,0,0,69,33664,34298,1,1
75,Un'Goro Crater,The Alliance needs you to provide support to the Marshal Expeditions as they uncover the secrets of Un'Goro Crater.,Start Quest,,,0,33665,0,3,236850,0,28525,0,9,10,0,0,0,0,78,33666,0,1,0
76,Silithus,Our Cenarion Circle allies in Silithus require your assistance to fight back against the Twilight's Hammer onslaught.,Start Quest,,,0,33667,0,3,236829,0,28528,0,9,10,0,0,0,0,81,33668,0,1,0
77,Desolace,"The brave soldiers of the Desolace are beset by demons and the armies of the Horde, and they need your help.",Start Quest,,,0,33669,0,3,236742,0,28531,0,9,10,0,0,0,0,66,33670,0,1,0
78,Stonetalon Mountains,The Horde's forces are poised to push into Stonetalon and they must be opposed!,Start Quest,,,0,33671,0,3,236742,0,28539,0,9,10,0,0,0,0,65,33672,0,1,0
79,Felwood,The Emerald Sanctuary requires your help to redeem Felwood from the demonic influences that rule the forest.,Start Quest,,,0,33673,0,3,236763,0,28543,0,9,10,0,0,0,0,77,33675,0,1,0
80,Winterspring,Donova Snowden in Winterspring requires your help to overcome the threat of the Winterfall furbolg.,Start Quest,,,0,33676,0,3,236854,0,28544,0,9,10,0,0,0,0,83,33677,0,1,0
81,Southern Barrens,Alliance soldiers have made tremendous gains in the Southern Barrens. Your efforts are needed to consolidate their victory!,Start Quest,,,0,33678,0,3,236717,0,28550,0,9,10,0,0,0,0,199,33679,0,1,0
82,Dustwallow Marsh,"You must aid SI:7's Calia Hastings in uncovering the threats to Theramore, both within the city and beyond its walls.",Start Quest,,,0,33680,0,3,236758,0,28552,0,9,10,0,0,0,0,70,33681,34296,1,1
83,Uldum,Be one of the first to enter glorious Uldum and claim its treasures in honor of the Alliance!,Start Quest,,,0,33682,0,3,409550,0,28558,0,9,10,0,0,0,0,249,33683,0,0,0
84,Bloodmyst Isle,The people of Bloodmyst need your help to deal with treacherous blood elves and dangerous creatures loose on the island.,Start Quest,,,0,33684,0,3,236721,0,28559,0,9,10,0,0,0,0,106,33685,0,1,0
85,Wetlands,"In the wake of the cataclysm's destruction, Wetlands has become overrun with wild beasts, orcish raiders, and savage gnolls!",Start Quest,,,0,33686,0,3,236853,0,28565,0,9,10,0,0,0,0,56,33687,0,1,0
86,Loch Modan,The destruction of the Stonewrought Dam has the dwarven mountaineers stretched thin. Reinforcements are desperately needed!,Start Quest,,,0,33688,0,3,236808,0,28567,0,9,10,0,0,0,0,48,33689,0,1,0
87,Arathi Highlands,Your aid is needed in Arathi Highlands. Ancient Stromgarde's honor must be redeemed!,Start Quest,,,0,33690,0,3,236712,0,28573,0,9,10,0,0,0,0,14,33691,0,1,0
88,Western Plaguelands,"On the heels of our early victories in Andorhal, the Forsaken have decided to launch a counterattack. Your help is needed to beat back the Scourge and Horde and reclaim lost Andorhal in the Western Plaguelands.",Start Quest,,,0,33692,0,3,236851,0,28576,0,9,10,0,0,0,0,22,33693,34625,1,1
89,Eastern Plaguelands,The Argent Crusade needs your help to win back the Eastern Plaguelands from the grasp of the Scourge.,Start Quest,,,0,33694,0,3,236760,0,28578,0,9,10,0,0,0,0,23,33695,0,1,0
90,Badlands,"Your help is needed to survey the damage done by Deathwing, and the disposition of Horde forces in the Badlands.",Start Quest,,,0,33696,0,3,236716,0,28579,0,9,10,0,0,0,0,15,33697,0,1,0
91,Searing Gorge,SI:7 reports that the Dark Iron dwarves of the Searing Gorge are preparing to attack. Stop them before it's too late!,Start Quest,,,0,33698,0,3,236815,0,28582,0,9,10,0,0,0,0,32,33699,0,1,0
92,Burning Steppes,Your aid is urgently needed to put an end to the Blackrock orc menace in the Burning Steppes!,Start Quest,,,0,33700,0,3,236734,0,28666,0,9,10,0,0,0,0,36,33701,0,1,0
93,Blasted Lands,Nethergarde's garrison urgently needs your help to stem the Horde advance into the Blasted Lands!,Start Quest,,,0,33702,0,3,236720,0,28673,0,9,10,0,0,0,0,17,33703,0,1,0
94,Swamp of Sorrows,The Alliance needs you to secure a steady supply of munitions from the Trade Baron Silversnap in the Swamp of Sorrows!,Start Quest,,,0,33704,0,3,236845,0,28675,0,9,10,0,0,0,0,51,33705,0,1,0
95,Northern Stranglethorn Vale,"Years after Colonel Kurzen's treachery against Stormwind, his fate remains a mystery. Aid the survivors in learning what became of the colonel.",Start Quest,,,0,33706,0,3,236844,0,28699,0,9,10,0,0,0,0,224,33707,0,1,0
96,The Cape of Stranglethorn,The Explorers' League expedition in the Cape of Stranglethorn needs your help to safeguard its site and findings from marauding ogres.,Start Quest,,,0,33708,0,3,236844,0,28702,0,9,10,0,0,0,0,210,33709,0,1,0
97,Outland,The expeditionary forces require your help to overcome the demonic armies of the Burning Legion that are invading from Outland!,Start Quest,,,0,33710,0,3,236813,0,28708,0,9,10,0,0,0,0,100,33713,33711,0,0
98,Northrend,The Valiance Expedition needs your help in Northrend to keep the forces of the Scourge under control and safeguard civilized lands!,Start Quest,,,0,33712,0,3,236812,0,28709,0,9,10,0,0,0,0,113,33713,33714,0,0
99,Twilight Highlands,King Wrynn requires a trustworthy and proven hero for a mission of the utmost importance.,Start Quest,,,0,33715,0,3,409549,0,28716,0,9,10,0,0,0,0,241,33716,0,0,0
100,Pandaria,Present yourself at Grommash Hold to swear an oath of allegiance to the new Warchief!,Start Quest,,,0,33727,0,3,652174,0,29611,0,9,10,0,0,0,0,371,33728,33748,0,0
101,Valley of the Four Winds,The locals have spoken of a powerful pandaren monk travelling into the Valley of the Four Winds. Can you win him as an ally?,Start Quest,,,0,33730,0,3,618317,0,38935,0,9,10,0,0,0,0,376,33731,0,0,0
102,Kun-Lai Summit,Survivors of the battle in Jade Forest have made their way to Kun-Lai Summit and are in dire need of your aid.,Start Quest,,,0,33735,0,3,617832,0,38936,0,9,10,0,0,0,0,379,33736,34300,0,0
103,Townlong Steppes,The Shado-Pan are mounting an incursion over the great wall into the Townlong Steppes. Assist them in this daring assault!,Start Quest,,,0,33738,0,3,618796,0,39127,0,9,10,0,0,0,0,388,33739,34329,0,0
104,Dread Wastes,The Shado-pan of the great wall call for reinforcements against the mantid forces of the Dread Wastes. They need your help!,Start Quest,,,0,33740,0,3,624970,0,31000,0,9,10,0,0,0,0,422,33741,34293,0,0
105,Vale of Eternal Blossoms,The Vale of Eternal Blossoms is under attack. Prince Anduin Wrynn requires your aid at the Temple of the White Tiger in Kun-Lai Summit to convince the peoples of Pandaria to allow outsiders access to the Vale so that they may help in its time of need.,Start Quest,,,0,33743,0,3,618798,0,31392,0,9,10,0,0,0,0,390,33744,34330,0,0
106,Vale of Eternal Blossoms,The Vale of Eternal Blossoms is under attack. Sunwalker Dezco requires your aid at the Temple of the White Tiger.,Start Quest,,,0,33745,0,3,618798,0,31393,0,9,10,0,0,0,0,390,33746,34330,0,0
107,Draenor,"Archmage Khadgar, hero of the Second War, is assembling a coalition of Azeroth's strongest to step through the Dark Portal.",Start Quest,,Help Archmage Khadgar fight the Iron Horde and shut down the Dark Portal inside Tanaan Jungle!,0,33747,0,3,1048305,0,34398,0,9,10,0,0,0,0,577,33748,33750,0,0
108,Draenor,"Archmage Khadgar, hero of the Second War, is assembling a coalition of Azeroth's strongest to step through the Dark Portal.",Start Quest,,Help Archmage Khadgar fight the Iron Horde and shut down the Dark Portal inside Tanaan Jungle!,0,34668,0,3,1048305,0,34398,0,9,10,0,0,0,0,577,33713,33750,0,0
109,Gorgrond,"Commander, Durotan calls for aid in leading a small strike team into Gorgrond to launch a counter attack against the Iron Horde stronghold there.",Start Quest,,,0,33751,0,3,1046803,0,35557,0,9,10,0,0,0,0,543,33752,0,0,0
110,Gorgrond,"Commander, Yrel and Maraad call for aid in leading a small strike team into Gorgrond to launch a counter attack against the Iron Horde stronghold there.",Start Quest,,,0,33753,0,3,1046803,0,35556,0,9,10,0,0,0,0,543,33754,0,0,0
111,Talador,"The Iron Horde has made landfall in Talador and seeks to secure this crossroads territory from us. Commander, your forces are needed.",Start Quest,,,0,33755,0,3,1060985,0,36953,0,9,10,0,0,0,0,535,33756,0,0,0
112,Spires of Arak,Spires of Arak is rife with war and rebellion. The exiles of the arakkoa are fleeing in droves and could prove valuable allies.,Start Quest,,,0,33757,0,3,1060981,0,36951,0,9,10,0,0,0,0,542,33758,0,0,0
113,Spires of Arak,"Commander, the Spires of Arak is rife with war and rebellion. The exiles of the arakkoa are fleeing the land in droves and could prove valuable allies.",Start Quest,,,0,33759,0,3,1060981,0,36951,0,9,10,0,0,0,0,542,33760,0,0,0
114,Talador,"The Iron Horde has made landfall in Talador and seeks to secure this crossroads territory from us. Commander, your forces are needed.",Start Quest,,,0,33761,0,3,1060985,0,34676,0,9,10,0,0,0,0,535,33762,0,0,0
115,Nagrand,"Thrall has called for aid in establishing a foothold at Nagrand, home of the dreaded Warsong and Burning Blade clans.",Start Quest,,,0,33765,0,3,1032150,0,36952,0,9,10,0,0,0,0,550,33766,0,0,0
116,Nagrand,"Vindicator Yrel has called for aid in establishing a foothold at Nagrand, home of the dreaded Warsong and Burning Blade clans.",Start Quest,,,0,33767,0,3,1032150,0,34674,0,9,10,0,0,0,0,550,33768,0,0,0
117,Prepare for Invasion!,The Warchief Vol'jin has come to your garrison to discuss invasion plans of Tanaan Jungle. Do your forces stand ready?,Start Quest,,Speak to Warchief Vol'jin inside your garrison to plan the invasion of Tanaan Jungle.,0,33769,0,3,1048305,0,38567,0,9,10,0,0,0,0,543,33770,0,0,0
118,Arathi Basin,Fight Horde players for control of Arathi Basin in this resource-race battleground.,Join the Fight!,,,5,33772,1,4,236712,0,0,3,1,7,0,0,0,0,0,34691,0,1,0
119,Prepare for Invasion!,King Varian Wrynn has come to your garrison to discuss invasion plans of Tanaan Jungle. Do your forces stand ready?,Start Quest,,Speak to King Varian Wrynn inside your garrison to plan the invasion of Tanaan Jungle.,0,33771,0,3,1048305,0,38253,0,9,10,0,0,0,0,543,33773,0,0,0
120,Blackfathom Deeps,This ancient night elf temple has been overrun by the Twilight's Hammer. Defeat them before untold evils below are awoken!,Join Group,,,6,33775,0,1,236436,10,0,0,7,8,0,0,0,0,0,33809,33978,0,0
123,Stormwind Stockade,The prisoners of the Stormwind Stockades are attempting to escape. Stop them!,Join Group,,,6,33806,0,1,134163,12,0,0,7,8,0,0,0,0,0,33810,33979,0,0
124,Gnomeregan,"Delve into the irradiated capital city of Gnomeregan to clean out its infestation of troggs, leper gnomes, and technological terrors.",Join Group,,,6,33807,0,1,236424,14,0,0,7,8,0,0,0,0,0,33811,33981,0,0
125,Scarlet Halls,The fiercest warriors of the Scarlet Crusade are raising an army within the Scarlet Halls. Defeat them before they can unleash their forces.,Join Group,,,6,33808,0,1,133154,163,0,0,7,8,0,0,0,0,0,33813,33982,0,0
126,Scarlet Monastery,"Attack the Scarlet Monastery, stronghold of the Scarlet Crusade, and bring justice to their zealous leaders within.",Join Group,,,6,33814,0,1,135955,164,0,0,7,8,0,0,0,0,0,33815,33816,0,0
127,Maraudon,Travel into the crystal caverns of Maraudon where rumors claim a demonic presence has taken hold.,Join Group,,,6,33817,0,1,136345,272,0,0,7,8,0,0,0,0,0,33818,0,0,0
128,Razorfen Kraul,"Adventure into the thorned nest of Razorfen Kraul, den and stronghold of the quilboar.",Join Group,,,6,33819,0,1,236405,16,0,0,7,8,0,0,0,0,0,33820,33983,0,0
129,Foulspore Cavern,Adventure into the underground Foulspore Cavern to purge the corruption that grips the roots of Maraudon.,Join Group,,,6,33821,0,1,136345,26,0,0,7,8,0,0,0,0,0,33818,0,0,0
130,Earth Song Falls,A hero is needed to bring an end to the corruption wrought by Princess Theradras and her minions within the caverns of Maraudon.,Join Group,,,6,33822,0,1,136345,273,0,0,7,8,0,0,0,0,0,33818,33984,0,0
131,Uldaman,"Explore Uldaman, the ruined city of the ancient Titans filled with a host of their failed creations and wondrous treasures.",Join Group,,,6,33823,0,1,236401,22,0,0,7,8,0,0,0,0,0,33824,33985,0,0
132,Warpwood Quarter,Bring an end to the corrupted ancients and inhabitants that infest the eastern wing of ruins at Dire Maul.,Join Group,,,6,33825,0,1,136333,34,0,0,7,8,0,0,0,0,0,33826,0,0,0
133,Scholomance,"A hero is needed to face the dreaded necromancers and their undead creations at their school of knowledge, Scholomance.",Join Group,,,6,33827,0,1,135974,2,0,0,7,8,0,0,0,0,0,33828,33986,0,0
134,Capital Gardens,The elves' blind pursuit to regain their immortality led to a dark curse. Venture into the ruins of Dire Maul and put an end to it.,Join Group,,,6,33829,0,1,136333,36,0,0,7,8,0,0,0,0,0,33830,0,0,0
135,Razorfen Downs,Undead sightings in this quilboar stronghold have given rise to the concern that the Scourge may be gaining a foothold in Kalimdor.,Join Group,,,6,33832,0,1,236400,20,0,0,7,8,0,0,0,0,0,33831,33987,0,0
136,Gordok Commons,The brutal Gordok ogres have seized control of the northern wing of the Dire Maul and are exploiting the power within.,Join Group,,,6,33833,0,1,132340,38,0,0,7,8,0,0,0,0,0,33830,33988,0,0
137,Stratholme - Main Gate,The once great human city of Stratholme is now a ruined nest of undeath. Only the bravest of heroes dare cross the front gate.,Join Group,,,6,33834,0,1,237511,40,0,0,7,8,0,0,0,0,0,33835,33989,0,0
138,Zul'Farrak,The once powerful and cruel sandfury trolls of Zul'Farrak appear to be amassing an army of undead. Will you stand against them?,Join Group,,,6,33838,0,1,236406,24,0,0,7,8,0,0,0,0,0,33837,33990,0,0
139,Stratholme - Service Entrance,A side entrance has been revealed into the ruined city of Stratholme.  Use it to launch an attack against the Scourge inside.,Join Group,,,6,33839,0,1,237511,274,0,0,7,8,0,0,0,0,0,33840,33991,0,0
140,The Detention Block,The Dark Iron Dwarves in Blackrock Depths are working with the Twilight's Hammer cultists and must be stopped.,Join Group,,,6,33841,0,1,236410,30,0,0,7,8,0,0,0,0,0,33842,33992,0,0
141,Sunken Temple,Adventure into the Sunken Temple to put an end to the corrupted green dragon wardens there and stop the rogue Atal'ai troll priests.,Join Group,,,6,33843,0,1,236434,28,0,0,7,8,0,0,0,0,0,33844,33993,0,0
142,Blackrock Depths,"Journey deep into the capital of the Dark Iron dwarves to do battle with their evil leader, Emperor Thaurissan.",Join Group,,,6,33845,0,1,236410,276,0,0,7,8,0,0,0,0,0,33842,33994,0,0
143,Lower Blackrock Spire,Battle against the forces of the false horde united under the banner of Warchief Rend Blackhand and his black dragon allies.,Join Group,,,6,33846,0,1,236429,32,0,0,7,8,0,0,0,0,0,33847,33995,0,0
144,Hellfire Ramparts,Assault the nearly impenetrable bastion of the Fel Horde's base of operations in Hellfire Peninsula.,Join Group,,,6,33848,0,1,236427,136,0,0,7,8,0,0,0,0,0,33849,33996,0,0
145,The Blood Furnace,"The Fel Horde is performing dark and disturbing experiments on their own people, forging fierce soldiers of war.",Join Group,,,6,33850,0,1,236417,137,0,0,7,8,0,0,0,0,0,33849,33851,0,0
146,The Slave Pens,Liberate the captives of the sinister Coilfang naga in their Slave Pens in Zangarmarsh.,Join Group,,,6,33852,0,1,236433,140,0,0,7,8,0,0,0,0,0,33853,33997,0,0
147,The Underbog,Adventure into the Underbog facing off against the strange fungal creatures of the deep.,Join Group,,,6,33854,0,1,254502,146,0,0,7,8,0,0,0,0,0,33853,33855,0,0
148,Mana-Tombs,Stop the scavenging ethereals under the banner of Nexus-Prince Shaffar from desecrating the draenei burial chambers within Auchindoun.,Join Group,,,6,33856,0,1,236426,148,0,0,7,8,0,0,0,0,0,33857,33998,0,0
149,Auchenai Crypts,"Explore the ancient Auchenai Crypts, battling the haunted draenei within and giving peace to its mad defenders.",Join Group,,,6,33858,0,1,236411,149,0,0,7,8,0,0,0,0,0,33857,33999,0,0
150,The Escape from Durnholde,Travel back in time to Old Hillsbrad Foothills where vile forces work to assassinate a young Thrall before he can come of age.,Join Group,,,6,33859,0,1,254647,170,0,0,7,8,0,0,0,0,0,33861,34000,0,0
151,Sethekk Halls,Battle the powerful magi of the arakkoa that have seized control of the Sethekk Halls.,Join Group,,,6,33862,0,1,236435,150,0,0,7,8,0,0,0,0,0,33857,34001,0,0
152,The Mechanar,Do battle with the blood elves within the Mechanar before they can unlock the mystical secrets of the naaru held within.,Join Group,,,6,33863,0,1,236430,172,0,0,7,8,0,0,0,0,0,33864,34002,0,0
