CommittedName,ID,UiTextureAtlasID,Width,Height,CommittedLeft,CommittedRight,CommittedTop,CommittedBottom,UiTextureAtlasElementID,OverrideWidth,OverrideHeight,CommittedFlags,UiCanvasID
Garr_Plot_Glow_2,2343,123,108,70,131,239,304,374,8070,0,0,0,0
Garr_Plot_Glow_1,2344,123,108,70,131,239,232,302,8071,0,0,0,0
Garr_Plot_Glow_4,2345,123,108,70,241,349,232,302,8072,0,0,0,0
Garr_Specialization_FrameLeft,2346,123,52,57,477,529,173,230,8073,0,0,0,0
Garr_Specialization_FrameMid,2347,123,43,57,919,962,173,230,8074,0,0,0,0
Garr_Specialization_IconBorder,2348,123,45,45,767,812,126,171,8075,0,0,0,0
Garr_Specialization_IconSelected,2349,123,49,49,964,1013,173,222,8047,0,0,0,0
Garr_TownHallBanner_Left,2351,123,36,33,849,885,126,159,8048,0,0,0,0
Garr_TownHallBanner_LevelFiligree,2352,123,88,38,518,606,126,164,8049,0,0,0,0
Garr_TownHallBanner_Mid,2353,123,78,34,687,765,126,160,8050,0,0,0,0
Garr_TownHallBanner_Right,2354,123,36,33,887,923,126,159,8051,0,0,0,0
Garr_TreasureIcon,2355,123,66,63,351,417,306,369,8052,0,0,0,0
Garr_XPBar_Left,2356,123,32,21,635,667,92,113,8053,0,0,0,0
Garr_XPBar_Nub,2357,123,11,11,620,631,63,74,8054,0,0,0,0
Garr_Map_Shadowmoon1_A,2369,125,672,468,1,673,1,469,8056,0,0,0,0
Garr_Map_Shadowmoon2_A,2370,126,672,468,1,673,1,469,8063,0,0,0,0
Garr_Map_Shadowmoon3_A,2371,127,672,468,1,673,1,469,8064,0,0,0,0
Garr_Plot_Shadowmoon_A_4,2372,128,108,70,111,219,73,143,8090,0,0,0,0
Garr_Plot_Shadowmoon_A_1,2373,128,108,70,1,109,1,71,8091,0,0,0,0
Garr_Plot_Shadowmoon_A_2,2374,128,108,70,111,219,1,71,8092,0,0,0,0
Garr_Plot_Shadowmoon_A_3,2375,128,108,70,1,109,73,143,8093,0,0,0,0
Garr_InfoBox-BackgroundTile,2376,129,256,256,0,256,0,256,7958,0,0,6,0
Garr_WoodFrame-BackgroundTile,2378,130,256,256,0,256,0,256,7959,0,0,6,0
Garr_InfoBox-CornerShadow,2379,121,8,8,90,98,439,447,7960,0,0,0,0
GarrBuilding_Default_Info,2382,124,250,162,1,251,165,327,8119,0,0,0,0
GarrBuilding_Default_Map,2383,124,108,80,269,377,1,81,8120,0,0,0,0
GarrBuilding_EmptyPlot_1_A_Info,2384,124,266,162,1,267,1,163,8121,0,0,0,0
GarrBuilding_Armory_1_A_Info,2398,134,250,162,1,251,1,163,8128,0,0,0,0
GarrBuilding_Armory_2_A_Info,2399,135,250,162,1,251,1,163,8129,0,0,0,0
GarrBuilding_Armory_3_A_Info,2400,136,250,162,1,251,1,163,8130,0,0,0,0
GarrBuilding_Armory_1_A_Map,2404,140,108,83,1,109,1,84,8094,0,0,0,0
GarrBuilding_Armory_2_A_Map,2405,141,108,86,1,109,1,87,8095,0,0,0,0
GarrBuilding_Armory_3_A_Map,2406,142,108,103,1,109,1,104,8096,0,0,0,0
GarrBuilding_Alchemy_1_A_Info,2407,143,250,162,1,251,1,163,8097,0,0,0,0
GarrBuilding_Alchemy_2_A_Info,2408,144,250,162,1,251,1,163,8098,0,0,0,0
GarrBuilding_Alchemy_3_A_Info,2409,145,250,162,1,251,1,163,8099,0,0,0,0
GarrBuilding_Alchemy_1_A_Map,2410,146,108,81,1,109,1,82,8100,0,0,0,0
GarrBuilding_Alchemy_2_A_Map,2411,147,108,82,1,109,1,83,8101,0,0,0,0
GarrBuilding_Alchemy_3_A_Map,2412,148,108,91,1,109,1,92,8102,0,0,0,0
DruidEclipse-LunarCover,2413,149,60,35,1,61,76,111,8115,0,0,0,0
DruidEclipse-SolarCover,2414,149,74,32,112,186,40,72,8116,0,0,0,0
DruidEclipse-Arrow,2415,149,24,24,188,212,40,64,8103,0,0,0,0
DruidEclipse-BaseBar,2416,149,140,37,1,141,1,38,8104,0,0,0,0
DruidEclipse-BaseMoon,2417,149,23,23,214,237,40,63,8105,0,0,0,0
DruidEclipse-BaseSun,2418,149,23,23,152,175,76,99,8106,0,0,0,0
DruidEclipse-Diamond,2419,149,24,22,202,226,76,98,8107,0,0,0,0
DruidEclipse-Line,2420,149,12,22,239,251,40,62,8108,0,0,0,0
DruidEclipse-LunarBar,2421,149,110,37,143,253,1,38,8109,0,0,0,0
DruidEclipse-LunarMoon,2422,149,42,45,108,150,76,121,8110,0,0,0,0
DruidEclipse-LunarSun,2423,149,23,23,152,175,101,124,8111,0,0,0,0
DruidEclipse-SolarBar,2424,149,109,34,1,110,40,74,8112,0,0,0,0
DruidEclipse-SolarMoon,2425,149,23,23,177,200,76,99,8113,0,0,0,0
DruidEclipse-SolarSun,2426,149,43,45,63,106,76,121,8114,0,0,0,0
Garr_BuildIcon,2427,123,46,46,241,287,463,509,8131,0,0,0,0
Garr_BuildingConfirmation,2428,123,271,123,1,272,1,124,8132,0,0,0,0
Garr_BuildingIconTimerBG,2429,123,34,34,925,959,126,160,8133,0,0,0,0
Garr_BuildingIconTimerFill,2430,123,34,34,961,995,126,160,8134,0,0,0,0
Garr_BuildingTimerBG,2431,123,50,50,711,761,173,223,8135,0,0,0,0
Garr_BuildingTimerFill,2432,123,50,50,763,813,173,223,8136,0,0,0,0
Garr_BuildingTimerGlow,2433,123,72,72,241,313,389,461,8137,0,0,0,0
Garr_BuildingUpgradeExplosion,2434,123,97,63,131,228,448,511,8138,0,0,0,0
Garr_LevelBadgeGlow,2435,123,96,91,1,97,256,347,8139,0,0,0,0
Garr_NotificationGlow,2437,123,359,60,274,633,1,61,8140,0,0,0,0
Garr_UpgradeBanner,2439,123,114,89,635,749,1,90,8142,0,0,0,0
Garr_UpgradeIcon,2440,123,46,46,425,471,314,360,8143,0,0,0,0
Garr_UpgradeIconTimerBG,2441,123,34,34,311,345,304,338,8144,0,0,0,0
Garr_UpgradeIconTimerFill,2442,123,34,34,311,345,340,374,8145,0,0,0,0
Garr_UpgradeTimerBG,2443,123,50,50,815,865,173,223,8146,0,0,0,0
Garr_UpgradeTimerFill,2444,123,50,50,867,917,173,223,8147,0,0,0,0
Garr_UpgradeTimerGlow,2445,123,72,72,351,423,232,304,8148,0,0,0,0
Garr_Toast,2446,150,317,82,1,318,85,167,8149,0,0,0,0
Garr_BuildingShadowOverlay,2447,123,128,128,1,129,126,254,8141,0,0,0,0
GarrMission_Bg-DarkEdgeCorner,2454,152,46,256,269,315,642,898,8192,0,0,0,0
GarrMission_CounterCheck,2469,152,25,22,505,530,289,311,8207,0,0,0,0
GarrMission_EncounterAbilityBorder,2470,152,32,32,691,723,435,467,8208,0,0,0,0
GarrMission_EncounterBar-BG,2471,152,32,13,646,678,289,302,8209,0,0,0,0
GarrMission_EncounterBar-End,2472,152,17,17,714,731,289,306,8210,0,0,0,0
GarrMission_EncounterBar-Fill,2473,152,32,13,680,712,289,302,8211,0,0,0,0
GarrMission_EncounterBar-PortraitRing,2474,152,64,61,892,956,811,872,8212,0,0,0,0
GarrMission_EncounterBar-Spark,2475,152,27,27,845,872,435,462,8213,0,0,0,0
GarrMission_EncounterBar-Xbg,2476,152,93,96,433,526,920,1016,8214,0,0,0,0
GarrMission_EncounterBar-Xleft,2477,152,93,96,655,748,774,870,8215,0,0,0,0
GarrMission_FollowerAbilityRollout,2479,152,243,75,1,244,885,960,8216,0,0,0,0
GarrMission_FollowerPartyBox_Lg,2484,152,232,72,433,665,628,700,8221,0,0,0,0
GarrMission_FollowerPartyBox_Sm,2485,152,169,72,433,602,774,846,8222,0,0,0,0
GarrMission_ItemFrame,2487,152,109,41,914,1023,702,743,8224,0,0,0,0
GarrMission_LevelUpBanner,2488,152,140,70,433,573,848,918,8225,0,0,0,0
GarrMission_LocationCover-Side,2491,152,49,230,365,414,642,872,8228,0,0,0,0
GarrMission_ParchmentHeader-End,2498,152,65,41,948,1013,941,982,8234,0,0,0,0
GarrMission_PartyBuffsBG,2499,152,256,33,505,761,254,287,8235,0,0,0,0
GarrMission_PortraitRing,2501,152,59,62,958,1017,811,873,8237,0,0,0,0
GarrMission_PortraitRing_Empty,2502,152,59,62,826,885,941,1003,8238,0,0,0,0
GarrMission_PortraitRing_Enemy,2503,152,53,53,967,1020,395,448,8239,0,0,0,0
GarrMission_PortraitRing_LevelBorder,2504,152,58,24,861,919,287,311,8240,0,0,0,0
GarrMission_RareGlowBG,2505,152,128,35,826,954,774,809,8241,0,0,0,0
GarrMission_RewardsBanner-Desaturate,2507,152,233,70,433,666,702,772,8243,0,0,0,0
GarrMission_RewardsBanner,2508,152,233,70,667,900,628,698,8244,0,0,0,0
GarrMission_RewardsBG-Desaturate,2509,152,502,154,505,1007,1,155,8245,0,0,0,0
GarrMission_RewardsBG,2510,152,502,154,1,503,1,155,8246,0,0,0,0
GarrMission_RewardsBorder-Corner-Desaturate,2511,152,64,64,750,814,930,994,8247,0,0,0,0
GarrMission_RewardsBorder-Corner,2512,152,64,64,365,429,940,1004,8248,0,0,0,0
GarrMission_Silhouettes-1Alliance,2517,152,266,284,1,267,313,597,8249,0,0,0,0
GarrMission_Silhouettes-1Horde,2518,152,266,284,1,267,599,883,8250,0,0,0,0
GarrMission_SingleModelBG,2521,152,162,170,269,431,470,640,8253,0,0,0,0
GarrMission_StartMissionFrame,2522,152,215,39,1,216,962,1001,8254,0,0,0,0
_GarrMission_Bg-BottomEdge,2532,153,256,251,0,256,1,252,8348,0,0,4,0
_GarrMission_Bg-BottomEdgeSmall,2533,153,256,42,0,256,507,549,8349,0,0,4,0
_GarrMission_LocationCover-Bottom,2534,153,256,38,0,256,638,676,8350,0,0,4,0
_GarrMission_ParchmentHeader-Mid,2539,153,128,41,0,128,595,636,8355,0,0,4,0
_GarrMission_RewardsBorder-Top-Desaturate,2540,153,64,25,0,64,780,805,8356,0,0,4,0
_GarrMission_RewardsBorder-Top,2541,153,64,25,0,64,753,778,8357,0,0,4,0
_GarrMission_TopBorder-Highlight,2542,153,32,10,0,32,866,876,8358,0,0,4,0
_GarrMission_TopBorder-Select,2543,153,32,10,0,32,878,888,8359,0,0,4,0
_GarrMission_TopBorder,2544,153,32,10,0,32,854,864,8360,0,0,4,0
_GarrMission_XPBar-BG,2545,153,32,6,0,32,902,908,8361,0,0,4,0
_GarrMission_XPBar-Fill,2546,153,32,6,0,32,910,916,8362,0,0,4,0
_Garr_InfoBoxBorderMission-Top,2547,153,256,18,0,256,834,852,8363,0,0,4,0
!GarrMission_Bg-Edge,2549,154,46,256,138,184,0,256,8265,0,0,2,0
!GarrMission_RewardsBorder-Left-Desaturate,2550,154,30,64,266,296,0,64,8266,0,0,2,0
!GarrMission_RewardsBorder-Left,2551,154,30,64,234,264,0,64,8267,0,0,2,0
!Garr_InfoBoxBorderMission-Left,2553,154,18,256,330,348,0,256,8269,0,0,2,0
Garr_InfoBoxMission-BackgroundTile,2554,155,256,256,0,256,0,256,8270,0,0,6,0
GarrMission_FollowerListButton,2566,156,232,56,35,267,801,857,8263,0,0,0,0
GarrMission_FollowerListButton-Highlight,2567,156,232,56,235,467,564,620,8273,0,0,0,0
GarrMission_FollowerListButton-Select,2568,156,232,56,1,233,564,620,8274,0,0,0,0
GarrMission_FollowerPageHeaderBG,2569,156,32,77,1,33,801,878,8275,0,0,0,0
GarrMission_IconLevelBG,2570,156,120,65,338,458,719,784,8276,0,0,0,0
GarrMission_ListGlow-Highlight,2571,156,400,50,1,401,667,717,8277,0,0,0,0
GarrMission_ListGlow-Select,2572,156,400,50,1,401,375,425,8278,0,0,0,0
GarrMission_PlayerLootFrame,2576,156,49,49,462,511,504,553,8279,0,0,0,0
GarrMission_RareOverlay,2577,156,128,35,381,509,312,347,8280,0,0,0,0
GarrMission_TopBorderCorner,2578,156,26,33,469,495,564,597,8281,0,0,0,0
GarrMission_TopBorderCorner-Highlight,2579,156,26,33,470,496,375,408,8282,0,0,0,0
GarrMission_TopBorderCorner-Select,2580,156,26,33,345,371,306,339,8283,0,0,0,0
GarrMission_UsefulAbilityIcon,2581,156,34,37,345,379,232,269,8284,0,0,0,0
GarrMission_XPBarBig-End,2582,156,15,15,260,275,200,215,8285,0,0,0,0
GarrMission_XPBarBig-LevelBorder,2583,156,28,15,213,241,200,215,8286,0,0,0,0
GarrMission_XPBarBig-Mid,2584,156,16,15,146,162,200,215,8287,0,0,0,0
Garr_InfoBoxBorderMission-Corner,2585,156,30,30,181,211,200,230,8288,0,0,0,0
PartySizeIcon,2586,156,52,42,408,460,504,546,8289,0,0,0,0
GarrMission_CurrencyIcon-Material,2588,157,57,57,1,58,1,58,8290,0,0,0,0
GarrMission_CurrencyIcon-Salvage,2589,157,57,57,60,117,1,58,8291,0,0,0,0
GarrMission_CurrencyIcon-Xp,2590,157,57,57,1,58,60,117,8292,0,0,0,0
_GarrMissionLocation-TannanJungle-Back,2591,158,1024,285,0,1024,1,286,8351,0,0,4,0
_GarrMissionLocation-TannanJungle-Fore,2592,158,1024,285,0,1024,288,573,8352,0,0,4,0
_GarrMissionLocation-TannanJungle-Mid,2593,158,1024,285,0,1024,575,860,8353,0,0,4,0
GarrMission_MissionParchment,2594,159,256,256,0,256,0,256,8293,0,0,6,0
GarrBuilding_MageTower_1_A_Info,2599,160,250,162,1,251,1,163,8298,0,0,0,0
GarrBuilding_MageTower_2_A_Info,2600,161,250,162,1,251,1,163,8299,0,0,0,0
GarrBuilding_MageTower_3_A_Info,2601,162,250,162,1,251,1,163,8300,0,0,0,0
GarrBuilding_TownHall_1_A_Info,2602,163,250,162,1,251,1,163,8301,0,0,0,0
GarrBuilding_TownHall_2_A_Info,2603,164,250,162,1,251,1,163,8294,0,0,0,0
GarrBuilding_TownHall_3_A_Info,2604,165,250,162,1,251,1,163,8295,0,0,0,0
GarrBuilding_TownHall_3_A_Map,2605,166,108,141,1,109,1,142,8296,0,0,0,0
GarrBuilding_TownHall_2_A_Map,2606,167,108,110,1,109,1,111,8297,0,0,0,0
GarrBuilding_TownHall_1_A_Map,2607,168,108,101,1,109,1,102,8302,0,0,0,0
GarrBuilding_MageTower_1_A_Map,2608,169,108,82,1,109,1,83,8303,0,0,0,0
GarrBuilding_MageTower_2_A_Map,2609,170,108,113,1,109,1,114,8304,0,0,0,0
GarrBuilding_MageTower_3_A_Map,2610,171,108,146,1,109,1,147,8305,0,0,0,0
GarrBuilding_Inn_1_A_Info,2612,172,250,162,1,251,1,163,8306,0,0,0,0
GarrBuilding_Inn_1_A_Map,2613,173,108,71,1,109,1,72,8307,0,0,0,0
GarrBuilding_Inn_2_A_Info,2614,174,250,162,1,251,1,163,8308,0,0,0,0
GarrBuilding_Inn_3_A_Info,2615,175,250,162,1,251,1,163,8309,0,0,0,0
GarrBuilding_Inn_2_A_Map,2616,176,108,79,1,109,1,80,8310,0,0,0,0
GarrBuilding_Inn_3_A_Map,2617,177,108,84,1,109,1,85,8311,0,0,0,0
GarrBuilding_Mine_1_A_Info,2618,178,250,162,1,251,1,163,8312,0,0,0,0
GarrBuilding_Mine_2_A_Info,2619,179,250,162,1,251,1,163,8313,0,0,0,0
GarrBuilding_Mine_3_A_Info,2620,180,250,162,1,251,1,163,8314,0,0,0,0
GarrBuilding_Mine_1_A_Map,2621,181,108,78,1,109,1,79,8315,0,0,0,0
GarrBuilding_Mine_2_A_Map,2622,182,108,77,1,109,1,78,8316,0,0,0,0
GarrBuilding_Mine_3_A_Map,2623,183,108,77,1,109,1,78,8317,0,0,0,0
GarrBuilding_Barracks_1_A_Map,2624,184,108,70,1,109,1,71,8318,0,0,0,0
GarrBuilding_Barracks_2_A_Map,2625,185,108,83,1,109,1,84,8319,0,0,0,0
GarrBuilding_Barracks_3_A_Map,2626,186,108,86,1,109,1,87,8320,0,0,0,0
GarrBuilding_Barracks_1_A_Info,2627,187,250,162,1,251,1,163,8321,0,0,0,0
GarrBuilding_Barracks_2_A_Info,2628,188,250,162,1,251,1,163,8322,0,0,0,0
GarrBuilding_Barracks_3_A_Info,2629,189,250,162,1,251,1,163,8323,0,0,0,0
