ID,SpellID,EffectIndex,Effect,Points,TargetType,Flags,Period
161,119,0,3,1,11,1,0
162,120,0,12,0.5,20,1,0
163,121,0,12,-0.5,7,0,0
164,122,0,7,0.3,21,1,3
165,123,0,4,0.3,14,1,0
166,124,0,3,0.6,9,1,0
167,125,0,3,0.6,20,1,0
168,125,1,12,-0.5,20,0,1
169,126,0,4,0.2,14,1,0
170,127,0,3,0.6,15,1,0
171,128,0,3,0.75,17,1,0
172,129,0,4,0.3,6,1,0
173,129,1,12,0.5,6,0,1
174,130,0,16,1,1,1,0
175,131,0,3,1.5,17,1,0
176,132,0,3,0.5,15,1,0
177,132,1,12,-0.25,15,0,1
178,133,0,3,1,17,1,0
179,133,1,4,0.75,1,1,0
180,134,0,14,0.25,7,1,0
181,135,0,3,3,17,1,0
182,136,0,7,1.5,3,1,3
183,137,0,12,0.25,1,0,0
184,138,0,3,0.3,9,1,0
185,139,0,3,4,17,1,0
186,140,0,3,0.6,17,1,0
187,140,1,12,-0.1,17,0,0
188,141,0,14,-0.5,6,0,0
189,142,0,4,0.7,10,1,0
190,143,0,12,0.25,1,0,2
191,144,0,14,-0.75,22,0,0
192,145,0,3,0.75,3,1,0
193,146,0,3,0.75,5,1,0
194,147,0,14,-0.5,22,0,0
195,148,0,4,1.25,14,1,0
196,149,0,3,0.75,15,1,0
197,150,0,3,0.5,11,1,0
198,151,0,3,0.2,3,1,0
199,152,0,4,2,22,1,0
200,152,1,12,0.5,22,0,1
201,153,0,3,0.75,11,1,0
202,154,0,16,1,1,1,0
203,155,0,12,-0.75,7,0,0
204,156,0,14,0.4,7,0,0
205,157,0,3,0.8,9,1,0
206,158,0,3,3,17,1,0
207,159,0,12,-0.25,7,0,2
208,160,0,3,2,7,1,0
209,161,0,4,1,6,1,0
210,161,1,12,0.25,6,0,0
211,162,0,12,-0.5,7,0,0
212,163,0,3,4,7,1,0
213,164,0,7,2,11,3,3
214,165,0,3,3,3,1,0
215,166,0,3,1,21,1,0
216,166,1,4,0.5,1,1,0
217,167,0,3,1.5,5,1,0
218,168,0,12,-0.5,3,0,0
219,169,0,3,0.65,3,1,0
220,169,1,7,0.5,3,3,3
221,170,0,3,0.6,15,1,0
222,171,0,3,1,5,1,0
223,172,0,3,0.2,15,1,0
224,172,1,12,-0.5,15,0,0
225,173,0,3,0.75,5,1,0
226,173,1,12,-0.25,5,0,0
227,174,0,16,0.4,1,1,0
228,175,0,3,1.2,19,1,0
229,176,0,14,0.25,7,0,0
230,177,0,3,0.5,3,1,0
231,178,0,3,1,5,1,0
232,178,1,4,0.5,1,1,0
233,179,0,4,1,6,1,0
234,179,1,12,0.5,6,0,0
235,180,0,3,0.75,20,1,0
236,181,0,3,1.5,17,1,0
237,182,0,12,-0.5,7,0,0
238,183,0,3,0.5,15,1,0
239,184,0,3,0.75,11,1,0
240,185,0,3,1,7,1,0
241,186,0,3,2,15,1,0
242,187,0,7,0.5,7,3,2
243,188,0,3,0.5,3,1,0
244,188,1,12,-0.5,3,0,0
245,189,0,3,2,3,1,0
246,190,0,3,1.5,15,1,0
247,191,0,1,0.2,7,1,0
248,191,1,2,0.1,6,1,0
249,192,0,3,1.6,5,1,0
250,193,0,3,3,15,1,0
251,193,1,3,0.5,1,1,0
252,194,0,19,0.4,2,1,0
253,194,1,14,-0.2,2,1,0
254,194,2,3,0.2,1,1,0
255,195,0,7,0.8,11,3,1
256,196,0,3,1.2,3,1,0
257,196,1,3,0.9,3,1,0
258,196,2,3,0.6,3,1,0
259,196,3,3,0.3,3,1,0
260,197,0,4,0.55,8,1,0
261,198,0,20,-0.6,1,3,0
262,198,1,16,0.6,1,1,0
263,199,0,3,1,15,1,0
264,200,0,3,1,15,1,0
265,200,1,12,-0.5,15,0,1
266,201,0,3,2,17,1,0
267,202,0,9,2,7,1,0
268,203,0,3,1,15,1,0
269,204,0,3,1.5,3,1,0
270,204,1,12,-0.5,3,0,2
271,205,0,4,0.75,14,1,0
272,206,0,3,1.5,3,1,0
273,207,0,3,0.3,13,1,0
274,208,0,9,2,21,1,0
275,209,0,12,0.5,21,0,0
276,210,0,3,2,7,1,0
277,211,0,3,1.5,11,1,0
278,212,0,3,2,19,1,0
279,213,0,4,1,10,1,0
280,214,0,3,1,11,1,0
281,215,0,3,3,3,1,0
282,216,0,10,3,1,1,0
283,217,0,3,2,17,1,0
284,218,0,14,-0.5,1,0,0
285,219,0,4,2,2,1,0
286,219,1,14,-0.5,2,0,0
287,220,0,3,1,15,1,0
288,221,0,10,1.5,1,1,0
289,222,0,3,0.3,3,1,0
290,222,1,7,0.3,3,3,2
291,223,0,7,0.1,23,1,1
292,224,0,3,0.5,15,1,0
293,225,0,3,0.5,11,1,0
294,226,0,3,0.5,11,1,0
295,227,0,3,0.3,20,0,0
296,228,0,3,10,23,1,0
297,229,0,14,-0.5,21,0,0
298,230,0,4,0.5,24,1,0
299,231,0,14,1,20,0,0
300,232,0,12,-0.5,20,0,3
301,233,0,3,1.5,3,1,0
302,234,0,12,0.5,21,0,0
303,235,0,3,0.5,5,1,0
304,236,0,14,-0.5,6,0,2
305,237,0,3,0.5,15,1,0
306,238,0,9,2,7,1,0
307,239,0,3,0.5,17,1,0
308,240,0,3,0.25,13,1,0
309,241,0,3,0.75,5,1,0
310,241,1,12,-0.5,5,0,0
311,242,0,4,0.5,2,1,0
312,242,1,14,0.75,2,0,0
313,243,0,9,0,7,1,0
314,243,1,14,-0.5,1,0,0
315,244,0,19,2,1,1,0
316,244,1,20,0.3,1,1,0
317,244,2,3,0.3,3,1,0
318,245,0,3,1.2,3,1,0
319,246,0,3,1.5,3,1,0
320,247,0,3,0.1,3,1,0
321,247,1,4,0.2,1,1,0
322,248,0,3,0.3,3,1,0
323,248,1,7,0.15,3,1,1
324,249,0,3,0.6,3,1,0
325,249,1,12,-0.5,3,0,0
326,250,0,3,0.8,5,1,0
327,251,0,12,-0.2,7,0,0
328,252,0,3,0.6,9,1,0
329,252,1,14,0.25,9,0,0
330,253,0,3,0.75,15,1,0
331,254,0,16,1,22,1,0
332,255,0,14,-0.5,2,0,0
333,256,0,3,1,11,1,0
334,257,0,10,1,1,1,0
335,258,0,3,1,3,1,0
336,258,1,7,0.5,3,3,3
337,259,0,7,0.3,3,1,3
338,260,0,3,1.5,5,1,3
339,261,0,12,0.5,2,0,0
340,262,0,3,1,15,1,0
341,263,0,3,1,11,1,0
342,264,0,3,3,5,1,0
343,265,0,3,1,13,1,0
344,266,0,3,10,3,1,0
345,267,0,3,1.5,5,1,0
346,268,0,12,-0.3,15,0,0
347,269,0,3,1.2,15,1,0
348,270,0,12,-0.5,3,0,0
349,271,0,7,1,5,1,0
350,272,0,3,1.5,5,1,0
351,273,0,12,-0.5,3,0,0
352,274,0,3,1.2,15,1,0
353,275,0,12,0.75,2,0,0
354,276,0,3,0.25,5,1,0
355,276,1,7,0.5,5,3,3
356,277,0,12,1,1,0,0
357,278,0,14,0.5,5,0,0
358,279,0,3,0.5,17,1,0
359,280,0,3,2.5,15,1,0
360,281,0,3,1.5,5,1,3
361,282,0,3,10,3,1,0
362,283,0,3,0.75,13,1,0
363,284,0,14,-0.5,22,0,0
364,285,0,14,0.5,7,0,0
365,286,0,12,0.5,2,0,0
366,287,0,14,-0.5,1,0,0
367,288,0,3,0.6,17,1,0
368,289,0,7,1,5,3,3
369,290,0,3,1.5,5,1,3
370,291,0,3,1,15,1,3
371,292,0,14,0.5,3,0,0
372,292,1,3,0.75,3,1,0
373,293,0,3,0.6,15,1,0
374,294,0,3,2,3,1,0
375,295,0,14,0.5,3,0,2
376,296,0,3,1,17,1,0
377,297,0,3,1,5,1,0
378,297,1,4,0.3,1,1,0
379,298,0,3,1,21,1,0
380,298,1,4,0.3,1,1,0
381,299,0,3,2,5,1,0
383,300,0,7,0.05,23,1,1
384,301,0,3,0.1,20,0,0
385,302,0,3,0.2,7,1,2
386,302,1,12,-0.2,7,1,0
387,303,0,3,0.25,17,1,0
411,305,0,3,1.2,17,1,0
412,306,0,19,0.4,2,1,0
413,306,1,18,0.6,2,1,0
414,307,0,3,1.6,11,1,0
415,308,0,3,3.5,5,1,0
416,309,0,4,2,6,1,0
417,309,1,12,0.3,6,0,0
418,310,0,3,1.4,3,1,0
419,310,1,12,0.2,1,0,0
420,311,0,4,1.2,2,1,0
421,311,1,18,0.4,2,1,0
422,312,0,3,1.8,11,1,0
423,313,0,4,0.7,6,1,0
424,314,0,4,1.3,2,1,0
425,314,1,19,0.5,2,1,0
426,315,0,3,1.5,5,1,0
427,315,1,12,-0.3,5,1,0
428,316,0,3,1,3,1,0
429,316,1,4,0.3,1,1,0
430,317,0,3,1.5,15,1,0
431,317,1,20,0.3,15,1,0
432,318,0,19,0.5,6,1,0
433,319,0,3,0.8,15,1,0
434,319,1,7,0.5,15,1,0
435,320,0,3,1,17,1,0
436,321,0,4,2,2,1,0
437,322,0,3,0.8,3,1,0
438,322,1,4,0.8,1,1,0
439,322,2,18,0.8,1,1,0
440,323,0,3,0.4,17,1,0
441,323,1,12,-0.1,17,0,0
442,324,0,4,1.2,8,1,0
443,325,0,12,0.6,8,0,0
453,326,0,3,0.25,9,1,0
454,327,0,19,0.2,22,1,0
455,328,0,3,0.3,3,1,0
456,329,0,14,-0.5,1,0,0
457,330,0,19,0.2,6,1,0
458,331,0,19,0.2,22,1,0
459,332,0,3,1.5,5,1,0
460,333,0,19,0.4,1,1,0
461,334,0,3,0.9,3,1,0
462,335,0,3,0.4,17,1,0
463,336,0,4,0.8,2,1,0
464,337,0,3,2,5,1,0
465,338,0,3,0.5,3,1,0
466,339,0,3,1.2,7,1,0
467,340,0,3,0.6,5,1,0
468,341,0,3,1.2,5,1,0
469,342,0,3,1,3,1,0
470,343,0,3,0.8,15,1,0
471,344,0,3,0.3,7,1,0
472,345,0,20,-0.3,6,1,0
473,346,0,3,0.3,3,1,0
474,347,0,3,1,11,1,0
475,346,1,19,0.01,3,1,0
476,343,1,12,0.2,1,0,0
477,342,1,19,-0.7,3,1,0
478,341,1,20,0.2,5,1,0
479,348,0,3,1.2,5,1,0
480,348,1,20,0.2,5,1,0
481,337,1,7,0.4,5,1,0
482,349,0,3,0.1,7,1,0
483,350,0,3,0.25,9,1,0
484,351,0,3,0.75,5,1,0
485,352,0,14,0.3,1,1,2
486,353,0,12,0.2,5,1,2
487,354,0,3,4,15,1,0
488,355,0,12,-0.25,5,0,0
489,356,0,1,2,5,1,3
490,357,0,12,-0.5,3,0,0
491,358,0,3,4,15,1,0
492,359,0,7,0.5,5,1,3
493,360,0,3,0.5,15,1,0
494,361,0,3,0.75,15,1,0
495,362,0,3,1.2,5,1,0
496,363,0,12,0.1,14,0,0
497,364,0,9,0,7,0,0
498,365,0,14,0.5,3,0,0
499,366,0,3,0.5,15,1,0
500,367,0,3,0.75,11,1,0
501,368,0,3,0.6,5,1,0
502,369,0,0,1,0,1,0
503,370,0,12,-0.5,7,0,2
504,371,0,14,-0.25,22,0,0
505,372,0,3,0.4,15,1,0
506,373,0,3,1,5,1,0
507,373,1,4,1,1,1,0
508,374,0,3,1,5,1,0
509,374,1,4,0.4,1,1,0
510,375,0,12,-0.2,7,1,0
511,369,1,7,0.5,7,1,2
