ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
15,"Island Expeditions|n|cFFFFD200Collect:|r Worldvein Intelligence Reports|n|cFFFFD200Quest Reward:|r ""Azerite for the Alliance""|n|cFFFFD200Turn-In NPC:|r Flynn Fairwind|n|cFFFFD200Mission Table:|r ""Tracking the Worldvein""|n|cFFFFD200Location:|r Boralus Docks","Island Expeditions|n|cFFFFD200Collect:|r Worldvein Intelligence Reports|n|cFFFFD200Quest Reward:|r ""Azerite for the Alliance""|n|cFFFFD200Turn-In NPC:|r Captain Rez'okun|n|cFFFFD200Mission Table:|r ""Tracking the Worldvein""|n|cFFFFD200Location:|r Port of Zandalar",4,3,295160,295165,299334,299333
16,"Island Expeditions|n|cFFFFD200Quest:|r ""Azerite for the Alliance""|n|cFFFFD200Turn-In NPC:|r Flynn Fairwind|n|cFFFFD200Mission Table:|r ""The Last Worldvein""|n|cFFFFD200Location:|r Boralus Docks|n","Island Expeditions|n|cFFFFD200Quest:|r ""Azerite for the Horde""|n|cFFFFD200Turn-In NPC:|r Captain Rez'okun|n|cFFFFD200Mission Table:|r ""The Last Worldvein""|n|cFFFFD200Location:|r Port of Zandalar",4,4,295210,295166,299334,299333
17,Mythic Dungeons|n|cFFFFD200Combine:|r Focused Life Anima|n|cFFFFD200Drop:|r Dungeon End Bosses,,5,1,295258,295246,295258,295246
18,Mythic Dungeons|n|cFFFFD200Combine:|r Focused Life Anima|n|cFFFFD200Drop:|r Dungeon End Bosses,,5,2,295262,295251,299336,299335
19,Mythic Dungeons|n|cFFFFD200Combine:|r Focused Life Anima|n|cFFFFD200Drop:|r Dungeon End Bosses,,5,3,295263,295252,299338,299337
20,"Mythic + Dungeons|n|cFFFFD200Season:|r 3 or Later|n|cFFFFD200Achievement:|r ""Battle for Azeroth Keystone Master""|n|cFFFFD200Vendor:|r Thaumaturge Vashreen|n|cFFFFD200Location:|r Tradewinds Market in Boralus","Mythic + Dungeons|n|cFFFFD200Season:|r 3 or Later|n|cFFFFD200Achievement:|r ""Battle for Azeroth Keystone Master""|n|cFFFFD200Vendor:|r Thaumaturge Vashreen|n|cFFFFD200Location:|r Grand Bazzar in Dazar'alor",5,4,295264,295253,299338,299337
21,Mythic Dungeons|n|cFFFFD200Combine:|r Focused Life Anima|n|cFFFFD200Drop:|r Dungeon End Bosses,,7,1,294926,294964,294926,294964
22,Mythic Dungeons|n|cFFFFD200Combine:|r Focused Life Anima|n|cFFFFD200Drop:|r Dungeon End Bosses,,7,2,295307,294970,300002,300004
23,"Mythic + Dungeons|n|cFFFFD200Season:|r 3 or Later|n|cFFFFD200Achievement:|r ""Battle for Azeroth Keystone Master""|n|cFFFFD200Vendor:|r Thaumaturge Vashreen|n|cFFFFD200Location:|r Tradewinds Market in Boralus","Mythic + Dungeons|n|cFFFFD200Season:|r 3 or Later|n|cFFFFD200Achievement:|r ""Battle for Azeroth Keystone Master""|n|cFFFFD200Vendor:|r Thaumaturge Vashreen|n|cFFFFD200Location:|r Grand Bazzar in Dazar'alor",7,4,295306,294972,300003,300005
24,Mythic Dungeons|n|cFFFFD200Combine:|r Focused Life Anima|n|cFFFFD200Drop:|r Dungeon End Bosses,,7,3,294945,294969,300003,300005
29,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Resistance - Friendly|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt|n|cFFFFD200Cost:|r 1 Galvanic Oscillators and 2 SPARE Part Crates,,6,1,295337,295293,295337,295293
30,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Resistance - Honored|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt|n|cFFFFD200Cost:|r 5 Galvanic Oscillators and 10 SPARE Part Crates,,6,2,295364,295363,299345,299343
31,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Resistance - Revered|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt|n|cFFFFD200Cost:|r 8 Galvanic Oscillators and 20 SPARE Part Crates,,6,3,295352,295351,299347,299346
32,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Supplies|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt,,6,4,295358,295333,299347,299346
45,"Dragon Aspects|n|cFFFFD200Quest:|r ""MOTHER Knows Best""|n|cFFFFD200Questgiver:|r Magni Bronzebeard|n|cFFFFD200Location:|r Chamber of Heart",,12,1,295373,295365,295373,295365
46,"Dragon Aspects|n|cFFFFD200Heart Level:|r 54|n|cFFFFD200Quest:|r ""In Darkness, I Dream""|n|cFFFFD200Questgiver:|r Kalec|n|cFFFFD200Location:|r Chamber of Heart",,12,2,295377,295372,299349,299348
47,"Dragon Aspects|n|cFFFFD200Heart Level:|r 60|n|cFFFFD200Quest:|r ""Investigate the Highlands""|n|cFFFFD200Questgiver:|r Kalec|n|cFFFFD200Location:|r Chamber of Heart",,12,3,295379,295369,299353,299350
48,"Dragon Aspects|n|cFFFFD200Heart Level:|r 70|n|cFFFFD200Quest:|r ""A Bolt from the Blue""|n|cFFFFD200Questgiver:|r Kalec|n|cFFFFD200Location:|r Chamber of Heart",,12,4,295380,295381,299353,299350
49,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Resistance - Friendly|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt|n|cFFFFD200Cost:|r 1 Galvanic Oscillators and 2 SPARE Part Crates,,13,1,295746,295750,295746,295750
50,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Resistance - Honored|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt|n|cFFFFD200Cost:|r 5 Galvanic Oscillators and 10 SPARE Part Crates,,13,2,295747,295844,300015,300018
51,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Resistance - Revered|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt|n|cFFFFD200Cost:|r 8 Galvanic Oscillators and 20 SPARE Part Crates,,13,3,295748,295846,300016,300020
52,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Supplies|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt,,13,4,295749,295845,300016,300020
53,"The Eternal Palace Raid|n|cFFFFD200Combine:|r Aqueous Reliquary|n|cFFFFD200Drop:|r Radiance of Azshara, the Queen's Court or Queen Azshara",,14,1,295840,295834,295840,295834
54,"The Eternal Palace Raid|n|cFFFFD200Combine:|r Aqueous Reliquary|n|cFFFFD200Drop:|r Radiance of Azshara, the Queen's Court or Queen Azshara",,14,2,295841,295836,299355,299354
55,"The Eternal Palace Raid|n|cFFFFD200Combine:|r Aqueous Reliquary|n|cFFFFD200Drop:|r Radiance of Azshara, the Queen's Court or Queen Azshara",,14,3,295843,295837,299358,299357
56,The Eternal Palace Raid|n|cFFFFD200Drop:|r Queen Azshara - Mythic,,14,4,295892,295839,299358,299357
57,"War Mode|n|cFFFFD200Quest:|r ""Drowning the Horde""|n|cFFFFD200Questgiver:|r Crafticus Mindbender|n|cFFFFD200Location:|r Mezzamere","War Mode|n|cFFFFD200Quest:|r ""Drowning the Alliance""|n|cFFFFD200Questgiver:|r Dazzerian|n|cFFFFD200Location:|r Newhome",15,1,302731,302916,302731,302916
58,"War Mode|n|cFFFFD200Achievement:|r ""Fighting on Two Fronts""|n|cFFFFD200Vendor:|r Crafticus Mindbender|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 20 Nazjatar Battle Commendations","War Mode|n|cFFFFD200Achievement:|r ""Fighting on Two Fronts""|n|cFFFFD200Vendor:|r Dazzerian|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 20 Nazjatar Battle Commendations",15,2,302778,302957,302982,302984
59,War Mode|n|cFFFFD200Collect:|r Call to Arms Distinction|n|cFFFFD200Quest:|r Weekly Call to Arms|n|cFFFFD200Vendor:|r Crafticus Mindbender|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 10 Call to Arms Distinctions and 50 Nazjatar Battle Commendations,War Mode|n|cFFFFD200Collect:|r Call to Arms Distinction|n|cFFFFD200Quest:|r Weekly Call to Arms|n|cFFFFD200Vendor:|r Dazzerian|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 10 Call to Arms Distinctions and 50 Nazjatar Battle Commendations,15,3,302780,302961,302983,302985
60,"War Mode|n|cFFFFD200Achievement:|r ""Supplying the Assassins""|n|cFFFFD200Vendor:|r Crafticus Mindbender|n|cFFFFD200Location:|r Mezzamere","War Mode|n|cFFFFD200Achievement:|r ""Supplying the Assassins""|n|cFFFFD200Vendor:|r Dazzerian|n|cFFFFD200Location:|r Newhome",15,4,302910,302962,302983,302985
61,Horrific Visions of N'Zoth|n|cFFFFD200Drop:|r|nThrall or Alleria's Cursed Chests|n|cFFFFD200Location:|r Chamber of Heart,,16,1,296036,293030,296036,293030
62,Horrific Visions of N'Zoth|n|cFFFFD200Drop:|r|nCorrupted Chests from the Lost Areas|n|cFFFFD200Location:|r Chamber of Heart,,16,2,296038,296031,310425,310422
63,Horrific Visions of N'Zoth|n|cFFFFD200Combine:|r Spark of Unwavering Strength |n|cFFFFD200Drop:|r|nCorrupted Chests from the Corrupted and Lost Areas|n|cFFFFD200Location:|r Chamber of Heart,,16,3,296104,296032,310442,310426
64,Nazjatar|n|cFFFFD200Reputation:|r Ankoan - Friendly|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 10 Prismatic Manapearls,Nazjatar|n|cFFFFD200Reputation:|r Unshackled - Friendly|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 10 Prismatic Manapearls,17,1,296072,296050,296072,296050
65,Nazjatar|n|cFFFFD200Reputation:|r Ankoan - Honored|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 25 Prismatic Manapearls,Nazjatar|n|cFFFFD200Reputation:|r Unshackled - Honored|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 25 Prismatic Manapearls,17,2,296074,296067,299875,299878
66,Nazjatar|n|cFFFFD200Reputation:|r Ankoan - Revered|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 50 Prismatic Manapearls,Nazjatar|n|cFFFFD200Reputation:|r Unshackled - Revered|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 50 Prismatic Manapearls,17,3,296075,296062,299876,299879
67,"Battlegrounds|n|cFFFFD200Quest:|r ""Storming the Battlefields""|n|cFFFFD200Turn-In NPC:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus","Battlegrounds|n|cFFFFD200Quest:|r ""Storming the Battlefields""|n|cFFFFD200Turn-In NPC:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala",18,1,296094,296081,296094,296081
68,"Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Brawler""|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus|n|cFFFFD200Cost:|r 25 Mark of Honor","Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Brawler""|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala|n|cFFFFD200Cost:|r 25 Mark of Honor",18,2,296102,296091,299882,299885
69,"Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Tactician""|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus|n|cFFFFD200Cost:|r 25 Mark of Honor","Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Tactician""|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala|n|cFFFFD200Cost:|r 25 Mark of Honor",18,3,296103,296089,299883,299887
70,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Resistance - Friendly|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt|n|cFFFFD200Cost:|r 1 Galvanic Oscillators and 2 SPARE Part Crates,,19,1,296197,296136,296197,296136
71,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Resistance - Honored|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt|n|cFFFFD200Cost:|r 5 Galvanic Oscillators and 10 SPARE Part Crates,,19,2,296200,296192,299932,299935
72,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Resistance - Revered|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt|n|cFFFFD200Cost:|r 8 Galvanic Oscillators and 20 SPARE Part Crates,,19,3,296201,296193,299933,299936
73,Mythic Dungeons|n|cFFFFD200Combine:|r Focused Life Anima|n|cFFFFD200Drop:|r Dungeon End Bosses,,20,1,293032,296207,293032,296207
74,Mythic Dungeons|n|cFFFFD200Combine:|r Focused Life Anima|n|cFFFFD200Drop:|r Dungeon End Bosses,,20,2,296220,296213,299943,299939
75,Mythic Dungeons|n|cFFFFD200Combine:|r Focused Life Anima|n|cFFFFD200Drop:|r Dungeon End Bosses,,20,3,296221,296214,299944,299940
76,"The Eternal Palace Raid|n|cFFFFD200Combine:|r Aqueous Reliquary|n|cFFFFD200Drop:|r Radiance of Azshara, the Queen's Court or Queen Azshara",,21,1,296230,303448,296230,303448
77,"The Eternal Palace Raid|n|cFFFFD200Combine:|r Aqueous Reliquary|n|cFFFFD200Drop:|r Radiance of Azshara, the Queen's Court or Queen Azshara",,21,2,303472,303463,299958,303474
78,"The Eternal Palace Raid|n|cFFFFD200Combine:|r Aqueous Reliquary|n|cFFFFD200Drop:|r Radiance of Azshara, the Queen's Court or Queen Azshara",,21,3,296232,303460,299959,303476
79,Operation: Mechagon|n|cFFFFD200Drop:|r King Mechagon,,22,1,296325,296320,296325,296320
80,Operation: Mechagon|n|cFFFFD200Tinkering:|r Perfectly Timed Differential Blueprint|n|cFFFFD200Drop:|r King Mechagon,,22,2,296326,296321,299368,299367
81,Operation: Mechagon|n|cFFFFD200Combine:|r Progression Sprockets|n|cFFFFD200Drop:|r King Mechagon,,22,3,303342,296322,299370,299369
82,"Operation: Mechagon (Mythic)|n|cFFFFD200Achievement:|r ""Hertz Locker""|n|cFFFFD200Gossip:|r Prince Erazmin|n|cFFFFD200Location:|r Rustbolt",,22,4,296328,296324,299370,299369
83,"Battlegrounds|n|cFFFFD200Quest:|r ""Storming the Battlefields""|n|cFFFFD200Turn-In NPC:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus","Battlegrounds|n|cFFFFD200Quest:|r ""Storming the Battlefields""|n|cFFFFD200Turn-In NPC:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala",23,1,297108,297147,297108,297147
84,"Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Brawler""|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus|n|cFFFFD200Cost:|r 25 Mark of Honor","Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Brawler""|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala|n|cFFFFD200Cost:|r 25 Mark of Honor",23,2,297120,297177,298273,298274
85,"Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Tactician""|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus|n|cFFFFD200Cost:|r 25 Mark of Honor","Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Tactician""|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala|n|cFFFFD200Cost:|r 25 Mark of Honor",23,3,297122,297178,298277,298275
89,"Vale of Eternal Blossoms |n|cFFFFD200Quest chain begins with:|r|n""It's Never Easy"" |n|cFFFFD200Quest chain ends with:|r|n""Restored Hope""|n|cFFFFD200Questgiver:|r Magni Bronzebeard|n|cFFFFD200Location:|r Chamber of Heart",,24,1,297375,297411,297375,297411
90,Vale of Eternal Blossoms |n|cFFFFD200Combine:|r Breath of Everlasting Spirit |n|cFFFFD200Quest:|r|nFirst of the week Vision of Darkness Daily |n|cFFFFD200Questgiver:|r Darktalon Agent |n|cFFFFD200Location:|r|nNear Visions of Darkness Portals in Uldum or Vale of Eternal Blossoms,,24,2,297546,297542,298309,298302
91,Vale of Eternal Blossoms|n|cFFFFD200Reputation:|r Rajani - Revered|n|cFFFFD200Vendor:|r Zhang Ku|n|cFFFFD200Location:|r Silent Sanctuary|n|cFFFFD200Cost:|r 50 Corrupted Mementos,,24,3,297547,297544,298312,298304
96,Nazjatar|n|cFFFFD200Reputation:|r Ankoan - Friendly|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 10 Prismatic Manapearls,Nazjatar|n|cFFFFD200Reputation:|r Unshackled - Friendly|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 10 Prismatic Manapearls,25,1,298168,298193,298168,298193
97,Nazjatar|n|cFFFFD200Reputation:|r Ankoan - Honored|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 25 Prismatic Manapearls,Nazjatar|n|cFFFFD200Reputation:|r Unshackled - Honored|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 25 Prismatic Manapearls,25,2,298169,298351,299273,299274
98,Nazjatar|n|cFFFFD200Reputation:|r Ankoan - Revered|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 50 Prismatic Manapearls,Nazjatar|n|cFFFFD200Reputation:|r Unshackled - Revered|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 50 Prismatic Manapearls,25,3,298174,298352,299275,299277
99,"Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Master""|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus","Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Master""|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala",23,4,298182,298183,298277,298275
100,Vale of Eternal Blossoms |n|cFFFFD200Reputation:|r Rajani Supplies|n|cFFFFD200Vendor:|r Zhang Ku |n|cFFFFD200Location:|r Silent Sanctuary,,24,4,298184,298185,298312,298304
101,Nazjatar|n|cFFFFD200Reputation:|r Ankoan Supplies|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere,Nazjatar|n|cFFFFD200Reputation:|r Unshackled Supplies|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome,25,4,298186,298353,299275,299277
102,"Nazjatar|n|cFFFFD200Quest:|r ""A Brief Respite""|n|cFFFFD200Questgiver:|r Lady Jaina Proudmoore|n|cFFFFD200Location:|r Mezzamere","Nazjatar|n|cFFFFD200Quest:|r ""Down into Nazjatar""|n|cFFFFD200Questgiver:|r Lor'themar Theron|n|cFFFFD200Location:|r Newhome",27,1,298357,298268,298357,298268
103,"Nazjatar|n|cFFFFD200Quest:|r ""Friends In Need""|n|cFFFFD200Questgiver:|r Lady Jaina Proudmoore|n|cFFFFD200Location:|r Mezzamere","Nazjatar|n|cFFFFD200Quest:|r ""Down But Not Out""|n|cFFFFD200Questgiver:|r Lor'themar The'ron|n|cFFFFD200Location:|r Newhome",27,2,298376,298337,299372,299371
104,"Nazjatar|n|cFFFFD200Achievement:|r ""Nautical Battlefield Training""|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 50 Prismatic Manapearls","Nazjatar|n|cFFFFD200Achievement:|r ""Nautical Battlefield Training""|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 50 Prismatic Manapearls",27,3,298377,298339,299374,299373
105,"Nazjatar|n|cFFFFD200Achievement:|r ""Aqua Team Murder Force""|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere","Nazjatar|n|cFFFFD200Achievement:|r ""Aqua Team Murder Force""|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome",27,4,298405,298404,299374,299373
106,Nazjatar|n|cFFFFD200Reputation:|r Ankoan - Friendly|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 10 Prismatic Manapearls,Nazjatar|n|cFFFFD200Reputation:|r Unshackled - Friendly|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 10 Prismatic Manapearls,28,1,298452,298407,298452,298407
107,Nazjatar|n|cFFFFD200Reputation:|r Ankoan - Honored|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 25 Prismatic Manapearls,Nazjatar|n|cFFFFD200Reputation:|r Unshackled - Honored|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 25 Prismatic Manapearls,28,2,298455,298448,299376,299375
108,Nazjatar|n|cFFFFD200Reputation:|r Ankoan - Revered|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere|n|cFFFFD200Cost:|r 50 Prismatic Manapearls,Nazjatar|n|cFFFFD200Reputation:|r Unshackled - Revered|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome|n|cFFFFD200Cost:|r 50 Prismatic Manapearls,28,3,298456,298449,299378,299377
109,Nazjatar|n|cFFFFD200Reputation:|r Ankoan Supplies|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere,Nazjatar|n|cFFFFD200Reputation:|r Unshackled Supplies|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome,28,4,298457,298450,299378,299377
110,"Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Master""|n|cFFFFD200Vendor:|r Marshal Gabriel|n|cFFFFD200Location:|r Ashvane Docks, Boralus","Battlegrounds|n|cFFFFD200Achievement:|r ""Battlefield Master""|n|cFFFFD200Vendor:|r Xander Silberman|n|cFFFFD200Location:|r Mugambala",18,4,299518,299519,299883,299887
111,"Mythic + Dungeons|n|cFFFFD200Season:|r 3 or Later|n|cFFFFD200Achievement:|r ""Battle for Azeroth Keystone Master""|n|cFFFFD200Vendor:|r Thaumaturge Vashreen|n|cFFFFD200Location:|r Tradewinds Market in Boralus","Mythic + Dungeons|n|cFFFFD200Season:|r 3 or Later|n|cFFFFD200Achievement:|r ""Battle for Azeroth Keystone Master""|n|cFFFFD200Vendor:|r Thaumaturge Vashreen|n|cFFFFD200Location:|r Grand Bazzar in Dazar'alor",20,4,299520,299521,299944,299940
112,Nazjatar|n|cFFFFD200Reputation:|r Ankoan Supplies|n|cFFFFD200Vendor:|r Speaker Utia|n|cFFFFD200Location:|r Mezzamere,Nazjatar|n|cFFFFD200Reputation:|r Unshackled Supplies|n|cFFFFD200Vendor:|r Atolia Seapearl|n|cFFFFD200Location:|r Newhome,17,4,299522,299523,299876,299879
113,Mechagon|n|cFFFFD200Reputation:|r Rustbolt Supplies|n|cFFFFD200Vendor:|r Stolen Royal Vendorbot|n|cFFFFD200Location:|r Rustbolt,,19,4,299529,299530,299933,299936
