ID,Region,Looping,HolidayNameID,HolidayDescriptionID,Priority,CalendarFilterType,Flags,Duration[0],Duration[1],Duration[2],Duration[3],Duration[4],Duration[5],Duration[6],Duration[7],Duration[8],Duration[9],Date[0],Date[1],Date[2],Date[3],Date[4],Date[5],Date[6],Date[7],Date[8],Date[9],Date[10],Date[11],Date[12],Date[13],Date[14],Date[15],Date[16],Date[17],Date[18],Date[19],Date[20],Date[21],Date[22],Date[23],Date[24],Date[25],CalendarFlags[0],CalendarFlags[1],CalendarFlags[2],CalendarFlags[3],CalendarFlags[4],CalendarFlags[5],CalendarFlags[6],CalendarFlags[7],CalendarFlags[8],CalendarFlags[9],TextureFileDataID[0],TextureFileDataID[1],TextureFileDataID[2]
284,0,0,25,25,0,2,1,100,0,0,0,0,0,0,0,0,0,419477504,419821568,420706304,421640192,421984256,422868992,423770112,424114176,424998912,425900032,426784768,427128832,428013568,428914688,429258752,430143488,431044608,431388672,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,23,23,0,2,1,100,0,0,0,0,0,0,0,0,0,414513152,419592192,419936256,420820992,421754880,422639616,422983680,423884800,424769536,425113600,426014720,426899456,427243520,428128256,429029376,429373440,430258176,431159296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,6,4,0,0,1,2,0,0,0,0,0,0,0,0,0,536855424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235458,0,0
321,0,0,17,16,2,3,1,168,0,0,0,0,0,0,0,0,0,327301120,344389632,361035776,377567232,394688512,411252736,428898304,444938880,461552256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235465,235464,235463
324,0,0,16,15,3,3,1,360,0,0,0,0,0,0,0,0,0,529824000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235462,235461,235460
327,0,0,18,17,3,3,1,336,0,0,0,0,0,0,0,0,0,101104000,118749568,135346560,151386496,169015680,185612672,201668992,219281792,335935872,353450368,369588608,386201984,403749248,419887488,437516928,454064768,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235471,235470,235469
335,0,0,9,9,2,3,1,120,0,0,0,0,0,0,0,0,0,521320832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235468,235467,235466
341,0,0,11,10,2,3,1,336,0,0,0,0,0,0,0,0,0,525678848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235474,235473,235472
1840,0,1,462,512,0,2,1,168,336,0,0,0,0,0,0,0,0,439695872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1841,0,1,23,23,0,2,1,168,336,0,0,0,0,0,0,0,0,439810560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1842,0,1,25,25,0,2,1,168,336,0,0,0,0,0,0,0,0,440482304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1879,0,0,0,13,75,3,3,1464,0,0,0,0,0,0,0,0,0,530823552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235485,235484,235482
