ID,ContainerName_lang,ContainerDescription_lang,MinAmount,MaxAmount,ContainerIconID,ContainerQuality,OnLootSpellVisualKitID,CurrencyTypeID
146,Order of Embers Commendation,Awards %d reputation with the Order of Embers.,200,1000000,2065572,3,0,1592
147,Proudmoore Admiralty Commendation,Awards %d reputation with the Proudmoore Admiralty.,200,1000000,2065573,3,0,1593
148,Storm's Wake Commendation,Awards %d reputation with Storm's Wake.,200,1000000,2065574,3,0,1594
149,Tortollan Seekers Commendation,Awards %d reputation with the Tortollan Seekers.,300,1000000,2065576,3,0,1598
150,Zandalari Empire Commendation,Awards %d reputation with the Zandalari Empire.,200,1000000,2065579,3,0,1597
151,Talanji's Expedition Commendation,Awards %d reputation with Talanji's Expedition.,200,1000000,2065575,3,0,1595
152,Voldunai Commendation,Awards %d reputation with the Voldunai.,200,1000000,2065577,3,0,1596
155,Ascended Commendation,Awards %d reputation with the Ascended.,1,1000000,3257748,3,0,1804
156,Undying Army Commendation,Awards %d reputation with the Undying Army.,1,1000000,3492310,3,0,1805
157,Wild Hunt Commendation,Awards %d reputation with the Wild Hunt.,1,1000000,3575389,3,0,1806
158,Court of Harvesters Commendation,Awards %d reputation with the Court of Harvesters.,1,1000000,3514227,3,0,1807
159,Emblem of Renown,Increases your Renown with your Covenant by %d.,0,0,3726261,5,0,1822
160,Ember Court Prestige,Increases the reputation of The Ember Court by %d.,1,1000000,3641397,3,0,1837
161,The Countess' Perfumed Thank You Letter,Increases your friendship with The Countess by %d.,1,1000000,1505932,3,0,1838
162,Rendle's Hastily Scrawled Thank You Note,Increases your friendship with Rendle and Cudgelface by %d.,1,1000000,1505955,3,0,1839
163,Parchment with a Large Thumbprint of Approval,Increases your friendship with Stonehead by %d.,1,1000000,1505957,3,0,1840
164,Kassir's 10 Theses on Party Enjoyment,Increases your friendship with Cryptkeeper Kassir by %d.,1,1000000,134331,3,0,1841
165,The Baroness Vashj's Official Thank You Card,Increases your friendship with Baroness Vashj by %d.,1,1000000,133472,3,0,1842
166,Mograine's Tactful and Succinct Thank You,Increases your friendship with Alexandros Mograine by %d.,1,1000000,133473,3,0,1845
167,Thank You Note on the Back of a Bet Ticket,Increases your friendship with Grandmaster Vole by %d.,1,1000000,134329,3,0,1844
168,Slime Soaked Thank You Note,Increases your friendship with Plague Deviser Marileth by %d.,1,1000000,237246,3,0,1843
169,A Gushing Thank You on Formal Parchment,Increases your friendship with Sika by %d.,1,1000000,1505958,3,0,1846
170,Pelegos' Thoughtful Thank You Note,Increases your friendship with Kleia and Pelegos by %d.,1,1000000,1505933,3,0,1847
171,A Stiff and Formal Thank You,Increases your friendship with Polemarch Adrestes by %d.,1,1000000,1505935,3,0,1848
172,A Thank You Scribbled on the back of a Half Finished Blueprint,Increases your friendship with Mikanikos by %d.,1,1000000,134330,3,0,1849
173,Choofa's Glowing Acorn,Increases your friendship with Choofa by %d.,1,1000000,1052644,3,0,1850
174,Claw Carved Thank You,Increases your friendship with Droman Aliothe by %d.,1,1000000,442743,3,0,1851
175,A Thank You Dispatch from the Hunt-Captain,Increases your friendship with Hunt-Captain Korayn by %d.,1,1000000,237247,3,0,1852
176,An Enchanted Thank You Note,Increases your friendship with Lady Moonberry by %d.,1,1000000,237249,3,0,1853
182,Bonus Experience,Provides a significant increase to player experience.,1,9999999,1001982,3,0,1877
183,Stitchmasters' Commendation,Awards %d reputation with the Stitchmasters.,1,1000000,3622121,3,0,1878
184,Sinstone Research,Increases your reputation with the Avowed by %d.,1,1000000,1506458,3,0,1884
185,Maw Survivalist's Token,Increases your reputation with Ve'nari by %d.,1,1000000,1362656,3,0,1880
186,Death's Advance Commendation,Awards %d reputation with the Death's Advance.,1,1000000,4064729,3,0,1907
188,Archivists' Codex Volume,Increases your progress on the Archivists' Codex by %d.,1,1000000,442732,3,0,1997
189,Commendation of the Enlightened,Awards %d reputation with The Enlightened.,1,1000000,4226232,3,0,1982
190,Dragon Isles Supply Cache,Contains %d valuable supplies used in trade with the factions of the Dragon Isles.,25,0,1518638,3,0,2003
191,Iskaara Tuskarr Commendation,Awards %d reputation with the Iskaara Tuskarr.,1,1000000,4687629,3,0,2109
192,Dragonscale Expedition Commendation,Awards %d reputation with the Dragonscale Expedition.,1,1000000,4687628,3,0,2031
193,Valdrakken Accord Commendation,Awards %d reputation with the Valdrakken Accord.,1,1000000,4687630,3,0,2106
194,Maruuk Centaur Commendation,Awards %d reputation with the Maruuk Centaur.,1,1000000,4687627,3,0,2108
195,Cobalt Assembly Major Arcana,Awards %d reputation with the Cobalt Assembly.,26,1000000,132860,3,0,2134
196,Cobalt Assembly Moderate Arcana,Awards %d reputation with the Cobalt Assembly.,10,25,132841,2,0,2134
197,Cobalt Assembly Minor Arcana,Awards %d reputation with the Cobalt Assembly.,1,9,237551,1,0,2134
198,Loamm Niffen Commendation,Awards %d reputation with the Loamm Niffen.,1,1000000,5140835,3,0,2420
