Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
Locate Jaina in the Mana Bomb crater.,The Lady Proudmoore,217,71,27467,0,0,0,3,0,0,0
Find Scholar Shue.,The Lorewalker's Fate,224,68,27622,0,0,0,0,0,0,0
Find the entrance to the Saurok Cave.,We Ride!,367,179,30884,0,0,0,1,0,0,0
Defeat the Saurok guarding the cave.,Guards!,368,179,30568,0,0,0,2,0,0,0
Find the source of the Saurok.,The Source,369,179,30948,0,0,0,4,0,0,0
Defeat Broodmaster Noshi.,The Broodmaster,370,179,30570,0,0,0,5,0,0,0
Fend off the Kor'kron ambush.,Ambush!,371,179,30572,0,0,0,7,0,0,0
Destroy the orbs of protection and make your way into the fortress.,Infiltrate the Ancient Fortress,372,180,30566,0,0,0,0,0,0,0
Grab as much treasure as you can before the titan construct is released.,Stealing for Profit,373,180,0,0,0,0,1,0,0,0
Launch an assault on the island of Zan'vess.,Assault on Zan'vess,374,181,30957,0,0,0,0,0,0,0
Destroy the Sonic Towers and deactivate the Zan'vess Defense Shield.,Defenses of Zan'vess,375,181,30959,0,0,0,1,0,0,0
Storm the beach and reach the Heart of Zan'vess.,The Heart of Zan'vess,376,181,30966,0,0,0,2,0,0,0
Defeat Admiral Hagman.,Defeat the Admiral!,377,182,30733,0,0,0,3,0,0,0
Protect the Ship!  Defeat the Horde Boarding party.,Boarding Party!,378,182,30721,0,0,0,0,0,0,0
Plant explosives on the Horde Ship to destroy it!,To Smithereens!,379,182,30723,0,0,0,2,0,0,0
Speak with Vol'jin to begin the search for the Saurok cave.,The Mission...,382,179,30886,0,0,0,0,0,0,0
Make your way deeper into the cave.,Into the Cave,383,179,30939,0,0,0,3,0,0,0
Investigate the Mogu Statues.,Investigation,384,179,30950,0,0,0,6,0,0,0
Join up with Daggin Windbeard.,The Flight Master,386,184,31196,0,0,0,0,0,0,0
Defeat Commander Tel'vrak and retrieve the Mantid weapon cache.,Weapons of Zan'vess,387,181,30964,0,0,0,3,0,0,0
Assist the two groups of laborers in the construction of their defenses.,Prepare the Defenses,398,183,30997,0,0,0,0,0,0,0
Avoid the guards and enter the Sanctuary of Shadows.,Enter the Black Temple,408,200,31008,0,0,0,0,0,0,0
Find the Council of the Black Harvest's trail.,Search for signs of the Council's Presence,409,200,31010,0,0,0,1,0,0,0
Walk with Akama to the Shrine of Lost Souls.,Follow Akama to the Shrine of Lost Souls,410,200,31012,0,0,0,2,0,0,0
Defeat Commander Scargash and reclaim the Temple of the Red Crane.,Kill Commander Scargash,412,183,31192,0,0,0,1,0,0,0
Investigate the Shrine of Lost Souls.,Uncover the Council's Plan,413,200,31019,0,0,0,3,0,0,0
Claim the soul crystal left behind by the Council of the Black Harvest.,Defeat the Essence of Order,414,200,31017,0,0,0,4,0,0,0
Fight off the demons unleashed by the Reliquary and return to Akama in the Halls of Anguish.,Escape the Shrine of Lost Souls,415,200,31021,0,0,0,5,0,0,0
Grab as much treasure as you can before time runs out.,Plunder the Den of Mortal Delights,416,200,31023,0,0,0,6,0,0,0
Take the Empowered Soulcore to the Temple Summit.,Head to the Temple Summit,417,200,31034,0,0,0,7,0,0,0
Fight your way through the docks to Admiral Taylor.,Death on the Docks,419,184,31202,0,0,0,1,0,0,0
Defeat the Horde forces assaulting the keep.,Reclaim the Court!,420,184,31283,0,0,0,2,0,0,0
Gather information from the SI:7 team.,Legwork,423,184,31296,0,0,0,4,0,0,0
Hold the keep against waves of Horde invaders and their commander.,Hold the Line!,424,184,31291,0,0,0,6,0,0,0
Launch an assault on the island of Zan'vess.,Assault on Zan'vess,430,203,31227,0,0,0,0,0,0,0
Destroy the Sonic Towers and deactivate the Zan'vess Defense Shield.,Defenses of Zan'vess,431,203,31229,0,0,0,1,0,0,0
Storm the beach and reach the Heart of Zan'vess.,The Heart of Zan'vess,432,203,31233,0,0,0,2,0,0,0
Defeat Commander Tel'vrak and retrieve the Mantid weapon cache.,Weapons of Zan'vess,433,203,31236,0,0,0,3,0,0,0
Locate High Marshal Twinbraid and help repel the Horde assault.,The High Marshal,434,184,31288,0,0,0,3,0,0,0
Set up Sully's weapons and prepare to defend the keep!,Setting Up,435,184,31300,0,0,0,5,0,0,0
Join up with Kromthar.,The Flight Master,436,201,31475,0,0,0,0,0,0,0
Fight your way through the burning refinery to General Nazgrim.,A.C.E.s High,437,201,31477,0,0,0,1,0,0,0
Defeat the Alliance forces assaulting the keep.,Reclaim the Court!,438,201,31479,0,0,0,2,0,0,0
Locate Warlord Bloodhilt and help repel the Alliance assault.,The Warlord,439,201,31483,0,0,0,3,0,0,0
Gather information about the Alliance and Horde forces.,Legwork,440,201,31486,0,0,0,4,0,0,0
Set up Rivett's weapons and prepare to defend the keep!,Setting Up,441,201,31490,0,0,0,5,0,0,0
Hold the gate against waves of Alliance invaders and their commander.,Hold the Line!,442,201,31494,0,0,0,6,0,0,0
Ride Thunderwing to scout Stormsea Landing from the air.,Blending In,443,205,31682,0,0,0,0,0,0,0
Drop smoke bombs on sentry totems to deactivate them.,Path of Smoke,444,205,31684,0,0,0,1,0,0,0
Knock Out the crew members marked by Taoshi and sneak to the siege weapons at the front of the ship.,Shadows in the Storm,445,205,31686,0,0,0,2,0,0,0
Sneak across the shipyard and up the hill to reach Hu'seng the Gatekeeper.,Keep Quiet,446,205,31689,0,0,0,4,0,0,0
Slay Hu'seng the Gatekeeper and recover his key.,Light Up the Night,447,205,31691,0,0,0,5,0,0,0
Mount the Sunreaver Bloodhawk and fly with Scout Captain Elsia over the island.,Rendezvous with Scout Captain Elsia,448,206,31670,0,0,0,0,0,0,0
,Survive the Ambush,449,206,31672,0,0,0,1,0,0,0
,Destroy the Barricades,450,206,31674,0,0,0,2,0,0,0
,Kill Kresh the Ripper,451,206,31676,0,0,0,3,0,0,0
,Kill Arcanital Tula'chek and his Spirit Mask,452,206,31679,0,0,0,4,0,0,0
Mount your Thunderwing!,Taking Off...,453,207,31693,0,0,0,0,0,0,0
The Zandalari have spotted you! Defeat your attackers!,Intercepted!,454,207,31695,0,0,0,1,0,0,0
Horaki has knocked you from your mount! Defeat him!,Master the Beastmaster,455,207,31697,0,0,0,2,0,0,0
"Meet up with Taoshi, your Shado-Pan Contact.",Into the Mines,456,207,31830,0,0,0,3,0,0,0
"Cover Taoshi while she deactivates the lock on the mine door, and defeat Slavemaster Shiaxu.",Cover Me!,458,207,31703,0,0,0,5,0,0,0
Work with your allies to assault Bloodied Crossing.,Bloodied Crossing,460,208,31844,0,0,0,0,0,0,0
Defeat Shan Bu's Mogu and Zandalari defenders.,The Foot of Lei Shen,465,208,31718,0,0,0,2,0,0,0
Defeat the Palace Gatekeepers to unlock the gates.,Destroy the Gatekeepers,472,208,31710,0,0,0,1,0,0,0
Acquire the Heavy Explosives.,Find Lost Explosives,473,204,31833,0,0,0,0,0,0,0
Light the fuse on the Heavy Explosives.,Detonate Explosives,474,204,31839,0,0,0,2,0,0,0
,Kill War-God Al'chukla,475,204,31837,0,0,0,3,0,0,0
Acquire the Heavy Explosives.,Find Lost Explosives,476,209,31746,0,0,0,0,0,0,0
Light the fuse on the Heavy Explosives.,Detonate Explosives,477,209,31768,0,0,0,2,0,0,0
,Kill War-God Al'chukla,478,209,31804,0,0,0,3,0,0,0
Speak to Elsia at the city wall.,Deliver Explosives,479,209,31765,0,0,0,1,0,0,0
Speak with Vereesa at the city wall.,Deliver Explosives,480,204,31835,0,0,0,1,0,0,0
Assist Taran Zhu and Yalia in bringing down Shan Bu.,Defeat Shan Bu,482,208,31723,0,0,0,3,0,0,0
Head below decks and assassinate Captain Halu'kal.,Wetwork,483,205,31806,0,0,0,3,0,0,0
Defend Wrathion while the Thunder Forge charges.,Charging Up,484,211,31810,0,0,0,2,0,0,0
Defend the Celestial Blacksmith while it forges the Lightning Lance.,Corruption Detected,485,211,31812,0,0,0,4,0,0,0
Defeat the Sha Amalgamation assaulting the Thunder Forge.,Manifested Corruption,486,211,31814,0,0,0,5,0,0,0
Make your way to the mine's main door.,What's Yours is Mine!,487,207,31841,0,0,0,4,0,0,0
Speak with Wrathion to figure out how to activate the Thunder Forge.,Speak with Wrathion,490,211,31856,0,0,0,0,0,0,0
"Place the Empowered Soulcore in the Demonic Soulwell, and defeat Kanrethad.",Defeat Kanrethad,491,200,31858,0,0,0,8,0,0,0
Pour the trillium into the molds and begin charging the Thunder Forge.,Forged from Trillium,492,211,31923,0,0,0,1,0,0,0
Mount the Silver Covenant Hippogryph and fly with Ranger General Vereesa Windrunner over the island.,Rendezvous with Ranger General Vereesa Windrunner,493,212,31925,0,0,0,0,0,0,0
,Survive the Ambush,494,212,31928,0,0,0,1,0,0,0
,Destroy the Barricades,495,212,31930,0,0,0,2,0,0,0
,Kill Anki and Beastcaller Pakutesh,496,212,31932,0,0,0,3,0,0,0
,Kill Arcanital Mara'kah and his Spirit Mask,497,212,31934,0,0,0,4,0,0,0
Use the Gatekeeper's Orb to open the gate to the Bloodied Crossing.,Breaking Out,498,205,31937,0,0,0,6,0,0,0
You will only have a limited amount of time to gather as much treasure as you can.  Speak to Taoshi when you're ready to begin.,Speak to Taoshi,508,215,31993,0,0,0,0,0,0,0
Talk to Wrathion to start the Thunder Forge,Into the Forge,509,211,32142,0,0,0,3,0,0,0
Grab as much treasure as you can and reach the exit before the timer expires.,Reach the Exit,510,215,32158,0,0,0,1,0,0,0
Speak with Grizzle Gearslip.,Talk to the Boss,511,216,32592,0,0,0,0,0,0,0
Breach the main chamber and stop the abductions.,Infiltration,514,219,32524,0,0,0,0,0,0,0
Investigate the main chamber.,Reconnaissance,515,219,32588,0,0,0,1,0,0,0
Help Ticker build a device to open the next gate.,The Sealed Gate,516,219,32589,0,0,0,2,0,0,0
Defend the Gob Squad while Patch establishes an escape route.,Holdout,533,219,32590,0,0,0,3,0,0,0
Destroy the greater elemental ravaging the Big Blossom Excavation site.,Rock Grinding,535,216,32594,0,0,0,1,0,0,0
Collect artifacts for Gearslip while his workers clear the mine entrance.,Economic Recovery,536,216,32596,0,0,0,2,0,0,0
Travel deep into the Big Blossom Mine and blast open the wall.,End of the Mine,537,216,32598,0,0,0,3,0,0,0
Destroy the Echo of Y'Shaarj.,Heartbreak,538,216,32637,0,0,0,4,0,0,0
Contact the Dark Iron Mountaineers atop Shimmer Ridge and find a way to stop the storm.,The Mountaineers,539,210,32623,0,0,0,0,0,0,0
Free Scout Stonebeard from the trolls' roasting spit.,Save Scout Stonebeard,540,210,32644,0,0,0,1,0,0,0
Slay the trolls trying to cook Scout Boldbrew.,Save Scout Boldbrew,541,210,32648,0,0,0,2,0,0,0
Slay the trolls about to sacrifice Scout Forgefellow.,Save Scout Forgefellow,542,210,32650,0,0,0,3,0,0,0
Slay the elemental spirit in the ice cave to end the snowstorm.,The Cold Cave,543,210,32652,0,0,0,4,0,0,0
"Join Moira's forces, slay the Zandalari leader, and capture the Frostmane village.",Victory or Death,544,210,32654,0,0,0,5,0,0,0
Steal Explosives from enemy Demolitionists.,Explosives Acquisition,545,182,32657,0,0,0,1,0,0,0
Speak to Rotun to begin a trial.,Select a Trial,550,237,33998,0,0,0,0,0,0,0
Complete the Bonus Objective to receive bonus Valor.,Bonus Objective,551,210,32743,32898,0,0,6,1,0,0
Protect the Ship!  Defeat the Alliance Boarding party.,Boarding Party!,556,239,32774,0,0,0,0,0,0,0
Steal Explosives from enemy Demolitionists.,Explosives Acquisition,557,239,32776,0,0,0,1,0,0,0
Plant explosives on the Alliance Ship to destroy it!,To Smithereens!,558,239,32778,0,0,0,2,0,0,0
Defeat Admiral Hodgson.,Defeat the Admiral!,559,239,32781,0,0,0,3,0,0,0
Complete the Bonus Objective to receive bonus Valor.,Bonus Objectives,560,182,32791,32898,0,0,4,1,0,0
Complete all Bonus Objectives to receive bonus Valor.,Bonus Objectives,561,219,32799,32898,0,0,4,1,0,0
Complete the Bonus Objective to receive bonus Valor.,Bonus Objective,565,65,32818,32898,0,0,3,1,0,0
Complete the Bonus Objective to receive bonus Valor.,Bonus Objective,566,39,32821,32898,0,0,4,1,0,0
Complete the Bonus Objective to receive bonus Valor.,Bonus Objectives,567,216,32831,32898,0,0,5,1,0,0
Complete the Bonus Objective to receive bonus Valor.,Bonus Objectives,580,239,32857,32898,0,0,4,1,0,0
Step 1 description.,Step 1,587,247,32959,0,0,0,0,0,0,0
Step 2 description.,Step 2,593,247,32961,0,0,0,1,0,0,0
Step 3 description.,Step 3,594,247,32963,0,0,0,2,0,0,0
Step 4 description.,Step 4,595,247,32965,0,0,0,3,0,0,0
Step 5 description.,Step 5,596,247,32967,0,0,0,4,0,0,0
Step 6 description.,Step 6,597,247,32969,0,0,0,5,0,0,0
The trial is about to begin.,Get Ready...,598,248,32993,0,0,0,0,0,0,0
,Proving Grounds,599,248,33951,0,0,0,1,0,0,0
Stage #2 - Kill,Test Stage 2,607,254,0,0,0,0,2,0,0,0
Stage #1,Test Stage 1,608,254,0,0,0,0,1,0,0,0
Destroy the abomination that haunts the Black Ox Temple.,He Who Has No Life,615,256,33244,0,0,0,0,0,0,0
Stage 0,Test Stage 0,616,254,0,0,0,0,0,0,0,0
Defeat three champions of Pandaria in a pet battle.,Champions of Pandaria,620,257,33302,0,0,0,0,0,0,0
Defeat each of the Celestials in a pet battle.,Celestial Combat,621,257,33331,0,0,0,1,0,0,0
Seat and serve the customers as they show up. Don't let 5 patrons get away without being served.,Noodle Time,637,269,33600,0,0,0,1,0,0,0
Learn how to run the noodle stand.,Tutorial,647,269,33924,0,0,0,0,0,0,0
Seat and serve the customers as they show up. Don't let 5 patrons get away without being served.,Noodle Time,652,278,33926,0,0,0,0,0,0,0
"Get a score of at least 30,000",Bonus: Go for the Gold!,653,278,33928,0,0,0,1,1,0,0
