ID,AcceptURL,PromotionID,LocaleID,AdTexture,LogoTexture,AcceptButtonTexture,DeclineButtonTexture
492,http://esES.nydus.battle.net/WOW/esES/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,133,7,656468,656523,656525,656524
493,http://frFR.nydus.battle.net/WOW/frFR/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,133,4,656478,656530,656529,656528
494,http://ruRU.nydus.battle.net/WOW/ruRU/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,133,13,656502,656540,656539,656538
495,http://itIT.nydus.battle.net/WOW/itIT/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,133,15,656484,656533,656532,656531
496,http://ptPT.nydus.battle.net/WOW/ptPT/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,133,14,656496,656523,656537,656536
497,http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s,134,-1,656462,656523,656522,656521
498,http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s,134,1,656462,656523,656522,656521
499,http://ptBR.nydus.battle.net/WOW/ptBR/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s,134,14,656490,656523,656535,656534
500,http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,135,5,656453,656523,656520,656519
501,http://esES.nydus.battle.net/WOW/esES/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,135,7,656471,656523,656525,656524
502,http://frFR.nydus.battle.net/WOW/frFR/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,135,4,656481,656530,656529,656528
503,http://ruRU.nydus.battle.net/WOW/ruRU/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,135,13,656505,656540,656539,656538
504,http://itIT.nydus.battle.net/WOW/itIT/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,135,15,656487,656533,656532,656531
505,http://ptPT.nydus.battle.net/WOW/ptPT/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,135,14,656499,656523,656537,656536
506,http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,135,-1,656453,656523,656520,656519
507,http://enGB.nydus.battle.net/WOW/enGB/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,135,1,656459,656523,656522,656521
508,http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s,136,-1,656465,656523,656522,656521
509,http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s,136,1,656465,656523,656522,656521
510,http://esMX.nydus.battle.net/WOW/esMX/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s,136,12,656475,656523,656527,656526
511,http://ptBR.nydus.battle.net/WOW/ptBR/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s,136,14,656493,656523,656535,656534
