ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Flags,Field_9_1_0_38511_004,ItemContextOffset
264,Replaces Random Stat with Inspiration.,429,3810,0,0,0
265,,430,0,0,0,0
266,,431,0,0,0,0
267,Reduces the likelihood of this device's tinker malfunctioning by 15%.,432,3811,0,0,0
268,Tinkers slotted into this device can no longer catastrophically malfunction.,433,3812,0,0,0
269,The tinker slotted within this device will sometimes dislodge the battery instead of malfunctioning.,434,3815,0,0,0
270,Allocate the secondary stats of Engineering crafted goggles or bracers to Critical Strike.,435,3878,0,0,0
271,Allocate the secondary stats of Engineering crafted goggles or bracers to Haste.,436,3877,0,0,0
272,Allocate the secondary stats of Engineering crafted goggles or bracers to Mastery.,437,3879,0,0,0
273,Allocate the secondary stats of Engineering crafted goggles or bracers to Versatility.,438,3880,0,0,0
274,"You are $ev1% more likely to improve at Engineering, but Recipe Difficulty is increased by $ev2.",439,0,0,0,0
275,Increases your $en1 by $ev1 and $en2 by $ev2.,440,0,0,0,0
276,When you heal you sometimes fire a Healing Dart. Also add Unique-Equipped: Embellished (2).,441,3834,0,0,0
278,Replaces Random Stat with Resourcefulness.,450,3881,0,0,0
279,Replaces Random Stat with Multicraft.,451,3882,0,0,0
280,Replaces Random Stat with Crafting Speed.,452,3883,0,0,0
281,Replaces Random Stat with Finesse.,453,3884,0,0,0
282,Replaces Random Stat with Perception.,454,3885,0,0,0
283,Replaces Random Stat with Deftness.,455,3886,0,0,0
284,,424,0,0,0,0
285,,425,0,0,0,0
287,Alters the appearance of a weapon crafted from Draenor Blacksmithing to something more impressive.,459,3986,0,0,0
288,Alters the appearance of a weapon crafted from Draenor Blacksmithing to something truly remarkable.,459,3987,0,0,0
289,Alters the appearance of armor crafted from Draenor Blacksmithing to something more impressive.,460,3986,0,0,0
290,Alters the appearance of armor crafted from Draenor Blacksmithing to something truly remarkable.,460,3987,0,0,0
291,Alters the appearance of goggles crafted from Draenor Engineering to something more impressive.,461,3986,0,0,0
292,Alters the appearance of goggles crafted from Draenor Engineering to something truly remarkable.,461,3987,0,0,0
293,Alters the appearance of guns crafted from Draenor Engineering to something more impressive.,462,3986,0,0,0
294,Alters the appearance of guns crafted from Draenor Engineering to something truly remarkable.,462,3987,0,0,0
295,Alters the appearance of armor crafted from Draenor Leatherworking to something more impressive.,463,3986,0,0,0
296,Alters the appearance of armor crafted from Draenor Leatherworking to something truly remarkable.,463,3987,0,0,0
297,Alters the appearance of armor crafted from Draenor Tailoring to something more impressive.,464,3986,0,0,0
298,Alters the appearance of armor crafted from Draenor Tailoring to something truly remarkable.,464,3987,0,0,0
299,Alters the appearance of weapons crafted from Draenor Inscription to something more impressive.,465,3986,0,0,0
300,Alters the appearance of weapons crafted from Draenor Inscription to something truly remarkable.,465,3987,0,0,0
302,Grant your crafted equipment a completely imperceivable but totally real improvement.,467,4049,0,0,0
303,Increases item level to 450 in Arenas and Battlegrounds.,468,4076,0,0,0
304,Increases item level to 450 in Arenas and Battlegrounds.,469,4076,0,0,0
305,Increases item level to 450 in Arenas and Battlegrounds.,470,4076,0,0,0
306,Increases item level to 437 in Arenas and Battlegrounds.,471,4077,0,0,0
307,Increases item level to 437 in Arenas and Battlegrounds.,472,4077,0,0,0
308,Increases item level to 437 in Arenas and Battlegrounds.,473,4077,0,0,0
309,Set starting Item Level based on Crafting Quality (382-395) and mark as Ingenuity Crafted.,474,4107,0,0,0
310,Set starting Item Level based on Crafting Quality (411-424) and mark as Shadowflame Crafted.,475,4108,0,0,0
311,"Set Item Level based on Crafting Quality (382 - 395), add Soulbound and Required Level 70.",400,4111,0,0,0
312,Set Item Level based on Crafting Quality (395-408).,400,4112,0,0,0
313,Set Item Level based on Crafting Quality (424-437).,476,4113,0,0,0
314,Set Item Level based on Crafting Quality (408-418).,476,4114,0,0,0
315,Set Item Level based on Crafting Quality (434 - 444).,476,4115,0,0,0
316,Set Item Level based on Crafting Quality (434-447).,476,4116,0,0,0
317,Dealing damage can inflict stacking Shadowflame damage. Also add Unique-Equipped: Embellished (2).,477,4118,0,0,0
318,Become empowered when interrupted while not casting. Also add Unique-Equipped: Embellished (2).,478,4129,0,0,0
319,Enduring movement impairing effects increases damage. Also add Unique-Equipped: Embellished (2).,479,4135,0,0,0
320,,480,0,0,0,0
321,Reduce your fall speed for 10s. Can only be used in the Dragon Isles.,481,4152,0,0,0
323,Improve your Dragon Isles Bandages. Can only be used in the Dragon Isles.,483,4153,0,0,0
324,,487,3481,0,0,0
325,,487,4165,0,0,0
326,,488,4010,0,0,0
327,,488,4166,0,0,0
328,,486,0,0,0,0
329,Set starting Item Level based on Crafting Quality (450-463) and mark as Dream Crafted.,490,4183,0,0,0
330,Set Item Level based on Crafting Quality (463-476).,491,4184,0,0,0
331,Set Item Level based on Crafting Quality (473-486).,491,4185,0,0,0
332,Set Item Level based on Crafting Quality (434-447).,400,4188,0,0,0
334,Spells and abilities sometimes provide secondary stats. Also add Unique-Equipped: Embellished (2).,493,4226,0,0,0
335,Increases item level to 476 in Arenas and Battlegrounds.,494,4234,0,0,0
336,Increases item level to 476 in Arenas and Battlegrounds.,496,4234,0,0,0
337,Increases item level to 476 in Arenas and Battlegrounds.,498,4234,0,0,0
338,Increases item level to 489 in Arenas and Battlegrounds.,495,4235,0,0,0
339,Increases item level to 489 in Arenas and Battlegrounds.,497,4235,0,0,0
340,Increases item level to 489 in Arenas and Battlegrounds.,499,4235,0,0,0
341,Gain stacking Critical Strike while above 70% health. Also add Unique-Equipped: Embellished (2).,500,4237,0,0,0
345,,505,4281,0,0,0
346,,505,4214,0,0,0
347,"Your healing abilities have the chance to tether you to a friendly ally, granting Versatility for both players based on distance. Also add Unique-Equipped: Embellished (2).",507,4290,0,0,0
370,Increases item level to 489 in Arenas and Battlegrounds.,529,4404,0,0,0
371,Increases item level to 489 in Arenas and Battlegrounds.,530,4404,0,0,0
372,Increases item level to 489 in Arenas and Battlegrounds.,531,4404,0,0,0
373,Increases item level to 476 in Arenas and Battlegrounds.,532,4405,0,0,0
374,Increases item level to 476 in Arenas and Battlegrounds.,533,4405,0,0,0
375,Increases item level to 476 in Arenas and Battlegrounds.,534,4405,0,0,0
