ID,CreatureID,UiWidgetSetID,UnitConditionID
247,204487,794,0
248,204133,797,0
249,204134,797,0
250,202926,797,0
251,202925,797,0
252,204520,795,0
253,204521,796,0
254,204336,798,0
255,204460,791,0
256,204245,800,0
258,202688,817,0
259,202709,817,0
260,202711,817,0
262,204041,818,321
263,205058,825,0
264,190000,759,0
267,205147,826,0
268,205166,827,0
269,205049,828,0
270,204108,829,0
271,203950,830,0
272,205374,831,0
273,201426,832,0
274,204389,834,0
275,205722,836,0
276,205802,837,0
277,204160,800,7145
278,206197,839,0
279,206183,838,0
280,206255,840,0
281,207137,841,0
282,204710,844,0
283,207690,846,0
284,207691,847,0
285,207712,848,0
286,207714,849,0
287,207716,850,0
288,207764,1069,7145
289,207931,1069,0
290,207599,852,0
291,210759,853,0
294,208145,854,0
295,208533,855,0
296,208095,857,0
297,208402,1070,0
298,208276,1070,7145
299,206638,858,1727
303,204335,1071,7145
307,208911,1071,0
308,208879,882,0
309,208061,885,0
311,209387,887,0
312,209265,888,0
313,209720,893,0
314,209750,895,0
315,209181,1072,0
316,209802,882,0
317,210115,900,0
318,210132,904,0
319,210300,908,0
320,210338,909,0
321,210339,910,0
322,210495,911,0
323,210543,914,0
324,209099,1072,7145
326,210629,915,0
327,210663,916,1727
328,208443,954,0
329,208511,955,0
330,208556,956,0
332,208563,958,0
335,208605,959,0
337,208606,960,0
338,208607,961,0
339,208615,962,0
340,208616,963,0
341,209583,964,0
343,209880,966,0
344,210723,967,0
345,210724,969,0
346,210725,968,0
347,211059,973,0
348,209439,979,0
349,211167,800,7145
350,211420,985,0
353,208617,957,0
354,210690,987,7198
355,212199,989,0
356,212226,990,0
357,212258,991,0
358,212266,992,0
359,212283,993,0
360,212324,994,0
361,212355,995,0
362,212356,996,0
363,212357,997,0
364,212359,998,0
365,212777,979,0
366,212858,1070,7145
367,213048,1069,7145
368,213175,800,7145
369,213176,800,7145
370,213192,800,0
371,213250,1070,7145
372,213251,1070,7145
373,213255,1070,0
374,213257,1069,7145
375,213258,1069,7145
377,209599,965,0
378,213434,999,0
379,211209,1000,0
380,213675,1069,0
381,213993,1004,0
382,209292,1007,0
385,209134,1008,0
386,209458,1007,0
387,209547,1007,0
389,214269,1010,0
390,214318,1011,0
391,214319,1012,0
392,224148,1013,0
394,214985,1014,0
397,215939,1034,0
398,216233,1042,0
399,229404,1049,0
400,216357,1047,0
401,216368,1042,0
402,216370,1042,0
403,216371,1042,0
404,216372,1042,0
405,216376,1042,0
406,216378,1042,0
407,216380,1042,0
408,216381,1042,0
409,229127,1050,0
410,229129,1051,0
411,229141,1052,0
412,216531,1059,0
415,229143,1064,0
416,229144,1066,0
417,229145,1067,0
418,229139,1065,0
420,214997,1076,0
421,215451,1077,0
422,215456,1078,0
423,217928,1079,0
425,218413,1081,0
426,214757,1082,0
427,219694,1086,0
428,219707,1087,0
431,227675,1107,0
433,221432,985,0
435,220999,1,0
439,210729,1299,2745
440,225016,1301,0
492,226337,1306,0
493,226844,1310,0
494,226848,1311,0
495,226849,1312,0
496,189644,1313,0
497,219063,1313,0
501,224220,1329,0
502,227998,1330,0
503,228056,1332,0
504,228180,1337,0
508,228578,1338,0
513,229228,1343,0
515,229255,1345,0
516,229256,1341,0
517,229280,1347,0
518,229278,1348,0
519,229279,1349,0
523,229917,1356,0
530,230750,1364,0
531,230846,1365,0
532,230860,1366,0
533,230886,1343,0
534,230884,1345,0
535,230885,1341,0
536,230890,1343,0
537,230891,1345,0
538,230892,1341,0
541,230197,1378,0
544,229953,1400,7985
545,216373,1402,0
546,216374,1402,0
547,216375,1402,0
548,216569,1404,0
549,216570,1404,0
550,216571,1404,0
551,231425,853,0
554,231329,1440,0
555,234535,1446,0
556,234603,1448,0
557,234604,1449,0
558,234361,1450,0
559,234350,1371,0
560,234349,1371,0
561,234348,1371,0
562,234347,1371,0
563,234346,1371,0
564,234345,1371,0
565,234344,1371,0
567,227436,1451,0
569,234751,1454,0
570,234819,1455,0
576,225804,1465,0
578,236036,1468,0
579,234832,1469,0
598,240164,1484,0
