OffsetPos[0],OffsetPos[1],OffsetPos[2],OffsetRot[0],OffsetRot[1],OffsetRot[2],ID,RoomWmoDataID,ModelFileDataID,Type,MeshStyleFilterID,ConnectionType,Flags
12,0,0,0,0,-180,127,161,6431837,1,3,1,0
9,9,0,0,0,0,128,161,6431841,1,23,0,0
-9,9,0,0,0,-90,129,161,6431841,1,23,0,0
0,0,0,0,0,0,130,161,6431796,2,29,1,0
0,-12,0,0,0,-90,131,161,6431837,1,3,1,0
9,-9,0,0,0,90,132,161,6431841,1,23,0,0
-9,-9,0,0,0,180,133,161,6431841,1,23,0,0
0,0,7,0,0,0,134,161,6431775,3,30,1,0
0,0,0,0,0,0,135,162,6431808,2,15,1,0
-6,0,0,0,0,0,136,162,6431855,1,6,0,0
0,12,0,0,0,90,137,162,6431837,1,3,1,0
12,0,0,0,0,-180,138,162,6431837,1,3,1,0
0,-12,0,0,0,-90,139,162,6431837,1,3,1,0
9,9,0,0,0,0,140,162,6431841,1,23,0,0
9,-9,0,0,0,90,141,162,6431841,1,23,0,0
0,0,7,0,0,0,142,162,6431793,3,16,1,0
0,0,0,0,0,0,143,163,6431798,2,17,1,0
3.5,3.5,0,0,0,-90,144,163,6431840,1,24,0,0
9,9,0,0,0,0,145,163,6431841,1,23,0,0
0,12,0,0,0,90,146,163,6431837,1,3,1,0
12,0,0,0,0,180,147,163,6431837,1,3,1,0
0,0,7,0,0,0,148,163,6431777,3,18,1,0
0,0,0,0,0,0,149,164,6431801,2,31,1,0
8.1317,-8.1,0,0,0,-135,150,164,6431854,1,37,0,0
-8.1317,-8.1,0,0,0,-45,151,164,6431854,1,37,0,0
8.1317,8.1,0,0,0,135,152,164,6431854,1,37,0,0
-8.1317,8.1,0,0,0,45,153,164,6431854,1,37,0,0
0,12,0,0,0,90,154,164,6431848,1,34,1,0
11.9925,0,0,0,0,-180,155,164,6431848,1,34,1,0
0,-12,0,0,0,-90,156,164,6431848,1,34,1,0
-12,0,0,0,0,0,157,164,6431848,1,34,1,0
0,0,7,0,0,0,158,164,6431780,3,40,1,0
0,0,0,0,0,0,159,165,6431800,2,32,1,0
-12.3744,-12.4,0,0,0,-45,160,165,6431853,1,38,0,0
12.3744,-12.4,0,0,0,-135,161,165,6431853,1,38,0,0
12.3744,12.4,0,0,0,135,162,165,6431853,1,38,0,0
-12.3744,12.4,0,0,0,45,163,165,6431853,1,38,0,0
-18,0,0,0,0,0,164,165,6431847,1,35,1,0
18,0,0,0,0,-180,165,165,6431847,1,35,1,0
0,-18,0,0,0,-90,166,165,6431847,1,35,1,0
0,18,0,0,0,90,167,165,6431847,1,35,1,0
0,0,7,0,0,0,168,165,6431779,3,41,1,0
0,0,0,0,0,0,169,166,6431799,2,33,1,0
-16.617,-16.6,0,0,0,-45,170,166,6431852,1,39,0,0
16.617,-16.6,0,0,0,-135,171,166,6431852,1,39,0,0
16.617,16.6,0,0,0,135,172,166,6431852,1,39,0,0
-16.617,16.6,0,0,0,45,173,166,6431852,1,39,0,0
0,24,0,0,0,90,174,166,6431846,1,36,1,0
24,0,0,0,0,-180,175,166,6431846,1,36,1,0
0,-24,0,0,0,-90,176,166,6431846,1,36,1,0
-24,0,0,0,0,0,177,166,6431846,1,36,1,0
0,0,7,0,0,0,178,166,6431778,3,42,1,0
0,0,0,0,0,0,195,171,0,2,47,1,0
0,0,0,0,0,0,196,172,6322976,2,48,1,0
0,0,0,0,0,0,197,173,0,2,49,1,0
0,0,7,0,0,0,201,177,6431774,3,44,1,0
0,0,0,0,0,0,202,177,6431795,2,43,1,0
0,6,0,0,0,90,203,177,6431824,1,20,0,0
0,-6.0001,0,0,0,-90,204,177,6431824,1,20,0,0
-3,0,0,0,0,0,205,177,6431837,1,3,0,0
3,0,0,0,0,-180,206,177,6431837,1,3,1,0
-0.0001,0.0001,12.0001,0,0,0,210,179,6431786,3,26,1,0
-0.0001,0.0001,0,0,0,0,211,179,6431804,2,27,1,0
-12.0001,0.0001,0,0,0,0,212,179,6431857,1,25,1,0
-0.0001,12.0001,0,0,0,90,213,179,6431857,1,25,1,0
12,0.0001,0,0,0,-180,214,179,6431857,1,25,1,0
-0.0001,-11.9999,0,0,0,-90,215,179,6431857,1,25,1,0
-0.0001,0.0001,12.0001,0,0,0,216,180,6431786,3,26,1,0
-0.0001,0.0001,0,0,0,0,217,180,6431804,2,27,1,0
-0.0001,0.0001,0,0,0,0,218,180,0,4,52,1,0
-12.0001,0.0001,0,0,0,0,219,180,6431857,1,25,1,0
-0.0001,12.0001,0,0,0,90,220,180,6431857,1,25,0,0
12,0.0001,0,0,0,-180,221,180,6431857,1,25,0,0
-0.0001,-11.9999,0,0,0,-90,222,180,6431857,1,25,0,0
0,0,0,0,0,0,251,187,0,1,54,1,0
0,0,7,0,0,0,252,187,0,3,55,1,0
0,0,0,0,0,0,253,187,0,2,53,1,0
11.5,0,0,0,0,0,254,187,0,6,96,1,0
23.2097,0.3072,0.4755,0,0,0,272,202,7112578,1,122,0,0
0,0,0.4755,0,0,0,273,202,7112576,1,124,0,0
0,0,0.4755,0,0,0,274,202,7112575,3,121,0,0
0,0,0.4755,0,0,0,275,202,7112577,2,123,0,0
-0.0536,0,0,0,0,0,290,219,7284247,3,129,0,0
-9.7536,0,0,0,0,0,291,219,7284248,1,130,0,0
-0.0536,0,0,0,0,0,292,219,7284249,2,131,0,0
-0.0536,0,0,0,0,0,293,219,0,1,132,0,0
0.2443,0.0145,0,0,0,0,307,233,0,3,65,0,0
23.1798,0.066,0,0,0,0,308,233,0,1,66,0,0
-0.4499,0,0,0,0,0,309,233,0,2,67,0,0
0.1403,0.0145,0,0,0,0,310,233,0,1,68,0,1
22.9,0.1,9,0,0,0,311,233,0,7,51,1,0
22.9,0.1,0,0,0,180,315,233,0,1,66,1,0
0.2443,0.0145,0,0,0,0,330,255,0,3,69,0,0
23.1798,0.066,0,0,0,0,331,255,0,1,70,0,0
-0.4499,0,0,0,0,0,332,255,0,2,71,0,0
0.1403,0.0145,0,0,0,0,333,255,0,1,72,0,1
22.9,0.1,0,0,0,0,335,255,0,7,51,1,0
22.9,0.1,0,0,0,180,336,255,0,1,70,1,0
-0.0018,0.0014,0,0,0,0,378,305,0,3,73,0,0
17.5082,0.0014,0,0,0,0,379,305,0,1,74,0,0
-0.0018,0.0014,0,0,0,0,380,305,0,2,75,0,0
-0.0018,0.0014,0,0,0,0,381,305,0,1,76,0,0
17.5082,0.0014,0,0,0,0,382,305,0,7,51,1,0
17.5082,1.0014,0,0,0,180,383,305,0,1,74,1,0
0.0526,0,0,0,0,0,410,326,0,3,77,0,0
12.0511,0,0,0,0,0,411,326,0,7,51,1,0
11.12,0,0,0,0,180,412,326,0,1,78,1,0
12.0511,0,0,0,0,0,413,326,0,1,78,0,0
0.0886,0,0,0,0,0,414,326,0,2,79,0,0
0.0526,0,0,0,0,0,415,326,0,1,80,0,0
-0.0305,0,0,0,0,0,427,328,0,3,81,0,0
11.4752,0.0038,0,0,0,0,428,328,0,7,51,1,0
11.4752,0.0038,0,0,0,180,429,328,0,1,82,1,0
11.4752,0.0038,0,0,0,0,430,328,0,1,82,0,0
-0.0305,0,0,0,0,0,431,328,0,2,83,0,0
-0.0305,0,0,0,0,0,432,328,0,1,84,0,0
-4.5809,0,0,0,0,0,440,336,0,3,85,0,0
19.2776,0,0,0,0,0,441,336,0,7,51,1,0
19.2776,0,0,0,0,180,442,336,0,1,86,1,0
19.2776,0,0,0,0,0,443,336,0,1,86,0,0
-4.5809,0,0,0,0,0,444,336,0,2,87,0,0
-4.5809,0,0,0,0,0,445,336,0,1,88,0,0
0.0293,0,0,0,0,0,446,337,0,3,89,0,0
17.5256,0.0734,0,0,0,0,447,337,0,7,51,1,0
17.5256,0.0734,0,0,0,180,448,337,0,1,90,1,0
17.5256,0.0734,0,0,0,0,449,337,0,1,90,0,0
0.0293,0,0,0,0,0,450,337,0,2,91,0,0
0.0293,0,0,0,0,0,451,337,0,1,92,0,0
11.5,0,0,0,0,0,463,187,0,7,51,1,0
11.5,0,0,0,0,180,464,187,0,1,96,1,1
-0.5897,0,0,0,0,0,466,345,0,3,97,0,0
23.2517,0,0,0,0,0,467,345,0,7,51,1,0
23.2517,0,0,0,0,180,468,345,0,1,98,1,0
23.2517,0,0,0,0,0,469,345,0,1,98,0,0
-0.5897,0,0,0,0,0,470,345,0,2,99,0,0
-0.5897,0,0,0,0,0,471,345,0,1,100,0,0
11.8434,0,0,0,0,0,472,346,0,7,51,1,0
11.6434,0,0,0,0,180,473,346,0,1,101,1,0
11.8434,0,0,0,0,0,474,346,0,1,101,0,0
0.2425,0,0,0,0,0,475,346,0,2,102,0,0
0.2425,0,0,0,0,0,476,346,0,3,103,0,0
0.2425,0,0,0,0,0,477,346,0,1,104,0,0
0.1953,-0.0695,0,0,0,0,478,347,0,3,105,0,0
24.261,-0.0695,0,0,0,0,479,347,0,7,51,1,0
24.261,-0.0695,0,0,0,180,480,347,0,1,106,1,0
24.261,-0.0695,0,0,0,0,481,347,0,1,106,0,0
0.1953,-0.0695,0,0,0,0,482,347,0,2,107,0,0
0.1953,-0.0695,0,0,0,0,483,347,0,1,108,0,0
17.5127,0,0,0,0,0,484,348,0,7,51,1,0
17.5127,0,0,0,0,180,485,348,0,1,109,1,0
17.5127,0,0,0,0,0,486,348,0,1,109,0,0
0.0182,0,0,0,0,0,487,348,0,3,110,0,0
0.0182,0,0,0,0,0,488,348,0,2,111,0,0
0.0182,0,0,0,0,0,489,348,0,1,112,0,0
11.5091,0,0,0,0,0,490,349,0,7,51,1,0
11.5091,0,0,0,0,180,491,349,0,1,113,1,0
11.5091,0,0,0,0,0,492,349,0,1,113,0,0
0.0145,0,0,0,0,0,493,349,0,2,114,0,0
0.0145,0,0,0,0,0,494,349,0,3,115,0,0
0.0145,0,0,0,0,0,495,349,0,1,116,0,0
11.6957,-0.0695,0,0,0,0,496,350,0,7,51,1,0
11.6957,-0.0695,0,0,0,180,497,350,0,1,117,1,0
11.6957,-0.0695,0,0,0,0,498,350,0,1,117,0,0
0.2743,-0.0695,0,0,0,0,499,350,0,3,118,0,0
0.2743,-0.0695,0,0,0,0,500,350,0,2,119,0,0
0.2743,-0.0695,0,0,0,0,501,350,0,1,120,0,0
0,0,0,0,0,0,502,351,0,3,121,0,0
0,0,0,0,0,0,503,351,0,7,51,1,0
24.6,0,0,0,0,180,504,351,0,1,122,1,1
0,0,0,0,0,0,505,351,0,1,122,0,0
0,0,0,0,0,0,506,351,0,2,123,0,0
0,0,0,0,0,0,507,351,0,1,124,0,0
0.1893,0,0,0,0,0,508,352,0,3,125,0,1
17.1713,0,0,0,0,0,509,352,0,7,51,1,0
17.1713,0,0,0,0,180,510,352,0,1,126,1,0
17.1713,0,0,0,0,0,511,352,0,1,126,0,0
0.1893,0,0,0,0,0,512,352,0,2,127,0,0
0.1893,0,0,0,0,0,513,352,0,1,128,0,1
-9.7536,0,0,0,0,0,515,219,0,7,51,1,0
-9.7536,0,0,0,0,0,516,219,0,1,130,1,0
0.2124,0,0,0,0,0,520,353,0,3,133,0,0
10.2274,0.007,0,0,0,-180,521,353,0,7,51,1,0
10.2274,0.007,0,0,0,180,522,353,0,1,134,1,0
10.2274,0.007,0,0,0,-180,523,353,0,1,134,0,0
0.2124,0,0,0,0,0,524,353,0,2,135,0,0
0.2124,0,0,0,0,0,525,353,0,1,136,0,0
0.1351,0,0,0,0,0,586,371,0,3,149,0,0
11.5508,0,0,0,0,0,587,371,0,7,51,1,0
11.5508,0,0,0,0,180,588,371,0,1,150,1,0
11.5508,0,0,0,0,0,589,371,0,1,150,0,0
0.1351,0,0,0,0,0,590,371,0,2,151,0,0
0.1351,0,0,0,0,0,591,371,0,1,152,0,0
23.2097,0.3072,0.4755,0,0,0,722,202,0,7,51,1,0
23.2097,0.3072,0,0,0,180,723,202,0,1,122,1,0
-0.0004,0,0,0,0,0,764,378,0,3,153,0,0
27.9124,0.01,0,0,0,0,765,378,0,7,51,1,0
27.9124,0.01,0,0,0,180,766,378,0,1,154,1,0
27.9124,0.01,0,0,0,0,767,378,0,1,154,0,0
-0.0004,0,0,0,0,0,768,378,0,2,155,0,0
-0.0004,0,0,0,0,0,769,378,0,1,156,0,0
-0.0001,0,0,0,0,0,770,379,0,3,157,0,0
27.8933,0.01,0,0,0,0,771,379,0,7,51,1,0
27.8933,0.01,0,0,0,180,772,379,0,1,158,1,0
27.8933,0.01,0,0,0,0,773,379,0,1,158,0,0
-0.0001,0,0,0,0,0,774,379,0,2,159,0,0
-0.0001,0,0,0,0,0,775,379,0,1,160,0,0
