ID,TriggerType,TriggerAsset
1500,0,0
1501,0,0
1502,0,0
1503,1,0
1504,0,0
1505,0,0
1506,1,0
1507,1,0
1508,1,0
1509,0,0
1510,0,0
1511,1,0
1512,1,0
1513,1,0
1515,0,0
1563,0,0
1564,0,0
1566,0,0
1567,0,0
1568,0,0
1569,0,0
1570,0,0
1571,0,0
1572,0,0
1573,1,0
1574,0,0
1576,0,0
1577,0,0
1578,0,0
1579,0,0
1580,0,0
1581,0,0
1582,0,0
1583,0,0
1584,0,0
1585,0,0
1586,0,0
1587,0,0
1588,0,0
1589,0,0
1590,0,0
1591,0,0
1592,1,0
1593,1,0
1595,0,0
1597,1,0
1598,1,0
1599,1,0
1600,1,0
1601,0,0
1602,0,0
1603,0,0
1604,0,0
1605,0,0
1606,0,0
1607,0,0
1608,0,0
1609,0,0
1610,0,0
1611,0,0
1612,0,0
1613,0,0
1614,0,0
1615,0,0
1616,0,0
1617,0,0
1618,0,0
1619,0,0
1620,0,0
1621,0,0
1622,0,0
1623,0,0
1624,0,0
1626,0,0
1627,0,0
1628,0,0
1629,0,0
1630,0,0
1631,1,0
1632,1,0
1633,1,0
1634,1,0
1635,1,0
1636,1,0
1637,1,0
1639,1,0
1640,1,0
1641,1,0
1642,1,0
1643,1,0
1644,1,0
1645,1,0
1646,0,0
1647,1,0
1648,0,0
1649,0,0
1650,0,0
1651,0,0
1652,0,0
1653,0,0
1654,0,0
1655,0,0
1656,0,0
1657,0,0
1658,0,0
1659,0,0
1660,0,0
1661,0,0
1662,0,0
1663,0,0
1664,0,0
1665,0,0
1666,0,0
1667,0,0
1668,0,0
1669,0,0
1670,0,0
1671,0,0
1672,0,0
1673,0,0
1674,0,0
1675,0,0
1676,0,0
1677,0,0
1678,0,0
1679,0,0
1680,0,0
1681,0,0
1682,0,0
1684,0,0
1686,2,32316
1687,2,32316
1692,0,0
1693,0,0
1694,1,0
1695,0,0
1696,0,0
1697,1,0
1698,0,0
1699,2,32316
1700,2,32316
1701,1,0
1702,0,0
1703,0,0
1744,2,32554
1745,2,32554
1746,2,32554
1747,2,32554
1748,2,32316
1749,2,32554
1750,0,0
1752,0,0
1753,1,0
1755,0,0
1756,0,0
1757,0,0
1758,0,0
1759,0,0
1760,0,0
1761,0,0
1762,0,0
1763,0,0
1764,0,0
1765,0,0
1766,0,0
1767,0,0
1768,1,0
1774,1,0
1775,1,0
1776,1,0
1777,1,0
1779,0,0
1781,0,0
1783,0,0
1784,0,0
1785,0,0
1786,0,0
1787,0,0
1788,1,0
1792,0,0
1793,0,0
1794,0,0
1795,1,0
1797,0,0
1798,0,0
1799,0,0
1801,0,0
1802,0,0
1803,4,2
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1820,0,0
1821,1,0
1822,0,0
1823,0,0
1824,1,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,1,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,1,0
1842,0,0
1843,1,0
1844,0,0
1845,0,0
1846,1,0
1847,1,0
1848,0,0
1849,0,0
1852,1,0
1853,0,0
1854,0,0
1855,0,0
1858,1,0
1859,4,9
1860,0,0
1861,1,0
1862,1,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,4,7
1869,0,0
1870,0,0
1871,0,0
1872,1,0
1873,0,0
1875,0,0
1876,0,0
1877,0,0
1880,1,0
1881,1,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,4,9
1890,4,5
1891,4,5
1892,1,0
1896,0,0
1897,0,0
1898,0,0
1899,4,1
1900,4,2
1907,0,0
1908,0,0
1921,0,0
1922,2,33336
1923,2,33338
1924,2,33340
1925,2,33342
1926,2,33344
1927,2,33346
1928,2,33348
1929,2,33350
1930,2,33352
1931,2,33354
1932,2,33356
1933,2,33358
1934,2,33360
1935,0,0
1936,0,0
1951,2,33344
1952,2,33346
1953,2,33348
1954,2,33350
1955,2,33352
1956,2,33354
1957,2,33356
1958,2,33358
1959,2,33360
1960,2,33336
1961,2,33338
1962,2,33340
1963,2,33342
1964,0,0
1966,0,0
1975,2,33308
1976,1,0
1978,3,5
1979,3,5
1984,0,0
1986,2,33928
1987,0,0
1988,0,0
1989,1,0
1992,2,33331
2004,0,0
2005,1,0
