ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
27,Nb,Nightborne,Nightborne,,nightborne,,Shal'dorei,,shal'dorei,,"Secluded in Suramar for 10,000 years, the nightborne developed unrivaled mastery of the arcane arts.",Elf,,elf,,8912901,0,0,15007,1096,623714,1662240,651558,0,0,0,0,0,0,0,10,1,26,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,29,0,8,0,4,0,4,1,4,0,4,1,0,0
28,Ht,HighmountainTauren,Highmountain Tauren,,tauren,,Tauren,,tauren,,"Honoring the spirits of earth, river, and sky, the Highmountain tauren embody nobility and strength.",Tauren,,tauren,,8912903,6,0,15007,1096,623714,1662239,651558,0,0,0,0,0,0,0,10,2,27,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,30,0,3,0,6,0,6,1,6,0,6,1,0,0
29,Ve,VoidElf,Void Elf,,void elf,,Ren'dorei,,ren'dorei,,"Transformed by forbidden magic, the void elves were cast out by their kin and now fight for the Alliance.",Elf,,elf,,9961485,4,0,15007,1096,623712,1662242,651555,0,0,0,0,0,0,0,10,1,28,0,0,0,0,0,0,0,0,0,0,0,7,7,0,27,0,8,0,10,0,10,1,10,0,10,1,0,0
30,Ld,LightforgedDraenei,Lightforged Draenei,,draenei,,Lightforged,,Lightforged,,The Lightforged draenei were infused with the Holy Light to become living weapons against evil.,Draenei,,draenei,,8912911,0,0,15007,1096,623712,1662241,651555,0,0,0,0,0,0,0,10,2,29,0,0,0,0,0,0,0,0,0,0,0,7,7,0,28,0,2,0,11,0,11,1,11,0,11,1,0,0
31,Za,ZandalariTroll,Zandalari Troll,,Zandalari,,Zandalari,,Zandalari,,The Zandalari revere their mystical loa and command one of Azeroth's most formidable fleets.,Troll,,troll,,8912903,116,0,15007,1096,623714,2743642,651558,0,0,0,0,0,0,0,10,4,30,0,0,0,0,0,0,0.08,0,0,0.08,0,1,7,1,32,0,7,0,0,-1,8,1,0,-1,8,1,8,0
32,Kt,KulTiran,Kul Tiran,,Kul Tiran,,Kul Tiran,,Kul Tiran,,"After years of isolation, the proud Kul Tirans once more lend their naval might to the Alliance.",Human,,human,,8912909,1,0,15007,1096,623712,2575493,651555,0,0,0,0,0,0,0,10,4,31,0,0,0,0,0,0,0,0,0,0,0,7,7,0,31,0,1,0,0,-1,0,-1,0,-1,0,-1,1,0
33,Th,ThinHuman,Human,,human,,,,,,Kul Tiras was founded by fearless explorers who sailed uncharted waters in search of adventure. <PH>,,,,,525,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
34,Di,DarkIronDwarf,Dark Iron Dwarf,,dwarf,,Dark Iron,,Dark Iron,,"With fiery tempers and fierce determination, the Dark Iron fight alongside their dwarven kin.",Dwarf,,dwarf,,8912909,3,0,15007,1090,623712,2005930,651555,0,0,0,0,0,0,0,10,3,11,0,0,0,0,0,0,0,0,0,0,0,7,7,0,36,0,1,0,3,0,3,1,3,0,3,1,3,0
35,Vu,Vulpera,Vulpera,,vulpera,,Vulpera,,vulpera,,"Cunning and resourceful, the vulpera have a knack for thriving in the harshest conditions.",Vulpera,,vulpera,,8912903,0,0,15007,1096,623714,3188841,651558,0,0,0,0,0,0,0,10,10,12,0,0,0,0,0,0,0.082,0,0,0.085,0,1,7,1,37,0,4,0,0,-1,0,-1,0,-1,0,-1,9,0
36,Mo,MagharOrc,Mag'har Orc,,orc,,Mag'har,,Mag'har,,"Once rival clans, the uncorrupted orcs of Draenor now stand united as the ferocious Mag'har.",Orc,,orc,,8912909,2,0,15007,1096,623714,2005932,651558,0,0,0,0,0,0,0,10,3,13,0,0,0,0,0,0,0.085,0,0,0.07,0,1,7,1,34,0,1,0,2,0,2,1,2,0,2,1,2,0
37,Mg,Mechagnome,Mechagnome,,mechagnome,,Mechagnome,,mechagnome,,"The clever mechagnomes strive to balance flesh with technology, making them innovative allies.",Gnome,,gnome,,8912909,115,0,15007,1096,623712,3188839,651555,0,0,0,0,0,0,0,10,0,14,896,0,0,0,0,0,0,0,0,0,0,7,7,0,35,0,1,0,7,0,7,1,7,0,7,1,0,0
52,Dt,Dracthyr,Dracthyr,,dracthyr,,Dracthyr,,dracthyr,,"Infused with the magic of the dragonflights, the dracthyr combine the resourcefulness of mortals with the power of dragons.",Dragonkin,,dragonkin,,167772165,1,0,15007,1096,623712,4620425,651555,0,0,0,0,0,0,0,10,0,16,0,-1.7,1.9,-0.15,0,0,2.085,0,0,2.085,0,7,7,0,70,75,0,0,0,-1,0,-1,0,-1,0,-1,0,0
70,Dt,Dracthyr,Dracthyr,,dracthyr,,Dracthyr,,dracthyr,,"Infused with the magic of the dragonflights, the dracthyr combine the resourcefulness of mortals with the power of dragons.",Dragonkin,,dragonkin,,167772165,2,0,15007,1096,623714,4620425,651558,0,0,0,0,0,0,0,10,0,15,0,-1.3,2.1,-0.01,0,0,2.085,0,0,2.085,0,1,7,1,52,76,0,0,0,-1,0,-1,0,-1,0,-1,0,0
71,Cd,CompanionDrake,Highland Drake,,highland drake,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,13,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
72,Cp,CompanionProtoDragon,Renewed Proto-Drake,,renewed proto-drake,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,11,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
73,Cs,CompanionSerpent,Winding Slitherdrake,,winding slitherdrake,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,15,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
74,Cw,CompanionWyvern,Cliffside Wylderdrake,,cliffside wylderdrake,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,14,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
75,Dt,Dracthyr,Visage,,visage,,Visage,,visage,,A mysterious people with an affinity for manipulating candles.,Visage,,visage,,103,1,0,15007,1096,623712,131948,651555,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,7,7,0,0,0,0,0,10,0,1,1,10,0,1,1,0,23
76,Dt,Dracthyr,Visage,,visage,,Visage,,visage,,A mysterious people with an affinity for manipulating candles.,Visage,,visage,,103,1,0,15007,1096,623714,132003,651558,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0.2,0,0,0,0,0,0,1,7,1,0,0,0,0,10,0,1,1,10,0,1,1,0,23
77,Ct,CompanionPterrodax,Windborne Velocidrake,,windborne velocidrake,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,12,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,5,1,0,-1,5,0,0,-1,1,0
80,Cn,CompanionNetherwingDrake,Grotto Netherwing Drake,,grotto netherwing drake,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,16,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
82,Sg,RostrumStormGryphon,Algarian Stormrider,,algarian stormrider,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,17,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
83,Fd,RostrumFaerieDragon,Flourishing Whimsydrake,,flourishing whimsydrake,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,18,-1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
84,Ed,EarthenDwarf,Earthen,,earthen,,Earthen,,earthen,,"Newly freed of the edicts that bound them, the new earthen venture forth with limitless curiosity to explore the world and join the Horde.",Earthen,,earthen,,8912909,2,0,15007,1090,623714,5797525,651558,0,0,0,0,0,0,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,1,7,1,85,0,1,0,3,0,3,1,3,0,3,1,3,0
85,Ed,EarthenDwarf,Earthen,,earthen,,Earthen,,earthen,,"Newly freed of the edicts that bound them, the new earthen venture forth with limitless curiosity to explore the world and join the Alliance.",Earthen,,earthen,,8912909,3,0,15007,1090,623712,5797525,651555,0,0,0,0,0,0,0,10,3,18,0,0,0,0,0,0,0,0,0,0,0,7,7,0,84,0,1,0,84,0,84,1,84,0,84,1,3,0
86,Hr,Harronir,Haranir,,haranir,,Haranir,,haranir,,,Haranir,,haranir,,17301517,4,0,15007,1096,623712,5797525,651555,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,7,7,0,91,0,1,0,91,0,91,1,91,0,91,1,4,0
87,As,RostrumAirship,Delver's Dirigible,,delver's dirigible,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,19,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
90,As,RostrumAirship,Delver's Gob-Trotter,,delver's gob-trotter,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,20,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
91,Hr,Harronir,Haranir,,haranir,,Haranir,,haranir,,,Haranir,,haranir,,17301517,1,0,15007,1096,623714,5797525,651558,0,0,0,0,0,0,0,10,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,86,0,1,0,4,-1,4,-1,4,-1,4,-1,4,0
92,As,RostrumAirship,Ethereal Airship,,ethereal airship,,,,,,,,,,,8413697,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,20,-1,0,0,0,0,0,0,0,0,0,0,0,7,9,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
95,Sb,Skyborne,High Order Skyborne,,skyborne,,Shen'dorei,,shen'dorei,,"The High Order is made up of the descendants of the ancient Highborne scholars of Eldre'Thalas. When the wind spirits disappeared from Zephras Isle, the High Order realized that the Skyborne's utter dependence upon their elemental patrons had left them dangerously vulnerable. A new generation of High Order have now been called upon to return to Azeroth to reclaim the arcane knowledge that they have lost, and use that power to ensure that the shen'dorei have the self-reliance to survive on their own.",Elf,,elf,,14704772,3629,0,15007,1096,8035354,8035354,8035354,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,7,7,0,96,0,8,0,10,0,10,1,10,0,10,1,10,0
96,Sb,Skyborne,Windshaper Skyborne,,skyborne,,Shen'dorei,,shen'dorei,,"The Windshapers are the descendants of the first shen'dorei high elves to receive the wind spirits' gift of elemental skysight. A new generation of Windshapers is called to Azeroth from their home within Skywall to solve the mystery of what became of their missing elemental mentors, and will stop at nothing to see the wind spirits restored and their way of life preserved.",Elf,,elf,,6291588,3628,0,15007,1096,8035354,8035354,8035354,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,1,7,1,95,0,7,0,10,0,10,1,10,0,10,1,10,0
