ID,KitPrefix
258,FlightMaster_VindicaarMacAree
259,GarrMissionLocation-Argus
260,Legion
261,alliance
262,horde
263,neutral
265,Bfa
266,objectivewidget
267,coin
268,alliance_icon_horde_flag
269,horde_icon_alliance_flag
270,alliance_tower
271,horde_tower
272,worldstate-capturebar
273,scoreboard-footer-alliance
274,scoreboard-footer-horde
4963,neutral_tower
4964,alliance_icon_and_flag
4965,horde_icon_and_flag
4966,dreadlord
4967,combat_swords
4968,skull_bones
4969,sniper_shot
4970,pvp_ffa
4971,placeholder
4972,iron_and_wood
4973,warfront_hud
4974,warfront_alliance_left
4975,warfront_horde_left
4976,warfront_asset_horde_great_hall
4977,warfront_asset_horde_stronghold
4978,warfront_asset_horde_fortress
4979,warfront_asset_horde_shaman
4980,warfront_asset_horde_elemental_spirit
4981,warfront_asset_armor_upgrade_1
4982,warfront_asset_armor_upgrade_2
4983,warfront_asset_armor_upgrade_3
4984,warfront_asset_horde_axe_thrower
4985,warfront_asset_horde_bristling_power
4986,warfront_asset_horde_call_of_the_storm
4987,warfront_asset_horde_demolisher
4988,warfront_asset_horde_peon_overseer
4989,warfront_asset_horde_sapper
4990,warfront_asset_horde_war_trike
4991,warfront_asset_weapon_upgrade_1
4992,warfront_asset_weapon_upgrade_2
4993,warfront_asset_weapon_upgrade_3
4994,warfront_asset_horde_flight_master
4995,warfront_asset_horde_witch_doctor
4996,warfront_asset_horde_grunt
4997,warfront_asset_horde_wolf_raider
4998,warfront_asset_horde_kodo_rider
5099,warfront_asset_alliance_town_hall
5100,warfront_asset_alliance_siege_engine
5101,warfront_asset_alliance_riflemen
5102,warfront_asset_alliance_priests
5103,warfront_asset_alliance_knights
5104,warfront_asset_alliance_keep
5105,warfront_asset_alliance_footmen
5106,warfront_asset_alliance_flight_master
5107,warfront_asset_alliance_elemental_spirit
5108,warfront_asset_alliance_elek_rider
5109,warfront_asset_alliance_castle
5110,UI-Frame-Bar
5111,Yellow
5112,Red
5113,Green
5114,islands-queue-card-island1
5115,islands-queue-card-invader1
5116,AllianceScenario
5117,HordeScenario
5118,islands-queue-card-dreadchain
5119,islands-queue-card-dreadchain-icetroll
5120,islands-queue-card-skitteringhollow
5121,islands-queue-card-skitteringhollow-troggs
5122,islands-queue-card-moltencay-ogre
5123,islands-queue-card-moltencay
5124,TalkingHeads-Alliance
5125,TalkingHeads-Horde
5126,TalkingHeads-Neutral
5127,islands-queue-card-dreadchain-mogu
5128,islands-queue-card-dreadchain-kvaldir
5129,islands-queue-card-moltencay-jungletroll
5130,islands-queue-card-moltencay-sandtroll
5131,islands-queue-card-moltencay-yaungol
5132,islands-queue-card-rottingmire-jinyu
5133,islands-queue-card-rottingmire-saurok
5134,islands-queue-card-rottingmire-strandedpirates
5135,islands-queue-card-skitteringhollow-kobolds
5136,islands-queue-card-skitteringhollow-nerubians
5137,islands-queue-card-ungolruins
5138,islands-queue-card-ungolruins-hozen
5139,islands-queue-card-ungolruins-pygmy
5140,islands-queue-card-ungolruins-quilboar
5141,islands-queue-card-verdantwilds
5142,islands-queue-card-verdantwilds-druids
5143,islands-queue-card-verdantwilds-furbolgs
5144,islands-queue-card-verdantwilds-keepers
5145,islands-queue-card-whisperingreef
5146,islands-queue-card-whisperingreef-makrura
5147,islands-queue-card-whisperingreef-murlocs
5148,islands-queue-card-whisperingreef-naga
5149,islands-queue-card-rottingmire
5150,GarrMissionLocation-SilverpineForest
5151,GarrMissionLocation-HillsbradFoothills
5152,GarrMissionLocation-ArathiHighlands
5153,GarrMissionLocation-Azshara
5154,GarrMissionLocation-Ashenvale
5155,GarrMissionLocation-Darkshore
5156,GarrMissionLocation-Durotar
5157,GarrMissionLocation-NorthernBarrens
5158,GarrMissionLocation-SouthernBarrens
5159,GarrMissionLocation-Nazmir
5160,GarrMissionLocation-Zuldazar
5161,GarrMissionLocation-Voldun
5162,GarrMissionLocation-Stormsong
5163,GarrMissionLocation-Drustvar
5164,GarrMissionLocation-TiragardeSound
5166,talenttree-horde
5167,talenttree-alliance
5168,FlightMaster_Ferry
5169,Blue
5170,warfront_alliance_right
5171,warfront_horde_right
5174,darkshore_warfront_alliance_arch_druid
5175,darkshore_warfront_alliance_archer
5176,darkshore_warfront_alliance_call_of_nature
5177,darkshore_warfront_alliance_chimaera
5178,darkshore_warfront_alliance_druid
5179,darkshore_warfront_alliance_dryad
5180,darkshore_warfront_alliance_faerie_dragon
5181,darkshore_warfront_alliance_glaive_thrower
5182,darkshore_warfront_alliance_huntress
5183,darkshore_warfront_alliance_keeper_of_the_grove
5184,darkshore_warfront_alliance_sentinel
5185,darkshore_warfront_alliance_tree_of_ages
5186,darkshore_warfront_alliance_tree_of_eternity
5187,darkshore_warfront_alliance_tree_of_life
5188,warfront_alliance_double
5189,warfront_horde_double
5190,darkshore_warfront_horde_deathguard
5191,darkshore_warfront_horde_deadshot
5192,darkshore_warfront_horde_alchemist
5193,darkshore_warfront_horde_lancer
5194,darkshore_warfront_horde_catapult
5195,darkshore_warfront_horde_town_hall_1
5196,darkshore_warfront_horde_town_hall_2
5197,darkshore_warfront_horde_town_hall_3
5198,darkshore_warfront_horde_abomination
5199,darkshore_warfront_horde_banshee
5200,darkshore_warfront_horde_azermek
5201,LegionInvasion
5202,HordeAssault
5203,AllianceAssault
5204,darkshore_warfront_horde_putrid_abomination
5205,darkshore_warfront_horde_vile_screecher
5206,GarrMissionLocation-Islands
5207,islands-queue-card-havenswood-cultist
5208,islands-queue-card-havenswood
5209,islands-queue-card-havenswood-faceless
5210,islands-queue-card-havenswood-worgen
5211,islands-queue-card-jorundall
5212,islands-queue-card-jorundall-taunka
5213,islands-queue-card-jorundall-vargul
5214,islands-queue-card-jorundall-vrykul
5215,azerite_ore_and_wood
5216,ctf_flags
5217,ab_capPts
5218,orbs
5219,dg_capPts
5220,eots_capPts
5221,bfg_capPts
5222,sm_carts
5223,UI-Frame-Horde-Ribbon
5252,marine
5253,brewfest-chowdown
5254,factions
5255,boss
5256,lfd
5257,azsharawards
5258,GarrMissionLocation-Mechagon
5259,GarrMissionLocation-Nazjatar
5260,mechagon
5261,islands-queue-card-snowblossom-mogu
5262,islands-queue-card-snowblossom
5263,islands-queue-card-snowblossom-mantid
5264,islands-queue-card-snowblossom-vermin
5265,islands-queue-card-crestfall-pirates
5266,islands-queue-card-crestfall
5267,islands-queue-card-crestfall-orc
5268,islands-queue-card-crestfall-dragon
5269,brewfest-shield
5270,Aether Diversion - Bastion - Temple of Purity
5271,target
5272,Cleanse-reforger
5273,talenttree-mother
5274,jailerstower
5275,jailerstower
5277,NzothScenario-Tracker
5278,NzothScenario
5279,Revendreth
5280,Bastion
5281,jailerstower-scenario
5282,Maldraxxus
5283,Kyrian
5284,Oribos
5285,Venthyr
5287,Necrolord
5288,830
5289,GarrZoneAbility-TradingPost
5290,bastion-zone-ability
5291,GarrZoneAbility-Stables
5292,GarrZoneAbility-BarracksHorde
5293,GarrZoneAbility-BarracksAlliance
5294,GarrZoneAbility-TrainingPit
5295,GarrZoneAbility-Workshop
5296,GarrZoneAbility-MageTower
5297,GarrZoneAbility-LumberMill
5298,GarrZoneAbility-Inn
5299,GarrZoneAbility-Armory
5300,Interface\ExtraButton\Championlight
5301,Ardenweald
5302,Fey
5303,revendreth-zone-ability
5304,Necrolords
5305,NightFae
5306,GarrMissionLocation-Ardenweald
5307,GarrMissionLocation-Bastion
5308,GarrMissionLocation-Maldraxxus
5309,GarrMissionLocation-Revendreth
5310,ardenweald-zone-ability
5311,maldraxxus-zone-ability
5312,Niya
5313,Dreamweaver
5314,Draven
5315,Marileth
5316,Emeni
5317,Korayn
5318,Pelagos
5319,Heirmir
5320,Kleia
5321,bastionarmor
5322,Mikanikos
5323,mixingpool-lefticon
5324,mixingpool-midicon
5325,mixingpool-righticon
5326,White
5327,Nadjia
5328,Theotar
5329,white
5331,casualformal-embercourt
5332,humbledecadent-embercourt
5333,messyclean-embercourt
5334,relaxingexciting-embercourt
5335,safedangerous-embercourt
5336,npe-guide
5337,eyeofthejailer
5338,eyeofthejailer-state0
5339,eyeofthejailer-state1
5340,eyeofthejailer-state2
5341,eyeofthejailer-state3
5342,eyeofthejailer-state4
5343,eyeofthejailer-state5
5344,KyrianChoice
5345,VenthyrChoice
5346,NecrolordsChoice
5347,NightFaeChoice
5348,eyeofthejailer
5349,EmberCourtScenario
5351,EmberCourtScenario-Tracker
5352,skoldushall
5353,mortregar
5354,fracturechambers
5355,coldheartinterstitia
5356,soulforges
5357,theupperreaches
5358,twistingcorridors
5359,jailerstower-skull-1
5360,jailerstower-scenario-skull1
5361,kyrian-scenario
5362,Shadowlands
5363,mixingpool-frame
5364,901
5365,902
5366,GarrMissionLocation-Maw
5367,FlightMaster_Bastion
5388,jailerstower-score
5389,jailerstower-score-gem
5390,jailerstower-score-disabled-gem
5391,jailerstower-score-max-gem
5392,jailerstower-score-gem-icon
5393,jailerstower-score-disabled-gem-icon
5394,GarrMissionLocation-Tazavesh
5395,Filling
5396,jailerstower-scorebar
5397,OribosGreatVault
5398,jailerstower-scorebar-pause
5399,jailerstower-scenario-nodeaths
5400,talenttree-torghast
5401,jailerstower-scorebar-full
5402,jailerstower-highlight-row
5403,910
5404,9102
5405,torghast-empowered
5406,jailerstower-scorebar-onfire
5407,jailerstower-scorebar-backgroundglow
5408,SecretsoftheFirstOnes
5409,GarrMissionLocation-ZerethMortis
5410,ProgLan
5411,FlightMaster_Progenitor
5412,legendaryscrapper
5414,cypherpower
5415,cyphertalents
5416,915
5417,cypher-customization
5418,bastionanima-horizontal
5419,cypher-customization
5420,cypherchoice
5421,cypher-zone-ability
5422,cypher-zone-ability-2
5423,progenitor-extrabutton
5424,cosmic-bar
5425,widgetstatusbar
5426,cosmic-bar-runes-bg
5427,FlightMaster_ProgenitorObelisk
5428,generic-extrabutton
5429,cyphersetupgrade
5430,925
5431,9252
5434,ui-ej-icon-empoweredraid
5442,920
5443,9202
5453,alchemy
5454,blacksmithing
5455,cooking
5456,enchanting
5457,engineering
5458,fishing
5459,herbalism
5460,inscription
5461,jewelcrafting
5462,leatherworking
5463,mining
5464,skinning
5465,tailoring
5466,Azurespan
5467,Dracthyrawaken
5468,Dragonflight
5469,Ohnplains
5470,Thaldraszus
5471,Walkingshore
5473,dragonflight-scenario
5474,dragonflight-score
5475,dragonriding-widget-raceposition
5476,dragonriding-widget-reticle
5477,Expedition
5478,Centaur
5479,Valdrakken
5480,Tuskarr
5481,expeditiontalents
5482,1001
5483,1002
5484,1003
5485,dragonriding_vigor
5486,FlightMaster_AncientWaygate
5487,centaurtalents
5489,1001
5490,islands-questbang
5491,covenantsanctum-renown-divider-nightfae
5492,1004
5493,genericplayerchoice
5501,completiondialog-dragonflightcampaign
5502,completiondialog-dragonflightcampaign-divider
5503,completiondialog-dragonflightcampaign-worldquests-icon
5504,completiondialog-dragonflightcampaign-adventuremode-icon
5505,completiondialog-dragonflightcampaign-majorfactions-icon
5506,darkmoonlights
5508,furblan
5509,stormcapture
5510,water
5511,earth
5512,air
5514,1007
5517,voidzone-scenario
5518,Purple
5519,darkmoon-faire-Bar
5520,itembelt-frame
5522,zaralekcavern
5526,switch-slots-key-2x
5527,FlightMaster_Cave
5528,Niffen
5529,1005
5530,FlightMaster_Cave
5531,exilesreach
5532,1010
5533,10102
5534,Attack
5535,Warning
5536,OnMyWay
5537,Assist
5538,Threat
5539,NonThreat
5540,1015
5541,genericwidgetbar
5542,emeralddream
5543,dragonriding_sgvigor
5544,gold
5545,silver
5546,bronze
5547,dark
5548,1025
5549,winterveil
5551,delves-difficulty-picker
5552,Dream
5553,1020
5554,evergreen-scenario
5555,diamond
5556,plain
5557,mappinglowblue
5558,mappinglowgreen
5559,plunderstorm-toast-finish-lose
5560,plunderstorm-toast-finish-win
5561,plunderstorm-scenariotracker-active
5562,plunderstorm-scenariotracker-waiting
5563,plunderstorm-stormbar
5564,plunderstorm
5565,plunderstorm-actionbar-tabswappable-background
5566,10262
5567,pirateday
5568,pandaria
5569,1027_dont_use
5570,1027
5571,plunderstorm-toast-levelup-background
5572,1026
5575,guildfinder-card
5576,activities-ribbon
5578,storm
5579,candle
5580,flame
5581,web
5582,10271
5583,1027
5586,thewarwithin
5587,tokens-changefaction
5588,tokens-changename
5589,tokens-changerace
5590,tokens-charactertransfer
5594,tokens-wow-dragonflight
5595,tokens-wow-generic
5596,completiondialog-warwithincampaign-earthen-icon
5597,completiondialog-warwithincampaign-worldquests-icon
5598,completiondialog-warwithincampaign-adventuremode-icon
5599,completiondialog-warwithincampaign-divider
5600,completiondialog-warwithincampaign
5601,echoes-icon-active
5602,
5603,delve-entrance-background-fungal-folly
5604,delves-affix-ring
5605,delve-entrance-background-earthcrawl-mines
5606,delve-entrance-background-kriegvals-rest
5607,delve-entrance-background-nightfall-sanctum
5608,delve-entrance-background-the-underkeep
5609,delve-entrance-background-mycomancer-cavern
5610,delve-entrance-background-the-waterworks
5611,delve-entrance-background-tak-rethan-abyss
5612,delve-entrance-background-the-sinkhole
5613,delve-entrance-background-the-spiral-weave
5614,delve-entrance-background-skittering-breach
5615,delve-entrance-background-the-dread-pit
5616,delve-entrance-background-zekvirs-lair
5617,echoes-icon-inactive
5619,11.0.0
5620,delves-scenario
5622,evergreen
5623,thewarwithin-scenario
5624,1100
5629,delves-scenario-treasure-available
5630,delves-scenario-treasure-unavailable
5631,delves-scenario-flag
