ID,TreasureID,Field_11_0_0_55000_001,Field_11_0_0_55000_002,NPCCraftingOrderSetID
105,128337,10,0,75
106,128347,5,0,75
107,128357,1,0,75
108,128317,100,0,76
109,128327,25,0,76
110,128337,10,0,76
111,128347,5,0,76
112,128357,1,0,76
113,128374,100,0,83
114,128375,25,0,83
115,128376,10,0,83
116,128377,5,0,83
117,128378,1,0,83
118,128374,100,0,84
119,128375,25,0,84
120,128376,10,0,84
121,128377,5,0,84
122,128378,1,0,84
123,128374,100,0,85
124,128375,25,0,85
125,128376,10,0,85
126,128377,5,0,85
127,128378,1,0,85
128,128318,50,0,26
129,128328,25,0,26
130,128338,10,0,26
131,128348,5,0,26
132,128358,1,0,26
133,128319,150,0,27
134,128329,50,0,27
135,128339,25,0,27
136,128349,10,0,27
137,128359,1,0,27
138,128320,40,0,28
139,128330,20,0,28
140,128340,10,0,28
141,128350,5,0,28
142,128360,1,0,28
143,128318,50,0,44
144,128328,25,0,44
145,128338,10,0,44
146,128348,5,0,44
147,128358,1,0,44
148,128319,150,0,45
149,128329,50,0,45
150,128339,25,0,45
151,128349,10,0,45
152,128359,1,0,45
153,128320,40,0,46
154,128330,20,0,46
155,128340,10,0,46
156,128350,5,0,46
157,128360,1,0,46
158,128318,50,0,44
159,128328,25,0,44
160,128338,10,0,44
161,128348,5,0,44
162,128358,1,0,44
163,128319,150,0,45
164,128329,50,0,45
165,128339,25,0,45
166,128349,10,0,45
167,128359,1,0,45
168,128320,40,0,46
169,128330,20,0,46
170,128340,10,0,46
171,128350,5,0,46
172,128360,1,0,46
173,128318,50,0,53
174,128328,25,0,53
175,128338,10,0,53
176,128348,5,0,53
177,128358,1,0,53
178,128319,150,0,54
179,128329,50,0,54
180,128339,25,0,54
181,128349,10,0,54
182,128359,1,0,54
183,128320,40,0,55
184,128330,20,0,55
185,128340,10,0,55
186,128350,5,0,55
187,128360,1,0,55
188,128318,50,0,62
189,128328,25,0,62
190,128338,10,0,62
191,128348,5,0,62
192,128358,1,0,62
193,128319,150,0,63
194,128329,50,0,63
195,128339,25,0,63
196,128349,10,0,63
197,128359,1,0,63
198,128320,40,0,64
199,128330,20,0,64
200,128340,10,0,64
201,128350,5,0,64
202,128360,1,0,64
203,128318,50,0,71
204,128328,25,0,71
205,128338,10,0,71
206,128348,5,0,71
207,128358,1,0,71
208,128319,150,0,72
209,128329,50,0,72
210,128339,25,0,72
211,128349,10,0,72
212,128359,1,0,72
213,128320,40,0,73
214,128330,20,0,73
215,128340,10,0,73
216,128350,5,0,73
217,128360,1,0,73
218,128318,50,0,80
219,128328,25,0,80
220,128338,10,0,80
221,128348,5,0,80
222,128358,1,0,80
223,128319,150,0,81
224,128329,50,0,81
225,128339,25,0,81
226,128349,10,0,81
227,128359,1,0,81
228,128320,40,0,82
229,128330,20,0,82
230,128340,10,0,82
231,128350,5,0,82
232,128360,1,0,82
233,128318,50,0,89
234,128328,25,0,89
235,128338,10,0,89
236,128348,5,0,89
237,128358,1,0,89
238,128319,150,0,90
239,128329,50,0,90
240,128339,25,0,90
241,128349,10,0,90
242,128359,1,0,90
243,128320,40,0,91
244,128330,20,0,91
245,128340,10,0,91
246,128350,5,0,91
247,128360,1,0,91
248,128318,50,0,35
249,128328,25,0,35
250,128338,10,0,35
251,128348,5,0,35
252,128358,1,0,35
253,128319,150,0,36
254,128329,50,0,36
255,128339,25,0,36
256,128349,10,0,36
257,128359,1,0,36
258,128320,40,0,37
259,128330,20,0,37
260,128340,10,0,37
261,128350,5,0,37
262,128360,1,0,37
263,133906,100,0,95
264,133907,25,0,95
265,133908,10,0,95
266,133909,5,0,95
267,133910,1,0,95
268,133906,100,0,96
269,133907,25,0,96
270,133908,10,0,96
271,133909,5,0,96
272,133910,1,0,96
273,133906,100,0,97
274,133907,25,0,97
275,133908,10,0,97
276,133909,5,0,97
277,133910,1,0,97
278,134024,50,0,101
279,134025,25,0,101
280,134026,10,0,101
281,134027,5,0,101
282,134028,1,0,101
283,134029,50,0,102
284,134030,25,0,102
285,134031,10,0,102
286,134032,5,0,102
287,134033,1,0,102
288,133998,50,0,103
289,133997,25,0,103
290,133996,10,0,103
291,133995,5,0,103
292,133994,1,0,103
293,134014,50,0,104
294,134015,25,0,104
295,134016,10,0,104
296,134017,5,0,104
297,134018,1,0,104
298,133999,50,0,105
299,134000,25,0,105
300,134001,10,0,105
301,134002,5,0,105
302,134003,1,0,105
303,134009,50,0,106
304,134010,25,0,106
305,134011,10,0,106
306,134012,5,0,106
307,134013,1,0,106
308,134019,50,0,107
309,134020,25,0,107
310,134021,10,0,107
311,134022,5,0,107
312,134023,1,0,107
313,134004,50,0,108
314,134005,25,0,108
315,134006,10,0,108
316,134007,5,0,108
317,134008,1,0,108
318,133911,100,0,109
319,133912,25,0,109
320,133913,10,0,109
321,133914,5,0,109
322,133915,1,0,109
323,133911,100,0,110
324,133912,25,0,110
325,133913,10,0,110
326,133914,5,0,110
327,133915,1,0,110
328,133911,100,0,111
329,133912,25,0,111
330,133913,10,0,111
331,133914,5,0,111
332,133915,1,0,111
333,133931,100,0,115
334,133932,25,0,115
335,133933,10,0,115
336,133934,5,0,115
337,133935,1,0,115
338,133931,100,0,116
339,133932,25,0,116
340,133933,10,0,116
341,133934,5,0,116
342,133935,1,0,116
343,133931,100,0,117
344,133932,25,0,117
345,133933,10,0,117
346,133934,5,0,117
347,133935,1,0,117
348,133916,100,0,121
349,133917,25,0,121
350,133918,10,0,121
351,133919,5,0,121
352,133920,1,0,121
353,133916,100,0,122
354,133917,25,0,122
355,133918,10,0,122
356,133919,5,0,122
357,133920,1,0,122
358,133916,100,0,123
359,133917,25,0,123
360,133918,10,0,123
361,133919,5,0,123
362,133920,1,0,123
363,133921,100,0,127
364,133922,25,0,127
365,133923,10,0,127
366,133924,5,0,127
367,133925,1,0,127
368,133921,100,0,128
369,133922,25,0,128
370,133923,10,0,128
371,133924,5,0,128
372,133925,1,0,128
373,133921,100,0,129
374,133922,25,0,129
375,133923,10,0,129
376,133924,5,0,129
377,133925,1,0,129
378,133936,100,0,133
379,133937,25,0,133
380,133938,10,0,133
381,133939,5,0,133
382,133940,1,0,133
383,133936,100,0,134
384,133937,25,0,134
385,133938,10,0,134
386,133939,5,0,134
387,133940,1,0,134
388,133936,100,0,135
389,133937,25,0,135
390,133938,10,0,135
391,133939,5,0,135
392,133940,1,0,135
393,133901,100,0,139
394,133902,25,0,139
395,133903,10,0,139
396,133904,5,0,139
397,133905,1,0,139
398,133901,100,0,140
399,133902,25,0,140
400,133903,10,0,140
401,133904,5,0,140
402,133905,1,0,140
403,133901,100,0,141
404,133902,25,0,141
405,133903,10,0,141
406,133904,5,0,141
407,133905,1,0,141
408,133926,100,0,145
409,133927,25,0,145
410,133928,10,0,145
411,133929,5,0,145
412,133930,1,0,145
413,133926,100,0,146
414,133927,25,0,146
415,133928,10,0,146
416,133929,5,0,146
417,133930,1,0,146
418,133926,100,0,147
419,133927,25,0,147
420,133928,10,0,147
421,133929,5,0,147
422,133930,1,0,147
423,134035,40,0,151
424,134036,20,0,151
425,134037,10,0,151
426,134038,5,0,151
427,134039,1,0,151
428,134040,40,0,152
429,134041,20,0,152
430,134042,10,0,152
431,134043,5,0,152
432,134044,1,0,152
433,134045,40,0,153
434,134046,20,0,153
435,134047,10,0,153
436,134048,5,0,153
437,134049,1,0,153
438,134050,40,0,154
439,134051,20,0,154
440,134052,10,0,154
441,134053,5,0,154
442,134054,1,0,154
443,134055,40,0,155
444,134056,20,0,155
445,134057,10,0,155
446,134058,5,0,155
447,134059,1,0,155
448,134060,40,0,156
449,134061,20,0,156
450,134062,10,0,156
451,134063,5,0,156
452,134064,1,0,156
453,134065,40,0,157
454,134066,20,0,157
455,134067,10,0,157
456,134068,5,0,157
457,134069,1,0,157
458,134070,40,0,158
459,134071,20,0,158
460,134072,10,0,158
461,134073,5,0,158
462,134074,1,0,158
463,134019,50,0,159
464,134020,25,0,159
465,134021,10,0,159
466,134022,5,0,159
467,134023,1,0,159
468,133998,50,0,160
469,133997,25,0,160
470,133996,10,0,160
471,133995,5,0,160
472,133994,1,0,160
473,134029,50,0,161
474,134030,25,0,161
475,134031,10,0,161
476,134032,5,0,161
477,134033,1,0,161
478,134014,50,0,162
479,134015,25,0,162
480,134016,10,0,162
481,134017,5,0,162
482,134018,1,0,162
483,134009,50,0,163
484,134010,25,0,163
485,134011,10,0,163
486,134012,5,0,163
487,134013,1,0,163
488,134024,50,0,164
489,134025,25,0,164
490,134026,10,0,164
491,134027,5,0,164
492,134028,1,0,164
493,134004,50,0,165
494,134005,25,0,165
495,134006,10,0,165
496,134007,5,0,165
497,134008,1,0,165
498,133999,50,0,166
499,134000,25,0,166
500,134001,10,0,166
501,134002,5,0,166
502,134003,1,0,166
