Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
BRL,R$ %s,R$ %s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",11,986,0,833
AUD,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",12,36,0,833
SGD,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",13,702,0,833
CPT,%s*,%s Battle Coins,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:18|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:19|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",14,15,32,848
TPT,NT$%s,NT$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:10|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:20|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",15,16,36,840
XTS,%s XTS,%s XTS,,16,963,2,960
XHG,,,,17,17,7,0
XXX,,,,18,999,7,0
XSG,,,,19,19,7,0
XPG,,,,20,20,7,0
XTU,,,,21,21,2,0
XTE,,,,22,22,2,0
XTK,,,,23,23,2,0
XTW,,,,24,24,2,0
XTC,,,,25,25,2,0
XDC,,,,26,26,7,0
XTX,,,,27,28,2,0
JPY,¥%s,¥%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",28,392,4,833
CAD,CAD %s,CAD %s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",29,124,0,833
NZD,NZD %s,NZD %s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",30,554,0,833
GEL,GEL %s,GEL %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",31,981,16,836
TRY,TRY %s,TRY %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",32,949,16,2020
KZT,KZT %s,KZT %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",33,398,16,836
UAH,UAH %s,UAH %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",34,980,16,836
HKD,HK$%s,HK$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:10|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:20|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",35,344,16,840
AED,AED %s,AED %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",38,784,16,836
BGN,%s лв,%s лв,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",39,975,16,836
CHF,Fr. %s,Fr. %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",40,756,16,836
CZK,CZK %s,CZK %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",41,203,16,836
DKK,kr. %s,kr. %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",42,208,16,836
ILS,ILS %s,ILS %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",43,376,16,836
NOK,%s kr,%s kr,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",44,578,16,836
PLN,%s zł,%s zł,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",45,985,16,836
QAR,QAR %s,QAR %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",46,634,16,836
RSD,%s din,%s din,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",47,941,16,836
SAR,SAR %s,SAR %s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",48,682,16,836
SEK,%s kr,%s kr,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",49,752,16,836
CRC,CRC %s,CRC %s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",50,188,16,833
IDR,Rp%s,Rp%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",51,360,16,833
INR,INR %s,INR %s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",52,356,16,833
MYR,RM%s,RM%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",53,458,16,833
THB,THB %s,THB %s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",54,764,16,833
UYU,$U%s,$U%s ,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",55,858,16,833
