ID,FailureDescription_lang,PlayerConditionID,OrderIndex,MapDifficultyID
4214,You are not high enough level for this Dungeon.,159274,1,24
4215,,113325,0,6334
4216,You are not high enough level for this Dungeon.,159274,1,6334
4217,You are not high enough level for this Dungeon.,159274,1,28
4218,,113325,0,6335
4219,You are not high enough level for this Dungeon.,159274,1,6335
4220,You are not high enough level for this Dungeon.,159274,1,30
4221,,113325,0,6336
4222,You are not high enough level for this Dungeon.,159274,1,6336
4223,,113325,0,35
4224,You are not high enough level for this Dungeon.,159274,1,35
4225,,113325,0,6337
4226,You are not high enough level for this Dungeon.,159274,1,6337
4227,You are not high enough level for this Dungeon.,159263,1,6013
4228,,113325,0,6338
4229,You are not high enough level for this Dungeon.,159263,1,6338
4230,,113325,0,6226
4231,You are not high enough level for this Dungeon.,159263,1,6226
4232,,113325,0,6339
4233,You are not high enough level for this Dungeon.,159263,1,6339
4234,You are not high enough level for this Dungeon.,159265,1,5923
4235,,113325,0,6340
4236,You are not high enough level for this Dungeon.,159265,1,6340
4237,You are not high enough level for this Dungeon.,159265,1,6012
4238,,113325,0,6341
4239,You are not high enough level for this Dungeon.,159265,1,6341
4240,,113325,0,5935
4241,You are not high enough level for this Dungeon.,159268,1,5935
4242,,113325,0,6342
4243,You are not high enough level for this Dungeon.,159268,1,6342
4244,You are not high enough level for this Dungeon.,159268,1,6144
4245,,113325,0,6145
4246,You are not high enough level for this Dungeon.,159268,1,6145
4247,You are not high enough level for this Dungeon.,159270,1,6008
4248,,113325,0,6343
4249,You are not high enough level for this Dungeon.,159270,1,6343
4250,,113325,0,5941
4251,You are not high enough level for this Dungeon.,159271,1,5941
4252,,113325,0,6344
4253,You are not high enough level for this Dungeon.,159271,1,6344
4254,You are not high enough level for this Dungeon.,159274,1,6015
4255,,113325,0,6345
4256,You are not high enough level for this Dungeon.,159274,1,6345
4257,This Dungeon is currently not available.,159310,2,33
4258,This Dungeon is currently not available.,159310,2,5250
4259,This Dungeon is currently not available.,159311,2,6226
4260,This Dungeon is currently not available.,159311,2,6339
4261,This Dungeon is currently not available.,159312,2,6013
4262,This Dungeon is currently not available.,159312,2,6338
4263,This Dungeon is currently not available.,159313,2,13
4264,This Dungeon is currently not available.,159313,2,5240
4265,This Dungeon is currently not available.,159314,2,10
4266,This Dungeon is currently not available.,159314,2,5239
4267,This Dungeon is currently not available.,159315,2,7
4268,This Dungeon is currently not available.,159316,2,8
4269,This Dungeon is currently not available.,159316,2,5238
4270,This Dungeon is currently not available.,159317,2,16
4271,This Dungeon is currently not available.,159317,2,5242
4272,This Dungeon is currently not available.,159318,2,6012
4273,This Dungeon is currently not available.,159318,2,6341
4274,This Dungeon is currently not available.,159319,2,18
4275,This Dungeon is currently not available.,159319,2,5244
4276,This Dungeon is currently not available.,159320,2,5923
4277,This Dungeon is currently not available.,159320,2,6340
4278,This Dungeon is currently not available.,159321,2,15
4279,This Dungeon is currently not available.,159321,2,5241
4280,This Dungeon is currently not available.,159322,2,22
4281,This Dungeon is currently not available.,159322,2,5247
4282,This Dungeon is currently not available.,159323,2,5935
4283,This Dungeon is currently not available.,159323,2,6342
4284,This Dungeon is currently not available.,159324,2,20
4285,This Dungeon is currently not available.,159324,2,5246
4286,This Dungeon is currently not available.,159325,2,6144
4287,This Dungeon is currently not available.,159325,2,6145
4288,This Dungeon is currently not available.,159326,2,17
4289,This Dungeon is currently not available.,159326,2,5243
4290,This Dungeon is currently not available.,159327,2,23
4291,This Dungeon is currently not available.,159327,2,5248
4292,This Dungeon is currently not available.,67461,2,5249
4293,This Dungeon is currently not available.,159328,2,6008
4294,This Dungeon is currently not available.,159328,2,6343
4295,This Dungeon is currently not available.,159329,2,19
4296,This Dungeon is currently not available.,159329,2,5245
4297,This Dungeon is currently not available.,159331,2,25
4298,This Dungeon is currently not available.,159331,2,5251
4299,This Dungeon is currently not available.,159332,2,5941
4300,This Dungeon is currently not available.,159332,2,6344
4301,This Dungeon is currently not available.,159333,2,24
4302,This Dungeon is currently not available.,159333,2,6334
4303,This Dungeon is currently not available.,159334,2,28
4304,This Dungeon is currently not available.,159334,2,6335
4305,This Dungeon is currently not available.,159335,2,30
4306,This Dungeon is currently not available.,159335,2,6336
4307,This Dungeon is currently not available.,67462,2,6337
4308,This Dungeon is currently not available.,159336,2,6015
4309,This Dungeon is currently not available.,159336,2,6345
