ID,RankIndex,SpellID,AuraPointsOverride,SoulbindConduitID
298,14,336616,24,24
299,0,336632,15,25
300,1,336632,16.8,25
301,2,336632,18,25
302,3,336632,19.5,25
303,4,336632,21,25
304,5,336632,22.5,25
305,6,336632,24,25
306,7,336632,25.5,25
307,8,336632,27,25
308,9,336632,28.5,25
309,10,336632,30,25
310,11,336632,31.5,25
311,12,336632,33,25
312,13,336632,34.5,25
313,14,336632,36,25
314,0,336636,-2000,26
315,1,336636,-2200,26
316,2,336636,-2400,26
317,3,336636,-2600,26
318,4,336636,-2800,26
319,5,336636,-3000,26
320,6,336636,-3200,26
321,7,336636,-3400,26
322,8,336636,-3600,26
323,9,336636,-3800,26
324,10,336636,-4000,26
325,11,336636,-4200,26
326,12,336636,-4400,26
327,13,336636,-4600,26
328,14,336636,-4800,26
330,0,336191,200,27
331,1,336191,220,27
332,2,336191,240,27
333,3,336191,260,27
334,4,336191,280,27
335,5,336191,300,27
336,6,336191,320,27
337,7,336191,340,27
338,8,336191,360,27
339,9,336191,380,27
340,10,336191,400,27
341,11,336191,420,27
342,12,336191,440,27
343,13,336191,460,27
344,14,336191,480,27
345,0,336773,6.25,28
346,1,336773,6.875,28
347,2,336773,7.5,28
348,3,336773,8.125,28
349,4,336773,8.75,28
350,5,336773,9.375,28
351,6,336773,10,28
352,7,336773,10.625,28
353,8,336773,11.25,28
354,9,336773,11.875,28
355,10,336773,12.5,28
356,11,336773,13.125,28
357,12,336773,13.75,28
358,13,336773,14.375,28
359,14,336773,15,28
360,0,336777,25,29
361,1,336777,27.5,29
362,2,336777,30,29
363,3,336777,32.5,29
364,4,336777,35,29
365,5,336777,37.5,29
366,6,336777,40,29
367,7,336777,42.5,29
368,8,336777,45,29
369,9,336777,47.5,29
370,10,336777,50,29
371,11,336777,52.5,29
372,12,336777,55,29
373,13,336777,57.5,29
374,14,336777,60,29
375,0,336821,7,30
376,1,336821,7.7,30
377,2,336821,8.4,30
378,3,336821,9.1,30
379,4,336821,9.8,30
380,5,336821,10.5,30
381,6,336821,11.2,30
382,7,336821,11.9,30
383,8,336821,12.6,30
384,9,336821,13.3,30
385,10,336821,14,30
386,11,336821,14.7,30
387,12,336821,15.4,30
388,13,336821,16.1,30
389,14,336821,16.8,30
390,0,336812,50,31
391,1,336812,55,31
392,2,336812,60,31
393,3,336812,65,31
394,4,336812,70,31
395,5,336812,75,31
396,6,336812,80,31
397,7,336812,85,31
398,8,336812,90,31
399,9,336812,95,31
400,10,336812,100,31
401,11,336812,105,31
402,12,336812,110,31
403,13,336812,115,31
404,14,336812,120,31
406,0,336852,8,32
407,1,336852,8.8,32
408,2,336852,9.6,32
409,3,336852,10.4,32
410,4,336852,11.2,32
411,5,336852,12,32
412,6,336852,12.8,32
413,7,336852,13.6,32
414,8,336852,14.4,32
415,9,336852,15.2,32
416,10,336852,16,32
417,11,336852,16.8,32
418,12,336852,17.6,32
419,13,336852,18.4,32
420,14,336852,19.2,32
430,0,336853,12,33
431,1,336853,13.2,33
432,2,336853,14.4,33
433,3,336853,15.6,33
434,4,336853,16.8,33
435,5,336853,18,33
436,6,336853,19.2,33
437,7,336853,20.4,33
438,8,336853,21.6,33
439,9,336853,22.8,33
440,10,336853,24,33
441,11,336853,25.2,33
442,12,336853,26.4,33
443,13,336853,27.6,33
444,14,336853,28.8,33
445,0,336873,3,34
446,1,336873,3.3,34
447,2,336873,3.6,34
448,3,336873,3.9,34
449,4,336873,4.2,34
450,5,336873,4.5,34
451,6,336873,4.8,34
452,7,336873,5.1,34
453,8,336873,5.4,34
454,9,336873,5.7,34
455,10,336873,6,34
456,11,336873,6.3,34
457,12,336873,6.6,34
458,13,336873,6.9,34
459,14,336873,7.2,34
460,0,336884,400,35
461,1,336884,440,35
462,2,336884,480,35
463,3,336884,520,35
464,4,336884,560,35
465,5,336884,600,35
466,6,336884,640,35
467,7,336884,680,35
468,8,336884,720,35
469,9,336884,760,35
470,10,336884,800,35
471,11,336884,840,35
472,12,336884,880,35
473,13,336884,920,35
474,14,336884,960,35
475,0,336886,6,36
476,1,336886,6.6,36
477,2,336886,7.2,36
478,3,336886,7.8,36
479,4,336886,8.4,36
480,5,336886,9,36
481,6,336886,9.6,36
482,7,336886,10.2,36
483,8,336886,10.8,36
484,9,336886,11.4,36
485,10,336886,12,36
486,11,336886,12.6,36
487,12,336886,13.2,36
488,13,336886,13.8,36
489,14,336886,14.4,36
490,0,336890,-62.5,37
491,1,336890,-68.75,37
492,2,336890,-75,37
493,3,336890,-81.25,37
494,4,336890,-87.5,37
495,5,336890,-93.75,37
496,6,336890,-100,37
497,7,336890,-106.25,37
498,8,336890,-112.5,37
499,9,336890,-118.75,37
500,10,336890,-125,37
501,11,336890,-131.25,37
502,12,336890,-137.5,37
503,13,336890,-143.75,37
504,14,336890,-150,37
505,0,336992,-1000,38
506,1,336992,-1100,38
507,2,336992,-1200,38
508,3,336992,-1300,38
509,4,336992,-1400,38
510,5,336992,-1500,38
511,6,336992,-1600,38
512,7,336992,-1700,38
513,8,336992,-1800,38
514,9,336992,-1900,38
515,10,336992,-2000,38
516,11,336992,-2100,38
517,12,336992,-2200,38
518,13,336992,-2300,38
519,14,336992,-2400,38
520,0,336999,12000,39
521,1,336999,13200,39
522,2,336999,14400,39
523,3,336999,15600,39
524,4,336999,16800,39
525,5,336999,18000,39
526,6,336999,19200,39
527,7,336999,20400,39
528,8,336999,21600,39
529,9,336999,22800,39
530,10,336999,24000,39
531,11,336999,25200,39
532,12,336999,26400,39
533,13,336999,27600,39
534,14,336999,28800,39
535,0,337058,5,40
536,1,337058,5.5,40
537,2,337058,6,40
538,3,337058,6.5,40
539,4,337058,7,40
540,5,337058,7.5,40
541,6,337058,8,40
542,7,337058,8.5,40
543,8,337058,9,40
544,9,337058,9.5,40
545,10,337058,10,40
546,11,337058,10.5,40
547,12,337058,11,40
548,13,337058,11.5,40
549,14,337058,12,40
550,0,337078,12.5,41
551,1,337078,13.75,41
552,2,337078,15,41
553,3,337078,16.25,41
554,4,337078,17.5,41
555,5,337078,18.75,41
556,6,337078,20,41
557,7,337078,21.25,41
558,8,337078,22.5,41
559,9,337078,23.75,41
560,10,337078,25,41
561,11,337078,26.25,41
562,12,337078,27.5,41
563,13,337078,28.75,41
564,14,337078,30,41
565,0,337084,60,42
566,1,337084,66,42
567,2,337084,72,42
568,3,337084,78,42
569,4,337084,84,42
570,5,337084,90,42
571,6,337084,96,42
572,7,337084,102,42
573,8,337084,108,42
574,9,337084,114,42
575,10,337084,120,42
576,11,337084,126,42
577,12,337084,132,42
578,13,337084,138,42
579,14,337084,144,42
580,0,337087,2,43
581,1,337087,2.2,43
582,2,337087,2.4,43
583,3,337087,2.6,43
584,4,337087,2.8,43
585,5,337087,3,43
586,6,337087,3.2,43
587,7,337087,3.4,43
588,8,337087,3.6,43
589,9,337087,3.8,43
590,10,337087,4,43
591,11,337087,4.2,43
592,12,337087,4.4,43
593,13,337087,4.6,43
594,14,337087,4.8,43
595,0,337099,12.5,44
596,1,337099,13.75,44
597,2,337099,15,44
598,3,337099,16.25,44
599,4,337099,17.5,44
600,5,337099,18.75,44
601,6,337099,20,44
602,7,337099,21.25,44
603,8,337099,22.5,44
604,9,337099,23.75,44
605,10,337099,25,44
606,11,337099,26.25,44
607,12,337099,27.5,44
608,13,337099,28.75,44
609,14,337099,30,44
610,0,337123,5.5,45
611,1,337123,6.05,45
612,2,337123,6.6,45
613,3,337123,7.15,45
614,4,337123,7.7,45
615,5,337123,8.25,45
616,6,337123,8.8,45
617,7,337123,9.35,45
618,8,337123,9.9,45
619,9,337123,10.45,45
620,10,337123,11,45
621,11,337123,11.55,45
622,12,337123,12.1,45
623,13,337123,12.65,45
624,14,337123,13.2,45
625,0,337119,7.5,46
626,1,337119,8.25,46
627,2,337119,9,46
628,3,337119,9.75,46
629,4,337119,10.5,46
630,5,337119,11.25,46
631,6,337119,12,46
632,7,337119,12.75,46
633,8,337119,13.5,46
634,9,337119,14.25,46
635,10,337119,15,46
636,11,337119,15.75,46
637,12,337119,16.5,46
638,13,337119,17.25,46
639,14,337119,18,46
640,0,337134,18.75,47
641,1,337134,20.625,47
642,2,337134,22.5,47
643,3,337134,24.375,47
644,4,337134,26.25,47
645,5,337134,28.125,47
646,6,337134,30,47
647,7,337134,31.875,47
648,8,337134,33.75,47
649,9,337134,35.625,47
650,10,337134,37.5,47
651,11,337134,39.375,47
652,12,337134,41.25,47
653,13,337134,43.125,47
654,14,337134,45,47
655,0,337136,25,48
656,1,337136,27.5,48
657,2,337136,30,48
658,3,337136,32.5,48
659,4,337136,35,48
660,5,337136,37.5,48
661,6,337136,40,48
662,7,337136,42.5,48
663,8,337136,45,48
664,9,337136,47.5,48
665,10,337136,50,48
666,11,337136,52.5,48
667,12,337136,55,48
668,13,337136,57.5,48
669,14,337136,60,48
670,0,337154,30,49
671,1,337154,33,49
672,2,337154,36,49
673,3,337154,39,49
674,4,337154,42,49
675,5,337154,45,49
676,6,337154,48,49
677,7,337154,51,49
678,8,337154,54,49
679,9,337154,57,49
680,10,337154,60,49
681,11,337154,63,49
682,12,337154,66,49
683,13,337154,69,49
684,14,337154,72,49
685,0,337162,20,50
686,1,337162,21.5,50
687,2,337162,23,50
688,3,337162,24.5,50
689,4,337162,26,50
690,5,337162,27.5,50
691,6,337162,29,50
692,7,337162,30.5,50
693,8,337162,32,50
694,9,337162,33.5,50
695,10,337162,35,50
696,11,337162,36.5,50
697,12,337162,38,50
698,13,337162,39.5,50
699,14,337162,41,50
700,0,337192,6,51
701,1,337192,6.6,51
702,2,337192,7.2,51
703,3,337192,7.8,51
704,4,337192,8.4,51
705,5,337192,9,51
706,6,337192,9.6,51
707,7,337192,10.2,51
708,8,337192,10.8,51
709,9,337192,11.4,51
710,10,337192,12,51
711,11,337192,12.6,51
712,12,337192,13.2,51
713,13,337192,13.8,51
714,14,337192,15,51
715,0,337214,240,52
716,1,337214,264,52
717,2,337214,288,52
718,3,337214,312,52
719,4,337214,336,52
720,5,337214,360,52
721,6,337214,384,52
722,7,337214,408,52
723,8,337214,432,52
724,9,337214,456,52
725,10,337214,480,52
726,11,337214,504,52
727,12,337214,528,52
728,13,337214,552,52
729,14,337214,576,52
730,0,337224,2.5,53
731,1,337224,2.75,53
732,2,337224,3,53
733,3,337224,3.25,53
734,4,337224,3.5,53
735,5,337224,3.75,53
736,6,337224,4,53
737,7,337224,4.25,53
738,8,337224,4.5,53
739,9,337224,4.75,53
740,10,337224,5,53
741,11,337224,5.25,53
742,12,337224,5.5,53
743,13,337224,5.75,53
744,14,337224,6,53
745,0,337241,18.75,54
746,1,337241,20.625,54
747,2,337241,22.5,54
748,3,337241,24.375,54
749,4,337241,26.25,54
750,5,337241,28.125,54
751,6,337241,30,54
752,7,337241,31.875,54
753,8,337241,33.75,54
754,9,337241,35.625,54
755,10,337241,37.5,54
756,11,337241,39.375,54
757,12,337241,41.25,54
758,13,337241,43.125,54
759,14,337241,45,54
760,0,337240,40,55
761,1,337240,44,55
762,2,337240,48,55
763,3,337240,52,55
764,4,337240,56,55
765,5,337240,60,55
766,6,337240,64,55
767,7,337240,68,55
768,8,337240,72,55
769,9,337240,76,55
770,10,337240,80,55
771,11,337240,84,55
772,12,337240,88,55
773,13,337240,92,55
774,14,337240,96,55
775,0,337250,25,56
776,1,337250,27.5,56
777,2,337250,30,56
778,3,337250,32.5,56
779,4,337250,35,56
780,5,337250,37.5,56
781,6,337250,40,56
782,7,337250,42.5,56
783,8,337250,45,56
784,9,337250,47.5,56
785,10,337250,50,56
786,11,337250,52.5,56
787,12,337250,55,56
788,13,337250,57.5,56
789,14,337250,60,56
790,0,337264,25,57
791,1,337264,27.5,57
792,2,337264,30,57
793,3,337264,32.5,57
794,4,337264,35,57
795,5,337264,37.5,57
796,6,337264,40,57
797,7,337264,42.5,57
798,8,337264,45,57
799,9,337264,47.5,57
800,10,337264,50,57
801,11,337264,52.5,57
802,12,337264,55,57
803,13,337264,57.5,57
804,14,337264,60,57
805,0,337275,45,58
806,1,337275,49.5,58
807,2,337275,54,58
808,3,337275,58.5,58
809,4,337275,63,58
810,5,337275,67.5,58
811,6,337275,72,58
812,7,337275,76.5,58
813,8,337275,81,58
814,9,337275,85.5,58
815,10,337275,90,58
816,11,337275,94.5,58
817,12,337275,99,58
818,13,337275,103.5,58
819,14,337275,108,58
820,0,337286,1,59
821,1,337286,1.1,59
822,2,337286,1.2,59
823,3,337286,1.3,59
824,4,337286,1.4,59
825,5,337286,1.5,59
826,6,337286,1.6,59
827,7,337286,1.7,59
828,8,337286,1.8,59
829,9,337286,1.9,59
830,10,337286,2,59
831,11,337286,2.1,59
832,12,337286,2.2,59
833,13,337286,2.3,59
834,14,337286,2.4,59
835,0,337295,40,60
836,1,337295,44,60
837,2,337295,48,60
838,3,337295,52,60
839,4,337295,56,60
840,5,337295,60,60
841,6,337295,64,60
842,7,337295,68,60
843,8,337295,72,60
844,9,337295,76,60
845,10,337295,80,60
846,11,337295,84,60
847,12,337295,88,60
848,13,337295,92,60
849,14,337295,96,60
850,0,337293,4,61
851,1,337293,4.4,61
852,2,337293,4.8,61
853,3,337293,5.2,61
854,4,337293,5.6,61
855,5,337293,6,61
856,6,337293,6.4,61
857,7,337293,6.8,61
858,8,337293,7.2,61
859,9,337293,7.6,61
860,10,337293,8,61
861,11,337293,8.4,61
862,12,337293,8.8,61
863,13,337293,9.2,61
864,14,337293,9.6,61
865,0,337301,36.25,62
866,1,337301,39.875,62
867,2,337301,43.5,62
868,3,337301,47.125,62
869,4,337301,50.75,62
870,5,337301,54.375,62
871,6,337301,58,62
872,7,337301,61.625,62
873,8,337301,65.25,62
874,9,337301,68.875,62
875,10,337301,72.5,62
876,11,337301,76.125,62
877,12,337301,79.75,62
878,13,337301,83.375,62
879,14,337301,87,62
880,0,337303,21,63
881,1,337303,23.1,63
882,2,337303,25.2,63
883,3,337303,27.3,63
884,4,337303,29.4,63
885,5,337303,31.5,63
886,6,337303,33.6,63
887,7,337303,35.7,63
888,8,337303,37.8,63
889,9,337303,39.9,63
890,10,337303,42,63
891,11,337303,44.1,63
892,12,337303,46.2,63
893,13,337303,48.3,63
894,14,337303,50.4,63
895,0,337302,24,64
896,1,337302,26.4,64
897,2,337302,28.8,64
898,3,337302,31.2,64
899,4,337302,33.6,64
900,5,337302,36,64
901,6,337302,38.4,64
902,7,337302,40.8,64
903,8,337302,43.2,64
904,9,337302,45.6,64
905,10,337302,48,64
906,11,337302,50.4,64
907,12,337302,52.8,64
908,13,337302,55.2,64
909,14,337302,57.6,64
910,0,337381,6,65
911,1,337381,6.6,65
912,2,337381,7.2,65
913,3,337381,7.8,65
914,4,337381,8.4,65
915,5,337381,9,65
916,6,337381,9.6,65
917,7,337381,10.2,65
918,8,337381,10.8,65
919,9,337381,11.4,65
920,10,337381,12,65
921,11,337381,12.6,65
922,12,337381,13.2,65
923,13,337381,13.8,65
924,14,337381,14.4,65
925,0,337662,-6,66
926,1,337662,-6.6,66
927,2,337662,-7.2,66
928,3,337662,-7.8,66
929,4,337662,-8.4,66
930,5,337662,-9,66
931,6,337662,-9.6,66
932,7,337662,-10.2,66
933,8,337662,-10.8,66
934,9,337662,-11.4,66
935,10,337662,-12,66
936,11,337662,-12.6,66
937,12,337662,-13.2,66
938,13,337662,-13.8,66
939,14,337662,-14.4,66
940,0,337678,-20000,67
941,1,337678,-22000,67
942,2,337678,-24000,67
943,3,337678,-26000,67
944,4,337678,-28000,67
945,5,337678,-30000,67
946,6,337678,-32000,67
947,7,337678,-34000,67
948,8,337678,-36000,67
949,9,337678,-38000,67
950,10,337678,-40000,67
951,11,337678,-42000,67
952,12,337678,-44000,67
953,13,337678,-46000,67
954,14,337678,-48000,67
955,0,337704,-20000,68
956,1,337704,-22000,68
957,2,337704,-24000,68
958,3,337704,-26000,68
959,4,337704,-28000,68
960,5,337704,-30000,68
961,6,337704,-32000,68
962,7,337704,-34000,68
963,8,337704,-36000,68
964,9,337704,-38000,68
965,10,337704,-40000,68
966,11,337704,-42000,68
967,12,337704,-44000,68
968,13,337704,-46000,68
969,14,337704,-48000,68
970,0,337707,-15,69
971,1,337707,-16.5,69
972,2,337707,-18,69
973,3,337707,-19.5,69
974,4,337707,-21,69
975,5,337707,-22.5,69
976,6,337707,-24,69
977,7,337707,-25.5,69
978,8,337707,-27,69
979,9,337707,-28.5,69
980,10,337707,-30,69
981,11,337707,-31.5,69
982,12,337707,-33,69
983,13,337707,-34.5,69
984,14,337707,-36,69
985,0,337705,100,70
986,1,337705,110,70
987,2,337705,120,70
988,3,337705,130,70
989,4,337705,140,70
990,5,337705,150,70
991,6,337705,160,70
992,7,337705,170,70
993,8,337705,180,70
994,9,337705,190,70
995,10,337705,200,70
996,11,337705,210,70
997,12,337705,220,70
998,13,337705,230,70
999,14,337705,240,70
1000,0,337715,13,71
1001,1,337715,14.3,71
1002,2,337715,15.6,71
1003,3,337715,16.9,71
1004,4,337715,18.2,71
1005,5,337715,19.5,71
1006,6,337715,20.8,71
1007,7,337715,22.1,71
1008,8,337715,23.4,71
1009,9,337715,24.7,71
1010,10,337715,26,71
1011,11,337715,27.3,71
1012,12,337715,28.6,71
1013,13,337715,29.9,71
1014,14,337715,31.2,71
1015,0,337748,6,72
1016,1,337748,6.6,72
1017,2,337748,7.2,72
1018,3,337748,7.8,72
1019,4,337748,8.4,72
1020,5,337748,9,72
1021,6,337748,9.6,72
1022,7,337748,10.2,72
1023,8,337748,10.8,72
1024,9,337748,11.4,72
1025,10,337748,12,72
1026,11,337748,12.6,72
1027,12,337748,13.2,72
1028,13,337748,13.8,72
1029,14,337748,14.4,72
1030,0,337762,6,73
1031,1,337762,6.6,73
1032,2,337762,7.2,73
1033,3,337762,7.8,73
1034,4,337762,8.4,73
1035,5,337762,9,73
1036,6,337762,9.6,73
1037,7,337762,10.2,73
1038,8,337762,10.8,73
1039,9,337762,11.4,73
1040,10,337762,12,73
1041,11,337762,12.6,73
1042,12,337762,13.2,73
1043,13,337762,13.8,73
1044,14,337762,14.4,73
1045,0,337764,2000,74
1046,0,337778,40,75
1047,1,337778,44,75
1048,2,337778,48,75
1049,3,337778,52,75
1050,4,337778,56,75
1051,5,337778,60,75
1052,6,337778,64,75
1053,7,337778,68,75
1054,8,337778,72,75
1055,9,337778,76,75
1056,10,337778,80,75
1057,11,337778,84,75
1058,12,337778,88,75
1059,13,337778,92,75
1060,14,337778,96,75
1061,1,337764,2200,74
1062,2,337764,2400,74
1063,3,337764,2600,74
1064,4,337764,2800,74
1065,5,337764,3000,74
1066,6,337764,3200,74
1067,7,337764,3400,74
1068,8,337764,3600,74
1069,9,337764,3800,74
1070,10,337764,4000,74
1071,11,337764,4200,74
1072,12,337764,4400,74
1073,13,337764,4600,74
1074,14,337764,4800,74
1075,0,337786,15,76
1076,1,337786,16.5,76
1077,2,337786,18,76
1078,3,337786,19.5,76
1079,4,337786,21,76
1080,5,337786,22.5,76
1081,6,337786,24,76
1082,7,337786,25.5,76
1083,8,337786,27,76
1084,9,337786,28.5,76
1085,10,337786,30,76
1086,11,337786,31.5,76
1087,12,337786,33,76
1088,13,337786,34.5,76
1089,14,337786,36,76
1090,0,337790,5,77
1091,1,337790,5.5,77
1092,2,337790,6,77
1093,3,337790,6.5,77
1094,4,337790,7,77
1095,5,337790,7.5,77
1096,6,337790,8,77
1097,7,337790,8.5,77
1098,8,337790,9,77
1099,9,337790,9.5,77
1100,10,337790,10,77
1101,11,337790,10.5,77
1102,12,337790,11,77
1103,13,337790,11.5,77
1104,14,337790,12,77
1105,0,337811,13,78
1106,1,337811,14.3,78
1107,2,337811,15.6,78
1108,3,337811,16.9,78
1109,4,337811,18.2,78
1110,5,337811,19.5,78
1111,6,337811,20.8,78
1112,7,337811,22.1,78
1113,8,337811,23.4,78
1114,9,337811,24.7,78
1115,10,337811,26,78
1116,11,337811,27.3,78
1117,12,337811,28.6,78
1118,13,337811,29.9,78
1119,14,337811,31.2,78
1120,0,337822,6,79
1121,1,337822,6.6,79
1122,2,337822,7.2,79
1123,3,337822,7.8,79
1124,4,337822,8.4,79
1125,5,337822,9,79
1126,6,337822,9.6,79
1127,7,337822,10.2,79
1128,8,337822,10.8,79
1129,9,337822,11.4,79
1130,10,337822,12,79
1131,11,337822,12.6,79
1132,12,337822,13.2,79
1133,13,337822,13.8,79
1134,14,337822,14.4,79
1135,0,337884,15,80
1136,1,337884,16.5,80
1137,2,337884,18,80
1138,3,337884,19.5,80
1139,4,337884,21,80
1140,5,337884,22.5,80
1141,6,337884,24,80
1142,7,337884,25.5,80
1143,8,337884,27,80
1144,9,337884,28.5,80
1145,10,337884,30,80
1146,11,337884,31.5,80
1147,12,337884,33,80
1148,13,337884,34.5,80
1149,14,337884,36,80
1150,0,337891,30,81
1151,1,337891,33,81
1152,2,337891,36,81
1153,3,337891,39,81
