ID,SpellVisualKitId1,SpellVisualKitId2,ModelFileID[0],ModelFileID[1],ModelFileID[2],ModelFileID[3],ModelFileID[4]
192,0,0,462739,462739,462739,462739,462739
193,0,0,463430,166009,463430,166009,463430
194,0,0,462741,462741,462741,462741,462741
195,0,0,166029,463287,166033,463287,166033
196,0,0,462737,462737,462737,462737,462737
197,0,0,166006,165995,165995,165995,165995
198,0,0,463287,463430,462737,462739,462741
199,0,0,462739,166032,166032,166032,166032
200,0,0,165995,165990,165995,165990,165995
201,0,0,462741,166004,166003,166004,166003
213,0,0,166033,166033,166033,166033,166033
219,0,0,241018,241018,241018,241018,241018
220,0,0,524053,524053,524053,524053,524053
221,0,0,527951,527951,527951,527951,527951
222,0,0,527951,0,527951,0,527951
229,0,0,0,0,166020,0,0
235,0,0,166028,165995,166028,165995,166028
236,0,0,166029,166011,166011,166010,166009
237,0,0,165995,622694,165995,622694,165995
238,0,0,622696,622696,622696,622696,622696
239,0,0,165995,166006,165995,166006,165995
242,0,0,0,0,166029,166029,166029
243,0,0,166331,166331,166331,166331,166331
244,0,0,0,0,0,166918,0
245,0,0,0,0,0,527951,0
246,0,0,0,610475,0,610475,0
247,0,0,613807,0,613807,0,0
248,0,0,0,0,531943,0,0
249,0,0,464036,464036,464036,464036,464036
250,0,0,166838,166838,166838,166838,166838
251,0,0,622152,0,0,0,0
252,0,0,166026,166035,166035,166026,166035
253,0,0,464037,0,0,0,464037
254,0,0,0,0,0,0,0
255,0,0,796582,0,0,0,0
257,0,0,804539,804539,804539,804539,804539
258,0,0,0,531943,0,531943,0
259,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0
263,0,0,0,0,0,166023,0
264,0,0,794788,794788,794788,794788,794788
265,0,0,0,0,527951,0,0
266,0,0,463287,463287,0,0,463287
267,0,0,0,622862,0,0,0
270,0,0,0,166017,0,166018,166020
271,0,0,166336,0,0,0,0
272,0,0,166331,0,0,0,0
273,0,0,166016,166018,166017,166021,166023
274,0,0,0,0,0,0,527951
275,0,0,166006,165990,165990,166006,165990
276,0,0,165995,165994,165995,165995,165995
280,0,0,0,0,953311,0,0
281,0,0,969717,969717,969717,969717,969717
282,0,0,0,0,0,0,796544
283,0,0,165995,166026,165995,166026,165995
284,0,0,970098,970098,970096,970096,970098
285,0,0,969717,969717,969719,969719,969717
286,0,0,969798,969798,970258,969798,166015
287,0,0,969796,969796,969794,969794,969796
290,0,0,166006,166006,166006,166006,166006
291,0,0,166930,166930,166930,166930,166930
292,0,0,651668,651668,651668,651668,651668
293,0,0,0,0,0,0,0
294,0,0,0,0,0,0,586025
295,0,0,970096,970096,970096,970096,970096
296,0,0,970098,970098,970098,970098,970098
297,0,0,969719,969719,969719,969719,969719
298,0,0,953311,953311,953294,953294,953311
299,0,0,0,0,0,969719,0
300,0,0,0,0,0,969719,969719
301,0,0,969794,969794,969794,969794,969794
302,0,0,0,0,969796,969796,0
303,0,0,796544,796544,796544,796544,796544
304,0,0,971061,0,0,0,0
305,0,0,970422,970422,970422,970422,970422
306,0,0,0,166017,0,0,0
307,0,0,0,1031587,0,0,0
308,0,0,0,0,0,0,166060
309,0,0,0,0,0,0,0
310,0,0,943270,0,0,0,0
311,0,0,425966,425966,425966,425966,425966
312,0,0,166838,166838,166838,166838,166838
313,0,0,970422,970422,970422,970422,970422
314,0,0,1087046,1087046,1087046,1087046,1087046
315,0,0,469750,0,0,0,0
316,0,0,0,0,943270,0,0
317,0,0,937221,937221,937221,937221,937221
320,0,0,0,0,0,0,166335
321,0,0,0,0,0,1109483,0
322,0,0,943270,943270,943270,943270,943270
323,0,0,984698,984698,984698,984698,984698
324,0,0,937077,937077,0,0,937077
325,0,0,0,0,804539,804539,0
327,0,0,1315161,1315161,1315161,1315161,1315161
328,0,0,0,0,1058981,0,1058981
329,0,0,1058981,0,0,0,0
330,0,0,1036812,0,0,0,0
332,0,0,0,0,0,794788,0
333,0,0,0,166813,0,166813,0
334,0,0,0,0,0,166336,0
335,0,0,0,0,0,166813,0
336,0,0,1315161,1315161,1315161,1315161,0
337,0,0,1315162,1315162,1315162,1315162,1315162
338,0,0,166030,0,0,0,0
339,0,0,462739,462739,462739,462739,462739
340,0,0,166336,0,0,0,0
341,0,0,166336,0,0,166336,166336
342,0,0,0,0,0,0,804539
343,0,0,970419,970419,970419,970419,970419
344,0,0,166008,166008,166008,166008,166008
345,0,0,166003,166003,166003,166003,166003
346,0,0,1392610,1392610,1392610,1392610,1392610
347,0,0,1392611,1392611,1392611,1392611,1392611
348,0,0,1601594,1601594,1601594,1601594,1601594
352,0,0,1990243,1990235,1990234,1990236,1990231
453,0,0,0,0,2086123,0,0
454,0,0,1315163,1315163,1315163,1315163,1315163
456,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0
465,0,0,166006,166006,166006,166006,166006
466,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0
483,0,0,1392610,1392610,1392610,1392610,1392610
484,0,0,0,0,0,0,0
485,0,0,1392610,1392610,1392610,1392610,1392610
486,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0
491,0,0,166016,166018,166017,166021,166023
492,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0
497,0,0,0,0,0,0,0
498,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0
500,0,0,166016,166018,166017,166021,166023
501,0,0,166016,166018,166017,166021,166023
502,0,0,166013,166013,166013,166013,166013
503,0,0,166031,166031,166031,166031,166031
504,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0
507,0,0,0,0,0,0,0
508,145703,146229,0,0,0,0,0
511,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0
513,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0
515,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0
525,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0
538,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0
547,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0
549,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0
556,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0
558,0,0,0,0,0,0,0
559,0,0,0,0,0,0,0
560,0,0,0,0,0,0,0
561,0,0,0,0,0,0,0
562,0,0,0,0,0,0,0
563,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0
567,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0
570,0,0,0,0,0,0,0
571,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0
573,0,0,0,0,0,0,0
574,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0
578,0,0,0,0,0,0,0
579,0,0,0,0,0,0,0
580,0,0,0,0,0,0,0
581,0,0,0,0,0,0,0
582,0,0,0,0,0,0,0
583,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0
595,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0
597,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0
601,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0
603,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0
606,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0
613,0,0,0,0,0,0,0
614,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0
618,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0
628,0,0,0,0,0,166024,0
629,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0
631,0,0,0,0,0,0,0
633,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0
637,0,0,0,0,0,0,0
648,0,0,0,0,0,0,0
649,0,0,0,0,0,0,0
650,0,0,0,0,0,0,0
651,0,0,0,0,0,0,0
674,0,0,0,0,0,0,0
675,0,0,0,0,0,0,0
676,0,0,0,0,0,0,0
677,0,0,0,0,0,0,0
678,0,0,0,0,0,0,0
679,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0
728,0,0,0,0,0,0,0
