ID,GarrAbilityID,AbilityAction,AbilityTargetType,GarrMechanicTypeID,CombatWeightBase,CombatWeightMax,ActionValueFlat,ActionRace,ActionHours,ActionRecordID,Flags
306,55,0,6,61,100,100,0,0,0,0,0
307,56,0,6,62,100,100,0,0,0,0,0
308,57,0,6,63,100,100,0,0,0,0,0
309,58,0,6,67,100,100,0,0,0,0,0
310,59,0,6,64,100,100,0,0,0,0,0
311,60,0,6,65,100,100,0,0,0,0,0
312,61,0,6,66,100,100,0,0,0,0,0
313,252,5,1,0,150,150,0,15,0,0,0
314,253,5,1,0,150,150,0,28,0,0,0
315,254,5,1,0,150,150,0,36,0,0,0
316,255,5,1,0,150,150,0,29,0,0,0
317,252,5,1,0,150,150,0,30,0,0,0
318,253,5,1,0,150,150,0,41,0,0,0
319,255,5,1,0,150,150,0,33,0,0,0
320,254,5,1,0,150,150,0,42,0,0,0
322,256,8,1,0,0,0,3,0,0,824,0
325,257,2,0,0,300,300,0,0,0,0,0
328,260,0,0,87,1000,1000,0,0,0,0,0
329,261,0,0,74,1000,1000,0,0,0,0,0
330,262,0,0,75,1000,1000,0,0,0,0,0
331,263,0,0,73,1000,1000,0,0,0,0,0
332,264,0,0,76,1000,1000,0,0,0,0,0
333,265,0,0,77,300,300,0,0,0,0,0
334,266,0,0,78,300,300,0,0,0,0,0
335,267,0,0,79,300,300,0,0,0,0,0
336,268,0,0,80,300,300,0,0,0,0,0
337,269,0,0,81,300,300,0,0,0,0,0
338,270,0,0,82,300,300,0,0,0,0,0
339,271,0,0,83,300,300,0,0,0,0,0
340,272,0,0,84,300,300,0,0,0,0,0
341,273,15,0,0,50,50,0,0,0,0,0
342,274,2,0,0,100,100,0,0,0,0,0
343,275,20,1,0,0,0,0,0,0,0,0
344,276,6,0,0,150,150,0,0,24,0,0
345,277,5,7,0,300,300,0,48,0,0,0
346,278,5,7,0,300,300,0,44,0,0,0
347,279,5,7,0,300,300,0,45,0,0,0
348,280,5,7,0,300,300,0,46,0,0,0
349,281,5,7,0,300,300,0,47,0,0,0
350,282,0,0,77,300,300,0,0,0,0,0
351,283,21,1,0,0,0,1,0,0,61471,0
352,284,0,0,79,300,300,0,0,0,0,0
353,285,4,2,0,0,0,1.5,0,0,0,0
354,286,21,1,0,0,0,1,0,0,61471,0
355,287,21,0,0,0,0,1,0,0,61471,0
356,288,17,1,0,0,0,0.5,0,0,0,0
357,289,17,1,0,0,0,0.5,0,0,0,0
358,290,21,1,0,0,0,1,0,0,61471,0
359,291,4,2,0,0,0,1.5,0,0,0,0
360,292,2,0,0,150,150,0,0,0,0,0
361,293,2,0,0,150,150,0,0,0,0,0
362,294,6,0,0,200,200,0,0,11,0,0
367,299,12,0,0,0,0,0,0,0,0,0
368,300,12,0,0,0,0,0,0,0,0,0
371,303,2,0,0,200,200,0,0,0,0,0
373,281,5,7,0,300,300,0,50,0,0,0
374,279,5,7,0,300,300,0,49,0,0,0
375,304,2,0,0,0,0,0,0,0,0,0
376,305,21,0,0,0,0,0,0,0,61461,0
377,306,0,0,88,300,300,0,0,0,0,0
380,307,0,0,1,300,400,0,0,0,0,0
381,308,0,0,9,300,400,0,0,0,0,0
382,309,0,0,2,300,400,0,0,0,0,0
383,310,0,0,7,300,400,0,0,0,0,0
384,311,0,0,8,300,400,0,0,0,0,0
385,312,0,0,6,300,400,0,0,0,0,0
386,313,0,0,10,300,400,0,0,0,0,0
387,314,8,0,0,0,0,2,0,0,1101,0
388,315,0,0,87,1000,1000,0,0,0,0,0
390,278,5,7,0,300,300,0,52,0,0,0
391,277,5,7,0,300,300,0,51,0,0,0
392,317,21,0,0,0,0,1,0,0,61621,0
393,318,2,0,0,100,100,0,0,0,0,0
394,319,4,2,0,0,0,1.5,0,0,0,0
395,320,21,1,0,0,0,1,0,0,61621,0
396,321,4,2,0,0,0,1.5,0,0,0,0
397,322,2,0,0,100,100,0,0,0,0,0
398,323,0,0,87,1000,1000,0,0,0,0,0
399,324,0,0,15,150,150,0,0,0,0,0
400,324,0,0,11,150,150,0,0,0,0,0
401,325,0,0,16,150,150,0,0,0,0,0
402,325,2,0,0,100,100,0,0,0,0,0
403,326,8,1,0,0,0,2,0,0,823,0
404,324,0,0,12,150,150,0,0,0,0,0
405,324,0,0,14,150,150,0,0,0,0,0
406,324,0,0,16,150,150,0,0,0,0,0
407,324,0,0,20,150,150,0,0,0,0,0
408,324,0,0,17,150,150,0,0,0,0,0
409,327,0,0,76,1000,1000,0,0,0,0,0
410,324,0,0,18,150,150,0,0,0,0,0
411,324,0,0,19,150,150,0,0,0,0,0
415,331,0,0,109,650,800,0,0,0,0,0
416,332,0,0,113,650,800,0,0,0,0,0
417,333,0,0,114,650,800,0,0,0,0,0
418,334,0,0,113,650,800,0,0,0,0,0
419,335,0,0,109,650,800,0,0,0,0,0
420,336,0,0,114,650,800,0,0,0,0,0
421,337,0,0,113,650,800,0,0,0,0,0
422,338,0,0,109,650,800,0,0,0,0,0
423,339,0,0,114,650,800,0,0,0,0,0
424,340,0,0,113,650,800,0,0,0,0,0
425,341,0,0,109,650,800,0,0,0,0,0
426,342,0,0,114,650,800,0,0,0,0,0
427,343,0,0,113,650,800,0,0,0,0,0
428,344,0,0,114,650,800,0,0,0,0,0
429,345,0,0,109,650,800,0,0,0,0,0
430,346,0,0,109,650,800,0,0,0,0,0
431,347,0,0,113,650,800,0,0,0,0,0
432,348,0,0,114,650,800,0,0,0,0,0
433,349,0,0,114,650,800,0,0,0,0,0
434,350,0,0,113,650,800,0,0,0,0,0
435,351,0,0,109,650,800,0,0,0,0,0
436,352,0,0,114,650,800,0,0,0,0,0
437,353,0,0,113,650,800,0,0,0,0,0
438,354,0,0,109,650,800,0,0,0,0,0
439,355,0,0,109,650,800,0,0,0,0,0
440,356,0,0,114,650,800,0,0,0,0,0
441,357,0,0,113,650,800,0,0,0,0,0
442,358,0,0,109,650,800,0,0,0,0,0
443,359,0,0,114,650,800,0,0,0,0,0
444,360,0,0,113,650,800,0,0,0,0,0
445,361,0,0,109,650,800,0,0,0,0,0
446,362,0,0,113,650,800,0,0,0,0,0
447,363,0,0,114,650,800,0,0,0,0,0
448,364,0,0,109,650,800,0,0,0,0,0
449,365,0,0,114,650,800,0,0,0,0,0
450,366,0,0,113,650,800,0,0,0,0,0
472,388,21,0,0,300,300,0,0,0,65641,0
473,389,6,0,0,200,200,0,0,8,0,0
477,393,2,0,0,0,0,0,0,0,0,0
478,394,26,1,0,0,0,20,0,0,596,0
488,404,17,0,0,0,0,0.03,0,0,0,0
490,406,17,0,0,0,0,0.07,0,0,0,0
491,407,22,1,0,0,0,15,0,0,67,0
492,408,22,1,0,0,0,15,0,0,66,0
494,410,2,0,0,0,0,200,0,0,0,0
496,412,0,0,110,650,650,0,0,0,0,0
497,413,14,0,0,0,1.3333333,50,0,0,0,0
498,414,12,0,0,0,0,0,0,0,0,0
499,415,12,0,0,0,0,0,0,0,0,0
500,416,0,0,115,650,650,0,0,0,0,0
501,417,0,0,121,650,650,0,0,0,0,0
502,418,21,0,0,0,0,0,0,0,67405,0
503,419,23,0,115,0,0,15,0,0,0,0
504,420,23,0,110,0,0,15,0,0,0,0
505,421,22,1,0,0,0,15,0,0,65,0
506,422,41,0,0,0,0,15,0,0,0,0
507,423,17,0,0,0,0,0.8,0,0,0,0
516,428,17,0,0,0,0,2,0,0,0,1
523,435,2,0,0,0,0,30,0,0,0,0
524,436,2,0,0,0,0,0,0,0,0,1
525,437,27,0,0,0,0,1,0,0,0,1
526,438,0,0,115,650,650,0,0,0,0,0
527,439,0,0,121,650,650,0,0,0,0,0
528,440,0,0,110,650,650,0,0,0,0,0
529,441,0,0,121,650,650,0,0,0,0,0
530,442,0,0,110,650,650,0,0,0,0,0
531,443,0,0,115,650,650,0,0,0,0,0
532,444,0,0,121,650,650,0,0,0,0,0
533,445,0,0,115,650,650,0,0,0,0,0
534,446,0,0,110,650,650,0,0,0,0,0
535,447,0,0,110,650,650,0,0,0,0,0
536,448,0,0,115,650,650,0,0,0,0,0
537,449,0,0,121,650,650,0,0,0,0,0
538,450,0,0,115,650,650,0,0,0,0,0
539,451,0,0,110,650,650,0,0,0,0,0
540,452,0,0,121,650,650,0,0,0,0,0
541,453,0,0,115,650,650,0,0,0,0,0
542,454,0,0,121,650,650,0,0,0,0,0
543,455,0,0,110,650,650,0,0,0,0,0
544,456,0,0,121,650,650,0,0,0,0,0
545,457,0,0,115,650,650,0,0,0,0,0
546,458,0,0,110,650,650,0,0,0,0,0
547,459,0,0,121,650,650,0,0,0,0,0
548,460,0,0,115,650,650,0,0,0,0,0
549,461,0,0,110,650,650,0,0,0,0,0
550,462,0,0,110,650,650,0,0,0,0,0
551,463,0,0,115,650,650,0,0,0,0,0
552,464,0,0,121,650,650,0,0,0,0,0
553,465,0,0,110,650,650,0,0,0,0,0
554,466,0,0,121,650,650,0,0,0,0,0
555,467,0,0,115,650,650,0,0,0,0,0
556,468,0,0,121,650,650,0,0,0,0,0
557,469,0,0,115,650,650,0,0,0,0,0
558,470,0,0,110,650,650,0,0,0,0,0
559,471,29,0,0,0,0,-20000,0,0,0,1
560,472,39,0,0,0,0,2,0,0,1220,1
561,473,30,0,0,0,0,500,0,0,0,1
562,474,31,0,0,0,0,-50,0,0,0,1
563,475,2,0,0,0,0,0.5,0,0,0,1
564,476,2,0,0,0,0,0.5,0,0,0,1
575,482,2,0,0,0,0,0,0,0,0,1
578,485,23,0,115,0,0,15,0,0,0,0
579,486,2,0,0,0,0,15,0,0,0,0
580,487,2,0,0,0,0,30,0,0,0,0
581,488,22,1,0,0,0,15,0,0,103,0
582,489,24,2,0,0,0,5,0,0,0,0
583,490,21,0,0,0,0,1,0,0,66593,0
584,491,6,0,0,0,0,15,0,8,0,0
585,492,17,0,0,0,0,0.8,0,0,0,0
586,493,22,1,0,0,0,15,0,0,102,0
588,494,21,0,0,0,0,20,0,0,66590,0
612,496,2,0,0,0,0,15,0,0,0,0
613,497,22,1,0,0,0,15,0,0,102,0
614,498,34,0,0,0,0,1,0,0,103,0
615,499,17,0,0,0,0,0.8,0,0,0,0
616,500,2,0,0,0,0,20,0,0,0,0
617,501,39,0,0,0,0,10,0,0,1220,0
618,502,41,0,0,0,0,15,0,0,0,0
619,503,24,2,0,0,0,5,0,0,0,0
620,504,21,0,0,0,0,1,0,0,67735,0
621,505,33,0,0,0,0,15,0,0,0,0
622,506,25,2,0,0,1,20,0,0,0,0
623,507,6,0,0,0,0,15,0,8,0,0
624,508,23,0,115,0,0,15,0,0,0,0
625,509,23,0,110,0,0,15,0,0,0,0
626,510,6,0,0,0,0,15,0,8,0,0
627,511,17,0,0,0,0,0.8,0,0,0,0
628,512,21,0,0,0,0,1,0,0,67360,0
629,513,23,0,115,0,0,15,0,0,0,0
630,514,22,1,0,0,0,15,0,0,98,0
631,515,22,1,0,0,0,15,0,0,97,0
632,516,22,1,0,0,0,15,0,0,86,0
633,517,2,0,0,0,0,15,0,0,0,0
634,518,2,1,0,0,0,20,0,0,0,0
635,519,2,0,0,0,0,30,0,0,0,0
636,520,23,0,115,0,0,15,0,0,0,0
637,521,2,0,0,0,0,15,0,0,0,0
638,522,2,0,0,0,0,20,0,0,0,0
640,524,22,1,0,0,0,15,0,0,115,0
641,525,41,0,0,0,0,15,0,0,0,0
642,526,22,1,0,0,0,15,0,0,85,0
644,528,23,0,115,0,0,15,0,0,0,0
645,529,23,0,113,0,0,15,0,0,0,0
646,530,17,0,0,0,0,0.8,0,0,0,0
647,531,2,0,0,0,0,30,0,0,0,0
648,532,23,0,121,0,0,15,0,0,0,0
649,533,23,0,115,0,0,15,0,0,0,0
650,534,23,0,110,0,0,15,0,0,0,0
651,535,2,0,0,0,0,30,0,0,0,0
654,529,23,0,114,0,0,15,0,0,0,0
655,529,23,0,109,0,0,15,0,0,0,0
656,537,23,0,115,0,0,15,0,0,0,0
657,538,35,0,0,0,1,50,0,0,0,0
658,539,39,0,0,0,0,0.7,0,0,1220,0
659,540,21,0,0,0,0,1,0,0,67406,0
660,541,22,1,0,0,0,15,0,0,81,0
661,542,23,0,110,0,0,15,0,0,0,0
662,543,22,1,0,0,0,15,0,0,82,0
663,544,17,0,0,0,0,0.8,0,0,0,0
664,545,22,1,0,0,0,15,0,0,73,0
665,546,17,0,0,0,0,2,0,0,0,1
666,547,6,0,0,0,0,15,0,8,0,0
669,548,23,0,115,0,0,15,0,0,0,0
672,549,22,1,0,0,0,15,0,0,72,0
673,550,21,0,0,0,0,1,0,0,66733,0
674,551,2,0,0,0,0,30,0,0,0,0
675,552,23,0,121,0,0,15,0,0,0,0
676,553,2,0,0,0,0,15,0,0,0,0
677,554,2,1,0,0,0,20,0,0,0,0
678,555,2,0,0,0,0,15,0,0,0,0
679,556,2,2,0,0,0,20,0,0,0,0
680,557,2,0,0,0,0,30,0,0,0,0
681,558,23,0,115,0,0,15,0,0,0,0
682,559,2,0,0,0,0,15,0,0,0,0
683,560,2,0,0,0,0,20,0,0,0,0
684,561,2,0,0,0,0,30,0,0,0,0
685,562,22,1,0,0,0,15,0,0,87,0
686,563,17,0,0,0,0,0.8,0,0,0,0
687,564,28,2,0,1,1,1,0,0,0,0
688,565,23,0,115,0,0,15,0,0,0,0
689,566,35,0,0,1,1,50,0,0,0,0
690,567,23,0,110,0,0,15,0,0,0,0
691,568,22,1,0,0,0,15,0,0,88,0
692,569,24,2,0,0,0,5,0,0,0,0
693,570,2,0,0,0,0,20,0,0,0,0
694,571,34,0,0,0,0,1,0,0,66,0
695,572,2,0,0,0,0,15,0,0,0,0
696,573,23,0,110,0,0,15,0,0,0,0
697,574,2,0,0,0,0,15,0,0,0,0
698,575,2,0,0,0,0,30,0,0,0,0
699,576,23,0,115,0,0,15,0,0,0,0
700,577,2,0,0,0,0,15,0,0,0,0
701,578,2,0,0,0,0,20,0,0,0,0
702,579,34,0,0,0,0,1,0,0,98,0
703,580,17,0,0,0,0,0.8,0,0,0,0
704,581,2,0,0,0,0,40,0,0,0,0
705,582,2,0,0,0,0,40,0,0,0,0
706,583,23,0,115,0,0,15,0,0,0,0
707,584,2,0,0,0,0,20,0,0,0,0
708,585,34,0,0,0,0,1,0,0,85,0
709,586,23,0,121,0,0,15,0,0,0,0
710,587,23,0,115,0,0,10,0,0,0,0
711,588,34,0,0,0,0,1,0,0,72,0
712,589,17,0,0,0,0,0.8,0,0,0,0
714,591,23,0,115,0,0,10,0,0,0,0
715,592,17,0,0,0,0,0.8,0,0,0,0
716,593,23,0,115,0,0,10,0,0,0,0
717,594,34,0,0,0,0,1,0,0,88,0
718,595,2,0,0,0,0,20,0,0,0,0
719,596,24,2,0,0,0,5,0,0,0,0
720,597,17,0,0,0,0,0.8,0,0,0,0
721,598,34,0,0,0,0,1,0,0,100,0
722,599,2,0,0,0,0,15,0,0,0,0
723,600,2,0,0,0,0,30,0,0,0,0
724,601,23,0,110,0,0,15,0,0,0,0
725,602,2,0,0,0,0,20,0,0,0,0
726,603,2,0,0,0,0,15,0,0,0,0
727,604,2,0,0,0,0,30,0,0,0,0
728,605,2,0,0,0,0,20,0,0,0,0
729,606,23,0,115,0,0,15,0,0,0,0
730,607,23,0,110,0,0,15,0,0,0,0
731,608,22,1,0,0,0,15,0,0,79,0
732,609,21,0,0,0,0,1,0,0,67101,0
733,610,23,0,115,0,0,15,0,0,0,0
734,611,17,0,0,0,0,0.8,0,0,0,0
735,612,23,0,115,0,0,15,0,0,0,0
736,612,23,0,110,0,0,15,0,0,0,0
737,613,22,1,0,0,0,15,0,0,80,0
738,614,2,0,0,0,0,20,0,0,0,0
739,615,34,0,0,0,0,1,0,0,80,0
740,616,23,0,115,0,0,10,0,0,0,0
741,617,2,0,0,0,0,15,0,0,0,0
742,618,2,0,0,0,0,20,0,0,0,0
743,619,2,0,0,0,0,30,0,0,0,0
744,620,2,0,0,0,0,30,0,0,0,0
745,621,22,1,0,0,0,15,0,0,75,0
746,622,23,0,110,0,0,15,0,0,0,0
747,623,23,0,115,0,0,15,0,0,0,0
748,624,35,0,0,0,1,50,0,0,0,0
749,625,23,0,115,0,0,15,0,0,0,0
750,626,41,0,0,0,0,15,0,0,0,0
751,627,22,1,0,0,0,15,0,0,76,0
752,628,17,0,0,0,0,0.8,0,0,0,0
753,629,34,0,0,0,0,1,0,0,76,0
754,630,23,0,110,0,0,10,0,0,0,0
755,631,22,1,0,0,0,10,0,0,75,0
756,632,2,2,0,0,0,15,0,0,0,0
757,633,2,2,0,0,0,30,0,0,0,0
758,634,21,2,0,0,0,1,0,0,67112,0
759,635,23,0,115,0,0,15,0,0,0,0
760,636,23,0,110,0,0,15,0,0,0,0
761,637,23,0,113,0,0,15,0,0,0,0
762,637,23,0,114,0,0,15,0,0,0,0
763,637,23,0,109,0,0,15,0,0,0,0
764,638,22,1,0,0,0,15,0,0,94,0
765,639,21,2,0,0,0,1,0,0,67112,0
766,640,28,2,0,-1,-1,1,0,0,0,0
767,641,6,0,0,0,0,15,0,8,0,0
768,642,21,0,0,0,0,1,0,0,67407,0
769,643,2,0,0,0,0,20,0,0,0,0
770,644,23,0,115,0,0,10,0,0,0,0
771,645,34,0,0,0,0,1,0,0,94,0
772,646,35,0,0,0,1,50,0,0,0,0
773,647,2,0,0,0,0,15,0,0,0,0
774,648,2,0,0,0,0,20,0,0,0,0
775,649,2,0,0,0,0,30,0,0,0,0
776,650,22,1,0,0,0,15,0,0,126,0
777,651,21,0,0,0,0,1,0,0,67146,0
778,652,23,0,110,0,0,15,0,0,0,0
779,653,35,0,0,1,1,50,0,0,0,0
780,654,22,1,0,0,0,15,0,0,91,0
781,655,6,0,0,0,0,15,0,8,0,0
782,656,22,1,0,0,0,15,0,0,92,0
783,657,24,2,0,0,0,5,0,0,0,0
784,658,34,0,0,0,0,1,0,0,92,0
785,659,2,0,0,0,0,20,0,0,0,0
786,660,28,2,0,-1,0,1,0,0,0,0
787,661,23,0,110,0,0,10,0,0,0,0
788,662,2,0,0,0,0,20,0,0,0,0
789,663,2,0,0,0,0,20,0,0,0,0
790,664,2,0,0,0,0,200,0,0,0,0
791,665,17,2,0,0,0,0,0,0,0,0
794,668,41,0,0,0,0,15,0,0,0,0
795,606,23,0,110,0,0,15,0,0,0,0
801,674,37,0,0,0,0,1,0,0,33,0
802,675,37,0,0,0,0,1,0,0,37,0
803,676,37,0,0,0,0,1,0,0,38,0
804,677,37,0,0,0,0,1,0,0,34,0
805,678,37,0,0,0,0,1,0,0,35,0
806,679,37,0,0,0,0,1,0,0,36,0
807,680,17,0,0,0,0,0.95,0,0,0,0
808,681,17,0,0,0,0,0.9,0,0,0,0
809,682,17,0,0,0,0,0.85,0,0,0,0
810,683,2,0,0,0,0,5,0,0,0,0
811,684,2,0,0,0,0,10,0,0,0,0
812,685,2,0,0,0,0,15,0,0,0,0
813,686,37,0,0,0,0,1,0,0,38,0
814,687,37,0,0,0,0,1,0,0,38,0
815,688,37,0,0,0,0,1,0,0,38,0
816,689,37,0,0,0,0,1,0,0,36,0
817,690,37,0,0,0,0,1,0,0,36,0
818,691,37,0,0,0,0,1,0,0,36,0
819,692,17,0,0,0,0,0.85,0,0,0,0
820,693,17,0,0,0,0,0.85,0,0,0,0
821,694,17,0,0,0,0,0.85,0,0,0,0
822,695,2,0,0,0,0,15,0,0,0,0
823,696,2,0,0,0,0,15,0,0,0,0
824,697,2,0,0,0,0,15,0,0,0,0
825,698,22,1,0,0,0,10,0,0,93,0
826,699,22,1,0,0,0,20,0,0,93,0
827,700,22,1,0,0,0,15,0,0,94,0
828,701,22,1,0,0,0,20,0,0,94,0
829,702,22,1,0,0,0,10,0,0,79,0
830,703,22,1,0,0,0,20,0,0,79,0
831,704,22,1,0,0,0,15,0,0,80,0
832,705,22,1,0,0,0,20,0,0,80,0
833,706,22,1,0,0,0,10,0,0,97,0
834,707,22,1,0,0,0,20,0,0,97,0
835,708,22,1,0,0,0,15,0,0,98,0
836,709,22,1,0,0,0,20,0,0,98,0
837,710,22,1,0,0,0,10,0,0,72,0
838,711,22,1,0,0,0,20,0,0,72,0
839,712,22,1,0,0,0,15,0,0,73,0
840,713,22,1,0,0,0,20,0,0,73,0
841,714,22,1,0,0,0,10,0,0,86,0
842,715,22,1,0,0,0,20,0,0,86,0
