ID,Difficulty[0],Difficulty[1],Difficulty[2],Difficulty[3],Difficulty[4],Difficulty[5],Difficulty[6],Difficulty[7],Difficulty[8],Difficulty[9]
68,0,27620,69050,138100,207150,276200,552400,828600,1104800,0
69,0,27855,69637,139274,208911,278548,557096,835644,1114192,0
70,0,28090,70225,140450,210675,280900,561800,842700,1123600,0
71,0,23400,58500,117000,175500,234000,468000,702000,936000,0
72,0,23400,58500,117000,175500,234000,468000,702000,936000,0
73,0,23400,58500,117000,175500,234000,468000,702000,936000,0
74,0,23400,58500,117000,175500,234000,468000,702000,936000,0
75,0,23400,58500,117000,175500,234000,468000,702000,936000,0
76,0,23400,58500,117000,175500,234000,468000,702000,936000,0
77,0,23400,58500,117000,175500,234000,468000,702000,936000,0
78,0,23400,58500,117000,175500,234000,468000,702000,936000,0
79,0,23400,58500,117000,175500,234000,468000,702000,936000,0
80,0,23400,58500,117000,175500,234000,468000,702000,936000,0
81,0,23400,58500,117000,175500,234000,468000,702000,936000,0
82,0,23400,58500,117000,175500,234000,468000,702000,936000,0
83,0,23400,58500,117000,175500,234000,468000,702000,936000,0
84,0,23400,58500,117000,175500,234000,468000,702000,936000,0
85,0,23400,58500,117000,175500,234000,468000,702000,936000,0
86,0,23400,58500,117000,175500,234000,468000,702000,936000,0
87,0,23400,58500,117000,175500,234000,468000,702000,936000,0
88,0,23400,58500,117000,175500,234000,468000,702000,936000,0
89,0,23400,58500,117000,175500,234000,468000,702000,936000,0
90,0,23400,58500,117000,175500,234000,468000,702000,936000,0
91,0,23400,58500,117000,175500,234000,468000,702000,936000,0
92,0,23400,58500,117000,175500,234000,468000,702000,936000,0
93,0,23400,58500,117000,175500,234000,468000,702000,936000,0
94,0,23400,58500,117000,175500,234000,468000,702000,936000,0
95,0,23400,58500,117000,175500,234000,468000,702000,936000,0
96,0,23400,58500,117000,175500,234000,468000,702000,936000,0
97,0,23400,58500,117000,175500,234000,468000,702000,936000,0
98,0,23400,58500,117000,175500,234000,468000,702000,936000,0
99,0,23400,58500,117000,175500,234000,468000,702000,936000,0
100,0,23400,58500,117000,175500,234000,468000,702000,936000,0
101,0,23400,58500,117000,175500,234000,468000,702000,936000,0
102,0,23400,58500,117000,175500,234000,468000,702000,936000,0
103,0,23400,58500,117000,175500,234000,468000,702000,936000,0
104,0,23400,58500,117000,175500,234000,468000,702000,936000,0
105,0,23400,58500,117000,175500,234000,468000,702000,936000,0
106,0,23400,58500,117000,175500,234000,468000,702000,936000,0
107,0,23400,58500,117000,175500,234000,468000,702000,936000,0
108,0,23400,58500,117000,175500,234000,468000,702000,936000,0
109,0,23400,58500,117000,175500,234000,468000,702000,936000,0
110,0,23400,58500,117000,175500,234000,468000,702000,936000,0
111,0,23400,58500,117000,175500,234000,468000,702000,936000,0
112,0,23400,58500,117000,175500,234000,468000,702000,936000,0
113,0,23400,58500,117000,175500,234000,468000,702000,936000,0
114,0,23400,58500,117000,175500,234000,468000,702000,936000,0
115,0,23400,58500,117000,175500,234000,468000,702000,936000,0
116,0,23400,58500,117000,175500,234000,468000,702000,936000,0
117,0,23400,58500,117000,175500,234000,468000,702000,936000,0
118,0,23400,58500,117000,175500,234000,468000,702000,936000,0
119,0,23400,58500,117000,175500,234000,468000,702000,936000,0
120,0,23400,58500,117000,175500,234000,468000,702000,936000,0
121,0,23400,58500,117000,175500,234000,468000,702000,936000,0
122,0,23400,58500,117000,175500,234000,468000,702000,936000,0
123,0,23400,58500,117000,175500,234000,468000,702000,936000,0
124,0,23400,58500,117000,175500,234000,468000,702000,936000,0
125,0,23400,58500,117000,175500,234000,468000,702000,936000,0
126,0,23400,58500,117000,175500,234000,468000,702000,936000,0
127,0,23400,58500,117000,175500,234000,468000,702000,936000,0
128,0,23400,58500,117000,175500,234000,468000,702000,936000,0
129,0,23400,58500,117000,175500,234000,468000,702000,936000,0
130,0,23400,58500,117000,175500,234000,468000,702000,936000,0
