Name_lang,Pos[0],Pos[1],Pos[2],Rot[0],Rot[1],Rot[2],Rot[3],ID,OwnerID,DisplayID,Flags,Scale,TypeID,PhaseUseFlags,PhaseID,PhaseGroupID,Field_11_0_0_54210_011,PropValue[0],PropValue[1],PropValue[2],PropValue[3],PropValue[4],PropValue[5],PropValue[6],PropValue[7]
Stonewatch Keep,-9637.232,-2086.3542,61.293987,0,0,0.54829293,0.83628637,118,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Duskwood,-10924.16,995.36804,34.95429,0.0043560015,0.05669199,0.9983822,0.0002470326,121,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Sentinel Hill,-10924.993,996.3403,34.506863,0,0,-0.70710695,0.7071066,122,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Elwynn Forest,-10924.772,996.4549,35.676746,0.03510399,-0.02625499,-0.6750811,0.73644,123,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Moonbrook,-10924.998,994.94965,36.355797,-0.09091201,-0.016617006,0.040289007,0.9949049,124,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Thelsamar,-5409.0513,-2879.4622,342.58887,0,0,1,0,298,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Searing Gorge,-5409.981,-2878.566,342.565,0,0,0.707107,0.707107,299,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Wetlands,-5408.0244,-2878.55,342.55212,0,0,-0.707107,0.707107,301,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Dun Morogh,-5409.9824,-2878.5613,342.06525,0,0,0.707107,0.707107,302,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Dun Morogh,-4899.1006,-2720.519,329.9169,0,0,0.284015,0.95882,303,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Wetlands,-4898.03,-2722.1072,329.89148,0,0,0.95882,-0.284015,304,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Thelsamar,-4899.3687,-2721.8264,329.86407,0,0,0.878817,0.477159,305,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Thelsamar,-5795.8003,-2629.066,319.9445,0,0,0.942641,-0.333807,306,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Searing Gorge,-5797.04,-2627.592,319.9208,0,0,0.333807,0.942641,307,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Dun Morogh,-5795.625,-2627.7466,319.93326,0,0,-0.430511,0.902585,308,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Anvilmar,-5594.0317,-489.7857,397.6931,0,0,0.707107,0.707107,309,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ironforge,-5592.1274,-489.7654,397.68246,0,0,-0.707107,0.707107,310,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Loch Modan,-5356.586,-529.63617,391.7129,0,0,0.935135,-0.354291,311,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Kharanos,-5357.908,-528.1922,391.7129,0,0,0.354291,0.935135,312,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Anvilmar,-5357.879,-528.1897,391.21124,0,0,0.354291,0.935135,313,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ironforge,-5356.5557,-528.31165,391.68805,0,0,-0.410719,0.911762,314,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ironforge,-5263.358,-484.3058,387.12695,0,0,0.986286,-0.165048,315,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Kharanos,-5264.5146,-483.68164,387.14374,0,0,0.814116,0.580703,316,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Anvilmar,-5264.5557,-483.6901,386.59152,0,0,0.814116,0.580703,317,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Loch Modan,-5264.5815,-483.69662,386.03894,0,0,0.814116,0.580703,318,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Loch Modan,-3597.2139,-2714.6785,19.613838,0.029386,0.07754,0.949226,0.30347,379,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Menethil,-3597.882,-2713.7778,18.836363,0,0,-0.329691,0.944089,380,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Grim Batol,-3600.882,-2714.84,18.558283,0.69436,0.117214,0.700446,-0.116196,381,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Dun Modr,-3597.6545,-2713.6284,18.280504,0.038501,-0.022276,-0.320761,0.946115,382,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Loch Modan,-2620.7378,-2491.6458,79.44158,0,0,0.740218,0.672367,387,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Arathi Highlands,-2620.205,-2490.7463,78.77492,0.04784,-0.096226,-0.665556,0.738571,388,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Dun Modr,-2621.4036,-2491.4521,80.21915,0,0,0.047978,0.998848,389,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Menethil Harbor,-2621.209,-2491.4631,77.996925,0.089823,0.053697,0.738207,0.666407,1162,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ironforge,-5507.557,-2050.342,399.5974,0,0,0,1,1564,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Loch Modan,-5508.53,-2051.2534,399.6099,0,0,0.707107,0.707107,1565,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Kharanos,-5507.5454,-2050.296,399.04187,0,0,0,1,1566,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Loch Modan,-5592.1294,-489.7705,397.07227,0,0,-0.707107,0.707107,1567,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Loch Modan,-5608.289,-1503.1196,399.51852,0,0,1,0,1568,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ironforge,-5608.277,-1501.3375,399.49258,0,0,0,1,1569,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Kharanos,-5608.292,-1501.3418,398.99048,0,0,0,1,1570,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Kharanos,-6239.468,315.56955,383.19794,0,0,0.707107,0.707107,1572,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Kharanos,-5910.5522,57.51888,372.98672,0,0,1,0,1573,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Westbrook Garrison,-9752.125,683.75867,27.399044,0,0,-0.685183,0.728371,1595,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Westfall,-9753.127,684.6597,27.432398,0,0,0.03053798,0.9995336,1596,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stormwind City,-9752.966,682.6858,27.411243,0,0,0.9995336,-0.030538859,1597,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Goldshire,-9752.944,682.6823,26.857878,0,0,0.9995336,-0.030538859,1598,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Brill,1938.395,1584.3838,81.91609,0,0,-0.801254,0.598324,1630,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Agamand Mills,2199.8242,1182.338,31.69772,0,0,0.876727,0.480989,1631,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Brill,2199.8198,1182.3228,30.310486,0,0,0.876727,0.480989,1632,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Brill,2208.1362,1053.304,29.422812,0,0,0.863836,0.503774,1633,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Agamand Mills,2210.2144,1054.5173,29.413425,0,0,-0.503774,0.863836,1634,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Deathknell,2200.2173,1183.9927,31.750223,0,0,0.275637,0.961262,1638,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Deathknell,2208.55,1054.9226,29.363861,0,0,0.263031,0.964787,1639,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Brill,2188.941,660.6453,33.165756,0,0,0.952396,-0.304864,1643,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Agamand Mills,2187.5647,662.6045,31.82175,0,0,0.304864,0.952396,1644,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Deathknell,2187.5847,662.5739,33.18286,0,0,0.304864,0.952396,1645,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Silverpine,2217.734,259.58118,32.965828,0,0,0.870356,0.492424,1646,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Deathknell,2219.7798,260.82574,34.2528,0,0,-0.492424,0.870356,1647,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Agamand Mills,2219.774,260.80753,32.919468,0,0,-0.492424,0.870356,1648,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Monastery,2037.1975,155.57422,33.90387,0,0,0.915311,0.402747,1649,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Plaguelands,2037.1393,155.52301,32.571552,0,0,0.915311,0.402747,1650,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Deathknell,2038.9119,157.13629,32.524498,0,0,-0.402747,0.915312,1651,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Brill,2038.8909,157.1619,33.85618,0,0,-0.402747,0.915312,1652,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Silverpine,2037.2257,157.22395,32.564358,0,0,0.362438,0.932008,1653,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Silverpine,2028.62,53.383465,32.589252,0,0,0,1,1654,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Monastery,2029.8047,52.20573,33.867027,0,0,-0.707107,0.707107,1655,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Plaguelands,2028.6354,51.038197,33.867302,0,0,1,0,1656,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Monastery,2659.3708,-639.66,109.28403,0,0,0.986996,-0.160743,1657,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Brill,1981.238,248.24544,36.992313,0,0,0.967046,-0.254602,1658,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Plaguelands,1981.3619,248.15865,35.594837,0,0,0.967046,-0.254602,1659,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Silverpine,1980.0955,250.33594,37.06079,0,0,0.254602,0.967046,1660,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Undercity,2208.1362,1053.304,28.089762,0,0,0.863836,0.503774,1661,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Undercity,2188.9229,660.6342,31.8302,0,0,0.952396,-0.304864,1662,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Undercity,2217.722,259.55533,34.24237,0,0,0.870356,0.492424,1663,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Undercity,2037.2257,157.22395,33.897694,0,0,0.362438,0.932008,1664,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Undercity,2028.5977,53.34809,33.867306,0,0,0,1,1665,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Undercity,1979.6337,248.68663,37.039112,0,0,0.863835,0.503775,1666,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Dun Algaz,-3597.304,-2714.8394,17.519571,0.032618,0.09473,0.940761,0.32393,1668,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Gnomeregan,-5262.731,-483.05557,387.13458,0,0,-0.580703,0.814115,1674,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Sepulcher,1292.6979,1078.132,53.64418,0,0,0.354291,0.935135,1675,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Pyrewood Village,1292.712,1078.1202,53.145836,0,0,0.358368,0.933581,1676,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Tirisfal,1292.7362,1078.11,53.64749,0,0,0.935135,-0.354291,1677,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ambermill,639.81195,1290.9398,86.038925,0,0,0.889017,0.457874,1678,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Pyrewood Village,639.8416,1290.9473,85.53727,0,0,0.889017,0.457874,1679,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Shadowfang Keep,639.8394,1290.9362,85.038925,0,0,0.889017,0.457874,1680,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Tirisfal,639.93835,1291.0299,86.033966,0,0,-0.457874,0.889017,1681,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Sepulcher,639.8295,1290.998,86.01115,0,0,0.300706,0.953717,1686,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Sepulcher,342.81674,1249.1752,81.23818,0,0,-0.803857,0.594823,1687,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Tirisfal,342.81674,1249.1752,80.73818,0,0,-0.803857,0.594823,1688,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ambermill,342.65298,1249.2312,81.2299,0,0,0.594823,0.803857,1689,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Pyrewood,342.67426,1249.2296,80.7299,0,0,0.594823,0.803857,1690,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Shadowfang Keep,342.67426,1249.2296,80.2299,0,0,0.594823,0.803857,1691,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Deep Elem Mine,340.2195,1249.6823,80.89737,0.68659,0.001571,0.72691,0.013906,1692,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ambermill,-138.24533,1182.2229,63.937595,0,0,1,0,1693,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Sepulcher,-138.21474,1182.3062,63.935772,0,0,-0.707107,0.707107,1694,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Pyrewood Village,-138.35808,1182.3115,63.945904,0,0,0.707107,0.707107,1695,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Shadowfang Keep,-138.33345,1182.3186,63.444187,0,0,0.707107,0.707107,1696,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Tirisfal,-138.23546,1182.3008,63.437214,0,0,-0.707107,0.707107,1697,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Gilneas,-138.33138,1182.3176,62.94404,0,0,0.707107,0.707107,1698,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Hillsbrad Plains,-138.32454,1182.3154,62.44355,0,0,0.707107,0.707107,1699,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Pyrewood Village,-140.42903,872.0505,63.235073,0,0,0,1,1700,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Shadowfang Keep,-140.4273,872.05664,62.734818,0,0,0,1,1701,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Sepulcher,-140.42047,872.0516,62.234917,0,0,0,1,1702,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Gilneas,-140.41277,872.05133,61.73482,0,0,0,1,1703,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Hillsbrad Plains,-140.51866,871.971,63.239273,0,0,0.707107,0.707107,1704,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Pyrewood Village,-362.5777,1185.085,65.40522,0,0,0,1,1705,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Shadowfang Keep,-362.58267,1185.0704,64.90561,0,0,0,1,1706,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Gilneas,-362.57248,1185.0731,64.40495,0,0,0,1,1707,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ambermill,-362.61197,1185.0293,65.40818,0,0,-0.707107,0.707107,1708,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
The Sepulcher,-362.61697,1185.0148,64.90818,0,0,-0.707107,0.707107,1709,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Hillsbrad Foothills,-362.6059,1185.0312,65.40724,0,0,0.707107,0.707107,1710,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Gilneas,-358.38608,1313.2578,36.085087,0,0,0.848048,0.529919,1711,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Ambermill,-358.34854,1313.2677,36.080124,0,0,0.97437,-0.224951,1712,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Hillsbrad Plains,-358.34854,1313.2677,35.580124,0,0,0.97437,-0.224951,1713,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Pyrewood Village,-358.3468,1313.3492,36.083393,0,0,-0.529919,0.848048,1714,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Shadowfang Keep,-358.3468,1313.3492,35.58343,0,0,-0.529919,0.848048,1715,0,150,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Syndicate Documents,231.09895,-849.38715,147.58247,0,0,0.96592575,-0.25881916,1738,0,163,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Syndicate Documents,231.55035,-850.0625,147.57014,0,0,0.96363044,0.26723847,1739,0,164,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Syndicate Documents,232.14583,-849.54865,147.56636,0,0,0.8410391,0.54097426,1740,0,163,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Southshore,-679.3878,39.599663,47.52016,0,0,0.998848,-0.047978,1771,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Tarren Mill,-679.39325,39.613605,46.96295,0,0,0.998848,-0.047978,1772,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Hillsbrad,-679.263,39.70996,47.5566,0,0,-0.6723669,0.74021804,1773,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Silverpine Forest,-679.38226,39.811523,47.52016,0,0,0.047978,0.998848,1774,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Tarren Mill,-429.7078,-582.9097,53.89728,0,0,1,0,1775,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Durnholde Keep,-429.72083,-582.9065,53.341545,0,0,1,0,1776,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Silverpine Forest,-429.705,-582.6951,53.344086,0,0,0,1,1777,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Hillsbrad,-429.69196,-582.69836,53.900257,0,0,0,1,1778,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Southshore,-429.8683,-582.81964,53.896,0,0,0.707107,0.707107,1779,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Tarren Mill,-373.45795,-771.2104,54.572464,0,0,0.872496,-0.488621,1780,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Alterac Mountains,-373.47195,-771.20325,54.018562,0,0,0.872496,-0.488621,1781,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Hillsbrad,-373.6166,-771.097,54.028496,0,0,0.488621,0.872496,1782,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Southshore,-373.60297,-771.1035,54.582397,0,0,0.488621,0.872496,1783,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Dun Garok,-373.5971,-771.24274,54.02353,0,0,0.962455,0.271441,1784,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Durnholde Keep,-373.58316,-771.2501,54.579086,0,0,0.962455,0.271441,1785,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Dun Garok,-668.6731,-1308.5262,66.51914,0,0,0.96005,0.279829,1786,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Arathi Highlands,-668.6795,-1308.5212,65.908035,0,0,0.96005,0.279829,1787,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Southshore,-668.59344,-1308.377,65.90638,0,0,-0.279829,0.96005,1788,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Tarren Mill,-668.5872,-1308.3822,66.517494,0,0,-0.279829,0.96005,1789,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Durnholde Keep,-668.58716,-1308.4972,66.51914,0,0,0.876727,-0.480989,1790,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Arathi Highlands,-777.35724,-1471.5485,61.618958,0,0,1,0,1791,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Durnholde Keep,-777.27325,-1471.4703,61.636353,0,0,-0.707107,0.707107,1792,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Dun Garok,-777.4863,-1471.4679,61.613174,0,0,0.707107,0.707107,1793,0,195,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
