ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,Field_1_60_1_69876_004_lang,Field_1_60_1_69876_005_lang,Field_1_60_1_69876_006[0],Field_1_60_1_69876_006[1],MapType,InstanceType,Field_1_60_1_69876_009,AreaTableID,LoadingScreenID,TimeOfDayOverride,Field_1_60_1_69876_013,Field_1_60_1_69876_014,Field_1_60_1_69876_015,MinimapIconScale,CorpseMapID,MaxPlayers,RaidOffset,ZmpFileDataID,Field_1_60_1_69876_021,Field_1_60_1_69876_022,Field_1_60_1_69876_023,Field_1_60_1_69876_024,Flags[0],Flags[1],Flags[2]
450,HordePVPBarracks,Horde PVP Barracks,,,,,0,0,2,0,0,2917,182,-1,-1,-1,0,1,0,0,0,0,782776,2,0,0,67073,1048576,130
451,development,Development Land,,,,,0,0,1,0,0,0,21,-1,-1,-1,0,1,0,0,0,0,857684,2,0,0,81425,262152,130
469,BlackwingLair,Blackwing Lair,,,,,-7663.41,-1218.67,1,2,0,2677,141,-1,-1,-1,0,1,0,40,0,0,780178,2,0,0,16858641,262272,130
489,PVPZone03,Warsong Gulch,"A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance. Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold. Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance. Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold. Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.",,,0,0,1,3,0,3277,122,-1,-1,-1,0,1,0,0,0,0,790291,2,0,0,81433,262144,2277506
509,AhnQiraj,Ruins of Ahn'Qiraj,,,,,-8114.4644,1526.3657,1,2,0,3429,184,-1,-1,-1,0,1,1,20,0,0,775637,2,0,0,16858641,262144,131202
529,PVPZone04,Arathi Basin,"The Arathi Basin is one of the main staging points of war between the Humans and the Forsaken in Azeroth. The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind, while the Defilers – elite troopers under the watchful eye of Varimathras – seek to sever the vital connection between the Humans and their Dwarven allies to the south.","The Arathi Basin is one of the main staging points of war between the Humans and the Forsaken in Azeroth. The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind, while the Defilers – elite troopers under the watchful eye of Varimathras – seek to sever the vital connection between the Humans and their Dwarven allies to the south.",,,0,0,1,3,0,3358,183,-1,-1,-1,0,1.25,0,0,136,0,790377,2,0,0,81433,262144,2277506
531,AhnQirajTemple,Ahn'Qiraj Temple,,,,,-8111.724,1526.7858,1,2,0,3428,185,-1,-1,-1,0,1,1,40,0,0,775840,2,0,0,16858641,262272,131202
533,Stratholme Raid,Naxxramas,,,,,0,0,1,2,0,3456,197,-1,-1,-1,0,1,0,40,0,0,827115,2,0,0,16858641,262272,128
2720,2720,The Searing Basin,,,,,0,0,1,1,0,0,4,-1,-1,-1,0,1,-1,0,0,804940,5554791,2,0,0,81425,1310848,4226
2784,2784,Demon Fall Canyon,,,,,0,0,1,1,0,0,630,-1,-1,-1,0,1,-1,5,0,0,5900942,2,0,0,8470109,263184,4322
2789,2789,The Tainted Scar,,,,,0,0,1,2,0,0,632,-1,-1,-1,0,1,-1,40,0,0,5922434,2,0,0,25173597,1040,184548
2791,2791,Storm Cliffs,,,,,0,0,1,2,0,0,631,-1,-1,-1,0,1,-1,40,0,0,5930564,2,0,0,25181789,1040,4320
2804,2804,The Crystal Vale,,,,,0,0,1,2,0,0,640,-1,-1,-1,0,1,-1,0,0,0,6081492,2,0,0,25181789,1040,4320
2806,2806,Shadow Hold,,,,,0,0,1,1,0,0,3,-1,-1,-1,0,1,-1,0,0,0,6099506,2,0,0,81429,262144,4226
2807,2807,Burning of Andorhal,,,,,0,0,1,1,0,0,42,0,-1,-1,0,1,-1,0,0,0,6099634,2,0,0,81429,262144,4226
2817,2817,Starfall Barrow Den,,,,,0,0,1,1,0,0,3,-1,-1,-1,0,1,-1,0,0,0,6155791,2,0,0,8396381,1040,4320
2832,2832,Nightmare Grove,,,,,0,0,1,2,0,0,641,-1,-1,-1,0,1,-1,0,0,0,6227405,2,0,0,25173597,1040,4320
2853,2853,Deadwind Pass,,,,,0,0,1,1,0,0,4,-1,-1,-1,0,1,-1,0,136,0,6357503,2,0,0,8470109,263184,184550
2856,2856,Scarlet Enclave,,,,,0,0,1,2,0,0,637,0,-1,-1,0,1,-1,0,0,0,6372264,2,0,0,25181789,1040,4320
2868,2868,Eastern Plaguelands (Scarlet Raid Phase),,,,,0,0,1,0,0,0,4,-1,0,-1,0,1,-1,0,0,0,6402491,2,0,0,8404573,134480144,2248832
2875,2875,Karazhan Crypts,,,,,0,0,1,1,0,16074,639,0,-1,-1,0,1,-1,0,0,0,6420120,2,0,0,8470101,263824,226
2902,2902,The Scarab Dais,,,,,0,0,1,1,0,0,0,-1,-1,1,0,1,-1,0,0,0,6635982,2,0,0,8396381,1024,4320
2921,2921,Naxxramas,,,,,0,0,1,1,0,0,197,-1,-1,-1,0,1,-1,0,0,0,6789271,2,0,0,8396381,1040,4320
2959,2959,City of Dalaran,,,,,0,0,1,1,0,16544,647,1380,-1,0,0,1,-1,0,135,0,6982267,2,0,0,8396381,1040,119008
2980,2980,Dalaran City,,,,,0,0,1,0,0,0,4,-1,0,-1,0,1,-1,0,0,0,7090844,2,0,0,8396381,1040,2244832
2991,2991,Zephras Isle,,,,,0,0,1,0,0,0,687,-1,-1,-1,0,1,-1,0,136,0,7198644,2,0,0,142614109,134218768,180320
2995,2995,Hyjal Crater,,,,,0,0,1,4,0,0,0,-1,-1,-1,0,1,-1,0,136,0,7245741,2,0,0,8396381,1040,96
2996,2996,Warsong Gulch (Winter),,,,,0,0,1,0,0,0,122,0,-1,-1,0,1,-1,0,136,0,7251896,2,0,0,8396381,1040,224
2997,2997,Darkspear Islands,Off the coast of Kalimdor is the ceremonial islands of the Darkspear tribe.,Off the coast of Kalimdor is the ceremonial islands of the Darkspear tribe.,Capture the objectives,"- Capture and hold objectives
- Capture the Darkspear relic
- Earn 1500 resources",0,0,1,3,0,0,702,-1,-1,-1,0,1,-1,0,136,0,7251908,1296,0,0,8404573,1040,184544
2998,2998,Excavation Site: Wetlands,,,,,0,0,1,1,0,0,691,-1,-1,-1,0,1,-1,0,136,0,7252920,2,0,0,8396381,1040,2347232
2999,2999,Ruins of Lordaeron,,,,,0,0,1,1,0,0,650,150,-1,-1,0,1,-1,0,136,0,7255103,2,0,0,8396381,1040,250080
3002,3002,Half-Pint Tavern,,,,,0,0,1,1,0,0,23,720,-1,0,0,1,-1,0,136,0,7289529,2,0,0,8396381,1040,69856
3005,3005,Battle for Gilneas,"As the Greymane wall collapses, the inevitable conflict between the Forsaken and Worgen reaches a new climax.","As the Greymane wall collapses, the inevitable conflict between the Forsaken and Worgen reaches a new climax.",,,0,0,1,3,0,0,656,0,-1,-1,0,1,-1,0,136,0,7338374,2,0,0,8396381,1040,69856
3021,3021,Eastern Kingdoms Preserved,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,12,804940,7456538,2,0,0,142622301,1310736,131214
3065,3065,The Hall of Thanes,,,,,0,0,1,1,0,0,693,-1,-1,-1,0,1,-1,0,136,0,7713294,2,0,0,8396381,1040,119008
3104,3104,nothing to see here,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,12,0,7898491,1250,0,0,8396381,1040,180448
3109,3109,Manor Mistmantle,,,,,0,0,1,1,0,0,4,-1,-1,-1,0,1,-1,0,12,0,7937200,2,0,0,8396381,1040,65632
