ID,ParamLabel[0],ParamLabel[1],ParamLabel[2],ParamLabel[3],ParamLabel[4],ParamLabel[5],BattlePetVisualID,ParamTypeEnum[0],ParamTypeEnum[1],ParamTypeEnum[2],ParamTypeEnum[3],ParamTypeEnum[4],ParamTypeEnum[5]
63,Unused,Accuracy,Duration,,,,47,0,0,0,0,0,0
65,Points,Accuracy,BonusPoints,BonusState,IsPeriodic,OverrideIndex,38,0,0,0,0,0,0
66,Points,Accuracy,Boost,,,,38,0,0,0,0,0,0
67,Accuracy,,,,,,0,0,0,0,0,0,0
68,Points,Accuracy,IsPeriodic,,,,38,0,0,0,0,0,0
72,Points,Accuracy,Duration,,,,0,0,0,0,0,0,0
73,StatePoints,CasterState,Duration,TargetState,ChainFailure,ReportFailsAsImmune,50,0,0,0,0,0,0
74,,,,,,,0,0,0,0,0,0,0
75,Points,Accuracy,,,,,0,0,0,0,0,0,0
76,Points,Accuracy,,,,,0,0,0,0,0,0,0
77,Points,Accuracy,Duration,,,,0,0,0,0,0,0,0
78,Points,State,MaxPoints,StateToMultiplyAgainst,,,0,0,0,0,0,0,0
79,State,StateChange,StateMin,StateMax,,,0,0,0,0,0,0,0
80,Points,Accuracy,Duration,ChainFailure,,,0,0,0,0,0,0,0
85,State,,,,,,0,0,0,0,0,0,0
86,Points,Accuracy,Duration,AuraID,Duration2,,0,0,0,0,1,0,0
96,Points,Accuracy,CasterState,TargetState,IsPeriodic,,38,0,0,0,0,0,0
97,Points,Accuracy,Boost,,,,38,0,0,0,0,0,0
99,Points,Accuracy,HealthPercentThreshold,IsPeriodic,,,38,0,0,0,0,0,0
100,Points,Accuracy,RequiredCasterPetType,RequiredTargetPetType,Variance,,37,0,0,0,0,0,0
103,Points,Accuracy,,,,,38,0,0,0,0,0,0
104,Points,Accuracy,RequiredCasterState,RequiredTargetState,Variance,,37,0,0,0,0,0,0
107,Accuracy,,,,,,0,0,0,0,0,0,0
108,AuraAbilityID,TurnsToAdvance,,,,,0,0,0,0,0,0,0
111,Percentage,Unused,Unused,Unused,,,37,0,0,0,0,0,0
112,Percentage,Unused,RequiredCasterState,RequiredTargetState,,,37,0,0,0,0,0,0
116,,,,,,,0,0,0,0,0,0,0
117,Index,LockDuration,,,,,0,0,0,0,0,0,0
121,HealthPercentage,,,,,,0,0,0,0,0,0,0
122,,,,,,,0,0,0,0,0,0,0
123,,,,,,,0,0,0,0,0,0,0
124,,,,,,,0,0,0,0,0,0,0
125,,,,,,,0,0,0,0,0,0,0
128,Percentage,,,,,,37,0,0,0,0,0,0
129,LockDuration,,,,,,0,0,0,0,0,0,0
131,ChainFailure,Accuracy,Duration,,,,50,0,0,0,0,0,0
132,,,,,,,0,0,0,0,0,0,0
133,none,,,,,,0,0,0,0,0,0,0
134,,,,,,,0,0,0,0,0,0,0
135,Accuracy,CasterImmuneState,TargetImmuneState,enableReverse,BypassPetPassives,,0,0,0,0,0,0,0
136,DontMiss,,,,,,0,0,0,0,0,0,0
137,CasterState,CasterStateValue,Duration,TargetState,TargetStateValue,ChainFailure,50,0,0,0,0,0,0
138,State,StateChange,StateMin,StateMax,TargetTestState,TargetTestStateValue,0,0,0,0,0,0,0
139,Accuracy,,,,,,0,0,0,0,0,0,0
140,NewDuration,,,,,,0,0,0,0,0,0,0
141,Points,Accuracy,BonusState,BonusPoints,,,38,0,0,0,0,0,0
142,,,,,,,0,0,0,0,0,0,0
143,,,,,,,0,0,0,0,0,0,0
144,,,,,,,0,0,0,0,0,0,0
145,Accuracy,,,,,,0,0,0,0,0,0,0
147,,,,,,,0,0,0,0,0,0,0
149,Points,Accuracy,IsPeriodic,,,,38,0,0,0,0,0,0
150,ChainFailure,Accuracy,,,,,49,0,0,0,0,0,0
156,State,StatePoints,unused,unused,,,0,0,0,0,0,0,0
157,State,StatePoints,unused,unused,,,0,0,0,0,0,0,0
158,Chance,,,,,,0,0,0,0,0,0,0
159,,,,,,,0,0,0,0,0,0,0
160,Points,Accuracy,,,,,38,0,0,0,0,0,0
164,Points,Accuracy,IsPeriodic,,,,38,0,0,0,0,0,0
165,Accuracy,CasterImmuneState,TargetImmuneState,,,,0,0,0,0,0,0,0
168,ChainFailure,Accuracy,Duration,MaxAllowed,CasterState,TargetState,94,0,0,0,0,0,0
169,Points,Accuracy,RequiredCasterState,RequiredTargetState,IsPeriodic,,38,0,0,0,0,0,0
170,Points,Accuracy,weatherState,Unused,IsPeriodic,,38,0,0,0,0,0,0
171,Points,Accuracy,RequiredCasterState,RequiredTargetState,Variance,,37,0,0,0,0,0,0
172,StatePoints,CasterState,Duration,TargetState,ChainFailure,Accuracy,50,0,0,0,0,0,0
177,State,StatePoints,unused,unused,,,0,0,0,0,0,0,0
178,StatePoints,Accuracy,Duration,TargetState,ChainFailure,ReportFailsAsImmune,50,0,0,0,0,0,0
179,Points,Accuracy,IsPeriodic,OverrideIndex,,,38,0,0,0,0,0,0
193,Chance,,,,,,0,0,0,0,0,0,0
194,,,,,,,0,0,0,0,0,0,0
197,Power,Accuracy,,,,,38,0,0,0,0,0,0
201,Points,Accuracy,IsPeriodic,OverrideIndex,,,38,0,0,0,0,0,0
204,Points,Accuracy,IsPeriodic,OverrideIndex,,,38,0,0,0,0,0,0
222,Points,Accuracy,Variance,OverrideIndex,,,38,0,0,0,0,0,0
223,Unused,Accuracy,Duration,RequiredPetType,,,49,0,0,0,0,0,0
226,Points,Accuracy,BonusPoints,BonusState,IsPeriodic,OverrideIndex,38,0,0,0,0,0,0
229,ChainFailure,Accuracy,Duration,Unused,CasterState,TargetState,94,0,0,0,0,0,0
230,ChainFailure,Accuracy,Duration,MaxAllowed,CasterState,TargetState,94,0,0,0,0,0,0
233,Points,Accuracy,,,,,38,0,0,0,0,0,0
234,Points,Accuracy,,,,,38,0,0,0,0,0,0
243,ability 1,int 1,ability 2,sdf,sdf,asdf,0,1,0,1,0,0,0
245,CooldownModification,,,,,,0,0,0,0,0,0,0
246,Index,CooldownModification,,,,,0,0,0,0,0,0,0
247,Index,CooldownModification,RequiredCasterState,RequiredTargetState,,,0,0,0,0,0,0,0
248,Unused,Accuracy,Duration,TickDownFirstRound,RequiredCasterState,,49,0,0,0,0,0,0
249,Slot,Ability,,,,,0,0,1,0,0,0,0
254,Points,Accuracy,Threshold,Modifier,Variance,,37,0,0,0,0,0,0
255,Power,Accuracy,,,,,38,0,0,0,0,0,0
256,Points,Accuracy,Duration,ChainFailure,,,0,0,0,0,0,0,0
257,Points,Accuracy,Variance,OverrideIndex,,,38,0,0,0,0,0,0
358,Points,Accuracy,PointsIncreasePerUse,PointsMax,StateToTriggerMaxPoints,Variance,38,0,0,0,0,0,0
359,Unused,Accuracy,Duration,TickDownFirstRound,HealthPercentThreshold,,49,0,0,0,0,0,0
360,State,StateValue,,,,,0,0,0,0,0,0,0
362,Points,Accuracy,Boost,Variance,,,37,0,0,0,0,0,0
363,Points,Accuracy,IsPeriodic,,,,38,0,0,0,0,0,0
370,Points,Accuracy,BonusDamage,,,,38,0,0,0,0,0,0
371,HealthThreshold,unused,unused,unused,,,0,0,0,0,0,0,0
372,HealthThreshold,,unused,unused,,,0,0,0,0,0,0,0
373,Slot,Ability,,,,,0,0,1,0,0,0,0
374,,,,,,,0,0,1,0,0,0,0
375,,,,,,,0,0,0,0,0,0,0
376,,,,,,,0,0,1,0,0,0,0
378,State,ChangeValue,,,,,0,0,0,0,0,0,0
379,State,ChangeValue,,,,,0,0,0,0,0,0,0
380,State,,,,,,0,0,0,0,0,0,0
381,State,,,,,,0,0,0,0,0,0,0
382,Points,Accuracy,RequiredCasterState,RequiredTargetState,IsPeriodic,,38,0,0,0,0,0,0
