ID,ZoneName_lang,AlteredFormCustomizeOffset[0],AlteredFormCustomizeOffset[1],AlteredFormCustomizeOffset[2],ChrModel_9_0_1_35522_001Override[0],ChrModel_9_0_1_35522_001Override[1],ChrModel_9_0_1_35522_001Override[2],ChrModel_9_0_1_35522_001Override_Female[0],ChrModel_9_0_1_35522_001Override_Female[1],ChrModel_9_0_1_35522_001Override_Female[2],ChrClassesID,ZoneImageAtlas,MaleCharacterCreationVisual,MaleCharacterCreationIdleVisual,FemaleCharacterCreationVisual,FemaleCharacterCreationIdleVisual,CharacterCreationIdleGroundVisual,CharacterCreationGroundVisual,AlteredFormCharacterCreationIdleVisual,AlteredFormCustomizeRotation,CharacterCreationAnimLoopWaitTimeMs,ChrRacesID
59,Acherus: The Ebon Hold,-2,1.9,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0.2,0,22
60,Gilneas City,0,0,0,0,0,0,0,0,0,11,12449,129374,0,0,0,0,0,0,0,0,22
61,Gilneas City,0,0,0,0,0,0,0,0,0,3,12449,131761,132614,0,0,133608,0,0,0,0,22
62,Gilneas City,0,0,0,0,0,0,0,0,0,8,12449,0,0,0,0,0,0,0,0,0,22
63,Gilneas City,0,0,0,0,0,0,0,0,0,4,12449,0,0,0,0,0,0,0,0,0,22
64,Echo Isles,0,0,0,0,0,0,0,0,0,8,12437,0,0,0,0,0,0,0,0,0,8
65,Northshire Valley,0,0,0,0,0,0,0,0,0,5,12427,0,0,0,0,0,0,0,0,0,1
66,Bilgewater Port,0,0,0,0,0,0,0,0,0,1,12425,0,0,0,0,0,0,0,0,0,9
67,Northshire Valley,0,0,0,0,0,0,0,0,0,3,12427,0,0,0,0,133510,0,0,0,0,1
68,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,2,12436,0,0,0,0,0,0,0,0,0,6
69,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,5,12436,0,0,0,0,0,134410,0,0,0,6
70,Coldridge Valley,0,0,0,0,0,0,0,0,0,7,12423,0,0,0,0,0,132522,0,0,0,3
71,Echo Isles,0,0,0,0,0,0,0,0,0,11,12437,0,0,0,0,0,0,0,0,0,8
72,Gnomeregan,0,0,0,0,0,0,0,0,0,5,12424,0,0,0,0,0,0,0,0,0,7
73,Shadowglen,0,0,0,0,0,0,0,0,0,8,12433,0,0,0,0,0,0,0,0,0,4
74,Valley of Trials,0,0,0,0,0,0,0,0,0,8,12434,134112,0,0,0,0,0,0,0,0,2
75,Deathknell,0,0,0,0,0,0,0,0,0,3,12438,131761,132614,0,0,133571,0,0,0,0,5
76,Gilneas City,0,0,0,0,0,0,0,0,0,5,12449,0,0,0,0,0,0,0,0,0,22
77,Gnomeregan,0,0,0,0,0,0,0,0,0,10,12424,0,0,0,0,0,0,0,0,0,7
78,Shadowglen,0,0,0,0,0,0,0,0,0,10,12433,0,0,0,0,0,0,0,0,0,4
79,Sunstrider Isle,0,0,0,0,0,0,0,0,0,10,12422,0,0,0,0,0,0,0,0,0,10
80,Valley of Trials,0,0,0,0,0,0,0,0,0,10,12434,0,0,0,0,0,0,0,0,0,2
81,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,10,12436,0,0,0,0,0,0,0,0,0,6
82,Echo Isles,0,0,0,0,0,0,0,0,0,10,12437,0,0,0,0,0,0,0,0,0,8
83,Deathknell,0,0,0,0,0,0,0,0,0,10,12438,0,0,0,0,0,0,0,0,0,5
84,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,10,12435,0,0,0,0,0,0,0,0,0,24
85,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,3,12435,131761,132614,0,0,133585,0,0,0,0,24
86,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,8,12435,0,0,0,0,0,0,0,0,0,24
87,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,5,12435,0,0,0,0,0,134410,0,0,0,24
88,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,4,12435,0,0,0,0,0,0,0,0,0,24
89,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,7,12435,0,0,0,0,0,132523,0,0,0,24
90,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,1,12435,0,0,0,0,0,0,0,0,0,24
91,Sunstrider Isle,0,0,0,0,0,0,0,0,0,3,12422,0,0,0,0,133579,0,0,0,0,10
92,Shadowglen,0,0,0,0,0,0,0,0,0,5,12433,0,0,0,0,0,0,0,0,0,4
93,Northshire Valley,0,0,0,0,0,0,0,0,0,4,12427,0,0,0,0,0,0,0,0,0,1
94,Coldridge Valley,0,0,0,0,0,0,0,0,0,9,12423,0,0,0,0,0,0,0,0,0,3
95,Echo Isles,0,0,0,0,0,0,0,0,0,9,12437,0,0,0,0,0,0,0,0,0,8
96,Sunstrider Isle,0,0,0,0,0,0,0,0,0,1,12422,0,0,0,0,0,0,0,0,0,10
97,Gilneas City,0,0,0,0,0,0,0,0,0,9,12449,0,0,0,0,0,134079,0,0,0,22
98,Gilneas City,0,0,0,0,0,0,0,0,0,1,12449,132939,132938,0,0,0,0,0,0,0,22
99,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,9
100,Bilgewater Port,0,0,0,0,0,0,0,0,0,3,12425,131761,132614,0,0,133610,0,0,0,0,9
101,Bilgewater Port,0,0,0,0,0,0,0,0,0,8,12425,0,0,0,0,0,0,0,0,0,9
102,Bilgewater Port,0,0,0,0,0,0,0,0,0,5,12425,0,0,0,0,0,134410,0,0,0,9
103,Bilgewater Port,0,0,0,0,0,0,0,0,0,4,12425,0,133196,0,0,0,0,0,0,0,9
104,Bilgewater Port,0,0,0,0,0,0,0,0,0,7,12425,0,0,0,0,0,132546,0,0,0,9
105,Bilgewater Port,0,0,0,0,0,0,0,0,0,9,12425,0,0,0,0,0,0,0,0,0,9
106,Illidari Foothold,0,0,0,0,0,0,0,0,0,12,12419,0,0,0,0,0,0,0,0,0,4
107,Illidari Foothold,0,0,0,0,0,0,0,0,0,12,12419,0,0,0,0,0,0,0,0,0,10
108,Thunder Totem,0,0,0,0,0,0,0,0,0,1,12426,0,0,0,0,0,0,0,0,0,28
109,Telogrus Rift,0,0,0,0,0,0,0,0,0,3,12439,0,0,0,0,133614,0,0,0,0,29
110,Telogrus Rift,0,0,0,0,0,0,0,0,0,8,12439,0,0,134112,0,0,0,0,0,0,29
111,Telogrus Rift,0,0,0,0,0,0,0,0,0,10,12439,0,0,0,0,0,0,0,0,0,29
112,Telogrus Rift,0,0,0,0,0,0,0,0,0,5,12439,0,0,0,0,0,0,0,0,0,29
113,Telogrus Rift,0,0,0,0,0,0,0,0,0,4,12439,0,0,0,0,0,0,0,0,0,29
114,Telogrus Rift,0,0,0,0,0,0,0,0,0,1,12439,0,0,0,0,0,0,0,0,0,29
115,The Vindicaar,0,0,0,0,0,0,0,0,0,3,12429,131761,132614,0,0,133625,0,0,0,0,30
116,The Vindicaar,0,0,0,0,0,0,0,0,0,8,12429,0,0,0,0,0,0,0,0,0,30
117,The Vindicaar,0,0,0,0,0,0,0,0,0,1,12429,0,0,0,0,0,0,0,0,0,30
118,The Vindicaar,0,0,0,0,0,0,0,0,0,2,12429,0,0,0,0,0,0,0,0,0,30
119,Thunder Totem,0,0,0,0,0,0,0,0,0,3,12426,0,0,0,0,133612,0,0,0,0,28
120,Telogrus Rift,0,0,0,0,0,0,0,0,0,9,12439,0,0,0,0,0,0,0,0,0,29
121,The Nighthold,0,0,0,0,0,0,0,0,0,8,12432,0,0,0,0,0,0,0,0,0,27
122,The Nighthold,0,0,0,0,0,0,0,0,0,3,12432,0,0,0,0,133627,0,0,0,0,27
123,The Nighthold,0,0,0,0,0,0,0,0,0,10,12432,0,0,0,0,0,0,0,0,0,27
124,The Nighthold,0,0,0,0,0,0,0,0,0,5,12432,0,0,0,0,0,134410,0,0,0,27
125,The Nighthold,0,0,0,0,0,0,0,0,0,4,12432,0,133196,0,0,0,0,0,0,0,27
126,The Nighthold,0,0,0,0,0,0,0,0,0,9,12432,0,0,0,0,0,0,0,0,0,27
127,The Nighthold,0,0,0,0,0,0,0,0,0,1,12432,0,0,0,0,0,0,0,0,0,27
128,Thunder Totem,0,0,0,0,0,0,0,0,0,11,12426,0,0,0,0,0,0,0,0,0,28
129,Thunder Totem,0,0,0,0,0,0,0,0,0,7,12426,0,0,0,0,0,132560,0,0,0,28
130,Blackrock Depths,0,0,0,0,0,0,0,0,0,4,12418,0,0,0,0,0,0,0,0,0,34
131,Valley of Honor,0,0,0,0,0,0,0,0,0,7,12430,0,0,0,0,0,132562,0,0,0,36
132,Blackrock Depths,0,0,0,0,0,0,0,0,0,7,12418,0,0,0,0,0,132556,0,0,0,34
133,Blackrock Depths,0,0,0,0,0,0,0,0,0,9,12418,0,0,0,0,0,0,0,0,0,34
134,Thunder Totem,0,0,0,0,0,0,0,0,0,10,12426,0,0,0,0,0,0,0,0,0,28
135,Valley of Honor,0,0,0,0,0,0,0,0,0,1,12430,132937,132938,128667,132581,0,0,0,0,0,36
136,Blackrock Depths,0,0,0,0,0,0,0,0,0,1,12418,0,0,0,0,0,0,0,0,0,34
137,Valley of Honor,0,0,0,0,0,0,0,0,0,3,12430,0,0,0,0,133513,0,0,0,0,36
138,Blackrock Depths,0,0,0,0,0,0,0,0,0,3,12418,131761,132614,0,0,133804,0,0,0,0,34
139,Blackrock Depths,0,0,0,0,0,0,0,0,0,8,12418,0,0,0,0,0,0,0,0,0,34
140,Valley of Honor,0,0,0,0,0,0,0,0,0,8,12430,134112,0,0,0,0,0,0,0,0,36
141,Blackrock Depths,0,0,0,0,0,0,0,0,0,10,12418,0,0,0,0,0,0,0,0,0,34
142,Valley of Honor,0,0,0,0,0,0,0,0,0,10,12430,0,0,0,0,0,0,0,0,0,36
143,Blackrock Depths,0,0,0,0,0,0,0,0,0,2,12418,0,0,0,0,0,0,0,0,0,34
144,Valley of Honor,0,0,0,0,0,0,0,0,0,5,12430,0,0,0,0,0,134410,0,0,0,36
145,Valley of Honor,0,0,0,0,0,0,0,0,0,4,12430,0,133196,0,0,0,0,0,0,0,36
146,Dazar'alor,0,0,0,0,0,0,0,0,0,1,12450,0,0,0,0,0,0,0,0,0,31
147,Dazar'alor,0,0,0,0,0,0,0,0,0,5,12450,0,0,0,0,0,134410,0,0,0,31
148,Dazar'alor,0,0,0,0,0,0,0,0,0,11,12450,0,0,0,0,0,0,0,0,0,31
149,Dazar'alor,0,0,0,0,0,0,0,0,0,4,12450,0,133196,0,0,0,0,0,0,0,31
150,Dazar'alor,0,0,0,0,0,0,0,0,0,8,12450,0,0,0,0,0,0,0,0,0,31
151,Dazar'alor,0,0,0,0,0,0,0,0,0,7,12450,0,0,0,0,0,132559,0,0,0,31
152,Dazar'alor,0,0,0,0,0,0,0,0,0,3,12450,0,0,0,0,133632,0,0,0,0,31
153,Dazar'alor,0,0,0,0,0,0,0,0,0,2,12450,0,0,0,0,0,0,0,0,0,31
154,Dazar'alor,0,0,0,0,0,0,0,0,0,10,12450,0,0,0,0,0,0,0,0,0,31
155,Valley of Honor,0,0,0,0,0,0,0,0,0,1,12440,0,0,0,0,0,0,0,0,0,35
156,Mechagon City,0,0,0,0,0,0,0,0,0,1,12431,0,0,0,0,0,0,0,0,0,37
157,Boralus,0,0,0,0,0,0,0,0,0,11,12428,0,0,0,0,0,0,0,0,0,32
158,Boralus,0,0,0,0,0,0,0,0,0,3,12428,0,0,0,0,133834,0,0,0,0,32
159,Boralus,0,0,0,0,0,0,0,0,0,8,12428,0,0,0,0,0,0,0,0,0,32
160,Boralus,0,0,0,0,0,0,0,0,0,10,12428,0,0,0,0,0,0,0,0,0,32
161,Boralus,0,0,0,0,0,0,0,0,0,5,12428,0,0,0,0,0,0,0,0,0,32
162,Boralus,0,0,0,0,0,0,0,0,0,4,12428,0,0,0,0,0,0,0,0,0,32
163,Boralus,0,0,0,0,0,0,0,0,0,7,12428,0,0,0,0,0,132533,0,0,0,32
164,Valley of Honor,0,0,0,0,0,0,0,0,0,4,12440,0,133196,0,0,0,0,0,0,0,35
165,Mechagon City,0,0,0,0,0,0,0,0,0,4,12431,0,0,0,0,0,0,0,0,0,37
166,Valley of Honor,0,0,0,0,0,0,0,0,0,10,12440,0,0,0,0,0,0,0,0,0,35
167,Mechagon City,0,0,0,0,0,0,0,0,0,10,12431,0,0,0,0,0,0,0,0,0,37
168,Valley of Honor,0,0,0,0,0,0,0,0,0,3,12440,0,0,0,0,133836,0,0,0,0,35
169,Boralus,0,0,0,0,0,0,0,0,0,1,12428,0,0,0,0,0,0,0,0,0,32
170,Mechagon City,0,0,0,0,0,0,0,0,0,3,12431,131761,132614,0,0,133833,0,0,0,0,37
171,Valley of Honor,0,0,0,0,0,0,0,0,0,5,12440,0,0,0,0,0,134410,0,0,0,35
172,Valley of Honor,0,0,0,0,0,0,0,0,0,8,12440,0,0,0,0,0,0,0,0,0,35
173,Mechagon City,0,0,0,0,0,0,0,0,0,8,12431,0,0,0,0,0,0,0,0,0,37
174,Valley of Honor,0,0,0,0,0,0,0,0,0,9,12440,0,0,0,0,0,0,0,0,0,35
175,Mechagon City,0,0,0,0,0,0,0,0,0,9,12431,0,0,0,0,0,0,0,0,0,37
176,Valley of Honor,0,0,0,0,0,0,0,0,0,7,12440,0,0,0,0,0,132561,0,0,0,35
177,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,34
178,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,28
179,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,32
180,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,30
181,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,36
182,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,37
183,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,27
184,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,25
185,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,26
186,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,29
187,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,35
188,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,31
189,The Vindicaar,0,0,0,0,0,0,0,0,0,5,12429,0,0,0,0,0,0,0,0,0,30
190,Blackrock Depths,0,0,0,0,0,0,0,0,0,5,12418,0,0,0,0,0,0,0,0,0,34
191,Mechagon City,0,0,0,0,0,0,0,0,0,5,12431,0,0,0,0,0,0,0,0,0,37
192,The Frozen Throne,0,0,0,0,0,0,0,0,0,6,12421,0,0,0,0,0,0,0,0,0,24
193,,0,0,0,0,0,0,0,0,0,3,0,131761,132614,0,0,133585,0,0,0,0,25
194,,0,0,0,0,0,0,0,0,0,3,0,131761,132614,0,0,133585,0,0,0,0,26
195,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25
196,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26
197,,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,25
198,,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,26
199,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,134410,0,0,0,25
200,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,134410,0,0,0,26
201,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25
202,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,26
203,,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,132523,0,0,0,25
204,,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,132523,0,0,0,26
205,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,25
206,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,26
207,The Forbidden Reach,0,0,0,0,0,0,0,0,0,13,12427,0,0,0,0,0,0,0,0,0,52
208,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,8,12436,134112,0,0,0,0,0,0,0,0,6
209,The Forbidden Reach,0,0,0,0,0,0,0,0,0,13,12427,0,0,0,0,0,0,0,0,0,70
210,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,4,12436,0,133196,0,0,0,0,0,0,0,6
211,Thunder Totem,0,0,0,0,0,0,0,0,0,8,12426,134112,0,0,0,0,0,0,0,0,28
212,Thunder Totem,0,0,0,0,0,0,0,0,0,4,12426,0,133196,0,0,0,0,0,0,0,28
213,The Vindicaar,0,0,0,0,0,0,0,0,0,4,12429,0,0,0,0,0,0,0,0,0,30
214,Ammen Vale,0,0,0,0,0,0,0,0,0,4,12417,0,133196,0,0,0,0,0,0,0,11
215,Thunder Totem,0,0,0,0,0,0,0,0,0,5,12426,0,0,0,0,0,0,0,0,0,28
216,Valley of Trials,0,0,0,0,0,0,0,0,0,5,12434,0,0,0,0,0,0,0,0,0,2
217,The Vindicaar,0,0,0,0,0,0,0,0,0,10,12429,0,0,0,0,0,0,0,0,0,30
218,Bilgewater Port,0,0,0,0,0,0,0,0,0,10,12425,0,0,0,0,0,0,0,0,0,9
219,Gilneas City,0,0,0,0,0,0,0,0,0,10,12449,0,0,0,0,0,0,0,0,0,22
220,Hall of Awakening,0,0,0,0,0,0,0,0,0,1,12418,0,0,0,0,0,0,0,0,0,85
221,Hall of Awakening,0,0,0,0,0,0,0,0,0,2,12418,0,0,0,0,0,0,0,0,0,85
222,Hall of Awakening,0,0,0,0,0,0,0,0,0,3,12418,131761,132614,0,0,201585,0,0,0,0,85
223,Hall of Awakening,0,0,0,0,0,0,0,0,0,4,12418,0,0,0,0,0,0,0,0,0,85
224,Hall of Awakening,0,0,0,0,0,0,0,0,0,5,12418,0,0,0,0,0,0,0,0,0,85
225,Hall of Awakening,0,0,0,0,0,0,0,0,0,7,12418,0,0,0,0,0,203498,0,0,0,85
226,Hall of Awakening,0,0,0,0,0,0,0,0,0,8,12418,0,0,0,0,0,0,0,0,0,85
227,Hall of Awakening,0,0,0,0,0,0,0,0,0,1,12418,0,0,0,0,0,0,0,0,0,84
228,Hall of Awakening,0,0,0,0,0,0,0,0,0,2,12418,0,0,0,0,0,0,0,0,0,84
229,Hall of Awakening,0,0,0,0,0,0,0,0,0,3,12418,131761,132614,0,0,201585,0,0,0,0,84
230,Hall of Awakening,0,0,0,0,0,0,0,0,0,4,12418,0,0,0,0,0,0,0,0,0,84
231,Hall of Awakening,0,0,0,0,0,0,0,0,0,5,12418,0,0,0,0,0,0,0,0,0,84
232,Hall of Awakening,0,0,0,0,0,0,0,0,0,7,12418,0,0,0,0,0,203498,0,0,0,84
233,Hall of Awakening,0,0,0,0,0,0,0,0,0,8,12418,0,0,0,0,0,0,0,0,0,84
234,Hall of Awakening,0,0,0,0,0,0,0,0,0,9,12418,0,0,0,0,0,0,0,0,0,84
235,Hall of Awakening,0,0,0,0,0,0,0,0,0,10,12418,0,0,0,0,0,0,0,0,0,84
236,Hall of Awakening,0,0,0,0,0,0,0,0,0,9,12418,0,0,0,0,0,0,0,0,0,85
237,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,9,12435,0,0,0,0,0,0,0,0,0,26
238,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,9,12435,0,0,0,0,0,0,0,0,0,25
239,Shang Xi Training Grounds,0,0,0,0,0,0,0,0,0,9,12435,0,0,0,0,0,0,0,0,0,24
240,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,9,12436,0,0,0,0,0,0,0,0,0,6
241,Boralus,0,0,0,0,0,0,0,0,0,9,12428,0,0,0,0,0,0,0,0,0,32
242,The Vindicaar,0,0,0,0,0,0,0,0,0,9,12429,0,0,0,0,0,0,0,0,0,30
243,Thunder Totem,0,0,0,0,0,0,0,0,0,9,12426,0,0,0,0,0,0,0,0,0,28
244,Valley of Honor,0,0,0,0,0,0,0,0,0,9,12430,0,0,0,0,0,0,0,0,0,36
245,Dazar'alor,0,0,0,0,0,0,0,0,0,9,12450,0,0,0,0,0,0,0,0,0,31
