ID,InteractCursor,FileDataID,MinimapAtlasMemberID,AttachPoint,PassiveHighlightColorType,Priority,Flags,SpellID
205,,0,0,19,14,90,4,0
224,,165434,0,19,11,70,2,0
231,,130732,0,18,0,40,0,0
241,,0,0,18,0,0,4,0
249,,0,0,19,15,0,0,0
271,,0,0,19,0,70,2,0
273,,0,0,19,17,70,2,0
282,,0,0,19,33,70,2,0
293,,1381346,0,18,0,60,8,0
320,,0,0,19,15,70,4,0
327,,0,0,19,17,70,0,0
433,,0,0,34,11,70,2,0
458,,0,0,19,13,80,0,0
459,,0,0,18,0,80,0,0
460,,0,0,19,18,80,0,0
475,,0,0,19,14,80,1,0
493,,0,0,18,0,0,16,0
516,,165434,0,19,15,0,1,0
518,,0,0,18,0,0,18,0
532,,0,0,19,15,70,2,0
533,,0,0,19,15,70,2,0
547,openhandglow,0,0,19,11,70,2,0
549,questinteract,0,0,19,11,70,2,0
552,,0,0,19,23,80,0,0
557,,0,0,19,16,70,2,0
563,,0,0,19,14,80,0,0
572,quest,130731,0,18,11,100,0,0
578,,0,0,19,24,100,0,0
593,,5493426,0,18,0,30,0,0
600,,165434,0,19,14,0,0,0
601,,0,0,18,0,0,34,0
603,vehichlecursor,0,0,18,0,0,0,0
605,,241096,0,55,0,0,0,0
607,,0,0,19,16,80,0,0
608,speak,0,0,18,11,0,0,0
609,questinteract,0,0,19,11,70,6,0
610,questinteract,0,0,19,0,70,2,0
618,,0,0,55,0,0,64,0
624,,3598764,0,18,0,0,0,0
625,,3598765,0,18,0,0,0,0
667,,0,0,18,0,0,48,0
669,,0,0,19,11,70,0,0
670,questinteract,0,0,19,0,70,0,0
708,questinteract,0,0,19,11,70,0,0
719,,0,0,19,15,70,0,0
733,,3605006,0,18,0,0,0,0
734,,3753369,0,18,0,40,0,0
735,,0,0,19,11,70,0,0
737,,0,0,19,0,0,2,0
739,,0,0,19,11,70,3,0
741,attack,0,0,18,0,0,0,0
742,,0,0,19,11,70,130,0
743,,0,0,19,11,70,134,0
771,questinteract,0,0,19,11,90,6,0
772,,0,0,19,14,80,2,0
776,,0,0,19,11,70,134,0
785,,0,0,19,0,0,48,0
786,,0,0,19,14,0,0,0
802,,0,0,18,0,0,50,0
823,,0,0,19,14,80,4,0
834,,0,0,19,14,80,0,0
835,,0,0,19,38,80,0,0
836,,0,0,19,12,80,0,0
838,,0,0,19,37,80,0,0
840,,0,0,19,52,80,0,0
846,,0,0,18,0,0,2,0
852,,0,0,19,11,70,4,0
860,interact,0,0,18,24,100,0,0
861,,0,0,19,14,80,2,0
864,quest,0,0,18,0,0,0,0
869,,199905,0,19,0,0,0,0
877,,0,0,19,14,80,0,0
880,,0,0,19,33,70,6,0
891,taxi,0,0,18,16,0,0,0
899,,0,0,18,0,0,0,0
907,mine,0,0,19,11,70,2,0
913,questinteract,0,0,19,0,70,0,0
915,quest,0,0,18,14,0,0,0
924,questinteract,0,0,19,11,70,134,0
934,,0,0,19,14,30,0,0
939,,0,0,18,23,0,0,0
941,,0,0,19,15,70,130,0
942,,0,0,19,33,70,0,0
959,,0,0,18,0,80,32,0
960,,0,0,19,11,70,0,0
961,,0,0,18,46,0,0,0
962,,0,0,18,46,0,0,0
963,,0,0,18,46,0,0,0
964,,0,0,18,46,0,0,0
971,,166364,0,34,0,0,50,0
976,,0,0,19,16,70,0,0
988,,0,0,19,0,70,34,0
990,,130734,0,18,0,0,0,0
998,,0,0,19,15,0,0,0
999,,0,0,19,11,70,134,0
1000,,0,0,19,0,0,2,0
1010,,165434,0,19,14,80,0,0
1012,,5390227,0,18,0,25,0,0
1014,,5493424,0,18,0,35,0,0
1015,,0,0,19,0,0,6,0
1016,,0,0,19,11,70,128,0
1028,,0,0,18,11,0,50,0
1031,,5493425,0,18,0,0,0,0
1034,questinteract,0,0,19,11,0,2,0
1038,,0,0,19,14,80,4,0
1040,,0,0,19,0,100,0,0
1042,,0,0,19,25,80,0,0
1043,,0,0,55,0,0,1,0
1046,openhand,948186,0,55,15,0,0,0
1051,,0,0,19,0,70,6,0
1052,,4244717,0,19,0,0,1,0
1056,,253566,0,19,0,0,1,0
1063,crosshairs,0,0,18,0,99,0,0
1072,speak,0,0,19,11,0,2,0
1076,,5390226,0,18,0,25,0,0
1077,,5390225,0,18,0,25,0,0
1078,,5493428,0,18,0,30,0,0
1080,,5390223,0,18,0,0,0,0
1082,questinteract,1381346,0,19,11,70,3,0
1087,,5493429,0,18,0,35,0,0
1091,thumbsup,0,0,18,13,0,0,0
1094,,0,0,18,0,0,0,0
1096,buy,0,0,18,11,0,0,0
1097,,165434,0,19,0,0,32,0
1098,,0,0,18,15,0,0,0
1101,,0,0,18,46,0,0,0
1102,,0,0,19,46,80,0,0
1106,,0,0,18,11,0,0,0
1110,,0,0,18,11,0,0,0
1112,vehichlecursor,0,0,18,11,0,0,0
1116,,0,0,18,15,0,0,0
1119,,165434,0,18,13,50,0,0
1124,,3486398,0,18,0,20,0,0
1125,,5217338,0,18,0,60,8,0
1126,,3489738,0,18,0,65,0,0
1127,,130731,0,18,0,60,8,0
1130,,199914,0,19,51,0,0,0
1133,,0,0,18,49,0,0,0
1134,,165434,0,19,0,0,0,0
1137,,165434,0,19,14,80,0,0
1147,questinteract,165434,0,19,11,70,2,0
1149,,0,0,19,49,0,0,0
1153,,0,0,19,11,0,2,0
1155,,165434,0,19,0,0,0,0
1161,,0,0,19,33,70,0,0
1171,,0,0,19,11,70,2,0
1175,,0,0,19,15,80,32,0
1177,crosshairs,0,0,19,11,0,2,0
1178,,1087046,0,18,0,0,1,0
1179,,0,0,19,33,70,130,0
1180,,0,0,18,51,0,0,0
1184,,165434,0,19,15,0,3,0
1186,,0,0,19,14,80,6,0
1188,,0,0,18,11,0,0,0
1189,,0,0,18,15,0,0,0
1190,,0,0,18,23,0,0,0
1191,,0,0,18,46,0,0,0
1192,,0,0,19,46,70,2,0
1195,questinteract,0,0,19,15,70,134,0
1197,speak,0,0,18,11,0,0,0
1198,,0,0,18,49,0,0,0
1200,,165434,0,19,11,70,134,0
1204,,0,0,19,46,70,34,0
1206,speak,0,0,18,0,0,0,0
1207,workorders,0,0,18,0,0,0,0
1213,,0,0,19,11,70,66,0
1218,inspect,0,0,18,15,0,0,0
1224,,0,0,19,13,70,128,0
1225,,0,0,19,13,70,128,0
1306,,1381346,4721,18,0,0,0,0
1319,,0,4701,18,0,0,0,0
1380,,0,0,18,0,0,34,0
1433,,326407,0,19,0,0,1,0
1434,,199911,0,19,0,0,0,0
1437,,0,4772,18,0,0,0,0
1477,interact,0,0,19,11,0,2,0
1482,,5593586,0,19,15,0,128,0
