ID,Name_lang,Enchantment[0],Enchantment[1],Enchantment[2],Enchantment[3],Enchantment[4],AllocationPct[0],AllocationPct[1],AllocationPct[2],AllocationPct[3],AllocationPct[4]
95,,2805,0,0,0,0,9000,0,0,0,0
96,,2803,0,0,0,0,13500,0,0,0,0
97,,2804,0,0,0,0,9000,0,0,0,0
98,,2806,0,0,0,0,9000,0,0,0,0
99,of Speed,3726,0,0,0,0,10000,0,0,0,0
324,of Arcane Resistance,2817,0,0,0,0,10000,0,0,0,0
325,of Dodge,2815,0,0,0,0,10000,0,0,0,0
326,of Fire Resistance,2818,0,0,0,0,10000,0,0,0,0
327,of Frost Resistance,2819,0,0,0,0,10000,0,0,0,0
328,of Nature Resistance,2820,0,0,0,0,10000,0,0,0,0
329,of Shadow Resistance,2821,0,0,0,0,10000,0,0,0,0
330,of Restoration,2803,2804,2806,0,0,5259,5259,5259,0,0
331,of Striking,2803,2825,3726,0,0,5259,5259,5259,0,0
332,of Sorcery,2803,2804,3726,0,0,5259,5259,5259,0,0
