ID,Qualitymod[0],Qualitymod[1],Qualitymod[2],Qualitymod[3],Qualitymod[4],Qualitymod[5],Qualitymod[6]
38,0.9,0.95,1,1.1,1.2,1.2,1.2
39,0.9,0.95,1,1.1,1.2,1.2,1.2
40,0.9,0.95,1,1.1,1.2,1.2,1.2
41,0.9,0.95,1,1.1,1.2,1.2,1.2
42,0.9,0.95,1,1.1,1.2,1.2,1.2
43,0.9,0.95,1,1.1,1.2,1.2,1.2
44,0.9,0.95,1,1.1,1.2,1.2,1.2
45,0.9,0.95,1,1.1,1.2,1.2,1.2
46,0.9,0.95,1,1.1,1.2,1.2,1.2
47,0.9,0.95,1,1.1,1.2,1.2,1.2
48,0.9,0.95,1,1.1,1.2,1.2,1.2
49,0.9,0.95,1,1.1,1.2,1.2,1.2
50,0.9,0.95,1,1.1,1.2,1.2,1.2
51,0.9,0.95,1,1.1,1.2,1.2,1.2
52,0.9,0.95,1,1.1,1.2,1.2,1.2
53,0.9,0.95,1,1.1,1.2,1.2,1.2
54,0.9,0.95,1,1.1,1.2,1.2,1.2
55,0.9,0.95,1,1.1,1.2,1.2,1.2
56,0.9,0.95,1,1.1,1.2,1.2,1.2
57,0.9,0.95,1,1.1,1.2,1.2,1.2
58,0.9,0.95,1,1.1,1.2,1.2,1.2
59,0.9,0.95,1,1.1,1.2,1.2,1.2
60,0.9,0.95,1,1.1,1.2,1.2,1.2
61,0.9,0.95,1,1.1,1.2,1.2,1.2
62,0.9,0.95,1,1.1,1.2,1.2,1.2
63,0.9,0.95,1,1.1,1.2,1.2,1.2
64,0.9,0.95,1,1.1,1.2,1.2,1.2
65,0.9,0.95,1,1.1,1.2,1.2,1.2
66,0.9,0.95,1,1.1,1.2,1.2,1.2
67,0.9,0.95,1,1.1,1.2,1.2,1.2
68,0.9,0.95,1,1.1,1.2,1.2,1.2
69,0.9,0.95,1,1.1,1.2,1.2,1.2
70,0.9,0.95,1,1.1,1.2,1.2,1.2
71,0.9,0.95,1,1.1,1.2,1.2,1.2
72,0.9,0.95,1,1.1,1.2,1.2,1.2
73,0.9,0.95,1,1.1,1.2,1.2,1.2
74,0.9,0.95,1,1.1,1.2,1.2,1.2
75,0.9,0.95,1,1.1,1.2,1.2,1.2
76,0.9,0.95,1,1.1,1.2,1.2,1.2
77,0.9,0.95,1,1.1,1.2,1.2,1.2
78,0.9,0.95,1,1.1,1.2,1.2,1.2
79,0.9,0.95,1,1.1,1.2,1.2,1.2
80,0.9,0.95,1,1.1,1.2,1.2,1.2
81,0.9,0.95,1,1.1,1.2,1.2,1.2
82,0.9,0.95,1,1.1,1.2,1.2,1.2
83,0.9,0.95,1,1.1,1.2,1.2,1.2
84,0.9,0.95,1,1.1,1.2,1.2,1.2
85,0.9,0.95,1,1.1,1.2,1.2,1.2
86,0.9,0.95,1,1.1,1.2,1.2,1.2
87,0.9,0.95,1,1.1,1.2,1.2,1.2
88,0.9,0.95,1,1.1,1.2,1.2,1.2
89,0.9,0.95,1,1.1,1.2,1.2,1.2
90,0.9,0.95,1,1.1,1.2,1.2,1.2
91,0.9,0.95,1,1.1,1.2,1.2,1.2
92,0.9,0.95,1,1.1,1.2,1.2,1.2
93,0.9,0.95,1,1.1,1.2,1.2,1.2
94,0.9,0.95,1,1.1,1.2,1.2,1.2
95,0.9,0.95,1,1.1,1.2,1.2,1.2
96,0.9,0.95,1,1.1,1.2,1.2,1.2
97,0.9,0.95,1,1.1,1.2,1.2,1.2
98,0.9,0.95,1,1.1,1.2,1.2,1.2
99,0.9,0.95,1,1.1,1.2,1.2,1.2
100,0.9,0.95,1,1.1,1.2,1.2,1.2
