ID,Field_1_60_1_69876_000,Field_1_60_1_69876_001,Field_1_60_1_69876_002
904,138237,3.4,0.5
905,138236,3.4,0.5
906,138235,3.4,0.5
907,138234,3.4,0.5
908,138233,3.4,0.5
909,138230,3.4,0.5
910,138229,3.4,0.5
911,138228,3.4,0.5
912,138227,3.4,0.5
914,141980,5.9,0.75
915,141981,5.9,0.75
916,141984,5.9,0.75
917,141985,5.9,0.75
918,141986,5.9,0.75
919,141987,5.9,0.75
920,141988,5.9,0.75
921,141989,5.9,0.75
922,141990,5.9,0.75
923,141991,5.9,0.75
924,141992,5.9,0.75
925,141993,5.9,0.75
926,141994,5.9,0.75
927,141995,5.9,0.75
928,142157,1.18,0.75
929,142158,1.18,0.75
930,142159,1.18,0.75
931,142160,1.18,0.75
932,142163,1.18,0.75
933,142164,1.18,0.75
934,142165,1.18,0.75
935,142166,1.18,0.75
936,142167,1.18,0.75
937,142168,1.18,0.75
938,142169,1.18,0.75
939,142170,1.18,0.75
940,142171,1.18,0.75
941,142172,1.18,0.75
942,142173,1.18,0.75
943,142174,1.18,0.75
944,142188,1.9,0.75
945,142182,1.9,0.75
946,142183,1.9,0.75
947,142184,1.9,0.75
948,142185,1.9,0.75
949,142189,1.9,0.75
950,142190,1.9,0.75
951,142191,1.9,0.75
952,142192,1.9,0.75
953,142193,1.9,0.75
954,142194,1.9,0.75
955,142195,1.9,0.75
956,142196,1.9,0.75
957,142197,1.9,0.75
958,142198,1.9,0.75
959,142199,1.9,0.75
960,142304,1.72,1.17
961,142305,1.72,1.17
962,142306,1.72,1.17
963,142307,1.72,1.17
964,142310,1.72,1.17
965,142311,1.72,1.17
966,142312,1.72,1.17
967,142313,1.72,1.17
968,142314,1.72,1.17
969,142315,1.72,1.17
970,142316,1.72,1.17
971,142317,1.72,1.17
972,142318,1.72,1.17
973,142319,1.72,1.17
974,142320,1.72,1.17
975,142321,1.72,1.17
976,142353,1.51,1.3
977,142354,1.51,1.3
978,142355,1.51,1.3
979,142356,1.51,1.3
980,142359,1.51,1.3
981,142360,1.51,1.3
982,142361,1.51,1.3
983,142362,1.51,1.3
984,142363,1.51,1.3
985,142364,1.51,1.3
986,142365,1.51,1.3
987,142366,1.51,1.3
988,142367,1.51,1.3
989,142368,1.51,1.3
990,142369,1.51,1.3
991,142370,1.51,1.3
992,146143,1.6,0.76
993,144645,7.5,0.4
994,146221,1.3,1
995,143166,1.6,1.25
996,143152,1.32,1
997,143169,2.48,1.5
998,197327,1,1
999,201190,5,0.1
1000,189253,0.81,0.47
1001,189233,0.81,0.84
1002,143174,2.3,1.2
1003,200264,1.65,1
1005,143210,2.9,1.35
1006,143212,2.8,1.15
1007,143215,2.4,1.25
1008,143221,3,1.5
1009,143276,1.75,0.75
1010,143286,1.7,1.05
1011,143314,2.8,1.4
1012,143322,2.5,0.9
1013,143324,2.1,1.1
1014,143325,1.75,1.05
1015,143327,7.45,1.4
1016,143328,1.44,0.75
1017,143334,5,1.2
1018,143335,3.1,2
1019,143340,3,1
1020,143342,1.76,1.53
1021,143343,3,0.65
1022,146557,4,0.77
1023,146561,0.5,1
1024,146907,3.4,0.56
1025,146919,1.45,0.75
1026,147000,2.48,0.8
1027,147001,3.4,0.32
1028,147003,1.46,0.65
1029,147013,0.85,0.9
1030,146112,3,1
1031,147020,1.9,0.65
1032,146144,7,1
1033,146146,9,1
1034,146152,4,1
1035,147027,1.15,1
1036,147057,1.3,1
1037,147058,1.3,1
1038,147059,1.3,1
1039,147069,0.75,1
1040,147104,1.6,1.25
1041,147133,1.55,1.2
1042,201435,1,1
1043,201439,2,1
1044,201440,2,1
1045,201441,2,1
1046,199127,1.85,1
1047,147135,1.75,1.1
1048,147137,1.4,0.7
1049,147139,3.2,0.15
1050,143472,2.48,1.5
1051,143456,1.32,1
1052,143469,1.6,1.25
1053,143477,2.3,1.2
1054,143513,2.9,1.35
1055,143515,2.8,1.15
1056,143518,2.4,1.25
1057,143524,3,1.5
1058,143575,1.75,0.75
1059,143585,1.7,1.05
1060,143613,2.8,1.4
1061,143621,2.5,0.9
1062,143623,2.1,1.1
1063,143624,1.75,1.05
1064,143626,7.45,1.4
1065,143627,1.44,0.75
1066,143633,5,1.2
1067,143634,3.1,2
1068,143639,3,1
1069,143641,1.76,1.53
1070,143642,3,0.65
1071,142787,4.6,0.73
1072,142873,1.4,1
1073,142876,1,1
1074,146156,6,1
1075,146174,6,1
1076,146176,4,1
1077,146180,6,1
1078,142946,8,0.35
1079,142948,2.75,0.31
1080,142950,3.5,0.5
1081,147464,3,1.5
1082,147576,2.2,1
1083,147578,2.35,0.71
1084,147579,1.85,0.57
1085,147581,1.43,0.52
1086,147688,2.4,1.1
1087,147692,3.85,0.71
1088,147699,2.35,0.7
1089,147701,1.88,1
1090,147703,1.95,1
1091,147860,2.6,1.67
1092,147994,2.6,1.68
1093,147998,0.85,0.75
1094,148087,2.6,1.68
1095,148156,1.1,0.75
1096,148157,1.1,0.75
1097,148233,1.9,0.75
1098,148238,2.65,0.75
1099,148603,1.6,1
1100,148610,1.97,0.75
1101,148628,1.1,0.9
1102,148634,2.2,1.1
1103,148640,1.25,1
1104,148646,2.5,1
1105,148695,1.3,1
1106,148734,1.3,1
1108,148735,1.1,0.9
1109,148736,1.15,1
1110,148234,1.9,0.5
1111,198785,1.85,0.25
1112,198788,1.75,0.25
1113,146148,9,1
1114,146279,1.5,1
1115,146311,2,1
1116,146725,1.7,1
1117,146727,2,1
1118,146916,1.4,1
1119,198789,6,0.3
1120,198790,4,1
1121,198792,1.5,0.65
1122,198794,4,0.45
1123,199571,1.35,0.25
1124,198965,2.2,1.4
1125,200316,2.2,1.4
1126,201982,7.5,0.76
1127,198779,1.25,0.5
1128,198960,6,0.64
1129,198961,6,0.64
1130,198962,0.6,0.64
1131,201688,1.35,1.3
1132,199022,1,0.48
1133,199034,3,0.3
1134,199035,3,0.3
1135,199036,7,0.45
1136,199037,6.4,0.24
1137,189118,1,1
1138,199196,1,1
1139,199197,1,1
1140,200317,0.82,0.76
1141,189188,1.9,0.57
1142,202363,1.1,0.9
1143,219337,1.8,0.8
1144,219338,2,0.8
1145,219339,0.75,0.66
1146,200434,0.85,2.2
1147,189208,1.35,1
1148,202952,1.35,1
1149,203788,1.82,1.55
1150,198312,1,1
1151,203796,1.71,1.59
1152,199967,1.13,1.11
1153,243492,3.8,1.45
1154,202599,0.87,0.73
1155,202600,0.87,0.73
1156,202601,0.87,0.73
1157,202602,0.92,0.6
1158,199401,1,0.8
1159,199138,9,0.47
1160,189904,1,0.7
1161,199156,1.48,0.56
1162,198626,0.82,0.88
1163,198517,0.41,1.23
1164,200256,1.71,0.25
1165,199970,2.3,0.22
1166,199971,4.5,0.15
1167,199159,3.5,0.17
1168,202646,1.07,0.68
1169,198067,0.69,1.29
1170,197295,0.69,1.29
1171,199973,0.66,0.7
1172,199141,1,1
1173,200409,0.76,1.27
1174,200426,0.38,0.86
1175,204121,0.85,4
1176,204122,0.85,4
1177,199823,1,1
1178,219399,0.77,1.07
1179,198193,1.61,1.47
1180,202766,1,0.32
1181,202767,0.71,0.26
1182,219226,2.46,0.21
1183,189270,0.92,0.4
1184,189274,0.92,0.4
1185,189272,1.46,0.53
1186,190612,1,1
1187,190614,1,1
1188,166608,1.25,1
1189,166610,1.61,0.69
1190,166611,0.85,1.2
1194,165554,1.6,1
1196,165585,2.2,1
1197,165615,3,2
1199,165614,3,2
1200,166612,0.8,1.1
1201,166613,0.82,0.83
1202,166625,2.46,0.82
1203,166626,2.46,0.82
1204,165619,2.2,1
1205,166631,6,0.17
1206,166634,0.7,1
1207,166647,1.56,0.76
1208,165658,2.2,1
1209,166650,1.9,0.59
1210,165761,1.4,1
1211,165762,1.4,1
1212,165778,1.6,1
1213,166656,4.59,0.62
1214,165783,1.6,1
1215,166657,1,2
1216,166659,1.53,0.7
1217,165948,1.6,1
1218,240995,1.66,1.24
1219,166664,1.13,0.91
1220,166665,2.67,1.15
1221,166666,2.08,1.15
1222,166190,1.6,1
1223,166288,1.6,1
1224,166667,1.43,0.71
1225,166293,1.6,1
1226,166342,1.1,1
1227,166357,2,0.7
1228,166675,1.97,1
1229,166362,1.6,1
1230,166363,1.6,1
1231,166685,4,1.33
1232,166500,2.2,1
1233,166523,7.6,0.1
1234,166690,6.69,0.25
1235,166540,1,0.47
1236,166541,1,0.47
1237,166691,4,0.6
1238,166546,1.6,1
1239,166604,2.2,1
1240,166624,2.2,1
1241,166636,2.2,1
1242,166638,1.6,1
1243,166654,1.6,1
1244,166655,1.6,1
1245,166679,1.6,1
1246,166695,6.5,0.12
1247,166696,2,1
1248,166707,1.4,1
1249,166708,1.4,1
1250,166697,2.2,1.19
1251,166702,5.6,0.34
1252,166703,5.95,0.7
1253,166704,6.85,0.21
1254,166705,2,1.35
1255,166732,6.72,0.38
1256,166737,2.75,1
1257,166762,2.35,2.25
1258,166764,1.85,0.75
1259,166766,1.66,1.3
1260,166779,0.87,0.87
1261,166782,5.6,0.15
1262,166791,3.5,1
1263,166794,2.2,1.35
1264,166796,3.18,0.91
1265,166798,1.56,0.95
1266,166799,1.55,0.82
1267,166800,2.64,0.82
1268,166801,0.3,1.5
1269,166783,2.2,1
1270,166788,2.2,1
1271,166842,1.6,1
1272,166807,7.8,2
1273,166900,2.2,1
1274,166951,2.2,1
1275,165906,1.6,1
1276,167004,1.6,1
1277,167093,1.6,1
1278,167115,2.2,1
1279,167117,2.2,1
1280,167189,2.2,1
1281,167195,1.6,1
1282,167194,1.6,1
1283,166808,2.15,1.1
1284,166762,2.7,1.15
1285,166811,4.25,1.56
1286,199916,1.7,0.66
1287,199925,3.3,1.08
1288,199927,3.3,1.08
1289,166823,3.59,0.85
1290,166779,3.3,0.5
1291,165412,1.6,1
1292,166827,2.2,1.46
1293,165436,2.2,1
1294,165532,3,0.5
1295,165533,1.6,1
1296,165549,4.5,0.57
1297,165552,2.2,1
1298,165562,1.6,1
1304,165563,3,1
1307,165564,3,1
1320,166828,0.87,0.85
1321,166829,3.8,1.25
1322,166830,3.3,0.5
1323,165576,5,3
1324,165578,1.6,1
1325,165589,1.6,1
1326,165591,1.6,1
1327,165592,1.6,1
1328,165594,1.6,1
1329,165622,2.2,1
1330,165646,1.6,1
1331,165646,1.8,1
1332,165648,1.6,1
1333,165655,1.6,1
1334,166833,2.2,1
1335,166835,1.1,0.9
1336,166836,1.15,0.9
1337,241017,1,0.6
1338,241020,1.75,0.69
1339,241024,2.2,1
1340,146940,1.5,1
1341,241025,2.2,1
1342,166841,2.5,1.1
1343,166844,2.35,0.5
1344,165659,1.6,1
1345,166890,1.5,1.23
1346,165678,2.2,1
1347,165679,1.6,1
1348,165680,1.6,1
1349,165681,2.2,1
1350,240799,1.6,1
1351,165690,1.6,1
1352,166901,1.35,0.92
1353,165700,1.6,0.6
1354,166902,2.5,0.78
1355,147317,1.4,1
1356,147320,1.5,1
1357,165705,1.6,1
1358,165710,1.6,1
1359,166912,1.1,0.76
1360,165711,1.6,1
1361,165711,1.6,1
1362,165715,1.6,1
1363,165716,1,1
1364,147345,2,1
1365,147345,2,1
1366,165722,1.6,1
1367,165725,2.2,1
1368,165728,2.2,0.5
1369,165738,1.3,1
1370,165763,2.2,1
1371,165768,1.6,1
1372,1237497,1.6,1
1373,165786,2.2,1
1375,165790,2.2,1
1376,165795,2.2,1
1377,165796,1.6,1
1378,165798,2.2,1
1379,165799,2.2,1
1380,165811,2.2,1
1381,165816,2.2,0.25
1382,165817,2.2,0.25
1383,165820,1,0.65
1384,165822,2.2,1
1385,165824,2.2,1
1386,165837,2.2,1
1387,165838,2.2,1
1388,165839,2.2,1
1389,165850,2.2,1
1390,165852,2.2,1
1391,165853,2.2,1
1392,165854,2.2,1
1393,165855,2.2,1
1394,165856,2.2,1
1395,165857,2.2,1
1396,165858,2.2,1
1397,166913,1.2,0.27
1398,165863,0.6,1
1399,165864,2.2,1
1400,166922,3.1,1.2
1401,165873,1.6,1.3
1402,165874,2.2,1
1403,143077,2.2,1
1404,165879,2.2,1
1405,165890,1,0.75
1406,240845,1.6,0.35
1407,165908,2.2,1
1408,165913,8,1
1409,165914,2.2,1
1410,166932,1.1,0.95
1411,165915,2.2,1
1412,165918,2.2,1
1413,166934,3,1
1414,165919,2.2,1
1415,165923,2.2,1
1416,166935,2.25,1
1417,166944,4,1.8
1418,165940,2.2,1
1419,165941,1.8,1
1420,166950,0.7,1
1421,147953,2.7,1
1422,165949,5,5
1423,240861,1.6,1
1424,166973,2,1
1425,165960,2.2,1
1426,166980,2.5,1.3
1427,166982,1.77,1.21
1428,147984,2,1
1429,240872,2.2,1
1430,240875,1.4,1.4
1431,240877,2.2,1
1432,240878,2.2,1
1433,165969,1.6,1
1434,165977,1,0.6
1435,165984,2.2,1
1436,165986,2.2,1
1437,165987,2.2,1
1438,165988,2.2,0.36
1439,165989,2.2,1
1440,148158,2,1
1441,148224,1.7,1
1442,148226,2,1
1443,148228,2.1,1
1444,148231,1.2,1
1445,166993,1.5,0.75
1446,166994,2.3,1.3
1447,167003,1.39,1.15
1448,167114,1.1,1
1449,167120,0.85,1.55
1450,167134,1.35,2
1451,167135,1.35,2
1452,167139,1.3,1.15
1453,167140,2.8,0.45
1454,167141,2,0.87
1455,166037,2.2,1
1456,166038,2.2,1
1457,166042,1,0.4
1458,166047,2.2,1
1459,166049,2.2,1
1460,240889,2.2,1
1461,166060,2.2,1
1462,167143,2.25,0.7
1463,167144,1.45,0.85
1465,166061,2.2,1
1466,249502,2.2,1
1467,240892,2.2,1
1468,167147,1.85,1.1
1469,166064,2.2,1
1470,166313,1.5,1
1471,166065,2.2,1
1472,166317,1.35,1
1474,166067,2.2,1
1475,166068,2.2,1
1476,167150,2.45,0.75
1477,166073,2.2,1
1478,166098,2.2,1
1479,166110,2.2,1
1480,167151,1,1.15
1481,167152,2,1
1482,167170,2.3,1.3
1483,167171,2.3,1.3
1484,166111,2.2,1
1485,167175,1.35,1
1486,167178,3,1.38
1487,166112,2.2,1
1488,166113,2.6,0.4
1489,166114,2.2,1
1490,166115,2.2,1
1491,166116,2.2,1
1492,166117,2.2,1
1493,167196,0.8,0.83
1494,167199,0.75,0.32
1495,167212,1.5,0.78
1496,148485,2,1
1499,148487,2,1
1500,148530,2,1
1501,148708,4.5,0.8
1502,145019,1.5,1
1503,145169,2,1
1504,145304,1,1
1505,166323,1,1
1506,166452,2.3,0.8
1507,145602,1.5,1
1508,166892,1.6,2
1509,138283,1.5,1
1510,138284,1.5,1
1511,138286,1.5,1
1512,138287,1.5,1
1513,138290,1.5,1
