ID,MinLevel,MaxLevel,ItemType,PrimaryStat,SecondaryStat,SpecializationID
6907,1,40,5,1,17,255
6908,1,40,5,1,18,268
6909,1,40,5,1,18,269
6910,1,40,5,1,18,103
6911,1,40,5,1,18,104
6912,1,40,5,1,19,268
6913,1,40,5,1,19,269
6914,1,40,5,1,19,103
6915,1,40,5,1,19,104
6916,1,40,5,1,12,103
6917,1,40,5,1,12,104
6918,1,40,5,0,13,64
6919,1,40,5,0,13,63
6920,1,40,5,0,13,62
6921,1,40,5,0,13,265
6922,1,40,5,0,13,266
6923,1,40,5,0,13,267
6924,1,40,5,0,13,258
6925,1,40,5,0,13,257
6926,1,40,5,0,13,256
6927,1,40,5,0,13,105
6928,1,40,5,0,13,102
6929,1,40,5,0,13,262
6930,1,40,5,0,13,264
6931,1,40,5,0,14,270
6932,1,40,5,0,14,105
6933,1,40,5,0,14,102
6934,1,40,5,0,14,262
6935,1,40,5,0,14,264
6936,1,40,5,0,7,270
6937,1,40,5,0,7,262
6938,1,40,5,0,7,264
6939,1,40,5,0,7,65
6940,1,40,5,0,9,64
6941,1,40,5,0,9,63
6942,1,40,5,0,9,62
6943,1,40,5,0,9,265
6944,1,40,5,0,9,266
6945,1,40,5,0,9,267
6946,1,40,5,0,9,270
6947,1,40,5,0,9,65
6948,1,40,5,0,11,258
6949,1,40,5,0,11,257
6950,1,40,5,0,11,256
6951,1,40,5,0,11,270
6952,1,40,5,0,11,105
6953,1,40,5,0,11,102
6954,1,40,5,0,11,262
6955,1,40,5,0,11,264
6956,1,40,5,0,11,65
6957,1,40,5,0,18,64
6958,1,40,5,0,18,63
6959,1,40,5,0,18,62
6960,1,40,5,0,18,265
6961,1,40,5,0,18,266
6962,1,40,5,0,18,267
6963,1,40,5,0,18,258
6964,1,40,5,0,18,257
6965,1,40,5,0,18,256
6966,1,40,5,0,18,270
6967,1,40,5,0,18,105
6968,1,40,5,0,18,102
6969,1,40,5,0,18,262
6970,1,40,5,0,18,264
6971,1,40,5,0,8,65
6972,1,40,5,0,19,270
6973,1,40,5,0,19,105
6974,1,40,5,0,19,102
6975,1,40,5,0,19,65
6976,1,40,5,0,10,65
6977,1,40,5,0,12,105
6978,1,40,5,0,12,102
6979,1,40,5,0,12,262
6980,1,40,5,0,12,264
6981,1,40,5,0,12,65
6982,1,40,5,0,21,64
6983,1,40,5,0,21,63
6984,1,40,5,0,21,62
6985,1,40,5,0,21,265
6986,1,40,5,0,21,266
6987,1,40,5,0,21,267
6988,1,40,5,0,21,258
6989,1,40,5,0,21,257
6990,1,40,5,0,21,256
6991,1,40,5,2,13,73
6992,1,40,5,2,13,72
6993,1,40,5,2,14,73
6994,1,40,5,2,14,72
6995,1,40,5,2,7,251
6996,1,40,5,2,7,66
6997,1,40,5,2,7,73
6998,1,40,5,2,7,72
6999,1,40,5,2,9,251
7000,1,40,5,2,9,66
7001,1,40,5,2,9,73
7002,1,40,5,2,9,72
7003,1,40,5,2,11,251
7004,1,40,5,2,11,66
7005,1,40,5,2,11,73
7006,1,40,5,2,11,72
7007,1,40,5,2,18,71
7008,1,40,5,2,8,250
7009,1,40,5,2,8,251
7010,1,40,5,2,8,252
7011,1,40,5,2,8,70
7012,1,40,5,2,8,71
7013,1,40,5,2,8,72
7014,1,40,5,2,19,250
7015,1,40,5,2,19,251
7016,1,40,5,2,19,252
7017,1,40,5,2,19,70
7018,1,40,5,2,19,71
7019,1,40,5,2,19,72
7020,1,40,5,2,10,250
7021,1,40,5,2,10,251
7022,1,40,5,2,10,252
7023,1,40,5,2,10,70
7024,1,40,5,2,10,71
7025,1,40,5,2,10,72
7026,1,40,5,2,12,250
7027,1,40,5,2,12,251
7028,1,40,5,2,12,252
7029,1,40,5,2,12,70
7030,1,40,5,2,12,71
7031,1,40,5,2,12,72
7032,1,40,6,0,23,64
7033,1,40,6,0,23,63
7034,1,40,6,0,23,62
7035,1,40,6,0,23,265
7036,1,40,6,0,23,266
7037,1,40,6,0,23,267
7038,1,40,6,0,23,258
7039,1,40,6,0,23,257
7040,1,40,6,0,23,256
7041,1,40,6,0,23,270
7042,1,40,6,0,23,105
7043,1,40,6,0,23,102
7044,1,40,6,0,22,262
7045,1,40,6,0,22,264
7046,1,40,6,0,22,65
7047,1,40,6,2,22,66
7048,1,40,6,2,22,73
7049,41,90,1,0,40,64
7050,41,90,1,0,40,63
7051,41,90,1,0,40,62
7052,41,90,1,0,40,265
7053,41,90,1,0,40,266
7054,41,90,1,0,40,267
7055,41,90,1,0,40,258
7056,41,90,1,0,40,257
7057,41,90,1,0,40,256
7058,41,90,1,0,3,258
7059,41,90,1,0,3,257
7060,41,90,1,0,3,256
7061,41,90,1,0,4,64
7062,41,90,1,0,4,63
7063,41,90,1,0,4,62
7064,41,90,1,0,4,265
7065,41,90,1,0,4,266
7066,41,90,1,0,4,267
7067,41,90,1,0,4,258
7068,41,90,2,1,40,268
7069,41,90,2,1,40,269
7070,41,90,2,1,40,259
7071,41,90,2,1,40,260
7072,41,90,2,1,40,261
7073,41,90,2,1,40,103
7074,41,90,2,1,40,104
7075,41,90,2,0,40,270
7076,41,90,2,0,40,105
7077,41,90,2,0,40,102
7078,41,90,3,1,40,253
7079,41,90,3,1,40,254
7080,41,90,3,1,40,255
7081,41,90,3,1,40,263
7082,41,90,3,0,40,262
7083,41,90,3,0,40,264
7084,41,90,4,0,40,65
7085,41,90,4,2,40,250
7086,41,90,4,2,40,251
7087,41,90,4,2,40,252
7088,41,90,4,2,40,66
7089,41,90,4,2,40,70
7090,41,90,4,2,40,73
7091,41,90,4,2,40,71
7092,41,90,4,2,40,72
7093,41,90,4,2,5,250
7094,41,90,4,2,5,66
7095,41,90,4,2,5,73
7096,41,90,4,2,6,250
7097,41,90,4,2,6,66
7098,41,90,4,2,6,73
7099,41,90,4,2,24,251
7100,41,90,4,2,24,252
7101,41,90,4,2,24,70
7102,41,90,4,2,24,71
7103,41,90,4,2,24,72
7104,41,90,4,2,25,251
7105,41,90,4,2,25,252
7106,41,90,4,2,25,70
7107,41,90,4,2,25,71
7108,41,90,4,2,25,72
7109,41,90,0,1,40,268
7110,41,90,0,1,40,269
7111,41,90,0,1,40,259
7112,41,90,0,1,40,260
7113,41,90,0,1,40,261
7114,41,90,0,1,40,103
7115,41,90,0,1,40,104
7116,41,90,0,1,40,253
7117,41,90,0,1,40,254
7118,41,90,0,1,40,255
7119,41,90,0,1,40,263
7120,41,90,0,0,40,64
7121,41,90,0,0,40,63
7122,41,90,0,0,40,62
7123,41,90,0,0,40,265
7124,41,90,0,0,40,266
7125,41,90,0,0,40,267
7126,41,90,0,0,40,258
7127,41,90,0,0,40,257
7128,41,90,0,0,40,256
7129,41,90,0,0,40,270
7130,41,90,0,0,40,105
7131,41,90,0,0,40,102
7132,41,90,0,0,40,262
7133,41,90,0,0,40,264
7134,41,90,0,0,40,65
7135,41,90,0,0,3,258
7136,41,90,0,0,3,257
7137,41,90,0,0,3,256
7138,41,90,0,0,3,270
7139,41,90,0,0,3,105
7140,41,90,0,0,3,102
7141,41,90,0,0,3,262
7142,41,90,0,0,3,264
7143,41,90,0,0,3,65
7144,41,90,0,0,4,64
7145,41,90,0,0,4,63
7146,41,90,0,0,4,62
7147,41,90,0,0,4,265
7148,41,90,0,0,4,266
7149,41,90,0,0,4,267
7150,41,90,0,0,4,258
7151,41,90,0,0,4,102
7152,41,90,0,0,4,262
7153,41,90,0,2,40,250
7154,41,90,0,2,40,251
7155,41,90,0,2,40,252
7156,41,90,0,2,40,66
7157,41,90,0,2,40,70
7158,41,90,0,2,40,73
7159,41,90,0,2,40,71
7160,41,90,0,2,40,72
7161,41,90,0,2,5,250
7162,41,90,0,2,5,66
7163,41,90,0,2,5,73
7164,41,90,0,2,6,250
7165,41,90,0,2,6,66
7166,41,90,0,2,6,73
7167,41,90,0,2,24,251
7168,41,90,0,2,24,252
7169,41,90,0,2,24,70
7170,41,90,0,2,24,71
7171,41,90,0,2,24,72
7172,41,90,0,2,25,251
7173,41,90,0,2,25,252
7174,41,90,0,2,25,70
7175,41,90,0,2,25,71
7176,41,90,0,2,25,72
7177,41,90,5,1,13,259
7178,41,90,5,1,13,260
7179,41,90,5,1,13,261
7180,41,90,5,1,14,268
7181,41,90,5,1,14,269
7182,41,90,5,1,14,260
7183,41,90,5,1,14,261
7184,41,90,5,1,14,263
7185,41,90,5,1,7,268
7186,41,90,5,1,7,269
7187,41,90,5,1,7,260
7188,41,90,5,1,7,261
7189,41,90,5,1,7,263
7190,41,90,5,1,9,268
7191,41,90,5,1,9,269
7192,41,90,5,1,9,260
7193,41,90,5,1,9,261
7194,41,90,5,1,11,268
7195,41,90,5,1,11,269
7196,41,90,5,1,11,260
7197,41,90,5,1,11,261
7198,41,90,5,1,11,263
7199,41,90,5,1,15,253
7200,41,90,5,1,15,254
7201,41,90,5,1,15,255
7202,41,90,5,1,16,253
7203,41,90,5,1,16,254
7204,41,90,5,1,16,255
7205,41,90,5,1,17,253
7206,41,90,5,1,17,254
7207,41,90,5,1,17,255
7208,41,90,5,1,18,268
7209,41,90,5,1,18,269
7210,41,90,5,1,18,103
7211,41,90,5,1,18,104
7212,41,90,5,1,19,268
7213,41,90,5,1,19,269
7214,41,90,5,1,19,103
7215,41,90,5,1,19,104
7216,41,90,5,1,12,103
7217,41,90,5,1,12,104
7218,41,90,5,0,13,64
7219,41,90,5,0,13,63
7220,41,90,5,0,13,62
7221,41,90,5,0,13,265
7222,41,90,5,0,13,266
7223,41,90,5,0,13,267
7224,41,90,5,0,13,258
7225,41,90,5,0,13,257
7226,41,90,5,0,13,256
7227,41,90,5,0,13,105
7228,41,90,5,0,13,102
7229,41,90,5,0,13,262
7230,41,90,5,0,13,264
7231,41,90,5,0,14,270
7232,41,90,5,0,14,105
7233,41,90,5,0,14,102
7234,41,90,5,0,14,262
7235,41,90,5,0,14,264
7236,41,90,5,0,7,270
7237,41,90,5,0,7,262
7238,41,90,5,0,7,264
7239,41,90,5,0,7,65
7240,41,90,5,0,9,64
7241,41,90,5,0,9,63
7242,41,90,5,0,9,62
7243,41,90,5,0,9,265
7244,41,90,5,0,9,266
7245,41,90,5,0,9,267
7246,41,90,5,0,9,270
7247,41,90,5,0,9,65
7248,41,90,5,0,11,258
7249,41,90,5,0,11,257
7250,41,90,5,0,11,256
7251,41,90,5,0,11,270
7252,41,90,5,0,11,105
7253,41,90,5,0,11,102
7254,41,90,5,0,11,262
7255,41,90,5,0,11,264
7256,41,90,5,0,11,65
7257,41,90,5,0,18,64
7258,41,90,5,0,18,63
7259,41,90,5,0,18,62
7260,41,90,5,0,18,265
7261,41,90,5,0,18,266
7262,41,90,5,0,18,267
7263,41,90,5,0,18,258
7264,41,90,5,0,18,257
7265,41,90,5,0,18,256
7266,41,90,5,0,18,270
7267,41,90,5,0,18,105
7268,41,90,5,0,18,102
7269,41,90,5,0,18,262
7270,41,90,5,0,18,264
7271,41,90,5,0,19,270
7272,41,90,5,0,19,105
7273,41,90,5,0,19,102
7274,41,90,5,0,19,65
7275,41,90,5,0,12,105
7276,41,90,5,0,12,102
7277,41,90,5,0,12,65
7278,41,90,5,0,21,64
7279,41,90,5,0,21,63
7280,41,90,5,0,21,62
7281,41,90,5,0,21,265
7282,41,90,5,0,21,266
7283,41,90,5,0,21,267
7284,41,90,5,0,21,258
7285,41,90,5,0,21,257
7286,41,90,5,0,21,256
7287,41,90,5,2,13,73
7288,41,90,5,2,13,72
7289,41,90,5,2,14,73
7290,41,90,5,2,14,72
7291,41,90,5,2,7,251
7292,41,90,5,2,7,66
7293,41,90,5,2,7,73
7294,41,90,5,2,7,72
7295,41,90,5,2,9,251
7296,41,90,5,2,9,66
7297,41,90,5,2,9,73
7298,41,90,5,2,9,72
7299,41,90,5,2,11,251
7300,41,90,5,2,11,66
7301,41,90,5,2,11,73
7302,41,90,5,2,11,72
7303,41,90,5,2,18,71
7304,41,90,5,2,8,250
7305,41,90,5,2,8,251
7306,41,90,5,2,8,252
7307,41,90,5,2,8,70
7308,41,90,5,2,8,71
7309,41,90,5,2,8,72
7310,41,90,5,2,19,250
7311,41,90,5,2,19,251
7312,41,90,5,2,19,252
7313,41,90,5,2,19,70
7314,41,90,5,2,19,71
7315,41,90,5,2,19,72
7316,41,90,5,2,10,250
7317,41,90,5,2,10,251
7318,41,90,5,2,10,252
7319,41,90,5,2,10,70
7320,41,90,5,2,10,71
7321,41,90,5,2,10,72
7322,41,90,5,2,12,250
7323,41,90,5,2,12,251
7324,41,90,5,2,12,252
7325,41,90,5,2,12,70
7326,41,90,5,2,12,71
7327,41,90,5,2,12,72
7328,41,90,6,0,23,64
7329,41,90,6,0,23,63
7330,41,90,6,0,23,62
7331,41,90,6,0,23,265
7332,41,90,6,0,23,266
7333,41,90,6,0,23,267
7334,41,90,6,0,23,258
7335,41,90,6,0,23,257
7336,41,90,6,0,23,256
7337,41,90,6,0,23,270
7338,41,90,6,0,23,105
7339,41,90,6,0,23,102
7340,41,90,6,0,22,262
7341,41,90,6,0,22,264
7342,41,90,6,0,22,65
7343,41,90,6,2,22,66
7344,41,90,6,2,22,73
