ID,CharComponentTextureLayoutsID,TextureType,Width,Height,Flags,Field_9_0_1_34615_006
310,183,7,512,512,0,-1
311,183,20,256,256,0,-1
312,184,7,512,512,0,-1
313,184,20,256,256,0,-1
314,184,19,256,128,0,-1
315,184,1,2048,1024,0,-1
316,184,6,512,256,0,-1
317,185,1,2048,1024,0,-1
318,185,6,512,256,0,-1
319,185,19,256,128,0,-1
323,187,1,2048,1024,0,-1
324,187,6,512,256,0,-1
325,187,19,256,128,0,-1
326,185,9,256,256,0,-1
327,187,9,256,256,0,-1
333,189,1,2048,1024,0,-1
334,189,7,128,128,0,0
340,189,9,128,64,0,0
341,189,10,2048,1024,0,-1
