ID,Color,Field_11_0_0_54210_001,Field_11_0_0_54210_002
1368,0,32,0.75
1369,0,32,0.75
1370,0,32,0.75
1371,0,32,0.75
1372,0,32,0.75
1373,0,32,0.75
1374,0,32,0.75
1375,0,32,0.75
1376,0,32,0.75
1377,0,32,0.75
1378,0,32,0.75
1381,0,0,0
1396,0,64,0.1
1397,0,64,0.1
1417,0,32,0.75
1418,0,32,0.75
1419,0,32,0.75
1420,0,32,0.75
1421,0,32,0.75
1422,0,32,0.75
1423,0,32,0.75
1424,0,32,0.75
1425,0,32,0.75
1426,0,32,0.75
1427,0,32,0.75
1428,0,32,0.75
1429,0,32,0.75
1430,0,32,0.75
1431,0,32,0.75
1432,0,32,0.75
1433,0,32,0.75
1434,0,0,0
1435,0,0,0
1438,0,0,0
1440,0,0,0
1441,0,0,0
1442,0,0,0
1443,0,32,0.75
1444,0,32,0.75
1445,0,32,0.75
1446,0,32,0.75
1447,0,32,0.75
1448,0,32,0.75
1449,0,32,0.75
1450,0,32,0.75
1451,0,32,0.75
1452,0,32,0.75
1453,0,32,0.75
1454,0,32,0.75
1455,0,32,0.75
1456,0,32,0.75
1457,0,32,0.75
1459,0,32,0.75
1460,0,32,0.75
1461,0,32,0.75
1462,0,32,0.75
1463,0,32,0.75
1464,0,32,0.75
1465,0,32,0.75
1466,0,32,0.75
1467,0,32,0.75
1470,0,32,0.75
1471,0,32,0.75
1472,0,32,0.75
1473,0,32,0.75
1474,0,32,0.75
1475,0,32,0.75
1476,0,32,0.75
1514,0,64,1
1530,0,32,0.75
1531,0,32,0.75
1532,0,32,0.75
1533,0,32,0.75
1534,0,32,0.75
1535,0,32,0.75
1536,0,32,0.75
1537,0,32,0.75
1538,0,32,0.75
1539,0,32,0.75
1540,0,32,0.75
1549,0,0,0
1550,0,32,0.75
1552,0,32,0.75
1553,0,32,0.75
1554,0,32,0.75
1556,0,0,0
1560,0,32,0.75
1561,0,32,0.75
1563,0,32,0.75
1564,0,32,0.75
1565,0,32,0.75
1566,0,32,0.75
1567,0,32,0.75
1569,0,32,0.75
1571,0,32,0.75
1584,0,0,0
1619,0,32,0.75
1620,0,32,0.75
1621,0,32,0.75
1622,0,32,0.75
1623,0,32,0.75
1624,0,32,0.75
1625,0,32,0.75
1626,0,32,0.75
1627,0,32,0.75
1628,0,32,0.75
1629,0,32,0.75
