ID,Start[0],Start[1],Start[2],MID[0],MID[1],MID[2],End[0],End[1],End[2]
501,-9136,-393392,-131248,-4408832,-4408832,-4408832,-12380160,-12380160,-12380160
521,-15877639,-15941895,-15943175,-16088619,-16088619,-16088619,-16224079,-16159567,-16159567
541,-65659,-65659,-65659,-31724,-31724,-31724,-6815744,-6815744,-6815744
542,-4659713,-4659713,-4659713,-15420161,-15420161,-15420161,-16550692,-16550692,-16550692
561,-1510598,-16777216,-16777216,-9915633,-16777216,-16777216,-10933975,-16777216,-16777216
562,-820422,-16777216,-16777216,-5037553,-16777216,-16777216,-10933975,-16777216,-16777216
563,-803526,-16777216,-16777216,-5022406,-16777216,-16777216,-10926807,-16777216,-16777216
581,-8848116,-16777216,-16777216,-16746234,-16777216,-16777216,-16167666,-16777216,-16777216
582,-798705,-16777216,-16777216,-1985536,-16777216,-16777216,-5037312,-16777216,-16777216
583,-572145,-16777216,-16777216,-3452672,-16777216,-16777216,-7393524,-16777216,-16777216
584,-2112515,-16777216,-16777216,-4883720,-16777216,-16777216,-7721740,-16777216,-16777216
585,-3910912,-16777216,-16777216,-2770862,-16777216,-16777216,-1189975,-16777216,-16777216
586,-13712384,-16777216,-16777216,-7809712,-16777216,-16777216,-1446487,-16777216,-16777216
