ID,Name,VisType,TextureKit,FrameTextureKit,SizeSetting,InAnimType,OutAnimType,WidgetScale,ScriptedAnimationEffectID,ModelSceneLayer
2045,PvP - Northrend BG - Game Time: Vis,0,0,0,0,0,0,0,0,0
2046,PvP - Northrend BG - Alliance Status - Round 2: Vis,0,5248,0,0,0,0,0,0,0
2047,PvP - Northrend BG - Horde Status - Round 2: Vis,0,5249,0,0,0,0,0,0,0
2048,PvP - Northrend BG - Game Time (Bonus Tracker): Vis,0,0,0,0,0,0,0,0,0
2049,PvP - Northrend BG - Game Time (Round 2): Vis,0,0,0,0,0,0,0,0,0
2050,Wintergrasp - Zone Control: Alliance: Vis,0,5451,0,0,0,0,0,0,0
2051,Wintergrasp - Zone Control: Horde: Vis,0,5450,0,0,0,0,0,0,0
2052,Wintergrasp - Reset Time: Vis,0,0,0,0,0,0,0,0,0
2053,WGH - Control of Courtyard == 2 (Horde Controlled): Vis,0,5450,0,0,0,0,0,0,0
2054,WGH - Control of Trade Quarter == 2 (Horde Controlled): Vis,0,5450,0,0,0,0,0,0,0
2055,WGH - Control of the Apothecarium == 2 (Horde Controlled): Vis,0,5450,0,0,0,0,0,0,0
2056,WGH - Control of the Throne Room == 2 (Horde Controlled): Vis,0,5450,0,0,0,0,0,0,0
2057,WGA - Control of Sewers == 2 (Alliance Controlled): Vis,0,5451,0,0,0,0,0,0,0
2058,WGA - Control of Apothecarium == 2 (Alliance Controlled): Vis,0,5451,0,0,0,0,0,0,0
2059,PvP - Icecrown BG - Alliance Supplies Lost: Vis,0,5248,0,0,0,0,0,0,0
2060,PvP - Icecrown BG - Horde Supplies Lost: Vis,0,5249,0,0,0,0,0,0,0
2062,PvP - Northrend BG - Game Time: Vis,0,0,0,0,0,0,0,0,0
2063,CC Prologue - GT - Battle - Active == 1  (ALWAYS ON AT START): Vis,0,5451,0,0,0,0,0,0,0
2064,CC Prologue - GT - Battle - Airfield - Gun Kill Count: Vis,0,0,0,0,0,0,0,0,0
2065,CC Prologue - GT - Battle - Engineering - Contested: Vis,0,5452,0,0,0,0,0,0,0
2066,CC Prologue - GT - Battle - Airfield - Contested: Vis,0,5452,0,0,0,0,0,0,0
2067,CC Prologue - GT - Battle - Airfield - Control: Vis,0,5451,0,0,0,0,0,0,0
2068,CC Prologue - GT - Battle - Engineering - Tankbuster Kill Count: Vis,0,0,0,0,0,0,0,0,0
2069,CC Prologue - GT - Battle - Engineering == 2 (Gnome Controlled): Vis,0,5451,0,0,0,0,0,0,0
2070,CC Prologue - GT - Battle - Door == 1 (Contested): Vis,0,5452,0,0,0,0,0,0,0
2071,CC Prologue - GT - Battle - Door == 2 (Controlled): Vis,0,5451,0,0,0,0,0,0,0
2072,CC Prologue - GT - Battle - Bomb == 1 (Contested): Vis,0,5452,0,0,0,0,0,0,0
2073,CC Prologue - GT - Battle - Bomb == 2 (Controlled): Vis,0,5451,0,0,0,0,0,0,0
2074,CC Prologue - GT - Battle - Start Countdown: Vis,0,5451,0,0,0,0,0,0,0
2075,CC Prologue - ET - Battle - Active == 1  (ALWAYS ON AT START): Vis,0,5450,0,0,0,0,0,0,0
2076,CC Prologue - ET - Battle - Start Countdown: Vis,0,5450,0,0,0,0,0,0,0
2077,CC Prologue - ET - Battle - 01 - Zombie - Contested: Vis,0,5452,0,0,0,0,0,0,0
2078,CC Prologue - ET - Battle - 01 - Zombie - Control: Vis,0,5450,0,0,0,0,0,0,0
2079,CC Prologue - ET - Battle - 02 - Village - Contested: Vis,0,5452,0,0,0,0,0,0,0
2080,CC Prologue - ET - Battle - 02 - Village == 2 (Troll Controlled): Vis,0,5450,0,0,0,0,0,0,0
2081,CC Prologue - ET - Battle - 03 - Dire Trolls == 1 (Contested): Vis,0,5452,0,0,0,0,0,0,0
2082,CC Prologue - ET - Battle - 03 - Dire Troll == 2 (Controlled): Vis,0,5450,0,0,0,0,0,0,0
2083,CC Prologue - ET - Battle - 04 - Zalazane == 1 (Contested): Vis,0,5452,0,0,0,0,0,0,0
2084,CC Prologue - ET - Battle - 04 - Zalazane == 2 (Controlled): Vis,0,5450,0,0,0,0,0,0,0
2217,CC Prologue - EA - Capital - TB - Stage 02 - SR - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2218,CC Prologue - EA - Capital - OR - Stage 01 - Sandbags Remaining: Vis,0,5450,0,0,0,0,0,0,0
2219,CC Prologue - EA - Capital - IF - Stage 02 - MyW - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2220,CC Prologue - EA - Capital - SW - Stage 02 - DD - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2221,CC Prologue - EA - Capital - SW - Stage 02 - MD - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2222,CC Prologue - EA - Capital - OR - Stage 02 - VoHon - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2223,CC Prologue - EA - Capital - SW - Stage 02 - OD - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2224,CC Prologue - EA - Capital - OR - Stage 02 - VoStr - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2225,CC Prologue - EA - Capital - OR - Stage 02 - Drag - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2226,Tol Barad - Alliance Controls: Vis,0,5451,0,0,0,0,0,0,0
2227,Vashj'ir - Temple Event - Time Remaining (Phase 9): Vis,0,0,0,0,0,0,0,0,0
2228,CC Prologue - EA - Capital - OR - Stage 02 - VoSpr - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2229,PvP - Battle for Gilneas - Alliance status: Vis,0,5451,0,0,0,0,0,0,0
2230,Vashj'ir - Temple Event - Time Remaining (Phase 8): Vis,0,0,0,0,0,0,0,0,0
2231,Domination - Gilneas - BG - Victory Points (Horde): Vis,0,5450,0,0,0,0,0,0,0
2232,CC Prologue - EA - Capital - TB - Stage 02 - ER - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2233,PvP - Netherstorm - Alliance status: Vis,0,5451,0,0,0,0,0,0,0
2234,CC Prologue - EA - Capital - SW - Stage 02 - OD - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2235,PvP - Twin Peaks - Horde flag captures: Vis,0,5450,0,0,0,0,0,0,0
2236,CC Prologue - EA - Capital - TB - Stage 02 - HR - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2237,CC Prologue - EA - Capital - IF - Stage 02 - MyW - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2238,CC Prologue - EA - Capital - TB - Stage 02 - SR - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2239,Vashj'ir - Intro Cave - Naga Dead: Vis,0,5441,0,0,0,0,0,0,0
2240,Tol Barad - Horde Attacking: Vis,0,5450,0,0,0,0,0,0,0
2241,PvP - Netherstorm - Horde status: Vis,0,5450,0,0,0,0,0,0,0
2242,CC Prologue - EA - Capital - SW - Stage 02 - HD - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2243,CC Prologue - EA - Capital - TB - Stage 02 - TB - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2244,CoT Well of Eternity - Courtyard Demon Count: Vis,0,0,0,0,0,0,0,0,0
2245,CC Prologue - EA - Capital - OR - Stage 02 - VoWis - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2246,CC Prologue - EA - Capital - IF - Stage 02 - HE - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2247,Hyjal 4.x - Suppressing the Firelord - Horde - Event Started: Vis,0,0,0,0,0,0,0,0,0
2248,CC Prologue - EA - Capital - SW - Stage 02 - District Secured: Vis,0,5451,0,0,0,0,0,0,0
2249,Tol Barad - Reset Time: Vis,0,0,0,0,0,0,0,0,0
2250,CC Prologue - EA - Capital - OR - Stage 02 - VoHon - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2251,CC Prologue - EA - Capital - IF - Stage 02 - FC - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2252,Hyjal 4.x - Suppressing the Firelord - Alliance - Event Started: Vis,0,0,0,0,0,0,0,0,0
2253,CC Prologue - EA - Capital - SW - Stage 02 - CD - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2254,CC Prologue - EA - Capital - OR - Stage 02 - District Secured: Vis,0,5450,0,0,0,0,0,0,0
2255,Tol Barad - Capture Point: Vis,1,5254,0,0,0,0,0,0,0
2256,Deathwing Dungeon - End Time - Fragments Collected: Vis,0,0,0,0,0,0,0,0,0
2257,PvP - Twin Peaks - Alliance flag captures: Vis,0,5451,0,0,0,0,0,0,0
2258,CC Prologue - EA - Capital - IF - Stage 02 - TC - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2259,CC Prologue - EA - Capital - TB - Stage 02 - PoV - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2260,CC Prologue - EA - Capital - SW - Stage 01 - Sandbags Remaining: Vis,0,5451,0,0,0,0,0,0,0
2261,CC Prologue - EA - Capital - OR - Stage 02 - VoStr - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2262,CC Prologue - EA - Capital - SW - Stage 02 - MD - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2263,CC Prologue - EA - Capital - SW - Stage 02 - DD - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2264,CC Prologue - EA - Capital - OR - Stage 02 - VoWis - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2265,CC Prologue - EA - Capital - TB - Stage 02 - District Secured: Vis,0,5450,0,0,0,0,0,0,0
2266,CC Prologue - EA - Capital - OR - Stage 02 - CoShd - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2267,PvP - Battle for Gilneas - Horde status: Vis,0,5450,0,0,0,0,0,0,0
2268,CC Prologue - EA - Capital - OR - Stage 02 - Drag - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2269,CC Prologue - EA - Capital - IF - Stage 02 - MiW- Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2270,Tol Barad - Buildings Captured: Vis,0,5387,0,0,0,0,0,0,0
2271,CC Prologue - EA - Capital - IF - Stage 02 - TC - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2272,Hyjal 4.x - Suppressing the Firelord - Horde - Event Timer: Vis,0,0,0,0,0,0,0,0,0
2273,Domination - Gilneas - BG - Tower Capture Point: Vis,1,5254,0,0,0,0,0,0,0
2274,CC Prologue - EA - Capital - IF - Stage 02 - FC - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2275,CC Prologue - EA - Capital - IF - Stage 02 - MiW - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2276,CC Prologue - EA - Capital - OR - Stage 02 - CoShd - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2277,CC Prologue - EA - Capital - TB - Stage 02 - HR - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2278,CC Prologue - EA - Capital - TB - Stage 02 - TB - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2279,Tol Barad - Game Time: Vis,0,0,0,0,0,0,0,0,0
2280,CC Prologue - EA - Capital - SW - Stage 02 - CD - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2281,CC Prologue - EA - Capital - IF - Stage 01 - Sandbags Remaining: Vis,0,5451,0,0,0,0,0,0,0
2282,PvP - Twin Peaks - Timer: Vis,0,0,0,0,0,0,0,0,0
2283,CC Prologue - EA - Capital - IF - Stage 02 - TGF - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2284,CC Prologue - EA - Capital - TB - Stage 02 - ER - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2285,Domination - Gilneas - BG - Victory Points (Alliance): Vis,0,5451,0,0,0,0,0,0,0
2286,Tol Barad - Towers Destroyed: Vis,0,5387,0,0,0,0,0,0,0
2287,Tol Barad - Alliance Attacking: Vis,0,5451,0,0,0,0,0,0,0
2288,CC Prologue - EA - Capital - SW - Stage 02 - PD - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2289,CC Prologue - EA - Capital - OR - Stage 02 - VoSpr - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2290,Skywall Dungeon - Golden Orbs Collected: Vis,0,0,0,0,0,0,0,0,0
2291,CC Prologue - EA - Capital - SW - Stage 02 - TD - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2292,CC Prologue - EA - Capital - SW - Stage 02 - TD - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2293,CC Prologue - EA - Capital - SW - Stage 02 - PD - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2294,CC Prologue - EA - Capital - TB - Stage 02 - PoV - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2295,CC Prologue - EA - Capital - IF - Stage 02 - District Secured: Vis,0,5451,0,0,0,0,0,0,0
2296,CC Prologue - EA - Capital - IF - Stage 02 - TGF - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2297,CC Prologue - EA - Capital - SW - Stage 02 - HD - Rifts Remaining: Vis,0,5452,0,0,0,0,0,0,0
2298,Hyjal 4.x - Suppressing the Firelord - Alliance - Event Timer: Vis,0,0,0,0,0,0,0,0,0
2299,CC Prologue - EA - Capital - IF - Stage 02 - HE - Citizens Remaining: Vis,0,0,0,0,0,0,0,0,0
2300,CC Prologue - EA - Capital - TB - Stage 01 - Sandbags Remaining: Vis,0,5450,0,0,0,0,0,0,0
2301,Tol Barad - Horde Controls: Vis,0,5450,0,0,0,0,0,0,0
3595,PvP - Gold Rush - Alliance status: Vis,0,5451,0,0,0,0,0,0,0
3596,Mogu'shan Palace - Achievement - Jade Quilins Collected: Vis,0,0,0,0,0,0,0,0,0
3597,PVP - STV Diamond Mine - BG - Victory Points (Horde): Vis,0,5450,0,0,0,0,0,0,0
3598,Shen-zin Su - Healers Active (CSA): Vis,0,0,0,0,0,0,0,0,0
3599,Garrosh Raid - Zaela Event - Adds Alive (DL) - CRT: Vis,0,0,0,0,0,0,0,0,0
3600,Arena - Shado-Pan - Purple Team Winning: Vis,0,0,0,0,0,0,0,0,0
3601,Krasarang Wilds 5.1 - Alliance Tower - Capture Point - PRK: Vis,1,5254,0,0,0,0,0,0,0
3602,Arena - Nagrand - Min Remaining: Vis,0,0,0,0,0,0,0,0,0
3603,Arena - Nagrand - Purple Team Winning: Vis,0,0,0,0,0,0,0,0,0
3605,Arena - Dalaran - Min Remaining: Vis,0,0,0,0,0,0,0,0,0
3606,PvP - Gold Rush - Horde status: Vis,0,5450,0,0,0,0,0,0,0
3607,Arena - Undercity - Gold Team Winning: Vis,0,0,0,0,0,0,0,0,0
3608,Arena - Orgrimmar - Min Remaining: Vis,0,0,0,0,0,0,0,0,0
3609,Arena - Blade's Edge - Gold Team Winning: Vis,0,0,0,0,0,0,0,0,0
3610,Thunder King Raid - Durumu - Fog Beasts Left: Vis,0,0,0,0,0,0,0,0,0
3611,Brewmaster Scenario 01 - Brew Progress: Vis,0,0,0,0,0,0,0,0,0
3612,Arena - Shado-Pan - Gold Team Winning: Vis,0,0,0,0,0,0,0,0,0
3613,Krasarang Wilds 5.1 - Alliance Graveyard - Capture Point - PRK: Vis,1,5254,0,0,0,0,0,0,0
3614,Arena - Blade's Edge - Min Remaining: Vis,0,0,0,0,0,0,0,0,0
3615,Arena - Shado-Pan - Gold Team: Vis,0,0,0,0,0,0,0,0,0
3617,Arena - Orgrimmar - Purple Team Winning: Vis,0,0,0,0,0,0,0,0,0
3618,Thunder King Raid - Ra-den Attempt Counter: Vis,0,0,0,0,0,0,100,0,0
3619,Arena - Shado-Pan - Min Remaining: Vis,0,0,0,0,0,0,0,0,0
3620,Krasarang Wilds 5.1 - Horde Graveyard - Capture Point - PRK: Vis,1,5254,0,0,0,0,0,0,0
3621,Arena - Undercity - Purple Team Winning: Vis,0,0,0,0,0,0,0,0,0
3622,Garrosh Raid - Arsenal - Time Remaining - KJD: Vis,0,0,0,0,0,0,0,0,0
3623,Arena - Undercity - Min Remaining: Vis,0,0,0,0,0,0,0,0,0
3624,Arena - Blade's Edge - Purple Team Winning: Vis,0,0,0,0,0,0,0,0,0
3625,Arena - Tol'vir - Purple Team: Vis,0,0,0,0,0,0,0,0,0
3626,5.4 - Cooking - Noodle Cart - Noodle Time - Tutorial - Patrons Left Unserved: Vis,0,0,0,0,0,0,0,0,0
3627,Krasarang Wilds 5.1 - Horde Outpost - Capture Point - PRK: Vis,1,5254,0,0,0,0,0,0,0
3628,Garrosh Raid - Zaela - North Tower Health: Vis,0,0,0,0,0,0,0,0,0
3629,Garrosh Raid - Zaela - South Tower Health: Vis,0,0,0,0,0,0,0,0,0
3630,Brewmaster Scenario 03 - Cauldron Event - Filling Progress (CSA) (old): Vis,0,0,0,0,0,0,0,0,0
3631,Garrosh Raid - Zaela - North Tower Progress: Vis,0,0,0,0,0,0,0,0,0
3632,Proving Grounds - Round: Vis,0,0,0,0,0,0,0,0,0
3633,Arena - Nagrand - Gold Team Winning: Vis,0,0,0,0,0,0,0,0,0
3634,STV Diamond Mine - BG - UI - Cart Capture Point: Vis,1,5254,0,0,0,0,0,0,0
3635,Krasarang Wilds 5.1 - Horde Tower - Capture Point - PRK: Vis,1,5254,0,0,0,0,0,0,0
3636,Arena - Orgrimmar - Gold Team Winning: Vis,0,0,0,0,0,0,0,0,0
3637,Proving Grounds - Score: Vis,0,0,0,0,0,0,0,0,0
3638,Arena - Tol'vir - Purple Team Winning: Vis,0,0,0,0,0,0,0,0,0
3639,PVP - STV Diamond Mine - BG - Victory Points (Alliance): Vis,0,5451,0,0,0,0,0,0,0
3640,Arena - Shado-Pan - Purple Team: Vis,0,0,0,0,0,0,0,0,0
3641,Arena - Dalaran - Gold Team Winning: Vis,0,0,0,0,0,0,0,0,0
3642,Scenario - Tower Defense - Currency Display: Vis,0,0,0,0,0,0,0,0,0
3643,Arena - Tol'vir - Gold Team Winning: Vis,0,0,0,0,0,0,0,0,0
3644,Arena - Tol'vir - Min Remaining: Vis,0,0,0,0,0,0,0,0,0
3645,Garrosh Raid - Zaela Event - Cannons Remaining (DL) - CRT: Vis,0,0,0,0,0,0,0,0,0
3646,PVP - Valley of Power - BG - Victory Points (Alliance): Vis,0,5451,0,0,0,0,0,0,0
3647,Krasarang Wilds 5.1 - Alliance Outpost - Capture Point - PRK: Vis,1,5254,0,0,0,0,0,0,0
3648,PvP - CTF3 - Alliance flag captures: Vis,0,5451,0,0,0,0,0,0,0
3649,Arena - Tol'vir - Gold Team: Vis,0,0,0,0,0,0,0,0,0
3650,Garrosh Raid - Zaela Event - Cannons Remaining (BB) - CRT: Vis,0,0,0,0,0,0,0,0,0
3651,PvP - CTF3 - Horde flag captures: Vis,0,5450,0,0,0,0,0,0,0
3652,Arena - Dalaran - Purple Team Winning: Vis,0,0,0,0,0,0,0,0,0
3653,PVP - Valley of Power - BG - Victory Points (Horde): Vis,0,5450,0,0,0,0,0,0,0
3654,Garrosh Raid - Zaela - South Tower Progress: Vis,0,0,0,0,0,0,0,0,0
3655,PvP - CTF3 - Timer: Vis,0,0,0,0,0,0,0,0,0
3656,Timeless Isle - Pi'jiu Skunky Beer Counter: Vis,0,0,0,0,0,0,0,0,0
