ID,Lt_operandType[0],Lt_operandType[1],Lt_operandType[2],Lt_operandType[3],Lt_operandType[4],Lt_operand[0],Lt_operand[1],Lt_operand[2],Lt_operand[3],Lt_operand[4],Operator[0],Operator[1],Operator[2],Operator[3],Operator[4],Rt_operandType[0],Rt_operandType[1],Rt_operandType[2],Rt_operandType[3],Rt_operandType[4],Rt_operand[0],Rt_operand[1],Rt_operand[2],Rt_operand[3],Rt_operand[4],Logic[0],Logic[1],Logic[2],Logic[3],Logic[4]
65,2,4,3,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,2,2,2,0,0,1,1,0,0,0
66,2,3,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,2,2,2,0,0,1,1,0,0,0
67,2,3,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0
81,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
121,4,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
122,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
141,2,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
142,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
143,2,3,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
144,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
145,2,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
146,2,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
147,2,3,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
148,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
149,2,3,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
150,3,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
151,2,3,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
152,4,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
153,2,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
154,4,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
155,3,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
156,2,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
157,4,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
158,3,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
159,2,3,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
161,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
181,2,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
182,3,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
188,4,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
189,4,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
190,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
191,3,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
192,2,4,3,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
193,2,4,3,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
194,2,3,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0
207,4,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
208,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
209,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
210,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
211,2,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
212,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
213,4,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
214,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
215,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
216,4,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
217,4,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
218,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
219,4,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
221,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
222,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
223,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
