ID,WorldShadowID,LightDataID,LightParamID
728,780,67324,6711
729,781,67325,6711
730,782,67326,6711
731,783,67327,6711
732,784,67328,6712
733,785,67329,6712
734,786,67332,6712
735,787,67333,6712
736,788,67335,6712
737,789,67336,6712
738,790,67337,6712
739,791,67339,6712
740,792,67340,6712
741,793,67342,6712
766,818,67371,6715
767,819,67372,6715
768,820,67373,6715
769,821,67374,6715
770,822,67375,6715
771,823,67377,6715
772,824,67378,6715
773,825,67379,6715
774,826,67380,6715
775,827,67381,6715
776,828,67382,6715
777,829,67383,6715
778,830,67385,6716
779,831,67386,6716
780,832,67387,6716
781,833,67388,6716
782,834,67389,6716
783,835,67390,6716
784,836,67391,6716
785,837,67392,6716
786,838,67393,6717
787,839,67394,6717
788,840,67396,6717
789,841,67397,6717
790,842,67400,6717
791,843,67401,6717
792,844,67402,6717
793,845,67404,6717
794,846,67405,6717
795,847,67407,6717
801,853,67417,6719
806,858,67425,6721
807,859,67442,6723
808,860,67443,6723
809,861,67446,6723
810,862,67447,6723
811,863,67448,6723
812,864,67449,6723
813,865,67450,6723
814,866,67452,6723
815,867,67453,6723
816,868,67455,6723
817,869,67409,6718
819,871,67505,6731
820,872,67506,6731
821,873,67509,6731
822,874,67510,6731
823,875,67512,6731
824,876,67513,6731
825,877,67515,6731
826,878,67517,6731
827,879,67518,6731
828,880,67520,6731
829,881,67521,6731
830,882,67527,6733
831,883,67528,6733
832,884,67531,6733
833,885,67532,6733
834,886,67533,6733
835,887,67534,6733
836,888,67535,6733
837,889,67537,6733
838,890,67634,6754
839,891,67639,6755
840,892,67697,6767
841,893,67698,6767
842,894,67701,6767
843,895,67702,6767
844,896,67703,6767
845,897,67704,6767
846,898,67705,6767
847,899,67707,6767
848,900,67771,6777
873,925,66896,6679
874,926,66942,6679
875,927,66944,6679
876,928,66900,6679
877,929,66901,6679
878,930,66864,6679
879,931,66945,6679
880,932,66947,6679
881,933,66948,6679
882,934,66950,6679
883,935,68236,6836
884,936,68237,6836
885,937,68239,6836
886,938,68240,6836
887,939,68241,6836
888,940,68242,6836
889,941,68245,6836
890,942,68274,6844
891,943,68285,6845
892,944,68333,6851
896,948,68394,6860
898,950,68416,6862
899,951,68426,6863
900,952,68436,6864
901,953,68477,6869
902,954,68478,6869
903,955,68480,6869
904,956,68481,6869
905,957,68482,6869
906,958,68483,6869
907,959,68486,6869
908,960,68487,6870
909,961,68488,6870
910,962,68491,6870
911,963,68492,6870
912,964,68493,6870
913,965,68494,6870
914,966,68495,6870
915,967,68497,6870
917,969,68507,6872
918,970,68508,6872
919,971,68509,6872
920,972,68510,6872
921,973,68511,6872
922,974,68512,6872
923,975,68513,6872
924,976,68514,6872
925,977,68515,6872
928,980,68519,6872
929,981,68520,6872
930,982,68521,6872
931,985,68522,6692
932,986,68548,6652
933,987,68584,6879
963,1029,68658,6888
969,1023,68828,6911
970,1030,68831,6912
973,1027,68842,6917
974,1028,68889,6932
977,1033,69157,7010
979,1035,69434,7093
983,1039,69568,7119
984,1040,69569,7119
985,1041,69572,7119
986,1042,69573,7119
987,1043,69575,7119
988,1044,69576,7119
989,1045,69578,7119
990,1046,69580,7119
991,1047,69581,7119
992,1048,69583,7119
993,1049,69584,7119
