ID,ChrModelAltVariantOptionID,SourceChrCustomizationChoiceID,VariantChrCustomizationChoiceID
380,63,847,78017
381,63,848,78018
382,63,849,78019
383,53,858,78020
384,53,859,78021
385,53,860,78022
386,53,861,78023
387,53,862,78024
388,53,863,78025
389,53,864,78026
390,53,865,78027
391,64,880,78037
392,64,871,78028
393,64,872,78029
394,64,873,78030
395,64,874,78031
396,64,875,78032
397,64,876,78033
398,64,877,78034
399,64,878,78035
400,64,879,78036
401,12,913,78038
402,12,914,78039
403,12,915,78040
404,12,916,78041
405,12,917,78042
406,12,918,78043
407,13,920,78044
408,13,921,78045
409,13,922,78046
410,13,923,78047
411,13,924,78048
412,13,925,78049
413,13,926,78050
414,13,927,78051
415,13,928,78052
416,13,929,78053
417,65,940,78054
418,65,941,78055
419,65,942,78056
420,65,943,78057
421,65,944,78058
422,65,945,78059
423,65,946,78060
424,65,947,78061
425,65,948,78062
426,65,949,78063
427,14,956,78064
428,14,957,78065
429,14,958,78066
430,14,959,78067
431,14,960,78068
432,14,961,78069
433,14,962,78070
434,14,963,78071
435,14,964,78072
436,14,965,78073
437,8,6287,78074
442,15,984,78091
443,15,985,78092
444,15,986,78093
445,15,987,78094
446,15,988,78095
447,15,989,78096
448,66,991,78097
449,66,992,78098
450,66,993,78099
451,66,994,78100
452,66,995,78101
453,66,996,78102
454,66,997,78103
455,66,998,78104
456,66,999,78105
457,66,1000,78106
458,16,1011,78107
459,16,1012,78108
460,16,1013,78109
461,16,1014,78110
462,16,1015,78111
463,16,1016,78112
464,16,1017,78113
465,16,1018,78114
466,16,1019,78115
467,16,1020,78116
468,67,1026,78117
469,67,1027,78118
470,67,1028,78119
471,67,1029,78120
472,67,1030,78121
473,67,1031,78122
474,67,1032,78123
475,67,1033,78124
476,67,1034,78125
477,67,1035,78126
478,3,6275,78127
480,3,6277,78130
481,3,6278,78134
482,68,1045,78135
483,68,1046,78136
484,68,1047,78137
485,68,1048,78138
486,68,1049,78139
487,68,1050,78140
488,68,1051,78141
489,68,1052,78142
490,68,1053,78143
491,68,1054,78144
492,68,1055,78145
493,68,1056,78146
494,68,1057,78147
495,68,1058,78148
496,68,1059,78149
497,68,1060,78150
498,68,1061,78151
499,68,1062,78152
500,68,1063,78153
501,19,1074,78154
502,19,1075,78155
503,19,1076,78156
504,19,1077,78157
505,19,1078,78158
506,20,1084,78159
507,20,1085,78160
508,20,1086,78161
509,20,1087,78162
510,20,1088,78163
511,20,1089,78164
512,20,1090,78165
513,20,1091,78166
514,69,1100,78167
515,69,1101,78168
516,69,1102,78169
517,21,1107,78170
524,70,1114,78177
525,70,1115,78178
526,70,1116,78179
527,70,1117,78180
528,70,1118,78181
529,70,1119,78182
530,70,1120,78183
531,70,1121,78184
532,70,1122,78185
533,70,1123,78186
534,70,1124,78187
535,79,1135,78188
536,79,1136,78189
537,79,1137,78190
538,79,1138,78191
539,22,1143,78192
540,22,1144,78193
541,22,1145,78194
542,22,1146,78195
543,22,1147,78196
544,22,1148,78197
545,22,1149,78198
546,38,1161,78199
547,38,1162,78200
548,38,1163,78201
549,71,1169,78202
550,71,1170,78203
551,71,1171,78204
552,71,1172,78205
553,71,1173,78206
554,39,1174,78207
555,39,1175,78208
556,39,1176,78209
557,39,1177,78210
558,39,1178,78211
559,39,1179,78212
560,39,1180,78213
561,72,1185,78214
562,72,1186,78215
563,72,1187,78216
564,72,1188,78217
565,72,1189,78218
566,72,1190,78219
567,72,1191,78220
568,40,1199,78221
569,40,1200,78222
570,40,1201,78223
571,40,1202,78224
572,40,1203,78225
573,40,1204,78226
574,40,1205,78227
575,73,1214,78228
576,73,1215,78229
577,73,1216,78230
578,73,1217,78231
579,73,1218,78232
580,73,1219,78233
581,73,1220,78234
582,73,1221,78235
583,73,1222,78236
584,6,78867,78237
585,6,78868,78238
586,6,78869,78239
587,6,78870,78240
588,6,78871,78241
589,6,78872,78242
590,6,78873,78243
591,6,78874,78244
592,52,1235,78245
593,52,1236,78246
594,52,1237,78247
595,52,1238,78248
596,52,1239,78249
597,52,1240,78250
598,52,1241,78251
599,43,1246,78252
600,43,1247,78253
601,43,1248,78254
602,43,1249,78255
603,43,1250,78256
604,43,1251,78257
605,43,1252,78258
606,44,1260,78259
607,44,1261,78260
608,44,1262,78261
609,44,1263,78262
610,44,1264,78263
611,44,1265,78264
612,44,1266,78265
613,74,1276,78266
614,74,1277,78267
615,74,1278,78268
616,74,1279,78269
617,74,1280,78270
618,74,1281,78271
619,74,1282,78272
620,74,1283,78273
621,74,1284,78274
622,45,1289,78275
623,45,1290,78276
624,45,1291,78277
625,45,1292,78278
626,45,1293,78279
627,45,1294,78280
628,45,1295,78281
629,75,1296,78282
630,75,1297,78283
631,75,1298,78284
632,75,1299,78285
633,75,1300,78286
634,75,1301,78287
635,75,1302,78288
636,75,1303,78289
637,75,1304,78290
638,75,1305,78291
639,75,1306,78292
640,75,1307,78293
641,75,1308,78294
642,75,1309,78295
643,75,1310,78296
644,46,1315,78297
645,46,1316,78298
646,46,1317,78299
647,46,1318,78300
648,46,1319,78301
649,47,1325,78302
650,47,1326,78303
651,47,1327,78304
652,47,1328,78305
653,47,1329,78306
654,47,1330,78307
655,76,1338,78308
656,76,1339,78309
657,76,1340,78310
658,76,1341,78311
659,76,1342,78312
660,76,1343,78313
661,76,1344,78314
662,76,1345,78315
663,76,1346,78316
664,76,1347,78317
665,48,1352,78318
666,48,1353,78319
667,48,1354,78320
668,48,1355,78321
669,48,1356,78322
675,77,1363,78329
676,77,1364,78330
677,77,1365,78331
678,77,1366,78332
679,77,1367,78333
680,77,1368,78334
681,77,1369,78335
682,77,1370,78336
683,77,1371,78337
684,77,1372,78338
685,77,1373,78339
686,77,1374,78340
687,77,1375,78341
688,77,1376,78342
689,77,1377,78343
690,49,1382,78344
691,49,1383,78345
692,49,1384,78346
693,49,1385,78347
694,49,1386,78348
695,49,1387,78349
696,50,1394,78350
697,50,1395,78351
698,50,1396,78352
699,50,1397,78353
700,50,1398,78354
701,78,1406,78355
702,78,1407,78356
703,78,1408,78357
704,78,1409,78358
705,78,1410,78359
706,78,1411,78360
707,78,1412,78361
708,78,1413,78362
709,78,1414,78363
710,78,1415,78364
711,51,1420,78365
712,51,1421,78366
713,51,1422,78367
714,51,1423,78368
715,51,1424,78369
716,51,1425,78370
717,41,13,78371
718,41,14,78372
719,41,15,78373
720,17,56,78386
721,17,57,78387
722,17,58,78388
723,17,59,78389
724,17,60,78390
725,18,71,78391
726,18,72,78392
727,18,73,78393
728,23,97,78394
729,23,98,78395
730,23,99,78396
731,25,151,78412
732,25,152,78413
733,25,153,78414
734,25,154,78415
735,25,155,78416
736,26,166,78417
737,26,167,78418
738,26,168,78419
739,28,368,78420
740,28,369,78421
741,28,370,78422
742,29,393,78423
743,29,394,78424
744,29,395,78425
745,29,396,78426
746,29,397,78427
747,29,398,78428
748,29,399,78429
749,29,400,78430
750,29,401,78431
751,54,409,78432
752,54,410,78433
753,54,411,78434
754,54,412,78435
755,54,413,78436
756,30,423,78437
757,30,424,78438
758,30,425,78439
759,31,451,78440
760,31,452,78441
761,31,453,78442
762,55,481,78443
763,55,482,78444
764,55,483,78445
765,55,484,78446
766,55,485,78447
767,55,486,78448
768,55,487,78449
769,55,488,78450
770,55,489,78451
771,32,498,78452
772,32,499,78453
773,32,500,78454
774,32,501,78455
775,32,502,78456
776,56,513,78457
777,56,514,78458
778,56,515,78459
779,57,543,78460
780,57,544,78461
781,57,545,78462
782,34,561,78463
783,34,562,78464
784,34,563,78465
785,34,564,78466
786,34,565,78467
787,34,566,78468
788,34,567,78469
789,34,568,78470
790,34,569,78471
791,34,570,78472
792,35,582,78473
793,35,583,78474
794,35,584,78475
795,35,585,78476
796,35,586,78477
797,58,600,78478
798,58,601,78479
799,58,602,78480
800,59,626,78481
801,59,627,78482
802,59,628,78483
803,36,644,78484
804,36,645,78485
805,36,646,78486
806,36,647,78487
807,36,648,78488
808,36,649,78489
809,36,650,78490
810,36,651,78491
811,36,652,78492
812,36,653,78493
813,80,668,78494
814,80,669,78495
815,80,670,78496
816,80,671,78497
817,80,672,78498
818,60,685,78499
819,60,686,78500
820,60,687,78501
821,61,704,78502
822,61,705,78503
823,61,706,78504
824,37,728,78505
825,37,729,78506
826,37,730,78507
827,37,731,78508
828,37,732,78509
829,37,733,78510
830,37,734,78511
831,37,735,78512
832,37,736,78513
833,9,744,78514
834,9,745,78515
835,9,746,78516
836,9,747,78517
837,9,748,78518
838,10,759,78519
839,10,760,78520
840,10,761,78521
841,62,810,78522
842,62,811,78523
843,62,812,78524
844,11,834,78525
845,11,835,78526
846,22,1154,78527
847,38,1164,78528
848,39,1181,78529
849,39,1182,78530
850,39,1183,78531
851,72,1192,78532
852,72,1193,78533
853,72,1194,78534
854,72,1195,78535
855,72,1196,78536
856,72,1197,78537
857,72,1198,78538
858,40,1206,78539
859,40,1207,78540
860,40,1208,78541
861,40,1209,78542
862,40,1210,78543
863,73,1223,78544
864,73,1224,78545
865,73,1225,78546
866,52,1242,78547
867,52,1243,78548
868,52,1244,78549
869,43,1253,78550
870,43,1254,78551
871,43,1255,78552
872,43,1256,78553
873,43,1257,78554
874,43,1258,78555
875,43,1259,78556
876,44,1267,78557
877,44,1268,78558
878,44,1269,78559
879,44,1270,78560
880,44,1271,78561
881,74,1285,78562
882,74,1286,78563
883,74,1287,78564
884,75,1311,78565
885,75,1312,78566
886,75,1313,78567
887,46,1320,78568
888,46,1321,78569
889,46,1322,78570
890,46,1323,78571
891,46,1324,78572
892,47,1331,78573
893,47,1332,78574
894,47,1333,78575
895,47,1334,78576
896,76,1348,78577
897,76,1349,78578
898,76,1350,78579
899,77,1378,78580
900,77,1379,78581
901,77,1380,78582
902,49,1388,78583
903,49,1389,78584
904,49,1390,78585
905,49,1391,78586
906,49,1392,78587
907,49,1393,78588
908,50,1399,78589
909,50,1400,78590
910,50,1401,78591
911,50,1402,78592
912,50,1403,78593
913,78,1416,78594
914,78,1417,78595
915,78,1418,78596
916,11,836,78597
917,11,837,78598
918,11,838,78599
919,11,839,78600
920,11,840,78601
921,11,841,78602
922,11,842,78603
923,63,850,78604
924,63,851,78605
925,63,852,78606
926,63,853,78607
927,63,854,78608
928,53,868,78609
929,53,869,78610
930,53,870,78611
932,65,950,78622
933,65,951,78623
934,65,952,78624
935,65,953,78625
936,65,954,78626
937,16,1021,78637
938,16,1022,78638
939,16,1023,78639
940,16,1024,78640
941,16,1025,78641
942,68,1064,78642
943,68,1065,78643
944,68,1066,78644
945,68,1067,78645
946,68,1068,78646
947,68,1069,78647
948,19,1079,78648
949,19,1080,78649
950,19,1081,78650
951,19,1082,78651
952,19,1083,78652
953,20,1092,78653
954,20,1093,78654
955,20,1094,78655
956,20,1095,78656
957,20,1096,78657
958,69,1103,78658
959,70,1125,78659
960,70,1126,78660
961,70,1127,78661
962,70,1128,78662
963,70,1129,78663
964,70,1130,78664
965,79,1139,78665
966,79,1140,78666
967,79,1141,78667
968,79,1142,78668
969,22,1150,78669
970,22,1151,78670
971,22,1152,78671
972,22,1153,78672
973,28,371,78673
974,28,372,78674
975,54,414,78675
976,31,454,78676
977,31,455,78677
978,31,456,78678
979,32,503,78679
980,32,504,78680
981,57,546,78681
982,57,547,78682
983,57,548,78683
984,57,549,78684
985,35,587,78685
986,35,588,78686
987,35,589,78687
988,59,629,78688
989,59,630,78689
990,59,631,78690
991,59,632,78691
992,80,673,78692
993,80,674,78693
994,61,707,78694
995,62,813,78695
996,63,855,78696
997,63,856,78697
998,63,857,78698
999,65,955,78699
1000,22,1155,78700
1001,22,1156,78701
1002,22,1157,78702
1003,40,1211,78703
1004,40,1212,78704
1005,40,1213,78705
1006,44,1272,78706
1007,44,1273,78707
1008,44,1274,78708
1009,47,1335,78709
1010,47,1336,78710
1011,47,1337,78711
1012,50,1404,78712
1013,50,1405,78713
1014,41,17,78714
1015,18,74,78715
1016,60,688,78716
1017,58,603,78717
1018,57,550,78718
1019,59,633,78719
1020,74,1288,78720
1021,52,1245,78721
1022,73,1226,78722
1023,39,1184,78723
1024,26,169,78724
1025,23,100,78725
1026,53,3608,78726
1027,10,3606,78728
1028,61,715,78729
1029,56,516,78730
1030,31,471,78731
1031,30,426,78732
1032,28,383,78733
1033,70,1134,78734
1034,68,1073,78735
1035,78,1419,78736
1036,77,1381,78737
1037,76,1351,78738
1038,75,1314,78739
1039,67,1036,78740
1040,15,990,78741
1041,14,966,78742
1042,12,919,78743
1045,81,8538,78832
1046,81,8539,78833
1047,81,8540,78834
1048,81,8541,78835
1049,81,8542,78836
1050,81,8543,78837
1051,81,8544,78838
1052,82,8560,78839
1053,82,8561,78840
1054,82,8562,78841
1055,82,8563,78842
1056,82,8564,78843
1057,82,8565,78844
1058,82,8566,78845
1059,82,8567,78846
1060,82,8568,78847
1061,82,8569,78848
1062,82,8570,78849
1063,82,8571,78850
1064,82,8572,78851
1065,83,967,78852
1066,83,969,78853
1067,83,971,78854
1068,84,5330,78856
1075,84,6304,78855
1076,85,5337,78858
1083,85,6305,78857
1084,8,6288,78076
1085,8,6292,78079
1086,8,6293,78088
1087,83,968,78875
1088,83,975,78876
1089,83,976,78877
1090,83,977,78878
1091,83,978,78879
1092,83,979,78880
1093,83,980,78881
1094,3,6276,78129
1095,86,1037,78882
1096,86,1038,78883
1097,86,1041,78884
1098,86,1042,78885
1099,86,1043,78886
1100,87,15450,78890
1101,87,15441,78891
1102,87,15442,78892
1103,87,15443,78893
1104,87,15444,78894
1105,87,15445,78895
1106,87,15446,78896
1107,87,15447,78897
1108,87,15448,78898
1109,87,15449,78899
1110,88,8173,78900
1111,88,8174,78901
1112,88,8175,78902
1114,88,8177,78904
1115,88,8178,78906
1116,88,8179,78907
1118,21,1108,78171
1119,21,1109,78172
1120,21,1111,78174
1121,21,1112,78176
1122,89,7343,78914
1123,89,7344,78915
1125,89,7345,78916
1126,89,7346,78917
1127,90,7408,78918
1128,90,7409,78919
1129,90,7410,78920
1130,90,7411,78921
1131,2,78942,77687
1132,33,78946,77840
1133,33,78947,77841
1134,33,78948,77842
1135,33,78949,77843
1182,41,4972,78958
1183,41,4957,78957
1184,41,4979,78956
1185,23,4971,78959
1186,23,4961,78960
1187,23,4964,78961
1188,91,1430,78859
1189,91,1433,78860
1190,91,1427,78861
1191,92,1474,78862
1192,92,1456,78863
1193,93,9210,78864
1194,93,1514,78865
1195,93,1513,78866
1196,57,7142,78967
1197,57,7143,78968
1198,59,7135,78969
1199,59,7137,78970
1200,39,8788,78971
1201,39,8789,78972
1202,52,8782,78973
1203,52,8783,78974
1204,12,6425,78983
1205,12,6426,78982
1206,12,6427,78981
1207,12,6428,78980
1208,12,6429,78979
1209,12,6430,78978
1210,15,6371,78989
1211,15,6372,78988
1212,15,6373,78987
1213,15,6374,78986
1214,15,6375,78985
1215,15,6376,78984
1216,62,821,78727
