ID,Field_10_0_2_46144_000[0],Field_10_0_2_46144_000[1],TextureID,Field_10_0_2_46144_002,Field_10_0_2_46144_003
571,2,2,4993332,400,1
572,2,2,4993332,400,1
573,1,1,4993332,400,1
574,1,1,4993332,400,0
575,1,1,4993332,400,1
576,1,1,4993332,400,1
577,1,1,4993332,400,1
578,1,1,4993332,400,1
579,1,1,4993332,400,1
580,1,1,4993332,400,1
581,1,1,4993332,400,1
582,1,1,4993332,400,1
583,1,1,4993332,400,1
584,1,1,4993332,400,1
588,2,2,4993332,400,1
589,2,2,4993332,400,1
590,2,2,4993332,400,1
592,1,1,4993332,400,0
604,1,1,4993332,400,0.5
607,1,1,4993332,400,0
608,1,1,4993332,400,0
609,1,1,4993332,400,1
612,1,1,4993332,400,0.5
635,1,1,4993332,400,1
636,1,1,4993332,400,1
638,1,1,4993332,800,0.5
642,1,1,4993332,400,0
643,1,1,4993332,400,0
644,1,1,4993332,400,1
645,1,1,4993332,400,1
647,1,1,4993332,400,1
648,1,1,4993332,400,1
656,1,1,4993332,400,1
664,1,1,4993332,800,0.5
665,1,1,4993332,2000,0
666,1,1,4993332,2000,0
667,1,1,4993332,2000,0
670,1,1,4993332,800,0.5
671,1,1,4993332,800,0.5
672,1,1,4993332,400,1
673,1,1,4993332,400,1
674,1,1,4993332,800,0.5
675,1,1,4993332,800,0.5
676,1,1,4993332,400,1
677,1,1,4993332,400,1
678,1,1,4993332,400,1
679,1,1,4993332,400,1
680,1,1,4993332,2000,0
681,1,1,4993332,400,0
682,1,1,4993332,400,0
683,1,1,4993332,400,1
684,1,1,4993332,400,1
685,1,1,4993332,400,1
686,1,1,4993332,400,1
687,1,1,4993332,400,0
688,1,1,4993332,400,1
689,1,1,4993332,400,1
692,1,1,4993332,800,0.5
695,1,1,4993332,400,1
696,1,1,4993332,400,1
697,2,2,4993332,400,1
707,1,1,4993332,400,0
708,1,1,4993332,400,0
709,1,1,4993332,400,1
710,2,2,4993332,400,1
711,1,1,4993332,400,1
712,1,1,4993332,400,0
713,1,1,4993332,400,0
714,1,1,4993332,400,0
715,1,1,4993332,400,1
716,1,1,4993332,400,1
717,1,1,4993332,400,1
718,1,1,4993332,400,1
719,1,1,4993332,400,1
720,1,1,4993332,400,1
721,1,1,4993332,400,1
722,1,1,4993332,400,0
723,2,2,4993332,400,1
724,2,2,4993332,400,1
735,1,1,4993332,400,0
736,1,1,4993332,400,0
737,1,1,4993332,400,1
738,1,1,4993332,400,1
739,1,1,4993332,400,1
740,1,1,4993332,400,1
741,1,1,4993332,400,1
742,1,1,4993332,400,1
743,1,1,4993332,400,1
744,1,1,4993332,400,0
745,1,1,4993332,400,1
746,1,1,4993332,400,1
747,1,1,4993332,400,1
748,1,1,4993332,800,0.5
749,1,1,4993332,800,0.5
750,1,1,4993332,400,1
751,1,1,4993332,400,1
752,1,1,4993332,400,1
753,1,1,4993332,400,1
754,1,1,4993332,400,1
755,1,1,4993332,400,1
756,1,1,4993332,800,0.5
757,1,1,4993332,800,0.5
758,1,1,4993332,400,1
759,1,1,4993332,400,1
760,1,1,4993332,400,1
762,1,1,4993332,400,1
763,1,1,4993332,400,1
764,1,1,4993332,400,1
765,1,1,4993332,400,1
766,1,1,4993332,400,1
767,1,1,4993332,400,1
768,1,1,4993332,400,1
769,1,1,4993332,400,1
770,1,1,4993332,400,1
771,1,1,4993332,400,1
772,1,1,4993332,400,1
773,1,1,4993332,400,1
774,1,1,4993332,400,1
775,1,1,4993332,400,1
776,1,1,4993332,400,0
777,1,1,4993332,400,0
778,1,1,4993332,400,1
779,2,2,4993332,400,1
780,2,2,4993332,400,1
781,2,2,4993332,400,1
782,1,1,4993332,400,1
783,1,1,4993332,400,0
784,1,1,4993332,400,1
785,1,1,4993332,400,1
786,1,1,4993332,400,1
787,1,1,4993332,400,1
788,1,1,4993332,400,1
789,1,1,4993332,400,1
790,1,1,4993332,400,1
791,1,1,4993332,400,1
792,1,1,4993332,400,1
793,1,1,4993332,400,1
818,1,1,4993332,400,1
819,1,1,4993332,400,1
820,1,1,4993332,400,1
821,1,1,4993332,400,1
822,1,1,4993332,400,1
823,1,1,4993332,800,0.5
824,1,1,4993332,800,0.5
825,1,1,4993332,800,0.5
826,1,1,4993332,400,1
827,1,1,4993332,400,1
828,1,1,4993332,400,1
829,1,1,4993332,400,1
830,1,1,4993332,400,0
831,1,1,4993332,400,0
832,1,1,4993332,400,1
833,2,2,4993332,400,1
834,2,2,4993332,400,1
835,2,2,4993332,400,1
836,1,1,4993332,400,1
837,1,1,4993332,400,0
838,1,1,4993332,400,0
839,1,1,4993332,400,0
840,1,1,4993332,400,1
841,1,1,4993332,400,1
842,1,1,4993332,400,1
843,1,1,4993332,400,1
844,1,1,4993332,400,1
845,1,1,4993332,400,1
846,1,1,4993332,400,1
847,1,1,4993332,400,0
853,1,1,4993332,400,1
858,1,1,4993332,400,1
859,1,1,4993332,400,1
860,1,1,4993332,400,1
861,1,1,4993332,400,1
862,1,1,4993332,400,1
863,1,1,4993332,400,1
864,1,1,4993332,400,1
865,1,1,4993332,400,1
866,1,1,4993332,400,1
867,1,1,4993332,400,1
868,1,1,4993332,400,1
869,5,5,4993332,1000,0.5
871,1,1,4993332,400,0
872,1,1,4993332,400,0
873,1,1,4993332,400,1
874,1,1,4993332,400,1
875,1,1,4993332,400,1
876,1,1,4993332,400,1
877,1,1,4993332,400,1
878,1,1,4993332,400,1
879,1,1,4993332,400,1
880,1,1,4993332,400,0
881,1,1,4993332,400,0
882,1,1,4993332,400,0
883,1,1,4993332,400,0
884,1,1,4993332,400,1
885,2,2,4993332,400,1
886,2,2,4993332,400,1
887,2,2,4993332,400,1
888,1,1,4993332,400,1
889,1,1,4993332,400,0
890,1,1,4993332,2000,0
891,1,1,4993332,2000,0
892,1,1,4993332,400,0
893,1,1,4993332,400,0
894,1,1,4993332,400,1
895,2,2,4993332,400,1
896,2,2,4993332,400,1
897,2,2,4993332,400,1
898,1,1,4993332,400,1
899,1,1,4993332,400,0
900,1,1,4993332,1000,0.75
925,1,1,4993332,400,0
926,1,1,4993332,400,0
927,1,1,4993332,400,1
928,1,1,4993332,400,1
929,1,1,4993332,400,1
930,1,1,4993332,400,1
931,1,1,4993332,400,1
932,1,1,4993332,400,1
933,1,1,4993332,400,1
934,1,1,4993332,400,0
935,1,1,4993332,400,0
936,1,1,4993332,400,0
937,1,1,4993332,400,1
938,2,2,4993332,400,1
939,2,2,4993332,400,1
940,2,2,4993332,400,1
941,1,1,4993332,400,0
942,1,1,4993332,1000,0.5
943,1,1,4993332,1000,0.75
944,1,1,4993332,2000,0
948,1,1,4993332,1000,0.5
950,1,1,4993332,1000,0.75
951,1,1,4993332,1000,0.75
952,1,1,4993332,1000,0.5
953,1,1,4993332,400,0
954,1,1,4993332,400,0
955,1,1,4993332,400,1
956,2,2,4993332,400,1
957,2,2,4993332,400,1
958,2,2,4993332,400,1
959,1,1,4993332,400,0
960,1,1,4993332,400,0
961,1,1,4993332,400,0
962,1,1,4993332,400,1
963,2,2,4993332,400,1
964,2,2,4993332,400,1
965,2,2,4993332,400,1
966,1,1,4993332,400,1
967,1,1,4993332,400,0
969,1,1,4993332,400,0
970,1,1,4993332,400,0.5
971,1,1,4993332,400,1
972,1,1,4993332,400,1
973,1,1,4993332,400,0
974,1,1,4993332,400,0
975,1,1,4993332,400,1
976,1,1,4993332,400,1
977,1,1,4993332,400,1
980,1,1,4993332,400,0
981,1,1,4993332,400,0.5
982,1,1,4993332,400,0
983,1,1,4993332,400,0
984,1,1,4993332,400,0
985,1,1,4993332,400,0
986,0,0,4993332,1000,1
987,1,1,4993332,2000,0
1023,1,1,4993332,2000,0
1027,1,1,4993332,2000,0
1028,1,1,4993332,2000,0
1029,1,1,4993332,1000,0.5
1030,1,1,4993332,1000,0.5
1033,1,1,4993332,2000,0
1035,0,0,0,1000,1
1039,1,1,4993332,400,0
1040,1,1,4993332,400,0
1041,1,1,4993332,400,1
1042,1,1,4993332,400,1
1043,1,1,4993332,400,1
1044,1,1,4993332,400,1
1045,1,1,4993332,400,1
1046,1,1,4993332,400,1
1047,1,1,4993332,400,1
1048,1,1,4993332,400,0
1049,1,1,4993332,400,0
1061,1,1,4993332,1000,0.75
1062,1,1,4993332,400,1
1064,1,1,4993332,400,0
1065,1,1,4993332,400,1
1066,1,1,4993332,400,0
1067,1,1,4993332,1000,0.5
