Field_1_60_1_70009_000,Field_1_60_1_70009_001[0],Field_1_60_1_70009_001[1],Field_1_60_1_70009_001[2],Field_1_60_1_70009_002,Field_1_60_1_70009_003,Field_1_60_1_70009_004,Field_1_60_1_70009_005,Field_1_60_1_70009_006,Field_1_60_1_70009_007,Field_1_60_1_70009_008,Field_1_60_1_70009_009,Field_1_60_1_70009_010
druid-bear-form,0.1,0,0,1616,595,2,228,-0.9599311,0,0,0.2,1
druid-cat-form,-0.2,0,0.2,1617,595,2,227,-0.9599311,0,0,0,1
dracthyr,-0.5,0.8,-0.1,1618,595,2,170,-0.9599311,0,0,0.13,1
dracthyr-alt,0,0,0,1619,595,2,170,-0.9599311,0,0,1,1
player,0,0,0,1620,596,2,170,-0.96,0,0,1,1
tauren-male,0,0,0.1,1621,596,2,170,-0.96,0,0,0.29,1
gnome,0,0,0.03,1622,596,2,170,-0.96,0,0,2.05,1
dwarf-male,0,0,0.04,1623,596,2,174,-0.96,0,0,4.8,1
scourge-male,0,0,0,1624,596,2,174,-0.96,0,0,19,1
pandaren,0,0,0.07,1625,596,2,170,-0.96,0,0,0.37,1
worgen-male,0,0,-0.04,1626,596,2,170,-0.96,0,0,0.2,1
draenei-male,0,0,0.14,1627,596,0,170,-0.96,0,0,0.49,1
goblin-male,0,0,0.02,1628,596,2,170,-0.96,0,0,6.3,1
goblin-female,0,0,0.04,1629,596,2,170,-0.96,0,0,4,1
orc,0,0,0.06,1630,596,2,170,-0.96,0,0,0.33,1
tauren-female,0,0,0.1,1631,596,2,170,-0.96,0,0,0.42,1
troll-male,0,0,-0.06,1632,596,2,170,-0.96,0,0,0.08,1
troll-female,0,0,0,1633,596,2,170,-0.96,0,0,0.65,1
scourge-female,0,0,-0.01,1634,596,2,170,-0.96,0,0,3.3,1
lightforgeddraenei-male,0,0,0.13,1635,596,0,170,-0.96,0,0,0.49,1
lightforgeddraenei-female,0,0,0.04,1636,596,2,170,-0.96,0,0,0.8,1
highmountaintauren-male,0,0,0.1,1637,596,2,170,-0.96,0,0,0.29,1
highmountaintauren-female,0,0,0.1,1638,596,2,170,-0.96,0,0,0.42,1
zandalaritroll,0,0,0.05,1639,596,2,170,-0.96,0,0,0.86,1
kultiran-male,0,0,0.02,1640,596,2,170,-0.96,0,0,0.49,1
magharorc-male,0,0,0.11,1641,596,2,170,-0.96,0,0,0.33,1
kultiran-female,0,0,0,1642,596,2,170,-0.96,0,0,1.12,1
magharorc-female,0,0,0.05,1643,596,2,170,-0.96,0,0,0.18,1
darkirondwarf-male,0,0,0.07,1644,596,2,174,-0.96,0,0,4.95,1
worgen-female,0,0,0,1645,596,2,170,-0.96,0,0,1.2,1
draenei-female,0,0,0.05,1646,596,2,170,-0.96,0,0,1.01,1
vulpera-female,-0.13,0.2,0.04,1647,596,2,174,-0.96,0,0,8,1
vulpera-male,-0.13,0.2,0.04,1648,596,2,174,-0.96,0,0,5,1
mechagnome-male,0,0,0.08,1649,596,2,170,-0.96,0,0,1.4,1
mechagnome-female,0,0,0.08,1650,596,2,170,-0.96,0,0,1.2,1
druid-bear-form,0.1,0,0.25,1651,596,0,170,-0.96,0,0,0.45,1
druid-cat-form,1,0,0.5,1652,596,0,170,-0.96,0,0,0.29,1
dracthyr,-0.5,0.8,-0.1,1653,596,2,170,-0.96,0,0,0.13,1
dracthyr-alt,0,0,0,1654,596,2,170,-0.96,0,0,1,1
animal-form,0.1,0,0,1763,595,2,226,-0.9599311,0,0,0,1
druid-travel-form,0.1,0,0,1764,595,2,229,-0.9599311,0,0,0,1
druid-acquatic-form,0.1,0,-0.2,1765,595,2,230,-0.9599311,0,0,0,1
druid-flight-form,0.1,0,-0.2,1766,595,2,231,-0.9599311,0,0,0.2,1
druid-moonkin-form,0.1,0,0,1767,595,2,232,-0.9599311,0,0,0,1
nightelf,0,0,-0.15,1768,595,2,170,-0.9599311,0,0,0,1
unwrapped,0,0,0,1944,728,9,9,0,0,0,0,1
wrapped,0,0,0.3,1945,728,0,10,0,0.17453292,0.08726646,0,1
pet,-0.75,0,-2.75,2018,753,0,299,0,0,0,1,1
pet,-0.11,0,-1.75,2019,754,0,300,0,0,0,1,1
pet,0,0,-0.86,2025,760,0,306,0.12,0,0,1,1
pet,0.05,0,-1.1,2028,763,0,309,0.16,0,0,1,1
pet,-0.25,0,-1,2031,766,0,313,0,0,0,1,1
pet,0.55,0,-2.15,2032,767,0,314,0,0,0,1,1
pet,0.05,0,-1.11,2038,773,0,320,0,0,0,1,1
pet,0.14,0,-1.36,2048,783,0,330,0,0,0,1,1
pet,0.05,0,-1,2054,789,0,336,-0.16,-0.09,0,1,1
pet,-0.36,0.39,-1.61,2062,797,0,346,0.26,0.09,0,1,1
pet,0.4,0,-1.11,2065,800,0,349,0,0,0,1,1
pet,0.45,0,-2.5,2069,804,1,353,0,0,0,1,1
pet,0.2,0,-2.2,2070,805,1,311,0,0,0,1,1
pet,-0.11,0,-1.11,2072,807,0,355,0,0,0,1,1
pet,-0.11,0,-1.25,2078,813,0,361,0,0,0,1,1
pet,0,0,-1.5,2080,815,0,363,0,0,0,1,1
pet,0.55,0,-1.5,2082,817,0,365,0.23,0,0,1,1
pet,-1.36,0,-1.75,2085,820,0,368,0.05,0,0,1,1
earthendwarf-male,0,0,0.04,2152,596,2,174,-0.96,0,0,2.7,1
earthendwarf-male,0,0,0.04,2153,595,2,174,-0.9599311,0,0,2.7,1
mount,0,0,0,2328,968,0,6,0,0,0,0.25,1
player-rider,0,0,0,2329,968,0,170,0,0,0,0,1
pet,0,0,0,2331,969,0,425,0,0,0,0,1
player,0,0,0,2333,970,2,170,-0.9599311,0,0,0,1
tauren,-0.15,0.15,0,2334,970,2,184,-0.9599311,0,0,0,1
highmountaintauren,-0.15,0.15,0,2335,970,2,184,-0.9599311,0,0,0,1
zandalaritroll,0,0,0,2336,970,2,180,-0.9599311,0,0,0,1
kultiran,0,0,0,2337,970,2,176,-0.9599311,0,0,0,1
magharorc,-0.1,0.15,0,2338,970,2,172,-0.9599311,0,0,0,1
druid-bear-form,0,0,0,2339,970,2,170,-0.9599311,0,0,0.45,1
druid-cat-form,0,0,0,2340,970,2,170,-0.9599311,0,0,0.3,1
dracthyr,-0.5,0.8,0,2341,970,2,171,-0.9599311,0,0,0,1
draenei,-0.25,0.4,0,2342,970,2,166,-0.9599311,0,0,0,1
lightforgeddraenei,-0.25,0.4,0,2343,970,2,166,-0.9599311,0,0,0,1
orc,-0.1,0.15,0,2344,970,2,172,-0.9599311,0,0,0,1
worgen,0,0,0,2345,970,2,148,-0.9599311,0,0,0.15,1
troll,0,0,0,2346,970,2,43,-0.9599311,0,0,0,1
pandaren,0,0,0,2347,970,2,197,-0.9599311,0,0,0,1
tauren-female,-0.15,0.15,0,2348,970,2,164,-0.9599311,0,0,0,1
highmountaintauren-female,-0.15,0.15,0,2349,970,2,164,-0.9599311,0,0,0,1
goblin,0,0,0,2350,970,2,198,-0.9599311,0,0,0,1
gnome,0,0,0,2351,970,2,199,-0.9599311,0,0,0,1
mechagnome,0,0,0,2352,970,2,201,-0.9599311,0,0,0,1
dwarf,0,0,0,2353,970,2,179,-0.9599311,0,0,0,1
scourge,0,0,0,2354,970,2,189,-0.9599311,0,0,0,1
dracthyr-alt,0,0,0,2355,970,2,170,-0.9599311,0,0,0,1
draenei-female,0,0,0,2356,970,2,166,-0.9599311,0,0,0,1
lightforgeddraenei-female,0,0,0,2357,970,2,166,-0.9599311,0,0,0,1
human,0,0,0,2358,970,2,163,-0.9599311,0,0,0,1
human-female,-0.05,0,0,2359,970,2,163,-0.9599311,0,0,0,1
worgen-alt,0,0,0,2360,970,2,163,-0.9599311,0,0,0,1
worgen-alt-female,-0.05,0,0,2361,970,2,163,-0.9599311,0,0,0,1
dwarf-female,0,0,0,2362,970,2,216,-0.9599311,0,0,0,1
darkirondwarf,0,0,0,2363,970,2,179,-0.9599311,0,0,0,1
darkirondwarf-female,0,0,0,2364,970,2,216,-0.9599311,0,0,0,1
voidelf,0,0,0,2365,970,2,217,-0.9599311,0,0,0,1
bloodelf,0,0,0,2366,970,2,217,-0.9599311,0,0,0,1
voidelf-female,0,0,0,2367,970,2,218,-0.9599311,0,0,0,1
bloodelf-female,0,0,0,2368,970,2,218,-0.9599311,0,0,0,1
vulpera,0,0,0,2369,970,2,219,-0.9599311,0,0,0,1
nightborne,0,0,0,2370,970,2,220,-0.9599311,0,0,0,1
nightelf,0,0,0,2371,970,2,221,-0.9599311,0,0,0,1
fanfare,0,0,-0.25,2372,970,2,170,-0.9599311,0,0,0,1
earthendwarf,0,0,0,2373,970,2,179,-0.9599311,0,0,0,1
earthendwarf-female,0,0,0,2374,970,2,216,-0.9599311,0,0,0,1
actor,0,0,0,2375,971,0,0,0,0,0,0,1
decor,0,0,0,2376,972,0,170,0,0,0,0,1
fanfare,0,0,0,2377,972,0,170,0,0,0,0,1
mount,0,0,0,2462,989,0,6,0,0,0,0.25,1
player-rider,0,0,0,2463,989,0,170,0,0,0,0,1
pet,0,0,0,2464,990,0,425,0,0,0,0,1
player,0,0,0,2465,991,2,170,-0.9599311,0,0,0,1
tauren,-0.15,0.15,0,2466,991,2,184,-0.9599311,0,0,0,1
highmountaintauren,-0.15,0.15,0,2467,991,2,184,-0.9599311,0,0,0,1
zandalaritroll,0,0,0,2468,991,2,180,-0.9599311,0,0,0,1
kultiran,0,0,0,2469,991,2,176,-0.9599311,0,0,0,1
magharorc,-0.1,0.15,0,2470,991,2,172,-0.9599311,0,0,0,1
druid-bear-form,0,0,0,2471,991,2,170,-0.9599311,0,0,0.45,1
druid-cat-form,0,0,0,2472,991,2,170,-0.9599311,0,0,0.3,1
dracthyr,-0.5,0.8,0,2473,991,2,171,-0.9599311,0,0,0,1
draenei,-0.25,0.4,0,2474,991,2,166,-0.9599311,0,0,0.1,1
lightforgeddraenei,-0.25,0.4,0,2475,991,2,166,-0.9599311,0,0,0,1
orc,-0.1,0.15,0,2476,991,2,172,-0.9599311,0,0,0,1
worgen,0,0,0,2477,991,2,148,-0.9599311,0,0,0.25,1
troll,0,0,0,2478,991,2,43,-0.9599311,0,0,0,1
pandaren,0,0,0,2479,991,2,197,-0.9599311,0,0,0.2,1
tauren-female,-0.15,0.15,0,2480,991,2,164,-0.9599311,0,0,0,1
highmountaintauren-female,-0.15,0.15,0,2481,991,2,164,-0.9599311,0,0,0,1
goblin,0,0,0,2482,991,2,198,-0.9599311,0,0,0,1
gnome,0,0,0,2483,991,2,199,-0.9599311,0,0,0,1
mechagnome,0,0,0,2484,991,2,201,-0.9599311,0,0,0,1
dwarf,0,0,0,2485,991,2,179,-0.9599311,0,0,0,1
scourge,0,0,0,2486,991,2,189,-0.9599311,0,0,0,1
dracthyr-alt,0,0,0,2487,991,2,170,-0.9599311,0,0,0,1
draenei-female,0,0,0,2488,991,2,166,-0.9599311,0,0,0,1
lightforgeddraenei-female,0,0,0,2489,991,2,166,-0.9599311,0,0,0,1
human,0,0,0,2490,991,2,163,-0.9599311,0,0,0,1
human-female,-0.05,0,0,2491,991,2,163,-0.9599311,0,0,0,1
worgen-alt,0,0,0,2492,991,2,163,-0.9599311,0,0,0,1
worgen-alt-female,-0.05,0,0,2493,991,2,163,-0.9599311,0,0,0,1
dwarf-female,0,0,0,2494,991,2,216,-0.9599311,0,0,0,1
darkirondwarf,0,0,0,2495,991,2,179,-0.9599311,0,0,0,1
darkirondwarf-female,0,0,0,2496,991,2,216,-0.9599311,0,0,0,1
voidelf,0,0,0,2497,991,2,217,-0.9599311,0,0,0,1
bloodelf,0,0,0,2498,991,2,217,-0.9599311,0,0,0,1
voidelf-female,0,0,0,2499,991,2,218,-0.9599311,0,0,0,1
bloodelf-female,0,0,0,2500,991,2,218,-0.9599311,0,0,0,1
vulpera,0,0,0,2501,991,2,219,-0.9599311,0,0,0,1
nightborne,0,0,0,2502,991,2,220,-0.9599311,0,0,0,1
nightelf,0,0,0,2503,991,2,221,-0.9599311,0,0,0,1
fanfare,0,0,-0.25,2504,991,2,170,-0.9599311,0,0,0,1
earthendwarf,0,0,0,2505,991,2,179,-0.9599311,0,0,0,1
earthendwarf-female,0,0,0,2506,991,2,216,-0.9599311,0,0,0,1
actor,0,0,0,2515,996,0,0,0,0,0,0,1
override,0,0,0,2544,1021,0,427,0,0,0,0.4,1
override,0,0,0,2545,1022,0,15,0,0,0,0.4,1
override,0,0,0,2547,1024,0,15,0,0,0,0.4,1
mount,0,0,0,2548,1025,0,6,0,0,0,0.4,1
override,0,0,-0.1,2549,1026,0,15,0,0,0,0.4,1
override,0,0,0,2550,1027,0,15,0,0,0,0.4,1
override,0,0,0,2551,1028,2,15,0,0,0,0.4,1
override,0,0,0,2552,1029,0,15,0,0,0,0.4,1
override,0,0,0,2553,1030,0,15,0,0,0,0.4,1
override,0,0,0,2554,1031,0,15,0,0,0,0.4,1
override,0,0,0,2555,1032,0,15,0,0,0,0.4,1
mount,0,0,2,2556,1033,0,6,0,0,0,0.25,1
override,0,0,0,2557,1034,0,15,0,0,0,0.4,1
override,0,0,0,2558,1035,0,15,0,0,0,0.4,1
mount,0,0,0,2601,1045,0,6,0,0,0,0.25,1
player-rider,0,0,0,2602,1045,0,170,0,0,0,0,1
pet,0,0,0,2603,1046,0,170,0,0,0,0,1
player,0,0,0,2604,1047,2,170,-0.9599311,0,0,0,1
tauren,-0.15,0.15,0,2605,1047,2,184,-0.9599311,0,0,0,1
highmountaintauren,-0.15,0.15,0,2606,1047,2,184,-0.9599311,0,0,0,1
zandalaritroll,0,0,0,2607,1047,2,180,-0.9599311,0,0,0,1
kultiran,0,0,0,2608,1047,2,176,-0.9599311,0,0,0,1
magharorc,-0.1,0.15,0,2609,1047,2,172,-0.9599311,0,0,0,1
druid-bear-form,0,0,0,2610,1047,2,170,-0.9599311,0,0,0.45,1
druid-cat-form,0,0,0,2611,1047,2,170,-0.9599311,0,0,0.3,1
dracthyr,-0.5,0.8,0,2612,1047,2,171,-0.9599311,0,0,0,1
draenei,-0.25,0.4,0,2613,1047,2,166,-0.9599311,0,0,0,1
lightforgeddraenei,-0.25,0.4,0,2614,1047,2,166,-0.9599311,0,0,0,1
orc,-0.1,0.15,0,2615,1047,2,172,-0.9599311,0,0,0,1
worgen,0,0,0,2616,1047,2,148,-0.9599311,0,0,0,1
troll,0,0,0,2617,1047,2,43,-0.9599311,0,0,0,1
pandaren,0,0,0,2618,1047,2,197,-0.9599311,0,0,0,1
tauren-female,-0.15,0.15,0,2619,1047,2,164,-0.9599311,0,0,0,1
highmountaintauren-female,-0.15,0.15,0,2620,1047,2,164,-0.9599311,0,0,0,1
goblin,0,0,0,2621,1047,2,198,-0.9599311,0,0,0,1
gnome,0,0,0,2622,1047,2,199,-0.9599311,0,0,0,1
mechagnome,0,0,0,2623,1047,2,201,-0.9599311,0,0,0,1
dwarf,0,0,0,2624,1047,2,179,-0.9599311,0,0,0,1
scourge,0,0,0,2625,1047,2,189,-0.9599311,0,0,0,1
dracthyr-alt,0,0,0,2626,1047,2,170,-0.9599311,0,0,0,1
draenei-female,0,0,0,2627,1047,2,166,-0.9599311,0,0,0,1
lightforgeddraenei-female,0,0,0,2628,1047,2,166,-0.9599311,0,0,0,1
human,0,0,0,2629,1047,2,163,-0.9599311,0,0,0,1
human-female,-0.05,0,0,2630,1047,2,163,-0.9599311,0,0,0,1
worgen-alt,0,0,0,2631,1047,2,163,-0.9599311,0,0,0,1
worgen-alt-female,-0.05,0,0,2632,1047,2,163,-0.9599311,0,0,0,1
dwarf-female,0,0,0,2633,1047,2,216,-0.9599311,0,0,0,1
darkirondwarf,0,0,0,2634,1047,2,179,-0.9599311,0,0,0,1
darkirondwarf-female,0,0,0,2635,1047,2,216,-0.9599311,0,0,0,1
voidelf,0,0,0,2636,1047,2,217,-0.9599311,0,0,0,1
bloodelf,0,0,0,2637,1047,2,217,-0.9599311,0,0,0,1
voidelf-female,0,0,0,2638,1047,2,218,-0.9599311,0,0,0,1
bloodelf-female,0,0,0,2639,1047,2,218,-0.9599311,0,0,0,1
vulpera,0,0,0,2640,1047,2,219,-0.9599311,0,0,0,1
nightborne,0,0,0,2641,1047,2,220,-0.9599311,0,0,0,1
nightelf,0,0,0,2642,1047,2,221,-0.9599311,0,0,0,1
fanfare,0,0,-0.25,2643,1047,2,170,-0.9599311,0,0,0,1
earthendwarf,0,0,0,2644,1047,2,179,-0.9599311,0,0,0,1
earthendwarf-female,0,0,0,2645,1047,2,216,-0.9599311,0,0,0,1
actor,0,0,0,2646,1048,0,0,0,0,0,0,1
pet,0,0,0,2647,1049,0,425,0,0,0,0,1
pet,0,0,0,2648,1050,0,425,0,0,0,0,1
override,0,0,0,2650,1052,2,430,-0.9599311,0,0,0,1
override,0,0,0,2651,1053,2,430,-0.9599311,0,0,0,1
override,1.1,0,-4.5,2652,1054,0,15,0,0,0,0.4,1
override,0,0,0,2653,1055,0,15,0,0,0,0.4,1
override,0,0,0,2654,1056,0,15,0,0,0,0.4,1
pet,0,0,0,2655,1057,0,425,0,0,0,0,1
fanfare,0,0,0,2657,968,0,426,0,0,0,0,1
fanfare,0,0,0,2658,969,0,426,0,0,0,0,1
fanfare,0,0,0,2659,970,2,428,0,0,0,0,1
override,0,0,0,2660,1059,0,15,0,0,0,0.4,1
pet,0,0,0,2661,1060,0,425,0,0,0,0,1
override,0,0,0,2662,1061,0,15,0,0,0,0.4,1
override,0,0,0,2663,1062,0,15,0,0,0,0.4,1
override,0,0,0,2664,1063,0,15,0,0,0,0.4,1
override,0,0,0,2665,1064,0,15,0,0,0,0.4,1
override,0,0,0,2674,1073,0,15,0,0,0,0.4,1
override,0,0,0,2675,1074,0,15,0,0,0,0.4,1
override,0,0,0,2676,1075,0,15,0,0,0,0.4,1
override,0,0,0,2678,1077,0,15,0,0,0,0.4,1
override,0,0,0,2679,1078,0,15,0,0,0,0.4,1
override,0,0,0,2680,1079,0,15,0,0,0,0.4,1
mount,0,0,0,2681,1080,0,6,0,0,0,0.4,1
mount,0,0,0,2682,1081,0,6,0,0,0,0.4,1
mount,0,0,0,2684,1083,0,6,0,0,0,0.25,1
mount,0,0,2,2685,1084,0,6,0,0,0,0.25,1
pet,0,0,0,2690,1089,0,425,0,0,0,0.25,1
pet,0,0,0,2691,1090,0,425,0,0,0,0,1
pet,0,0,0,2692,1091,0,170,0,0,0,0,1
pet,0,0,0,2693,1092,0,425,0,0,0,0,1
pet,0,0,0,2694,1093,0,425,0,0,0,0,1
pet,0,0,0,2695,1094,0,170,0,0,0,0,1
pet,0,0,0,2696,1095,0,425,0,0,0,0,1
pet,0,0,0,2697,1096,0,425,0,0,0,0,1
pet,0,0,0,2698,1097,0,170,0,0,0,0,1
override,0,0,0,3464,1119,2,430,-1.0000737,0,0,0,1
mount1,0.01,0.41,-0.79,3516,1140,0,170,-2.44,0,0,0,1
mount2,0.01,-0.99,-1.69,3517,1140,0,170,2.62,0,0,0,1
player-rider2,0,0,0,3518,1140,0,170,0,0,0,0,1
transmog1,6.3,-1.7,-1.1,3532,1143,0,170,2.62,0,0,0,1
transmog2,6.3,0.7,-0.8,3533,1143,0,170,-2.93,0,0,0,1
pet1,14.6,-6.9,-4.8,3534,1143,0,170,2.62,0,0,0.3,1
pet2,2,3.8,-4.2,3535,1143,0,170,-2.72,0,0,0.3,1
mount1,4.7,-1.7,-0.5,3536,1143,0,6,2.7750735,0,0,0,1
mount2,4.7,2.6,-1.1,3537,1143,0,6,-2.72,0,0,0.6,1
transmog1,-2.6,1,-1.4,3538,1144,0,170,-2.7227137,0,0,0,1
transmog2,-2.6,2.3,-1.4,3539,1144,0,170,-2.7227137,0,0,0,1
mount1,-4.8,-1.4,-0.8,3540,1144,0,6,2.6703537,0,0,3,1
mount2,-7.8,-2,-2,3541,1144,0,6,2.6179938,0,0,0.6,1
pet1,4.1,1.7,-2.9,3542,1144,0,170,-2.6703537,0,0,0,1
pet2,0.4,6.6,-0.8,3543,1144,0,170,-2.565634,0,0,0,1
mount,0,0,0,3547,1148,0,6,0,0,0,0.15,1
player-rider,0,0,0,3548,1148,0,170,0,0,0,0,1
fanfare,0,0,0,3549,1148,0,426,0,0,0,0,1
special1,0.01,0.01,-1.39,3565,1151,0,435,3.04,0.09,0,0,1
mount1,20.05,-7.89,2.31,3566,1151,0,170,2.34,0,0,0,1
pet1,20.03,3.81,1.01,3567,1151,0,425,-2.44,0,0,0.3,1
mount2,20.01,5.01,2.01,3568,1151,0,170,-2.51,0,0,0,1
pet2,20.01,-5.39,1.01,3569,1151,0,425,2.36,0,0,-3.8,1
transmog1,2.61,-1.09,-2.39,3570,1151,0,170,-2.72,0,0,1.7,1
transmog2,1.61,0.11,-2.39,3571,1151,0,170,2.91,0,0,0,1
harronir,0,0,0,3606,596,0,0,-1.0821041,0,0,1,1
mount1,2.35,0.76,-1.02,3609,1155,0,170,2.8300512,0,0,0,1
pet,0,0,-1,3611,1156,0,170,0,0,0,1,1
mount2,3.05,-1.24,-1.02,3612,1155,0,170,-2.8399997,0,0,0,1
transmog1,-3.45,0.39,-1.36,3613,1155,0,170,2.7799604,0,0,0,1
transmog2,-0.7,2.8,-0.88,3614,1155,0,170,-2.6199138,0,0,0,1
transmog3,-3.15,-0.5,-1.36,3615,1155,0,170,-2.719921,0,0,0,1
transmog4,-0.7,-3,-0.86,3616,1155,0,170,2.5307274,0,0,0,1
harronir-female,0,0,0,3619,596,0,0,-1.0821041,0,0,1.3,1
mount1,0.06,-0.72,0.06,3620,1157,0,170,2.51,0.1,-0.17,0,1
transmog1,-2.99,2.01,-0.92,3622,1157,0,170,-2.58,0,0,0,1
transmog2,-2.26,1.27,-0.93,3623,1157,0,170,-2.78,0,0,0,1
mount1,0.03,1.01,-1.59,3627,1158,0,170,-2.39,0,0,0.1,1
pet1,0.01,-15.99,-3.49,3628,1158,0,170,2.39,0,0,0.3,1
mount1,-3.99,3.01,-1.59,3630,1159,0,170,-2.39,0,0,0.1,1
pet1,0.01,-9.99,-4.99,3631,1159,0,170,2.39,0,0,0.2,1
mount1,2.35,0.75,-1.02,3632,1160,0,170,2.83,0,0,0,1
mount2,3.05,-1.24,-1.02,3633,1160,0,170,-2.84,0,0,0,1
transmog1,-2.29,0.41,-0.97,3634,1160,0,170,2.78,0,0,0,1
transmog2,-0.72,2.76,-0.88,3635,1160,0,170,-2.62,0,0,0,1
transmog3,-2.27,-0.49,-0.98,3636,1160,0,170,-2.72,0,0,0,1
transmog4,-0.7,-2.74,-0.86,3637,1160,0,170,2.69,0,0,0,1
transmog2,-0.97,1.76,-0.93,3638,1161,0,170,-2.58,0,0,0,1
mount1,0.05,-0.74,0.04,3639,1161,0,170,2.34,0.16,-0.12,0,1
transmog1,-0.98,2.76,-0.92,3640,1161,0,170,-2.53,0,0,0,1
mount1,0.01,0.51,-1.49,3641,1162,0,170,-2.58,0,0,0,1
transmog1,0.03,-1.49,-1.29,3642,1162,0,170,2.72,0,0,0,1
