ID,FailureReason_lang,PlayerConditionID,OrderIndex,Flags,CampaignID
554,"Complete the quest ""Champions of Legionfall"" in Broken Shore to continue the campaign.",137966,3,0,297
555,"Complete the quest ""Champions of Legionfall"" in Broken Shore to continue the campaign.",137966,3,0,296
556,"Complete the quest ""Champions of Legionfall"" in Broken Shore to continue the campaign.",137966,3,0,295
557,"Complete the quest ""Champions of Legionfall"" in Broken Shore to continue the campaign.",137966,3,0,294
558,"Complete the quest ""Champions of Legionfall"" in Broken Shore to continue the campaign.",137966,3,0,293
559,"Complete the quest ""Champions of Legionfall"" in Broken Shore to continue the campaign.",137966,3,0,292
561,Wait for your allies to gather against the Shadowguard.,138189,0,0,311
575,Reach level 30 to continue your Order Hall campaign.,143528,0,1,286
576,Reach level 30 to continue your Order Hall campaign.,143528,0,1,298
577,Reach level 30 to continue your Order Hall campaign.,143528,0,1,296
578,Reach level 30 to continue your Order Hall campaign.,143528,0,1,294
579,Reach level 30 to continue your Order Hall campaign.,143528,0,1,295
580,Reach level 30 to continue your Order Hall campaign.,143528,0,1,292
581,Reach level 30 to continue your Order Hall campaign.,143528,0,1,299
582,Reach level 30 to continue your Order Hall campaign.,143528,0,1,297
583,Reach level 30 to continue your Order Hall campaign.,143528,0,1,293
584,Reach level 30 to continue your Order Hall campaign.,143528,0,1,300
585,Reach level 30 to continue your Order Hall campaign.,143528,1,1,301
586,Reach level 30 to continue your Order Hall campaign.,143528,0,1,302
588,Consult the Tome of History in Valdrakken.,5703,0,0,323
591,"Begin the quest ""The Future of The Fel Hammer"" and choose your champion to continue the campaign.",147290,0,1,301
596,"Finish the ""Visions of a Shadowed Sun"" campaign's ""A Meeting with Minn'da"" questline to continue this campaign.",147463,0,0,271
602,"Finish the ""Visions of a Shadowed Sun"" campaign's ""Paths Forward"" questline to continue this campaign.",147863,1,0,271
603,,148221,1,1,297
604,,148221,1,1,286
605,,148221,1,1,292
606,,148221,1,1,293
607,,148221,1,1,294
608,,148221,1,1,295
609,,148221,1,1,296
610,,148221,1,1,298
611,,148221,1,1,299
613,,148221,2,1,301
614,,148221,1,1,302
622,,150842,3,0,256
