ID,ItemLevel,Cloth,Leather,Mail,Plate
97,97,1624,2278.37,3473.28,5058.7
98,98,1654.64,2321.74,3539.91,5171.79
99,99,1685.87,2365.95,3607.82,5287.4
100,100,1717.68,2410.99,3677.03,5398.17
101,101,1750.09,2456.89,3747.57,5511.25
102,102,1783.11,2503.67,3819.46,5626.71
103,103,1816.76,2551.34,3892.72,5737.61
104,104,1851.04,2599.91,3967.4,5850.7
105,105,1885.97,2649.41,4043.51,5966.02
106,106,1921.56,2699.85,4121.07,6077.04
107,107,1957.82,2751.25,4200.13,6190.13
108,108,1994.76,2803.63,4280.7,6305.33
109,109,2032.4,2857.01,4362.82,6320.37
110,110,2043.17,2868.61,4375.93,6335.44
111,111,2053.97,2880.23,4389.07,6350.55
112,112,2064.79,2891.89,4402.24,6365.7
113,113,2075.63,2903.57,4415.45,6380.89
114,114,2086.51,2915.28,4428.68,6396.11
115,115,2097.4,2927.01,4441.95,6411.36
116,116,2108.33,2938.78,4455.25,6426.66
117,117,2119.28,2950.57,4468.58,6441.99
118,118,2130.25,2962.39,4481.94,6457.35
119,119,2141.25,2974.24,4495.33,6472.76
120,120,2152.28,2986.11,4508.76,6488.2
121,121,2163.34,2998.02,4522.22,6503.67
122,122,2174.42,3009.95,4535.71,6519.19
123,123,2185.53,3021.91,4549.23,6534.74
124,124,2196.66,3033.9,4562.78,6550.32
125,125,2207.82,3045.92,4576.37,6565.95
126,126,2219.01,3057.97,4589.99,6581.61
127,127,2230.22,3070.05,4603.64,6597.31
128,128,2241.46,3082.15,4617.32,6613.05
129,129,2252.73,3094.29,4631.04,6628.82
130,130,2272.06,3122.14,4674.42,6644.63
131,131,2291.55,3150.24,4718.2,6727.88
132,132,2311.21,3178.59,4762.39,6812.18
133,133,2331.04,3207.2,4806.99,6897.52
134,134,2351.04,3236.06,4852.02,6983.94
135,135,2371.21,3265.19,4897.46,7067.27
136,136,2391.56,3294.57,4943.33,7151.58
137,137,2412.08,3324.23,4989.63,7236.91
138,138,2432.77,3354.14,5036.36,7323.25
139,139,2453.64,3384.33,5083.54,7406.64
140,140,2474.69,3414.79,5131.15,7490.98
141,141,2495.93,3445.53,5179.21,7576.29
142,142,2517.34,3476.54,5227.72,7662.56
143,143,2538.94,3507.83,5276.68,7746.01
144,144,2560.72,3539.4,5326.1,7830.38
145,145,2582.69,3571.25,5375.99,7915.66
146,146,2604.85,3603.39,5426.34,8001.87
147,147,2627.2,3635.83,5477.16,8085.38
148,148,2649.74,3668.55,5528.46,8169.76
149,149,2672.47,3701.57,5580.24,8255.02
150,150,2695.4,3734.88,5632.51,8341.17
151,151,2718.53,3768.5,5685.26,8424.74
152,152,2741.85,3802.41,5738.51,8509.14
153,153,2765.38,3836.64,5792.26,8594.38
154,154,2789.1,3871.17,5846.51,8680.48
155,155,2813.03,3906.01,5901.27,8764.09
156,156,2837.17,3941.16,5956.54,8848.51
157,157,2861.51,3976.63,6012.33,8933.74
158,158,2886.06,4012.42,6068.64,9019.79
159,159,2910.82,4048.54,6125.48,9103.45
160,160,2935.79,4084.97,6182.85,9187.88
161,161,2960.98,4121.74,6240.76,9273.09
162,162,2986.39,4158.84,6299.22,9359.1
163,163,3012.01,4196.27,6358.22,9442.8
164,164,3037.85,4234.03,6417.77,9527.24
165,165,3063.92,4272.14,6477.88,9612.44
166,166,3090.2,4310.59,6538.55,9698.41
167,167,3116.72,4349.39,6599.79,9782.14
168,168,3143.46,4388.53,6661.6,9866.6
169,169,3170.43,4428.03,6724,9951.79
170,170,3197.63,4467.88,6786.98,10037.7
171,171,3225.06,4508.1,6850.54,10121.5
172,172,3252.73,4548.67,6914.71,10206
173,173,3280.64,4589.61,6979.47,10291.1
174,174,3308.79,4630.92,7044.84,10377
175,175,3337.17,4672.6,7110.82,10460.8
176,176,3365.81,4714.65,7177.42,10545.3
177,177,3394.68,4757.08,7244.65,10630.5
178,178,3423.81,4799.9,7312.5,10716.3
179,179,3453.18,4843.1,7380.99,10800.2
180,180,3482.81,4886.69,7450.13,10884.7
181,181,3512.69,4930.67,7519.9,10969.8
182,182,3542.83,4975.04,7590.34,11055.6
183,183,3573.23,5019.82,7661.43,11095.5
184,184,3601.81,5050.61,7696.23,11135.5
185,185,3630.5,5081.5,7731.16,11175.7
186,186,3659.3,5112.51,7766.21,11216
187,187,3688.19,5143.63,7801.39,11256.5
188,188,3717.19,5174.86,7836.69,11297.1
189,189,3746.3,5206.21,7872.12,11337.8
190,190,3775.51,5237.66,7907.69,11378.7
191,191,3804.83,5269.23,7943.37,11419.8
192,192,3834.25,5300.92,7979.19,11460.9
193,193,3863.77,5332.72,8015.14,11502.3
194,194,3893.41,5364.63,8051.22,11543.8
195,195,3923.15,5396.66,8087.42,11585.4
196,196,3953,5428.81,8123.76,11627.2
197,197,3982.96,5461.07,8160.23,11669.1
198,198,4013.02,5493.44,8196.83,11711.2
199,199,4043.19,5525.94,8233.56,11753.5
200,200,4073.47,5558.55,8270.42,11795.9
201,201,4103.86,5591.28,8307.42,11838.4
202,202,4134.36,5624.12,8344.55,11881.1
203,203,4164.97,5657.09,8381.82,11924
204,204,4195.7,5690.17,8419.22,11967
205,205,4226.53,5723.38,8456.75,12010.1
206,206,4257.47,5756.7,8494.42,12053.5
207,207,4288.52,5790.14,8532.23,12096.9
208,208,4319.69,5823.71,8570.17,12140.6
209,209,4350.97,5857.39,8608.25,12184.4
210,210,4382.36,5891.2,8646.46,12228.3
211,211,4413.87,5925.13,8684.82,12272.4
212,212,4445.48,5959.18,8723.31,12316.7
213,213,4477.22,5993.35,8761.94,12361.1
214,214,4509.06,6027.65,8800.71,12405.7
215,215,4541.03,6062.07,8839.62,12450.4
216,216,4573.1,6096.61,8878.67,12495.3
217,217,4605.3,6131.28,8917.86,12540.4
218,218,4637.6,6166.07,8957.19,12585.6
219,219,4670.03,6200.99,8996.67,12631
220,220,4702.57,6236.04,9036.28,12676.6
221,221,4735.23,6271.21,9076.04,12722.3
222,222,4768.01,6306.51,9115.95,12768.2
223,223,4800.91,6341.94,9155.99,12814.3
224,224,4833.92,6377.49,9196.19,12860.5
225,225,4867.05,6413.17,9236.52,12906.9
226,226,4900.31,6448.98,9277,12953.4
227,227,4933.68,6484.92,9317.63,13000.2
228,228,4967.17,6520.99,9358.41,13047
229,229,5000.79,6557.19,9399.33,13094.1
230,230,5034.52,6593.53,9440.4,13141.3
231,231,5068.38,6629.99,9481.62,13188.7
232,232,5102.36,6666.58,9522.98,13236.3
233,233,5136.46,6703.3,9564.5,13284
234,234,5170.69,6740.16,9606.16,13332
235,235,5205.03,6777.15,9647.98,13380
236,236,5239.51,6814.28,9689.94,13428.3
237,237,5274.1,6851.53,9732.06,13476.7
238,238,5308.82,6888.93,9774.33,13525.4
239,239,5343.67,6926.45,9816.75,13574.1
240,240,5378.64,6964.12,9859.33,13623.1
241,241,5413.74,7001.91,9902.06,13672.2
242,242,5448.97,7039.85,9944.94,13721.6
243,243,5484.32,7077.92,9987.98,13771
244,244,5519.8,7116.13,10031.2,13820.7
245,245,5555.41,7154.48,10074.5,13870.6
246,246,5591.14,7192.96,10118,13920.6
247,247,5627.01,7231.58,10161.7,13970.8
248,248,5663,7270.35,10205.5,14021.2
249,249,5699.13,7309.25,10249.5,14071.8
250,250,5735.38,7348.29,10293.6,14122.5
251,251,5771.76,7387.48,10337.9,14173.5
252,252,5808.28,7426.8,10382.4,14224.6
253,253,5844.93,7466.27,10427,14275.9
254,254,5881.71,7505.88,10471.8,14327.4
255,255,5918.62,7545.63,10516.7,14379.1
256,256,5955.67,7585.53,10561.8,14430.9
257,257,5992.85,7625.57,10607.1,14483
258,258,6030.16,7665.75,10652.5,14535.2
259,259,6067.61,7706.08,10698.1,14587.7
260,260,6105.19,7746.55,10743.8,14640.3
261,261,6142.91,7787.17,10789.7,14693.1
262,262,6180.77,7827.94,10835.8,14746.1
263,263,6218.76,7868.86,10882.1,14799.3
264,264,6256.89,7909.92,10928.5,14852.6
265,265,6295.15,7951.13,10975.1,14906.2
266,266,6333.56,7992.49,11021.8,14960
267,267,6372.1,8033.99,11068.8,15013.9
268,268,6410.78,8075.65,11115.8,15068.1
269,269,6449.6,8117.46,11163.1,15122.4
270,270,6488.56,8159.42,11210.5,15177
271,271,6527.67,8201.53,11258.1,15231.7
272,272,6566.91,8243.79,11305.9,15286.7
273,273,6606.29,8286.2,11353.9,15341.8
274,274,6645.82,8328.77,11402,15397.1
275,275,6685.49,8371.49,11450.3,15452.7
276,276,6725.3,8414.36,11498.7,15508.4
277,277,6765.26,8457.39,11547.4,15564.4
278,278,6772.01,8475.69,11585.7,15627.9
279,279,6778.77,8494.04,11624.1,15691.6
280,280,6785.53,8512.42,11662.7,15755.7
281,281,6792.3,8530.84,11701.4,15820
282,282,6799.08,8549.3,11740.2,15884.5
283,283,6805.87,8567.8,11779.1,15949.4
284,284,6812.66,8586.34,11818.2,16014.4
285,285,6819.46,8604.93,11857.4,16079.8
286,286,6826.26,8623.55,11896.7,16145.4
287,287,6833.08,8642.21,11936.2,16211.3
288,288,6839.9,8660.91,11975.8,16277.4
289,289,6846.72,8679.66,12015.5,16343.9
290,290,6853.55,8698.44,12055.4,16410.6
291,291,6860.39,8717.26,12095.4,16477.5
292,292,6867.24,8736.13,12135.5,16544.8
293,293,6874.09,8755.03,12175.8,16612.3
294,294,6880.95,8773.98,12216.1,16680.1
295,295,6887.82,8792.97,12256.7,16748.1
296,296,6894.7,8812,12297.3,16816.5
297,297,6901.58,8831.07,12338.1,16885.1
298,298,6908.46,8850.18,12379,16954
299,299,6915.36,8869.33,12420.1,17023.2
300,300,6922.26,8888.52,12461.3,17092.7
301,301,6929.17,8907.76,12502.6,17162.4
302,302,6936.08,8927.04,12544.1,17232.4
303,303,6943,8946.35,12585.7,17302.8
304,304,6949.93,8965.71,12627.5,17373.4
305,305,6956.87,8985.12,12669.4,17444.3
306,306,6963.81,9004.56,12711.4,17515.5
307,307,6970.76,9024.05,12753.6,17586.9
308,308,6977.72,9043.58,12795.9,17658.7
309,309,6984.68,9063.15,12838.3,17730.8
310,310,6991.65,9082.76,12880.9,17803.1
311,311,6998.63,9102.42,12923.6,17875.8
312,312,7005.61,9122.12,12966.5,17948.7
313,313,7012.61,9141.86,13009.5,18021.9
314,314,7019.6,9161.64,13052.7,18095.5
315,315,7026.61,9181.47,13096,18169.3
316,316,7033.62,9201.34,13139.4,18243.5
317,317,7040.64,9221.25,13183,18317.9
318,318,7047.67,9241.21,13226.7,18392.7
319,319,7054.7,9261.2,13270.6,18467.7
320,320,7061.74,9281.25,13314.6,18543.1
321,321,7068.79,9301.33,13358.8,18618.8
322,322,7075.84,9321.46,13403.1,18694.7
323,323,7082.9,9341.63,13447.6,18771
324,324,7089.97,9361.85,13492.2,18847.6
325,325,7097.05,9382.11,13536.9,18924.5
326,326,7104.13,9402.41,13581.8,19001.8
327,327,7111.22,9422.76,13626.9,19079.3
328,328,7118.32,9443.15,13672.1,19157.2
329,329,7125.42,9463.59,13717.5,19235.3
330,330,7132.53,9484.07,13763,19313.8
331,331,7139.65,9504.59,13808.6,19392.6
332,332,7146.78,9525.16,13854.4,19471.8
333,333,7153.91,9545.77,13900.4,19551.2
334,334,7161.05,9566.43,13946.5,19631
335,335,7168.19,9587.13,13992.8,19711.1
336,336,7175.35,9607.88,14039.2,19791.6
337,337,7182.51,9628.67,14085.7,19872.3
338,338,7189.68,9649.51,14132.5,19953.4
339,339,7196.85,9670.39,14179.4,20034.8
340,340,7204.03,9691.32,14226.4,20116.6
341,341,7211.22,9712.29,14273.6,20198.7
342,342,7218.42,9733.31,14320.9,20281.1
343,343,7225.62,9754.37,14368.4,20363.9
344,344,7232.83,9775.48,14416.1,20447
345,345,7240.05,9796.64,14463.9,20530.4
346,346,7247.279,9817.839,14511.904,20614.19
347,347,7290.39,9864.26,14564.4,20674.5
348,348,7333.62,9910.83,14617,20735.1
349,349,7376.98,9957.52,14669.8,20795.8
350,350,7420.47,10004.4,14722.8,20856.7
351,351,7464.09,10051.3,14775.8,20917.7
352,352,7507.83,10098.4,14829.1,20979
353,353,7551.71,10145.7,14882.5,21040.4
354,354,7595.71,10193.1,14936.1,21102
355,355,7639.83,10240.6,14989.8,21163.8
356,356,7684.09,10288.3,15043.7,21225.7
357,357,7728.48,10336.1,15097.7,21287.9
358,358,7773,10384,15151.9,21350.2
359,359,7817.65,10432.1,15206.3,21412.7
360,360,7862.43,10480.3,15260.8,21475.4
361,361,7907.34,10528.7,15315.5,21538.3
362,362,7952.38,10577.2,15370.3,21601.3
363,363,7997.55,10625.8,15425.3,21664.6
364,364,8042.86,10674.6,15480.4,21728
365,365,8088.3,10723.5,15535.8,21791.6
366,366,8133.87,10772.6,15591.2,21855.4
367,367,8179.57,10821.8,15646.9,21919.4
368,368,8225.41,10871.2,15702.7,21983.6
369,369,8271.38,10920.7,15758.6,22047.9
370,370,8317.49,10970.4,15814.8,22112.5
371,371,8363.73,11020.2,15871.1,22177.2
372,372,8410.11,11070.1,15927.5,22242.2
373,373,8456.62,11120.2,15984.2,22307.3
374,374,8503.273,11170.448,16040.941,22372.582
375,375,8550.06,11220.8,16097.9,22438.1
376,376,8596.98,11271.4,16155,22503.8
377,377,8644.044,11322.047,16212.313,22569.66
378,378,8691.24,11372.9,16269.8,22635.7
379,379,8738.58,11423.9,16327.4,22702
380,380,8786.05,11475,16385.2,22768.5
381,381,8833.67,11526.3,16443.2,22835.1
382,382,8881.42,11577.7,16501.3,22902
383,383,8929.31,11629.3,16559.6,22969
384,384,8977.35,11681,16618.1,23036.3
385,385,9025.52,11732.9,16676.7,23103.7
386,386,9073.838,11784.902,16735.541,23171.373
387,387,9122.29,11837.1,16794.5,23239.2
388,388,9170.89,11889.4,16853.7,23307.3
389,389,9219.63,11941.9,16913,23375.5
390,390,9268.52,11994.6,16972.5,23443.9
391,391,9317.54,12047.4,17032.2,23512.6
392,392,9366.71,12100.3,17092.1,23581.4
393,393,9416.03,12153.4,17152.1,23650.4
394,394,9465.49,12206.7,17212.3,23719.7
395,395,9515.09,12260.1,17272.7,23789.1
396,396,9564.84,12313.7,17333.3,23858.8
397,397,9614.73,12367.4,17394,23928.6
398,398,9664.774,12421.295,17454.941,23998.684
399,399,9714.96,12475.3,17516,24068.9
400,400,9765.29,12529.5,17577.3,24139.4
401,401,9815.78,12583.9,17638.8,24210.1
402,402,9866.4,12638.4,17700.4,24281
403,403,9917.18,12693.1,17762.2,24352.1
404,404,9968.11,12748,17824.2,24423.4
405,405,10019.2,12803,17886.4,24494.9
406,406,10070.4,12858.1,17948.8,24566.6
407,407,10121.8,12913.5,18011.3,24638.5
408,408,10173.3,12968.9,18074,24710.6
409,409,10224.981,13024.596,18136.934,24782.975
410,410,10276.8,13080.4,18200,24855.5
411,411,10328.8,13136.4,18263.3,24928.3
412,412,10380.918,13192.527,18326.77,25001.285
413,413,10433.2,13248.8,18390.4,25074.5
414,414,10485.6,13305.3,18454.3,25147.9
415,415,10538.2,13361.9,18518.3,25221.5
416,416,10591,13418.7,18582.5,25295.4
417,417,10643.9,13475.7,18646.9,25369.4
418,418,10696.9,13532.8,18711.5,25443.7
419,419,10750.1,13590.1,18776.2,25518.2
420,420,10803.5,13647.6,18841.2,25592.9
421,421,10857,13705.3,18906.4,25667.8
422,422,10910.7,13763.1,18971.7,25743
423,423,10964.5,13821,19037.3,25818.3
424,424,11018.5,13879.2,19103,25893.9
425,425,11072.7,13937.5,19168.9,25969.7
426,426,11127,13996,19235,26045.8
427,427,11181.4,14054.6,19301.3,26122
428,428,11236.1,14113.5,19367.8,26198.5
429,429,11290.9,14172.5,19434.5,26275.2
430,430,11345.8,14231.6,19501.4,26352.1
431,431,11400.9,14291,19568.5,26429.3
432,432,11456.2,14350.5,19635.8,26506.7
433,433,11511.621,14410.207,19703.277,26584.27
434,434,11567.2,14470.1,19771,26662.1
435,435,11623,14530.1,19838.8,26740.2
436,436,6698.11,11451.9,17805.9,26742.4
437,437,6720.95,11491,17866.7,26833.6
438,438,6743.87,11530.1,17927.6,26925.1
439,439,6766.87,11569.5,17988.7,27016.9
440,440,6789.94,11608.9,18050.1,27109.1
441,441,6813.1,11648.5,18111.6,27201.5
442,442,6836.33,11688.2,18173.4,27294.3
443,443,6859.64,11728.1,18235.3,27387.3
444,444,6883.03,11768.1,18297.5,27480.7
445,445,6906.5,11808.2,18359.9,27574.4
446,446,6930.05,11848.5,18422.5,27668.5
447,447,6953.69,11888.9,18485.3,27762.8
448,448,6977.4,11929.4,18548.4,27857.5
449,449,7001.19,11970.1,18611.6,27952.5
450,450,7025.07,12010.9,18675.1,28047.8
451,451,7049.02,12051.9,18738.8,28143.4
452,452,7073.06,12093,18802.7,28239.4
453,453,7097.18,12134.2,18866.8,28335.7
454,454,7121.38,12175.6,18931.1,28432.3
455,455,7145.66,12217.1,18995.7,28529.3
456,456,7170.03,12258.8,19060.5,28626.6
457,457,7194.48,12300.6,19125.5,28724.2
458,458,7219.01,12342.5,19190.7,28822.1
459,459,7243.63,12384.6,19256.1,28920.4
460,460,7268.33,12426.8,19321.8,29019
461,461,7293.11,12469.2,19387.7,29118
462,462,7317.98,12511.7,19453.8,29217.3
463,463,7342.94,12554.4,19520.1,29316.9
464,464,7367.98,12597.2,19586.7,29416.9
465,465,7393.1,12640.2,19653.5,29517.2
466,466,7418.31,12683.3,19720.5,29617.9
467,467,7443.61,12726.5,19787.7,29718.9
468,468,7468.99,12769.9,19855.2,29820.2
469,469,7494.46,12813.5,19922.9,29921.9
470,470,7520.02,12857.1,19990.9,30023.9
471,471,7545.66,12901,20059,30126.3
472,472,7571.39,12945,20127.4,30229
473,473,7597.21,12989.1,20196.1,30332.1
474,474,7623.12,13033.4,20264.9,30435.5
475,475,7649.11,13077.9,20334,30539.3
476,476,7675.19,13122.5,20403.4,30643.5
477,477,7701.37,13167.2,20472.9,30748
478,478,7727.63,13212.1,20542.8,30852.8
479,479,7753.98,13257.2,20612.8,30958
480,480,7780.42,13302.4,20683.1,31063.6
481,481,7806.95,13347.7,20753.6,31169.5
482,482,7833.57,13393.2,20824.4,31275.8
483,483,7860.29,13438.9,20895.4,31382.5
484,484,7887.09,13484.7,20966.7,31489.5
485,485,7913.99,13530.7,21038.2,31596.8
486,486,7940.97,13576.9,21109.9,31704.6
487,487,7968.05,13623.2,21181.9,31812.7
488,488,7995.22,13669.6,21254.1,31921.2
489,489,8022.49,13716.2,21326.6,32030
490,490,8049.84,13763,21399.3,32139.3
491,491,8077.29,13809.9,21472.3,32248.9
492,492,8104.84,13857,21545.5,32358.8
493,493,8132.47,13904.3,21619,32469.2
494,494,8160.21,13951.7,21692.7,32579.9
495,495,8188.03,13999.3,21766.7,32691
496,496,8215.95,14047,21840.9,32802.5
497,497,8243.97,14094.9,21915.4,32914.3
498,498,8272.08,14143,21990.1,33026.6
499,499,8300.29,14191.2,22065.1,33139.2
500,500,8328.59,14239.6,22140.3,33252.2
501,501,8356.99,14288.1,22215.8,33365.6
502,502,8385.49,14336.9,22291.6,33479.3
503,503,8414.08,14385.8,22367.6,33593.5
504,504,8442.78,14434.8,22443.9,33708.1
505,505,8471.57,14484,22520.4,33823
506,506,8500.46,14533.4,22597.2,33938.3
507,507,8529.44,14583,22674.3,34054.1
508,508,8558.53,14632.7,22751.6,34170.2
509,509,8587.71,14682.6,22829.2,34286.7
510,510,8617,14732.7,22907,34403.6
511,511,8646.38,14782.9,22985.1,34521
512,512,8675.86,14833.3,23063.5,34638.7
513,513,8705.45,14883.9,23142.1,34756.8
514,514,8735.13,14934.7,23221.1,34875.3
515,515,8764.92,14985.6,23300.2,34994.2
516,516,8794.81,15036.7,23379.7,35113.6
517,517,8824.8,15088,23459.4,35233.3
518,518,8854.89,15139.4,23539.4,35353.4
519,519,8885.09,15191,23619.7,35474
520,520,8915.38,15242.8,23700.2,35595
521,521,8945.79,15294.8,23781,35716.4
522,522,8976.29,15347,23862.1,35838.1
523,523,9006.9,15399.3,23943.5,35960.4
524,524,9037.61,15451.8,24025.2,36083
525,525,9068.43,15504.5,24107.1,36206
526,526,9099.36,15557.4,24189.3,36329.5
527,527,9130.38,15610.4,24271.8,36453.4
528,528,9161.52,15663.7,24354.5,36577.7
529,529,9192.76,15717.1,24437.6,36702.4
530,530,9224.11,15770.7,24520.9,36827.6
531,531,9255.56,15824.4,24604.5,36953.1
532,532,9287.12,15878.4,24688.4,37079.1
533,533,9318.79,15932.6,24772.6,37205.6
534,534,9350.57,15986.9,24857.1,37332.5
535,535,9382.455,16041.396,24941.863,37459.76
536,536,9414.45,16096.1,25026.9,37587.5
537,537,9446.55,16151,25112.3,37715.7
538,538,9478.76,16206.1,25197.9,37844.3
539,539,9511.088,16261.322,25283.814,37973.332
540,540,9543.52,16316.8,25370,38102.8
541,541,9576.06,16372.4,25456.5,38232.8
542,542,9608.72,16428.2,25543.4,38363.1
543,543,9641.48,16484.3,25630.5,38493.9
544,544,9674.36,16540.5,25717.9,38625.2
545,545,9707.35,16596.9,25805.6,38756.9
546,546,9740.45,16653.5,25893.5,38889.1
547,547,9773.67,16710.3,25981.8,39021.7
548,548,9807,16767.2,26070.4,39154.8
549,549,9840.44,16824.4,26159.3,39288.3
550,550,9873.99,16881.8,26248.5,39422.3
551,551,9907.66,16939.4,26338.1,39556.7
552,552,9941.45,16997.1,26427.9,39691.6
553,553,9975.35,17055.1,26518,39826.9
554,554,10009.4,17113.2,26608.4,39962.7
555,555,10043.498,17171.596,26699.148,40099
556,556,10077.7,17230.2,26790.2,40235.7
557,557,10112.1,17288.9,26881.5,40372.9
558,558,10146.6,17347.9,26973.2,40510.6
559,559,10181.2,17407,27065.2,40648.8
560,560,10215.9,17466.4,27157.5,40787.4
561,561,10250.7,17525.9,27250.1,40926.4
562,562,10285.7,17585.7,27343,41066
563,563,10320.776,17645.666,27436.254,41206.043
564,564,10356,17705.8,27529.8,41346.6
565,565,10391.284,17766.215,27623.688,41487.547
566,566,10426.7,17826.8,27717.9,41629
567,567,10462.3,17887.6,27812.4,41771
568,568,10498,17948.6,27907.2,41913.4
569,569,10533.7,18009.8,28002.4,42056.3
570,570,10569.7,18071.2,28097.9,42199.8
571,571,10605.7,18132.8,28193.7,42343.7
572,572,10641.9,18194.7,28289.8,42488
573,573,10678.165,18256.701,28386.316,42632.93
574,574,10714.6,18319,28483.1,42778.3
575,575,10751.1,18381.4,28580.2,42924.2
576,576,10787.8,18444.1,28677.7,43070.6
577,577,10824.6,18507,28775.5,43217.4
578,578,10861.5,18570.1,28873.6,43364.8
579,579,10898.5,18633.4,28972.1,43512.7
580,580,10935.7,18697,29070.9,43661
581,581,10973,18760.7,29170,43809.9
582,582,11010.4,18824.7,29269.5,43959.3
583,583,11047.9,18888.9,29369.3,44109.2
584,584,11085.6,18953.3,29469.4,44259.6
585,585,11123.4,19017.9,29569.9,44410.6
586,586,11161.3,19082.8,29670.8,44562
587,587,11199.4,19147.9,29771.9,44714
588,588,11237.585,19213.154,29873.453,44866.434
589,589,11275.9,19278.7,29975.3,45019.4
590,590,11314.356,19344.412,30077.537,45172.945
591,591,11352.9,19410.4,30180.1,45327
592,592,11391.7,19476.6,30283,45481.6
593,593,11430.5,19543,30386.3,45636.6
594,594,11469.5,19609.6,30489.9,45792.3
595,595,11508.6,19676.5,30593.9,45948.4
596,596,11547.83,19743.588,30698.193,46105.098
