ID,Value[0],Value[1],Value[2],Value[3],ParentItemBonusListID,Type,OrderIndex
27205,7,7366,0,0,12755,2,1
27206,4,4106,0,0,12755,2,2
27207,14334,0,0,0,12755,5,3
27208,89,14300,0,0,12756,2,0
27209,14335,0,0,0,12756,5,1
27210,85,14300,0,0,12757,2,0
27211,14336,0,0,0,12757,5,1
27212,87,14300,0,0,12758,2,0
27213,14337,0,0,0,12758,5,1
27214,84,14300,0,0,12759,2,0
27215,14338,0,0,0,12759,5,1
27216,86,14300,0,0,12760,2,0
27217,14339,0,0,0,12760,5,1
27218,88,14300,0,0,12761,2,0
27219,14340,0,0,0,12761,5,1
27363,5,7601,0,0,12905,2,0
27364,7,5066,0,0,12905,2,1
27365,45,20000,0,0,12905,2,2
27366,14325,0,0,0,12905,5,3
27367,5,7601,0,0,12906,2,0
27368,7,5066,0,0,12906,2,1
27369,45,47500,0,0,12906,2,2
27370,14325,0,0,0,12906,5,3
27371,5,7601,0,0,12907,2,0
27372,45,20000,0,0,12907,2,1
27373,6,5066,0,0,12907,2,2
27374,14326,0,0,0,12907,5,3
27375,5,7601,0,0,12908,2,0
27376,45,47500,0,0,12908,2,1
27377,6,5066,0,0,12908,2,2
27378,14326,0,0,0,12908,5,3
27379,45,20000,0,0,12909,2,0
27380,6,5066,0,0,12909,2,1
27381,7,7601,0,0,12909,2,2
27382,14327,0,0,0,12909,5,3
27383,45,47500,0,0,12910,2,0
27384,6,5066,0,0,12910,2,1
27385,7,7601,0,0,12910,2,2
27386,14327,0,0,0,12910,5,3
27387,42,12533,0,0,12911,2,0
27388,41,37600,0,0,12911,2,1
27389,5,5066,0,0,12911,2,2
27390,7,7601,0,0,12911,2,3
27391,14328,0,0,0,12911,5,4
27392,42,29767,0,0,12912,2,0
27393,41,89300,0,0,12912,2,1
27394,5,5066,0,0,12912,2,2
27395,7,7601,0,0,12912,2,3
27396,14328,0,0,0,12912,5,4
27397,5,7601,0,0,12913,2,0
27398,42,29767,0,0,12913,2,1
27399,41,89300,0,0,12913,2,2
27400,6,5066,0,0,12913,2,3
27401,14328,0,0,0,12913,5,4
27402,5,7601,0,0,12914,2,0
27403,42,12533,0,0,12914,2,1
27404,41,37600,0,0,12914,2,2
27405,6,5066,0,0,12914,2,3
27406,14473,0,0,0,12914,5,4
27407,42,12533,0,0,12915,2,0
27408,41,37600,0,0,12915,2,1
27409,6,5066,0,0,12915,2,2
27410,7,7601,0,0,12915,2,3
27411,14329,0,0,0,12915,5,4
27412,42,29767,0,0,12916,2,0
27413,41,89300,0,0,12916,2,1
27414,6,5066,0,0,12916,2,2
27415,7,7601,0,0,12916,2,3
27416,14329,0,0,0,12916,5,4
27417,45,47500,0,0,12917,2,1
27418,5,10000,0,0,12917,2,0
27419,14314,0,0,0,12917,5,2
27420,45,20000,0,0,12918,2,1
27421,5,10000,0,0,12918,2,0
27422,14314,0,0,0,12918,5,2
27423,42,12533,0,0,12919,2,1
27424,41,37600,0,0,12919,2,2
27425,14315,0,0,0,12919,5,3
27426,5,10000,0,0,12919,2,0
27427,5,10000,0,0,12920,2,0
27428,42,29767,0,0,12920,2,1
27429,41,89300,0,0,12920,2,2
27430,14315,0,0,0,12920,5,3
28103,5,6297,0,0,12923,2,0
28104,7,3558,0,0,12923,2,1
28105,45,3228,0,0,12923,2,2
28106,14325,0,0,0,12923,5,3
28107,5,6297,0,0,12924,2,0
28108,45,3228,0,0,12924,2,1
28109,6,3558,0,0,12924,2,2
28110,14326,0,0,0,12924,5,3
28111,42,2029,0,0,12925,2,0
28112,41,6088,0,0,12925,2,1
28113,5,3558,0,0,12925,2,2
28114,7,6297,0,0,12925,2,3
28115,14328,0,0,0,12925,5,4
28116,5,6297,0,0,12926,2,0
28117,42,2029,0,0,12926,2,1
28118,41,6088,0,0,12926,2,2
28119,6,3558,0,0,12926,2,3
28120,14328,0,0,0,12926,5,4
28121,42,2029,0,0,12927,2,0
28122,41,6088,0,0,12927,2,1
28123,6,3558,0,0,12927,2,2
28124,7,6297,0,0,12927,2,3
28125,14329,0,0,0,12927,5,4
28126,5,5248,0,0,12928,2,0
28127,7,2965,0,0,12928,2,1
28128,45,2690,0,0,12928,2,2
28129,14325,0,0,0,12928,5,3
28130,45,3228,0,0,12929,2,0
28131,6,3558,0,0,12929,2,1
28132,7,6297,0,0,12929,2,2
28133,14327,0,0,0,12929,5,3
28134,5,5248,0,0,12930,2,0
28135,45,2690,0,0,12930,2,1
28136,6,2965,0,0,12930,2,2
28137,14326,0,0,0,12930,5,3
28138,45,2690,0,0,12931,2,0
28139,6,2965,0,0,12931,2,1
28140,7,5248,0,0,12931,2,2
28141,14327,0,0,0,12931,5,3
28142,42,1691,0,0,12932,2,0
28143,41,5074,0,0,12932,2,1
28144,5,2965,0,0,12932,2,2
28145,7,5248,0,0,12932,2,3
28146,14328,0,0,0,12932,5,4
28147,5,5248,0,0,12933,2,0
28148,42,1691,0,0,12933,2,1
28149,41,5074,0,0,12933,2,2
28150,6,2965,0,0,12933,2,3
28151,14328,0,0,0,12933,5,4
28152,42,1691,0,0,12934,2,0
28153,41,5074,0,0,12934,2,1
28154,6,2965,0,0,12934,2,2
28155,7,5248,0,0,12934,2,3
28156,14329,0,0,0,12934,5,4
28157,3,2767,0,0,12935,2,0
28158,38,7117,0,0,12935,2,1
28159,7,6297,0,0,12935,2,2
28160,14330,0,0,0,12935,5,3
28161,3,3558,0,0,12936,2,0
28162,7,6297,0,0,12936,2,1
28163,4,2767,0,0,12936,2,2
28164,14331,0,0,0,12936,5,3
28165,12,1844,0,0,12937,2,0
28166,7,6297,0,0,12937,2,1
28167,4,3558,0,0,12937,2,2
28168,14332,0,0,0,12937,5,3
28169,12,2372,0,0,12938,2,0
28170,45,3228,0,0,12938,2,1
28171,7,6297,0,0,12938,2,2
28172,14333,0,0,0,12938,5,3
28173,45,3228,0,0,12939,2,0
28174,7,6297,0,0,12939,2,1
28175,4,3558,0,0,12939,2,2
28176,14334,0,0,0,12939,5,3
28177,3,2306,0,0,12940,2,0
28178,38,5931,0,0,12940,2,1
28179,7,5248,0,0,12940,2,2
28180,14330,0,0,0,12940,5,3
28181,3,2965,0,0,12941,2,0
28182,7,5248,0,0,12941,2,1
28183,4,2306,0,0,12941,2,2
28184,14331,0,0,0,12941,5,3
28185,12,1537,0,0,12942,2,0
28186,7,5248,0,0,12942,2,1
28187,4,2965,0,0,12942,2,2
28188,14332,0,0,0,12942,5,3
28189,12,1977,0,0,12943,2,0
28190,45,2690,0,0,12943,2,1
28191,7,5248,0,0,12943,2,2
28192,14333,0,0,0,12943,5,3
28193,45,2690,0,0,12944,2,0
28194,7,5248,0,0,12944,2,1
28195,4,2965,0,0,12944,2,2
28196,14334,0,0,0,12944,5,3
28199,5,4800,0,0,12945,2,0
28200,7,4800,0,0,12945,2,1
28201,14300,0,0,0,12945,5,2
28202,6,4800,0,0,12946,2,0
28203,7,4800,0,0,12946,2,1
28204,14301,0,0,0,12946,5,2
28205,5,4800,0,0,12947,2,0
28206,6,4800,0,0,12947,2,1
28207,14299,0,0,0,12947,5,2
28208,3,4800,0,0,12948,2,0
28209,7,4800,0,0,12948,2,1
28210,14455,0,0,0,12948,5,2
28211,7,4800,0,0,12949,2,0
28212,4,4800,0,0,12949,2,1
28213,14302,0,0,0,12949,5,2
28214,5,4800,0,0,12950,2,0
28215,4,4800,0,0,12950,2,1
28216,14303,0,0,0,12950,5,2
28217,3,4800,0,0,12951,2,0
28218,5,4800,0,0,12951,2,1
28219,14304,0,0,0,12951,5,2
28220,6,4800,0,0,12952,2,0
28221,4,4800,0,0,12952,2,1
28222,14305,0,0,0,12952,5,2
28223,3,4800,0,0,12953,2,0
28224,6,4800,0,0,12953,2,1
28225,14306,0,0,0,12953,5,2
28226,3,4800,0,0,12954,2,0
28227,4,4800,0,0,12954,2,1
28228,14307,0,0,0,12954,5,2
28229,5,7200,0,0,12955,2,0
28230,14309,0,0,0,12955,5,1
28231,3,7200,0,0,12956,2,0
28232,14308,0,0,0,12956,5,1
28233,6,7200,0,0,12957,2,0
28234,14310,0,0,0,12957,5,1
28235,7,7200,0,0,12958,2,0
28236,14311,0,0,0,12958,5,1
28237,4,7200,0,0,12959,2,0
28238,14312,0,0,0,12959,5,1
28239,38,14400,0,0,12960,2,0
28240,14313,0,0,0,12960,5,1
28241,45,8424,0,0,12961,2,0
28242,14314,0,0,0,12961,5,1
28243,42,5280,0,0,12962,2,0
28244,41,15840,0,0,12962,2,1
28245,14315,0,0,0,12962,5,2
28246,56,4800,0,0,12963,2,0
28248,14344,0,0,0,12963,5,2
28249,51,4800,0,0,12964,2,0
28250,7,4800,0,0,12964,2,1
28251,14321,0,0,0,12964,5,2
28252,52,4800,0,0,12965,2,0
28253,7,4800,0,0,12965,2,1
28254,14322,0,0,0,12965,5,2
28255,55,4800,0,0,12966,2,0
28256,7,4800,0,0,12966,2,1
28257,14323,0,0,0,12966,5,2
28258,54,4800,0,0,12967,2,0
28259,7,4800,0,0,12967,2,1
28260,14324,0,0,0,12967,5,2
28261,84,10296,0,0,12968,2,0
28262,14338,0,0,0,12968,5,1
28263,42,1461,0,0,12969,2,0
28264,41,4383,0,0,12969,2,1
28265,5,2562,0,0,12969,2,2
28266,7,4534,0,0,12969,2,3
28267,14328,0,0,0,12969,5,4
28268,5,4534,0,0,12970,2,0
28269,42,1461,0,0,12970,2,1
28270,41,4383,0,0,12970,2,2
28271,6,2562,0,0,12970,2,3
28272,14328,0,0,0,12970,5,4
28273,42,1461,0,0,12971,2,0
28274,41,4383,0,0,12971,2,1
28275,6,2562,0,0,12971,2,2
28276,7,4534,0,0,12971,2,3
28277,14329,0,0,0,12971,5,4
28278,3,2562,0,0,12972,2,0
28279,7,4534,0,0,12972,2,1
28280,4,1992,0,0,12972,2,2
28281,14331,0,0,0,12972,5,3
28282,45,2324,0,0,12973,2,0
28283,7,4534,0,0,12973,2,1
28284,4,2562,0,0,12973,2,2
28285,14334,0,0,0,12973,5,3
28286,12,4800,0,0,12974,2,0
28287,14316,0,0,0,12974,5,1
28288,12,1328,0,0,12975,2,0
28289,7,4534,0,0,12975,2,1
28290,4,2562,0,0,12975,2,2
28291,14332,0,0,0,12975,5,3
28292,12,1708,0,0,12976,2,0
28293,45,2324,0,0,12976,2,1
28294,7,4534,0,0,12976,2,2
28295,14333,0,0,0,12976,5,3
28296,89,10296,0,0,12977,2,0
28297,14335,0,0,0,12977,5,1
28298,85,10296,0,0,12978,2,0
28299,14336,0,0,0,12978,5,1
28300,87,10296,0,0,12979,2,0
28301,14337,0,0,0,12979,5,1
28302,88,10296,0,0,12980,2,0
28303,14340,0,0,0,12980,5,1
28304,5,4534,0,0,12981,2,0
28305,7,2562,0,0,12981,2,1
28306,45,2324,0,0,12981,2,2
28307,14325,0,0,0,12981,5,3
28308,5,4534,0,0,12982,2,0
28309,45,2324,0,0,12982,2,1
28310,6,2562,0,0,12982,2,2
28311,14326,0,0,0,12982,5,3
28312,45,2324,0,0,12983,2,0
28313,6,2562,0,0,12983,2,1
28314,7,4534,0,0,12983,2,2
28315,14327,0,0,0,12983,5,3
28316,86,10296,0,0,12984,2,0
28317,14339,0,0,0,12984,5,1
28318,3,1992,0,0,12985,2,0
28319,38,5124,0,0,12985,2,1
28320,7,4534,0,0,12985,2,2
28321,14330,0,0,0,12985,5,3
28322,52,4400,0,0,12986,2,0
28323,14346,0,0,0,12986,5,1
28324,55,4400,0,0,12987,2,0
28325,14347,0,0,0,12987,5,1
28326,54,4400,0,0,12988,2,0
28327,14348,0,0,0,12988,5,1
28328,51,4400,0,0,12989,2,0
28329,14345,0,0,0,12989,5,1
28332,56,6666,0,0,12992,2,0
28333,14344,0,0,0,12992,5,1
28334,52,6666,0,0,12993,2,0
28335,14346,0,0,0,12993,5,1
28336,55,6666,0,0,12994,2,0
28337,14347,0,0,0,12994,5,1
28338,54,6666,0,0,12995,2,0
28339,14348,0,0,0,12995,5,1
28340,51,6666,0,0,12996,2,0
28341,14345,0,0,0,12996,5,1
28342,56,3800,0,0,12997,2,0
28343,14344,0,0,0,12997,5,1
28344,52,3800,0,0,12998,2,0
28345,14346,0,0,0,12998,5,1
28346,55,3800,0,0,12999,2,0
28347,14347,0,0,0,12999,5,1
28348,54,3800,0,0,13000,2,0
28349,14348,0,0,0,13000,5,1
28350,51,3800,0,0,13001,2,0
28351,14345,0,0,0,13001,5,1
28352,56,7500,0,0,13002,2,0
28353,14344,0,0,0,13002,5,1
28354,52,7500,0,0,13003,2,0
28355,14346,0,0,0,13003,5,1
28356,55,7500,0,0,13004,2,0
28357,14347,0,0,0,13004,5,1
28358,54,7500,0,0,13005,2,0
28359,14348,0,0,0,13005,5,1
28360,51,7500,0,0,13006,2,0
28361,14345,0,0,0,13006,5,1
28362,56,8500,0,0,13007,2,0
28363,14344,0,0,0,13007,5,1
28364,52,8500,0,0,13008,2,0
28365,14346,0,0,0,13008,5,1
28366,54,8500,0,0,13009,2,0
28367,14348,0,0,0,13009,5,1
28368,55,8500,0,0,13010,2,0
28369,14347,0,0,0,13010,5,1
28370,51,8500,0,0,13011,2,0
28371,14345,0,0,0,13011,5,1
28372,5,5666,0,0,13012,2,0
28373,7,5666,0,0,13012,2,1
28374,14300,0,0,0,13012,5,2
28375,6,5666,0,0,13013,2,0
28376,7,5666,0,0,13013,2,1
28377,14301,0,0,0,13013,5,2
28378,3,5666,0,0,13014,2,0
28379,7,5666,0,0,13014,2,1
28380,14455,0,0,0,13014,5,2
28381,7,5666,0,0,13015,2,0
28382,4,5666,0,0,13015,2,1
28383,14302,0,0,0,13015,5,2
28384,6,5666,0,0,13016,2,0
28385,4,5666,0,0,13016,2,1
28386,14305,0,0,0,13016,5,2
28387,3,5666,0,0,13017,2,0
28388,6,5666,0,0,13017,2,1
28389,14306,0,0,0,13017,5,2
28390,3,5666,0,0,13018,2,0
28391,4,5666,0,0,13018,2,1
28392,14307,0,0,0,13018,5,2
28393,3,8500,0,0,13019,2,0
28394,14308,0,0,0,13019,5,1
28395,7,8500,0,0,13020,2,0
28396,14311,0,0,0,13020,5,1
28397,4,8500,0,0,13021,2,0
28398,14312,0,0,0,13021,5,1
28399,38,17000,0,0,13022,2,0
28400,14313,0,0,0,13022,5,1
28401,3,3024,0,0,13023,2,0
28402,7,5352,0,0,13023,2,1
28403,4,2352,0,0,13023,2,2
28404,14331,0,0,0,13023,5,3
28405,3,2352,0,0,13024,2,0
28406,38,6049,0,0,13024,2,1
28407,7,5352,0,0,13024,2,2
28408,14330,0,0,0,13024,5,3
28409,84,12155,0,0,13025,2,0
28410,14338,0,0,0,13025,5,1
28411,12,1568,0,0,13026,2,0
28412,7,5352,0,0,13026,2,1
28413,4,3024,0,0,13026,2,2
28414,14332,0,0,0,13026,5,3
28415,12,2016,0,0,13027,2,0
28416,45,2744,0,0,13027,2,1
28417,7,5352,0,0,13027,2,2
28418,14333,0,0,0,13027,5,3
28419,5,5000,0,0,13028,2,0
28420,7,5000,0,0,13028,2,1
28421,14300,0,0,0,13028,5,2
28422,6,5000,0,0,13029,2,0
28423,7,5000,0,0,13029,2,1
28424,14301,0,0,0,13029,5,2
28425,3,5000,0,0,13030,2,0
28426,7,5000,0,0,13030,2,1
28427,14455,0,0,0,13030,5,2
28428,7,5000,0,0,13031,2,0
28429,4,5000,0,0,13031,2,1
28430,14302,0,0,0,13031,5,2
28431,6,5000,0,0,13032,2,0
28432,4,5000,0,0,13032,2,1
28433,14305,0,0,0,13032,5,2
28434,3,5000,0,0,13033,2,0
28435,6,5000,0,0,13033,2,1
28436,14306,0,0,0,13033,5,2
28437,3,5000,0,0,13034,2,0
28438,4,5000,0,0,13034,2,1
28439,14307,0,0,0,13034,5,2
28440,3,7500,0,0,13035,2,0
28441,14308,0,0,0,13035,5,1
28442,7,7500,0,0,13036,2,0
28443,14311,0,0,0,13036,5,1
28444,4,7500,0,0,13037,2,0
28445,14312,0,0,0,13037,5,1
28446,38,15000,0,0,13038,2,0
28447,14313,0,0,0,13038,5,1
28448,3,2669,0,0,13039,2,0
28449,7,4723,0,0,13039,2,1
28450,4,2075,0,0,13039,2,2
28451,14331,0,0,0,13039,5,3
28452,3,2075,0,0,13040,2,0
28453,38,5338,0,0,13040,2,1
28454,7,4723,0,0,13040,2,2
28455,14330,0,0,0,13040,5,3
28456,84,10725,0,0,13041,2,0
28457,14338,0,0,0,13041,5,1
28458,12,1383,0,0,13042,2,0
28459,7,3944,0,0,13042,2,1
28460,4,2669,0,0,13042,2,2
28461,14332,0,0,0,13042,5,3
28462,12,1779,0,0,13043,2,0
28463,45,2421,0,0,13043,2,1
28464,7,4723,0,0,13043,2,2
28465,14333,0,0,0,13043,5,3
28466,5,5000,0,0,13044,2,0
28467,6,5000,0,0,13044,2,1
28468,14299,0,0,0,13044,5,2
28469,5,7500,0,0,13045,2,0
28470,14309,0,0,0,13045,5,1
28471,6,7500,0,0,13046,2,0
28472,14310,0,0,0,13046,5,1
28473,42,1522,0,0,13047,2,0
28474,41,4566,0,0,13047,2,1
28475,5,2669,0,0,13047,2,2
28476,7,4723,0,0,13047,2,3
28477,14328,0,0,0,13047,5,4
28478,5,4723,0,0,13048,2,0
28479,42,1522,0,0,13048,2,1
28480,41,4566,0,0,13048,2,2
28481,6,2669,0,0,13048,2,3
28482,14328,0,0,0,13048,5,4
28483,42,1522,0,0,13049,2,0
28484,41,4569,0,0,13049,2,1
28485,6,2669,0,0,13049,2,2
28486,7,4723,0,0,13049,2,3
28487,14329,0,0,0,13049,5,4
28488,5,4723,0,0,13050,2,0
28489,7,2669,0,0,13050,2,1
28490,45,2421,0,0,13050,2,2
28491,14325,0,0,0,13050,5,3
28492,5,4723,0,0,13051,2,0
28493,45,2421,0,0,13051,2,1
28494,6,2669,0,0,13051,2,2
28495,14326,0,0,0,13051,5,3
28496,45,2421,0,0,13052,2,0
28497,6,2669,0,0,13052,2,1
28498,7,4723,0,0,13052,2,2
28499,14327,0,0,0,13052,5,3
28500,45,8775,0,0,13053,2,0
28501,14314,0,0,0,13053,5,1
28502,42,5500,0,0,13054,2,0
28503,41,16500,0,0,13054,2,1
28504,14315,0,0,0,13054,5,2
28505,45,9945,0,0,13055,2,0
28506,14314,0,0,0,13055,5,1
28507,42,6233,0,0,13056,2,0
28508,41,18700,0,0,13056,2,1
28509,14315,0,0,0,13056,5,2
28510,89,12155,0,0,13057,2,0
28511,14335,0,0,0,13057,5,1
28512,85,12155,0,0,13058,2,0
28513,14336,0,0,0,13058,5,1
28514,87,12155,0,0,13059,2,0
28515,14337,0,0,0,13059,5,1
28516,84,12155,0,0,13060,2,0
28517,14338,0,0,0,13060,5,1
28518,86,12155,0,0,13061,2,0
28519,14339,0,0,0,13061,5,1
28520,88,12155,0,0,13062,2,0
28521,14340,0,0,0,13062,5,1
28522,46,6800,0,0,13063,2,0
28523,14317,0,0,0,13063,5,1
28524,43,3400,0,0,13064,2,0
28525,14318,0,0,0,13064,5,1
28526,5,4444,0,0,13065,2,0
28527,7,4444,0,0,13065,2,1
28528,14300,0,0,0,13065,5,2
28529,6,4444,0,0,13066,2,0
28530,7,4444,0,0,13066,2,1
28531,14301,0,0,0,13066,5,2
28532,5,4444,0,0,13067,2,0
28533,6,4444,0,0,13067,2,1
28534,14299,0,0,0,13067,5,2
28535,5,5000,0,0,13068,2,0
28536,14309,0,0,0,13068,5,1
28537,6,5000,0,0,13069,2,0
28538,14310,0,0,0,13069,5,1
28539,42,1339,0,0,13070,2,0
28540,41,4018,0,0,13070,2,1
28541,5,2348,0,0,13070,2,2
28542,7,4156,0,0,13070,2,3
28543,14328,0,0,0,13070,5,4
28544,5,4156,0,0,13071,2,0
28545,42,1339,0,0,13071,2,1
28546,41,4018,0,0,13071,2,2
28547,6,2348,0,0,13071,2,3
28548,14328,0,0,0,13071,5,4
28549,42,1339,0,0,13072,2,0
28550,41,4018,0,0,13072,2,1
28551,6,2348,0,0,13072,2,2
28552,7,4156,0,0,13072,2,3
28553,14329,0,0,0,13072,5,4
28554,5,4156,0,0,13073,2,0
28555,7,2348,0,0,13073,2,1
28556,45,2130,0,0,13073,2,2
28557,14325,0,0,0,13073,5,3
28558,5,4156,0,0,13074,2,0
28559,45,2130,0,0,13074,2,1
28560,6,2348,0,0,13074,2,2
28561,14326,0,0,0,13074,5,3
28562,45,2130,0,0,13075,2,0
28563,6,2348,0,0,13075,2,1
28564,7,4156,0,0,13075,2,2
28565,14327,0,0,0,13075,5,3
28566,45,7722,0,0,13076,2,0
28567,14314,0,0,0,13076,5,1
28568,42,4840,0,0,13077,2,0
28569,41,14520,0,0,13077,2,1
28570,14315,0,0,0,13077,5,2
28571,89,9438,0,0,13078,2,0
28572,14335,0,0,0,13078,5,1
28573,85,9438,0,0,13079,2,0
28574,14336,0,0,0,13079,5,1
28575,87,9438,0,0,13080,2,0
28576,14337,0,0,0,13080,5,1
28577,84,9438,0,0,13081,2,0
28578,14338,0,0,0,13081,5,1
28579,86,9438,0,0,13082,2,0
28580,14339,0,0,0,13082,5,1
28581,88,9438,0,0,13083,2,0
28582,14340,0,0,0,13083,5,1
28583,89,10725,0,0,13084,2,0
28584,14335,0,0,0,13084,5,1
28585,85,10725,0,0,13085,2,0
28586,14336,0,0,0,13085,5,1
28587,87,10725,0,0,13086,2,0
28588,14337,0,0,0,13086,5,1
28589,86,10725,0,0,13087,2,0
28590,14339,0,0,0,13087,5,1
28591,88,10725,0,0,13088,2,0
28592,14340,0,0,0,13088,5,1
28593,5,5666,0,0,13089,2,0
28594,6,5666,0,0,13089,2,1
28595,14299,0,0,0,13089,5,2
28596,6,8500,0,0,13090,2,0
28597,14310,0,0,0,13090,5,1
28598,5,8500,0,0,13091,2,0
28599,14309,0,0,0,13091,5,1
28600,5,5352,0,0,13092,2,0
28601,7,3024,0,0,13092,2,1
28602,45,2744,0,0,13092,2,2
28603,14325,0,0,0,13092,5,3
28604,5,5352,0,0,13093,2,0
28605,45,2744,0,0,13093,2,1
28606,6,3024,0,0,13093,2,2
28607,14326,0,0,0,13093,5,3
28608,45,2744,0,0,13094,2,0
28609,6,3024,0,0,13094,2,1
28610,7,5352,0,0,13094,2,2
28611,14327,0,0,0,13094,5,3
28612,5,5352,0,0,13095,2,0
28613,42,1725,0,0,13095,2,1
28614,41,5175,0,0,13095,2,2
28615,6,3024,0,0,13095,2,3
28616,14328,0,0,0,13095,5,4
28617,42,1725,0,0,13096,2,0
28618,41,5175,0,0,13096,2,1
28619,5,3024,0,0,13096,2,2
28620,7,5352,0,0,13096,2,3
28621,14328,0,0,0,13096,5,4
28622,42,1725,0,0,13097,2,0
28623,41,5175,0,0,13097,2,1
28624,6,3024,0,0,13097,2,2
28625,7,5352,0,0,13097,2,3
28626,14329,0,0,0,13097,5,4
28627,56,4400,0,0,13098,2,0
28628,14344,0,0,0,13098,5,1
28629,7,4800,0,0,12963,2,1
28630,5,5666,0,0,13099,2,0
