ID,CampaignID,QuestLineID,OrderIndex
633,156,994,26
634,156,995,27
635,156,996,28
636,156,998,29
637,156,1005,30
638,156,1038,31
639,156,1257,32
641,157,1259,0
642,159,1261,0
643,158,1265,0
644,158,1266,1
645,158,1250,2
646,158,1262,3
647,158,1258,4
648,158,1264,5
649,158,1260,6
650,160,1267,0
651,131,1269,5
652,131,1268,6
653,159,1270,1
654,159,1272,2
655,159,1271,3
656,159,1274,4
657,159,1275,5
658,159,1276,6
661,161,1287,0
662,162,1210,0
663,162,1238,1
664,162,1135,2
665,162,1138,3
666,162,1219,4
667,162,1225,5
668,162,1234,6
669,162,1222,7
670,163,1210,0
671,163,1238,1
672,163,1135,2
673,163,1138,3
674,163,1219,4
675,163,1225,5
676,163,1234,6
677,163,1222,7
678,163,1287,8
679,164,1210,0
680,164,1238,1
681,164,1135,2
682,164,1138,3
683,164,1219,4
684,164,1225,5
685,164,1234,6
686,164,1222,7
687,164,1287,8
688,164,1262,9
689,164,1258,10
690,165,1289,0
691,166,1303,0
692,166,1304,1
693,166,1305,2
694,166,1306,3
696,167,1210,0
697,167,1238,1
698,167,1135,2
699,167,1138,3
700,167,1219,4
701,167,1225,5
702,167,1234,6
703,167,1222,7
704,167,1287,8
705,167,1262,9
706,168,1210,0
707,168,1238,1
708,168,1135,2
709,168,1138,3
710,168,1219,4
711,168,1225,5
712,168,1234,6
713,168,1222,7
714,168,1287,8
715,168,1262,9
716,168,1258,10
717,168,1264,11
718,169,1299,0
722,173,1261,0
723,173,1270,1
724,173,1272,2
725,173,1271,3
726,173,1274,4
727,173,1275,5
728,173,1311,6
729,174,1314,0
730,174,1317,1
731,174,1316,2
732,174,1315,3
747,189,1310,0
748,189,1324,1
749,189,1323,2
751,169,1300,1
752,169,1301,2
753,169,1302,3
756,191,1364,0
757,192,1325,0
766,197,1331,0
767,197,1374,1
768,198,1375,0
770,200,1376,0
777,194,1362,0
789,118,1057,0
790,118,1058,1
791,118,1059,2
792,118,1060,3
793,118,1061,4
794,118,1062,5
795,118,1063,6
796,124,1002,0
797,124,1126,3
804,203,1413,0
810,206,5354,0
811,207,5355,0
812,208,1413,0
814,203,1393,2
815,203,1394,3
816,203,1395,4
817,203,1396,5
819,203,1397,6
820,209,1398,0
821,209,1399,1
822,209,1400,2
823,209,1401,3
824,209,1402,4
825,209,1403,5
826,209,1404,6
827,203,1392,1
828,210,5359,0
834,212,5366,0
844,212,5367,1
845,213,5369,0
846,213,5370,1
873,215,5372,0
874,215,5373,1
875,215,5371,2
897,1,624,3
898,2,623,4
906,216,628,2
907,216,632,3
908,216,633,4
909,216,638,5
910,216,737,6
911,216,843,7
912,216,810,8
913,216,849,9
914,216,845,10
915,216,847,11
916,216,921,12
917,216,922,13
920,216,972,14
921,216,5382,15
923,216,5378,0
994,217,5375,0
995,218,5376,0
996,219,5377,0
997,216,5379,1
999,222,5384,0
1000,223,5385,0
1001,224,5386,0
1002,225,5388,0
1003,225,5379,1
1009,225,838,7
1010,225,839,8
1011,225,848,9
1012,225,841,10
1013,225,842,11
1014,225,873,13
1015,225,881,14
1016,225,973,15
1017,225,5387,16
1018,225,625,2
1019,225,626,3
1020,225,627,4
1021,225,736,5
1022,225,629,6
1023,226,5389,0
1024,226,5390,1
1025,226,5391,2
1026,192,1377,1
1028,227,5394,0
1030,225,802,12
1032,228,5397,0
1033,229,1389,0
1034,229,1325,1
1035,192,5455,2
1036,212,5458,2
1037,213,5459,2
1038,230,5467,0
1046,231,5381,0
1053,231,5456,1
1054,231,5471,2
1055,231,5472,3
1056,231,5460,4
1057,231,5465,5
1058,231,5473,6
1059,233,1377,0
1060,234,5455,0
1061,234,5498,1
1062,192,5476,3
1063,241,5476,0
1064,239,5520,0
1065,239,5521,1
1066,239,5506,2
1067,242,5519,0
1068,237,5533,0
1069,237,5534,1
1070,237,5535,2
1071,238,5529,0
1072,238,5530,1
1073,238,5526,2
1074,240,5531,3
1075,236,5525,1
1076,236,5539,0
1077,236,5540,2
1078,240,5523,1
1079,240,5551,0
1081,235,5513,0
1082,240,5544,2
1083,247,5494,0
1084,247,5489,1
1089,246,5499,0
1090,247,5495,2
1091,247,5496,3
1092,247,5492,4
1093,247,5493,5
1094,248,5488,0
1095,248,5489,1
1096,248,5490,2
1097,248,5491,3
1098,248,5492,4
1099,248,5493,5
1100,249,5497,0
1101,250,5501,0
1102,251,5500,0
1103,252,5502,0
1104,253,5503,0
1105,254,5557,0
1106,240,5550,4
1107,256,1289,0
1108,256,5568,1
1109,256,5569,2
1110,256,5566,3
1111,256,5570,4
1112,201,1367,0
1113,257,1398,0
1114,257,1399,1
1115,257,1400,2
1116,257,1401,3
1117,257,1402,4
1118,257,1403,5
1119,257,1404,6
1124,258,1308,0
1125,258,1309,1
1127,247,5499,6
1128,247,5500,7
1129,247,5502,8
1130,247,5557,9
1131,248,5497,6
1132,248,5501,7
1133,248,5502,8
1134,248,5503,9
1135,260,5630,0
1139,261,5638,0
1140,262,5639,0
1141,263,5640,0
1143,265,5664,0
1145,265,5666,1
1147,264,5617,0
1148,264,5661,1
1149,264,5614,2
1150,264,5615,3
1152,264,5668,4
1187,276,5732,0
1217,264,5694,5
1575,313,572,0
1576,314,571,0
