ID,Type,Value[0],Value[1],Value[2],Value[3]
356972,0,8227,0,1,0
356973,13,11205631,1E+09,1E+09,0
356974,11,0,0,0,0
356975,1,13321214,0.3,0.3,0
356976,1,12623576,1,1,0
356977,1,52747,0.8,0.1,0.8
356978,8,16715027,0,1000,0
356979,1,8847498,0.1,0.5,0
356980,13,0,1E+11,0,0
356981,0,8,0,1,0
356982,0,13,1,1,0
356983,1,16711680,2,2,0
356984,11,0,0,0,0
356985,12,3,3,0,0
356986,1,16744448,10000000,10000000,0
356987,1,5789784,0,0,60
356988,11,0,0,0,0
356989,12,17,1,0,0
356990,1,11448063,0.5,1,0
356991,1,3494,0.5,1,0
356992,1,7995566,0,0,45
356993,12,18,1,0,0
356994,1,7274496,4,1,0
356996,13,7274496,3,0,0
356997,1,4587588,0,1,0
356998,14,0.3,2,1000,0
356999,11,0,0,0,0
357000,1,1381887,0.1,0.1,60
357001,11,0,0,0,0
357002,1,7303023,99999,0.1,10
357003,1,15066597,0.1,0,10
357004,1,13421772,0.1,0,10
357005,1,11711154,0.1,0,10
357006,1,10066329,0.1,0,10
357007,1,8355711,0.1,0,10
357008,1,6710886,0.1,0,10
357009,1,5000268,0.1,0,10
357010,1,3355443,0.1,0,10
357011,1,1644825,0.1,0,10
357012,1,0,0.1,0,10
357013,12,10,1,0,0
357014,12,1,1,0,0
357015,0,10,1,1,0
357016,12,1,1,0,0
357017,0,7,1,1,0
357018,1,6484992,0.5,1,0
357019,12,20,1,0,0
357020,0,4,1,1,0
357021,1,15160897,0,0,0
357022,1,3132928,0.5,1,0
357023,0,8,1,1,0
357024,1,14905816,5,1,0
357025,12,12,1,0,0
357026,1,4623359,0.1,0.1,60
357027,11,0,0,0,0
357028,9,1181,0,0,0
357029,0,12,1,1,0
357030,1,2555970,0.2,2,0
357031,14,0.65,0,2,0
357032,0,10,1,1,0
357033,0,8,1,1,0
361874,0,0,5,1,0
361875,12,4,1,1,0
361886,0,7067,1,1,0
361916,8,16711680,8,400,128
362101,9,1182,0,0,0
362138,8,12408262,15,400,96
362179,8,14355216,20,1000,100
363103,9,1108,5,0,0
363104,9,1110,0.7,0,0
363105,9,1108,5,0,0
363106,9,1108,15,0,0
363107,9,1114,3,0,0
363108,9,1109,5,0,0
363109,9,1113,5,0,0
363110,9,1112,5,0,0
363154,21,1,1,1,0
363172,14,0.5,0,0,0
363175,12,4,1,0,0
363246,12,1,1,0,0
363247,13,7105791,0,0,0
363280,1,8801966,0,2,0
363281,14,0.85,0,2,0
363288,12,1,1,0,0
363291,1,8801966,0,2,0
363292,14,0.85,0,2,0
363295,12,1,1,0,0
363297,0,4,1,1,0
363299,11,0,0,0,0
363301,13,7105791,0,0,0
363302,12,1,1,0,0
363303,13,7105791,0,0,0
363304,8,16263465,20,600,100
363332,0,7385,0,1,0
363351,1,2555970,0,2,0
363352,14,0.65,0,2,0
363353,12,12,1,0,0
363358,14,0.25,0,0,0
363377,1,2555970,0,2,0
363378,14,0.65,0,2,0
364278,13,15479296,0,6,0
364283,0,566,0,1,0
364476,14,0,0,0.25,0
364619,9,1200,0,0,0
364620,1,3736154,0,2,0
364644,0,610,0,0,0
364716,8,15971420,20,450,60
364777,0,739,1,1,0
366265,0,7644,-2.1474836E+09,1,0
366302,9,1110,0.7,0,0
366307,1,2555970,0,2,0
366308,14,0.65,0,2,0
366309,1,7983615,0,0,1
366311,1,7983615,0,0,1
366360,2,1,0,0,0
366497,8,16263465,20,600,100
366563,8,16193303,20,10000,100
366584,0,7679,1,1,0
366585,17,0,20561,0,0
366588,0,7678,1,1,0
366618,17,0,2092,0,0
366620,17,0,3865,0,0
366630,0,4,1,1,0
366645,1,7983615,0,0,1
366790,1,12414789,0,0,0
366791,14,0.5,0,0,0
366933,1,6942207,0,2,0
366934,14,0.5,0,2,0
366935,2,1,0,0,0
366937,13,748816,10,0,0
366982,1,2555970,0,2,0
366983,14,0.65,0,2,0
367062,12,7782,1,0,0
367112,1,2555970,0,2,0
367113,14,1,0,2,-2.1474836E+09
367144,12,1,1,0,0
367179,17,0,20566,0,0
367180,17,0,57,-2.1474836E+09,0
367182,12,1,1,0,0
367210,9,1110,0.7,0,0
367218,0,10,0,1,0
367236,1,65280,2,2,0
367244,1,2555970,0,2,0
367245,14,0.65,0,2,0
367247,1,2555970,0,2,0
367248,14,0.65,0,2,0
367967,8,15347503,0,1000,0
368346,0,8,1,1,0
368350,14,0.75,0,0,0
368412,1,13791601,0,1,0
368415,1,15160897,0,0,0.2
368450,12,13,1,0,0
368457,8,12717019,20,2000,200
368458,8,7992319,20,500,80
368465,1,13249538,0,1,0
368466,1,13249538,0,1,0
368469,12,1,1,0,0
368470,1,176842,0,1,0
368471,1,11447982,0,0,0
368484,1,1833502,0,1,0
368489,1,2555970,0,0,0
368490,14,0.45,0,0,0
368497,1,14234419,0,0,0
368498,8,16193303,20,30000,100
368499,8,16717056,20,20000,100
368666,0,7854,1,1,0
368673,1,7685702,0,0,0
368674,1,7685702,0,0,0
368696,1,16754085,0,0,0
368697,8,0,10,500,100
368699,8,0,10,500,100
368700,8,0,10,500,100
368703,1,10873855,0,0,0
368704,1,10878893,0,0,0
368756,1,8060794,0,1,0
368758,1,9222653,0,0,0
368759,14,0.5,0,0,0
368774,1,4254207,0,2,0
368775,14,0.65,0,2,0
368776,14,0.5,0,3,0
368777,13,7105791,0,0,0
368778,13,7105791,0,0,0
368790,1,16774976,0,2,0
368791,14,0.65,0,2,0
368869,0,7969,1,1,0
368881,1,16725044,3,0,0
368886,1,1807885,0,0,0
368890,13,15479296,0,6,0
368900,14,0.25,0,0,0
368924,1,1807885,0,0,0
368949,1,65280,2,2,0
368950,1,65280,2,2,0
368969,8,4005996,20,10000,100
368970,8,4709888,20,30000,100
368981,14,0.7,2,0,0
368982,14,0.7,2,0,0
368983,14,0.7,2,0,0
368984,1,12316342,0,2,0
368985,14,0.75,0,2,0
368991,14,0.2,0,0,0
368998,17,0,223183,0,0
369003,17,0,223181,0,0
369004,17,0,223180,0,0
369005,17,0,223177,0,0
369006,17,0,223182,0,0
369007,17,0,223178,0,0
369008,17,0,223174,0,0
369009,17,0,223173,0,0
369010,17,0,223175,0,0
369012,17,0,223183,0,0
369013,17,0,223181,0,0
369014,17,0,223180,0,0
369015,17,0,223177,0,0
369016,17,0,223175,0,0
369017,17,0,223182,0,0
369018,17,0,223178,0,0
369019,17,0,223174,0,0
369020,17,-2.1474836E+09,223173,0,0
369021,1,2555970,0,2,0
369022,14,0.65,0,2,0
369033,17,0,223323,0,0
369034,17,-2.1474836E+09,223323,0,0
369035,12,0,0,0,0
369076,1,0,0,0,0
369110,14,0.3,2,1000,0
369196,14,0.9,0.1,5,0
369197,1,13095380,0,0,0
369374,8,16717056,0,20000,50
369387,14,0.5,0,3,0
369416,8,16263465,20,600,100
369444,1,7685702,0,0,0
369446,8,16193303,20,100,100
369458,0,5,0,1,0
369480,0,7854,1,1,0
369481,0,7854,1,1,0
369490,14,0.7,2,0,0
369503,8,4709888,20,10000,100
369508,8,4709888,20,1000,100
369512,0,8019,0,1,0
369532,13,4668194,100000000,100000000,0
369539,1,2056227,0,0,0
369540,8,4709888,20,10000,100
369541,1,7685702,0,0,0
369542,8,4709888,20,10000,100
369543,1,2056227,0,0,0
369559,9,1114,3,0,0
369569,8,16711680,8,400,128
369633,9,1108,5,0,0
369658,12,0,1,0,0
369659,13,6383359,0,0,0
369660,13,9006335,0,0,0
369663,12,1,1,0,0
369664,1,7196414,2,0,4
369680,0,0,0,0,0
369681,0,0,0,0,0
369682,0,0,0,0,0
369683,0,0,0,0,0
369686,0,4,0,1,0
369698,1,1607679,0,2,0
369699,14,0.85,0,2,0
369703,17,0,230007,0,0
369704,17,0,1785,0,0
369705,17,0,230004,0,0
369706,17,0,230005,0,0
369707,17,0,223175,0,0
369708,17,0,10035,0,0
369709,17,0,223178,0,0
369710,17,0,226477,0,0
369711,17,0,19392,0,0
369712,17,-2.1474836E+09,223323,0,0
369714,17,0,223183,0,0
369715,17,0,230013,-2.1474836E+09,0
369716,17,0,230014,0,0
369717,17,0,230009,0,0
369718,17,0,223175,0,0
369719,17,0,10035,0,0
369720,17,0,223178,0,0
369721,17,0,230015,0,0
369722,17,0,6611,0,0
369723,17,-2.1474836E+09,223323,0,0
369802,17,0,230023,0,0
369803,17,0,230024,-2.1474836E+09,0
369804,17,0,230025,0,0
369805,17,0,230009,0,0
369806,17,0,223175,0,0
369807,17,0,10035,0,0
369808,17,0,223178,0,0
369809,17,0,13099,0,0
369810,17,0,20166,0,0
369811,17,-2.1474836E+09,223323,0,0
369912,17,0,5976,0,0
370022,1,11520729,2,0,1
370023,0,8203,0,1,0
370027,17,0,230096,2,0
370028,17,0,230095,0,0
370029,17,0,230098,0,0
370030,17,0,223175,0,0
370031,17,0,10035,0,0
370032,17,0,223178,0,0
370033,17,0,230097,0,0
370034,17,0,6570,0,0
370035,17,-2.1474836E+09,223323,0,0
370036,17,0,230762,0,0
370037,17,-2.1474836E+09,230099,0,0
370038,17,0,230028,0,0
370039,17,0,230100,0,0
370040,17,0,230102,-2.1474836E+09,0
370041,17,0,230103,0,0
370042,17,0,230105,0,0
370043,17,0,223175,0,0
370044,17,-2.1474836E+09,10035,0,0
370045,17,0,223178,0,0
370046,17,0,230101,0,0
370047,17,0,22743,0,0
370048,17,-2.1474836E+09,223323,0,0
370049,17,0,230764,0,0
370056,1,0,0,0,60
370068,9,1110,0,0,0
370069,17,0,223183,0,0
370070,17,0,230754,-2.1474836E+09,0
370071,17,0,230753,0,0
370072,17,0,230749,0,0
370073,17,0,223175,0,-2.1474836E+09
370074,17,0,10035,0,0
370075,17,0,223178,-2.1474836E+09,0
370076,17,0,230752,0,0
370077,17,0,230751,0,0
370078,17,-2.1474836E+09,223323,0,0
370079,17,0,230750,0,0
370080,17,0,230760,0,0
370083,1,6472944,3,1,10
370088,13,15479296,0,6,0
370089,12,2,1,0,0
370090,12,8,1,0,0
370115,14,0.25,0,0,0
370127,9,1110,0.7,0,0
370131,0,11,-2.1474836E+09,1,0
370142,1,10310423,2,0,3
370145,1,9845517,3,0,0
370146,1,15832127,3,0,5
370186,1,5658367,0,0,60
370192,1,15160897,0,0,0.2
370193,1,15160897,0,0,0.2
370195,8,7673493,500,3000,0
370201,6,2952240,4,0,0
370203,1,3028412,0,0,0
370208,8,7868299,20,600,100
370216,1,3028412,0,0,0
370217,1,9074175,0,0,60
370218,11,0,0,0,0
370219,0,8,0,1,0
370220,13,7105791,0,0,0
370221,12,1,1,0,0
370222,13,7105791,0,0,0
370239,9,1110,0.7,0,0
370598,1,15066431,2,0,10
371949,0,8278,0,1,0
371980,8,16728385,20,10000,100
372026,14,0.75,0,0,0
372030,14,0.25,0,0,0
372045,1,891416,1,0,5
372048,1,1743632,2,0,3
372240,5,6753693,0,0,0
372342,1,7685702,0,0,0
372377,14,0.7,0,0,0
372378,1,60927,0,0,0
372379,14,0.3,2,1000,0
372381,1,0,0,0,0
372383,1,7685702,0,0,0
372386,1,6952585,0,0,0
372387,1,4229398,0,0,0
372388,1,1459593,0,0,0
372548,1,11281453,0,1,0
372549,1,12537100,1,1,0
372552,1,16765298,0,0,0
372554,14,0.75,0,0,0
372557,1,9222653,0,0,0
372558,14,0.5,0,0,0
372559,1,12292102,0,0,0
372560,11,0,0,0,0
372561,9,1110,0,0,0
372562,1,16765298,0,0,0
372563,14,0.5,0,0,0
372565,1,3688073,0,0,0
372568,1,3688073,0,0,0
372569,0,1,1,0,0
372573,9,1200,0,0,0
372588,1,16732501,0,0,1
372589,13,5906196,0,0,0
372592,1,11281453,0,1,0
372593,1,5747967,0,0,0
372614,1,3831557,1,0,0
372615,1,3173063,1,0,0
372616,9,1108,15,0,0
372658,1,14191154,0,0,0
372661,1,8421504,0,30,0
372662,14,0.9,10,0,0
372724,14,0.5,0,1,0
372727,6,0,5,0,0
372765,14,0,0,100,0
372805,1,5189680,0,0,0
372815,10,13619151,0,0,0
372832,8,16717056,0,20000,50
372836,13,2735917,1,1,0
372837,13,12546089,2,1,0
372848,17,0,241082,0,0
372856,17,0,240993,0,0
372863,1,16774018,0,0,0
372864,14,0.6,0,0,0
372865,1,16765440,0,0,0
372866,14,0.5,0,0,0
372867,1,13324046,0,0,0
372868,13,8522170,3,0,0
372886,13,14830361,1,0,0
372887,13,16054028,1,0,0
372888,13,16755008,1,0,0
372889,13,10745961,1,0,0
372890,1,5066061,0,5,0
372891,1,16675072,0,0,0
372896,6,1577233,0,0,0
372897,1,5506972,1,0,0
372898,14,0.3,2,1000,0
372899,8,16508179,20,10000,100
372901,1,15393627,1,0,15
372904,8,15608624,10000,3000,255
372906,1,298672,0,0,0
372907,17,0,241212,0,0
372922,17,0,7726,-2.1474836E+09,0
372923,14,0.9,0.1,5,0
372926,0,2,0,0,0
372927,12,2,1,0,0
372928,1,16749837,0,0,1
372929,8,10981389,0,500,0
372944,8,16263465,20,600,100
372946,13,15479296,0,6,0
372949,8,16343617,20,10000,100
372954,8,16193303,20,10000,100
372960,7,1,1,0,0
372961,14,0.3,2,1000,0
372965,12,2,1,0,0
372967,1,9568770,1,0,0
372969,1,2039583,0,0,0
372970,1,2039583,0,0,0
372979,12,2,1,0,0
372983,13,9372315,0,0,0
372984,1,3441674,1,0,0
372986,1,13424442,1,0,0
372988,1,15160897,0,0,0.2
372998,8,16711680,8,400,128
373005,1,15160897,0,0,0.2
373006,1,7983615,0,0,1
373014,1,6942207,0,2,0
373015,14,0.5,0,2,0
373017,11,0,0,0,0
373019,14,0.5,0,0,0
373020,1,15699339,0,0,0
373021,1,14623264,0,0,0
373022,8,16711680,8,400,128
373023,8,16711680,8,400,128
373024,8,16711680,8,400,128
373025,8,16711680,8,400,128
373026,8,16711680,8,400,128
373028,1,2039583,0,0,0
373029,1,2039583,0,0,0
373030,1,2039583,0,0,0
373031,1,2039583,0,0,0
373032,1,2039583,0,0,0
373033,1,8801966,0,2,0
373034,14,0.85,0,2,0
373035,13,5906196,0,0,0
373036,1,2039583,0,0,0
373037,1,2039583,0,0,0
373038,1,2039583,0,0,0
373039,1,2039583,0,0,0
373040,1,2039583,0,0,0
373041,1,2039583,0,0,0
373042,1,2039583,0,0,0
373047,9,0,0,0,0
373050,8,12713016,20,600,100
373069,1,15699339,0,0,0
373070,8,16263465,20,600,100
373088,8,16053378,0,5,0
373058,8,16484115,20,10000,100
373081,14,0.3,0,0,-2.1474836E+09
373082,1,0,0,0,10
