ID,Name_lang,Location_lang,Description_lang,MapPos[0],MapPos[1],WorldPos[0],WorldPos[1],GarrTypeID,GarrMissionTypeID,GarrFollowerTypeID,MaxFollowers,MissionCost,MissionCostCurrencyTypesID,OfferedGarrMissionTextureID,UiTextureKitID,EnvGarrMechanicID,EnvGarrMechanicTypeID,PlayerConditionID,GarrMissionSetID,TargetLevel,TargetItemLevel,MissionDuration,TravelDuration,OfferDuration,BaseCompletionChance,BaseFollowerXP,OvermaxRewardPackID,FollowerDeathChance,AreaID,Flags,AutoMissionScalar,AutoMissionScalarCurveID,AutoCombatantEnvCasterID
135,Flora and Fauna,Shadowmoon Valley,"Dark magic runs amok in Shadowmoon Valley, giving rise to maddened, unnatural creatures. End their suffering.",0,0,0,0,2,3,1,1,10,824,0,106,0,15,28568,34,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
136,"Sorcery, Meet Sword",Shadowmoon Valley,Shadowmoon spellcasters are experimenting with unstable void magic near the Teluuna Observatory. Because that's going to end well.,0,0,0,0,2,3,1,1,10,824,0,106,0,11,28568,34,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
137,Weed Whacker,Shadowmoon Valley,Don't be fooled. They're only adorable until they swarm you and gnaw your face off.,0,0,0,0,2,3,1,1,10,824,0,106,0,26,31532,34,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
138,A Bit Nippy,Frostfire Ridge,Lately the plains have been even more bitterly cold than usual. Find out what's causing this weather before it starts costing lives.,0,0,0,0,2,3,1,1,10,824,0,101,0,18,28569,34,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
139,Frosty and Delicious,Frostfire Ridge,"Elementals are plentiful in Frostfire Ridge. Goren love eating them, and whatever the goren eat, they inherit its powers. Not good.",0,0,0,0,2,3,1,1,10,824,0,101,0,23,28569,34,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
140,Lord of War,Frostfire Ridge,"The Bloodmaul ogres have begun raiding Horde outposts, costing us soldiers and supplies. We believe a new warlord is to blame.",0,0,0,0,2,3,1,1,10,824,0,101,0,12,31531,34,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
141,Ancient Anguish,Shadowmoon Valley,"It's time to chop down a few ancient trees. Only the ones that are demonically corrupted, mind you. The rest, you can hug if you like.",0,0,0,0,2,3,1,1,10,824,0,106,0,20,28752,34,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
142,No Dwarf Left Behind,Shadowmoon Valley,Shadowmoon forces have abducted a Wildhammer shaman near the Cursed Woods. Rescue our foolhardy ally and bring the orcs to justice.,0,0,0,0,2,3,1,1,10,824,0,106,0,11,28752,34,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
143,The Howling Void,Shadowmoon Valley,"We have reports of the Shadowmoon prowling Gloomshade Grove, shrouding the land in foul magic. Disrupt their dark rituals at any cost.",0,0,0,0,2,3,1,1,10,824,0,106,0,19,28752,34,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
144,Silence the Thunder,Frostfire Ridge,Thunderlord hunting parties have been sighted to the north. Set an ambush in the cliffs and show them what the real Horde is made of!,0,0,0,0,2,3,1,1,10,824,0,101,0,11,28753,34,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
145,The Shadow Beneath Us,Frostfire Ridge,The Shadow Council has wormed its way into a network of caves west of the garrison. We cannot allow it to gain a foothold in the region!,0,0,0,0,2,3,1,1,10,824,0,101,0,23,28753,34,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
146,Rylak Attrition,Frostfire Ridge,Killing full-grown rylaks has not diminished their numbers in the least. Scour their nesting grounds and end this menace at the source.,0,0,0,0,2,3,1,1,10,824,0,101,0,15,28753,34,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
147,Ancient Affliction,Gorgrond,"A strange disease is spreading among Gorgrond's ancients, driving them mad. Destroy them before the infection escalates.",0,0,0,0,2,3,1,1,10,824,0,103,0,20,27785,34,92,0,3600,0,86400,50,300,0,0,0,0,1,0,0
148,Breaking the Blackrock,Gorgrond,Scouts have recovered a map of Blackrock supply caches hidden across Gorgrond. Destroying them would strike a grave blow to our enemy.,0,0,0,0,2,3,1,1,10,824,0,103,0,11,27785,34,92,0,3600,0,86400,50,300,0,0,0,0,1,0,0
149,Ravenous Genesaur,Gorgrond,The Gorgrond genesaur have overhunted in their territory and are raiding nearby draenei camps for food. Attack them and lure them away.,0,0,0,0,2,3,1,1,10,824,0,103,0,20,31533,34,92,0,3600,0,86400,50,300,0,0,0,0,1,0,0
150,Little Biters,Gorgrond,A group of goren has settled in a valuable quarry nearby. We need to get them out if we plan to use the quarry in the future.,0,0,0,0,2,3,1,1,10,824,0,103,0,22,27786,34,93,0,3600,0,86400,35,400,0,0,0,0,1,0,0
151,Nuisance Gronnling,Gorgrond,Gronnlings continue to interrupt our efforts to expand into Gorgrond. We need to thin their numbers if we wish to gain a foothold.,0,0,0,0,2,3,1,1,10,824,0,103,0,21,27786,34,93,0,1800,0,86400,35,400,0,0,0,0,1,0,0
152,Safer Up Close,Gorgrond,Iron Horde siege weapons are deadly at a distance but vulnerable up close. Targeting their armaments with a small force may prove wise.,0,0,0,0,2,3,1,1,10,824,0,103,0,11,31534,34,93,0,3600,0,86400,35,400,0,0,0,0,1,0,0
153,Shivan Sightings,Talador,Shivan have been sighted on the outskirts of Talador. They may be the first wave of a Burning Legion incursion. Investigation is warranted.,0,0,0,0,2,3,1,1,10,824,0,105,0,11,27787,34,94,0,3600,0,86400,35,500,0,0,0,0,1,0,0
154,Stalactite Appetite,Talador,A cavern beneath an inhabited section of Talador has become unstable due to the appetite of the goren inside. We must protect those above.,0,0,0,0,2,3,1,2,10,824,0,105,0,26,27787,34,94,0,1800,0,86400,35,500,0,0,0,0,1,0,0
155,Leading the Flock,Talador,A charismatic high arakkoa priest is inciting his congregation to raid nearby settlements in the name of Terokk. We must defend our allies.,0,0,0,0,2,3,1,1,10,824,0,105,0,14,27787,34,94,0,3600,0,86400,35,500,0,0,0,0,1,0,0
156,A Call to Action,Talador,"Absolute power corrupts, and that's absolutely the reason we must neutralize this powerful warlock. Terminate with extreme prejudice.",0,0,0,0,2,3,1,1,10,824,0,105,0,11,27788,19,95,0,3600,0,86400,35,600,0,0,0,0,1,0,0
157,Bully-Free Zone,Talador,"From Azeroth to Draenor, bullies and their cronies remain the same. Please show our new ""friends"" how we deal with their kind on Azeroth.",0,0,0,0,2,3,1,1,10,824,0,105,0,12,27788,19,95,0,1800,0,86400,35,600,0,0,0,0,1,0,0
158,There Can Be Only One,Talador,"The ogron are said to be violence incarnate, but I've heard your allies are called the same. Let's find out who lives up to their hype.",0,0,0,0,2,3,1,1,10,824,0,105,0,17,31535,19,95,0,3600,0,86400,35,600,0,0,0,0,1,0,0
159,Hurts So Good,Spires of Arak,"Shattered Hand orcs embrace pain, for they say it strengthens them. Make them very strong. Then very dead.",0,0,0,0,2,3,1,1,10,824,0,107,0,11,27789,43,96,0,5400,0,86400,35,700,0,0,0,0,1,0,0
160,Crush the Pale,Spires of Arak,"The Pale are twisted, cowardly wretches, but even scavengers can be deadly in sufficient numbers. Still, that's easily solved, isn't it?",0,0,0,0,2,3,1,2,10,824,0,107,0,21,27789,19,96,0,2700,0,86400,35,700,0,0,0,0,1,0,0
161,Bug Squashing,Spires of Arak,Ravagers reproduce quickly and eat anything. Like crickets. They're also homicidal and roughly the size of horses. Not like crickets.,0,0,0,0,2,3,1,1,10,824,0,107,0,15,27789,19,96,0,5400,0,86400,35,700,0,0,0,0,1,0,0
162,Ryled Up,Spires of Arak,"Our livestock have gone missing. Tracks point to the rylaks. Deal with the threat, but don't take them lightly.",0,0,0,0,2,3,1,1,10,824,0,107,0,21,27790,19,97,0,5400,0,86400,35,800,0,0,0,0,1,0,0
163,Blow by Blow,Spires of Arak,"A vicious wind serpent appears to be acting on orders from an unseen master, wearing down our defenses. Seek out and end this threat.",0,0,0,0,2,3,1,1,10,824,0,107,0,15,27790,19,97,0,2700,0,86400,35,800,0,0,0,0,1,0,0
164,Underhanded,Spires of Arak,Our informants in the Shattered Hand have turned out to be double agents. Set up a covert meeting and eliminate them.,0,0,0,0,2,3,1,1,10,824,0,107,0,11,31536,19,97,0,3600,0,86400,35,800,0,0,0,0,1,0,0
165,Surge Protection,Nagrand,Energy-siphoning water spirits are giving our spellcasters fits. Time to bring in reinforcements.,0,0,0,0,2,3,1,1,10,824,0,104,0,19,27791,19,98,0,7200,0,86400,35,900,0,0,0,0,1,0,0
166,Spell Check,Nagrand,The cause of our recent communal lethargy has been traced to Highmaul sorcerers. Find them and put an end to their sinister arcane rites.,0,0,0,0,2,3,1,2,10,824,0,104,0,12,27791,19,98,0,5400,0,86400,35,900,0,0,0,0,1,0,0
167,Warsong Swan Song,Nagrand,Warsong shaman have enacted a spell to open an abyss beneath our feet! Kill all of them before the sands in the hourglass run out!,0,0,0,0,2,3,1,1,10,824,0,104,0,11,31537,19,98,0,5400,0,86400,35,900,0,0,0,0,1,0,0
168,Ogre-Kill,Nagrand,"High ogre warriors are in battle array, screaming that they're going to ""destroy the interlopers."" Do you think they're talking about us?",0,0,0,0,2,3,1,1,10,824,0,104,0,12,27792,19,99,0,7200,0,86400,35,1000,0,0,0,0,1,0,0
169,Burning Desire,Nagrand,Burning Blade orcs are attacking treasure hunters at Oshu'gun and looting their crystals. Could they be preparing for some dark ritual?,0,0,0,0,2,3,1,2,10,824,0,104,0,26,27792,19,99,0,5400,0,86400,35,1000,0,0,0,0,1,0,0
170,Gronn with the Wind,Nagrand,Our scouts have vanished without a trace! They were last seen entering gronn lands. Find out what happened to them.,0,0,0,0,2,3,1,1,10,824,0,104,0,29,27792,19,99,0,7200,0,86400,35,1000,0,0,0,0,1,0,0
171,Restless Spirits,Shadowmoon Valley,"Shadowmoon Valley is haunted by orc spirits that lash out in confusion and rage. Until they are put to rest, no one is safe.",0,0,0,0,2,3,1,1,10,824,0,106,0,26,33098,19,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
172,The Observer Effect,Frostfire Ridge,The Thunderlord orcs are growing bold: their scouts follow Horde parties with little stealth or fear. Such arrogance deserves a response.,0,0,0,0,2,3,1,1,10,824,0,101,0,11,33097,19,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
173,Podling Patrol,Shadowmoon Valley,Wayward podlings have stolen a crate of our giant growth elixirs. Recover the potions before the creatures consume them and run amok.,0,0,0,0,2,3,1,1,0,824,0,106,0,26,33098,19,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
174,Blackrock Intelligence,Frostfire Ridge,Blackrock messengers have been spotted crisscrossing the region. Any missives they are carrying could prove invaluable to our cause.,0,0,0,0,2,3,1,1,0,824,0,101,0,11,33097,19,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
175,Break Their Chains,Gorgrond,Ogre slavers are carrying off our allies to fight in their arenas. Pose as a would-be gladiator and free the unwilling combatants.,0,0,0,0,2,3,1,1,0,824,0,103,0,12,27788,19,92,0,2700,0,86400,50,300,0,0,0,0,1,0,0
176,Ogron's Out of the Bag,Gorgrond,We know the ogron are going to attack soon because they told us. No one ever said they were smart. Stop them before they do any real harm.,0,0,0,0,2,3,1,1,0,824,0,103,0,22,27788,19,93,0,2700,0,86400,35,400,0,0,0,0,1,0,0
177,All That Glitters,Talador,"Redistributing wealth from the departed isn't stealing. Trouble is, there's a mighty arakkoan sorcerer who doesn't know it. Do let him know.",0,0,0,0,2,3,1,1,0,824,0,105,0,14,27788,19,94,0,2700,0,86400,35,500,0,0,0,0,1,0,0
178,Shreddercide,Talador,"The Iron Horde's shredders are laying waste to Talador's forests. Bastards. If someone's doing that, it should be our forces.",0,0,0,0,2,3,1,1,10,824,0,105,0,26,27788,19,95,0,2700,0,86400,35,600,0,0,0,0,1,0,0
179,Worth Its Weight,Spires of Arak,The arakkoa have begun stealing and hoarding gold. Time to steal it back.,0,0,0,0,2,3,1,1,0,824,0,107,0,14,27789,19,96,0,3600,0,86400,35,700,0,0,0,0,1,0,0
180,Curiosity Killed Them,Spires of Arak,Saberon have begun attacking with wild abandon. They believe they have nine lives. Prove them wrong.,0,0,0,0,2,3,1,1,10,824,0,107,0,21,27790,19,97,0,3600,0,86400,35,800,0,0,0,0,1,0,0
181,Medical Necessity,Nagrand,"Our soldiers in the field need medical supplies, but Warsong orcs are patrolling the road. Escort the caravan so it makes its destination.",0,0,0,0,2,3,1,1,0,824,0,104,0,29,27791,19,98,0,5400,0,86400,35,900,0,0,0,0,1,0,0
182,Raider Danger,Nagrand,"Warsong orcs have razed our camp to the north, and the lone survivor says they're headed this way. We must repel the invaders!",0,0,0,0,2,3,1,1,10,824,0,104,0,29,27792,19,99,0,5400,0,86400,35,1000,0,0,0,0,1,0,0
183,Hazardous Herbivores,Shadowmoon Valley,Hippos are taking over the Verdant Mire. They're violently territorial and extremely tough. They're also blocking key resources.,0,0,0,0,2,3,1,1,0,824,0,106,0,15,33098,19,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
184,Cleave the Clefthoof,Frostfire Ridge,"In this harsh environment, sturdy transportation is essential. Cripple the Iron Horde by taking out its greatest beasts of burden.",0,0,0,0,2,3,1,1,0,824,0,101,0,23,33097,19,90,0,1800,0,86400,65,100,0,0,0,0,1,0,0
185,Toxic Bloom,Shadowmoon Valley,A noxious mist is pervading Blademoon Bloom. Find and neutralize the source so that our forces can pass safely through the region.,0,0,0,0,2,3,1,1,0,824,0,106,0,26,33098,19,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
186,The Pale Dilemma,Frostfire Ridge,The pale have stolen a shipment of Iron Horde weaponry. Recover the armaments - by force if necessary - before our enemy does.,0,0,0,0,2,3,1,1,0,824,0,101,0,23,33097,19,91,0,3600,0,86400,65,200,0,0,0,0,1,0,0
187,Many-Headed Menace,Gorgrond,"Habitat changes in Gorgrond have forced hydras to encroach on draenei settlements. It is a pity, but we must kill these desperate beasts.",0,0,0,0,2,3,1,1,0,824,0,103,0,21,27788,19,92,0,2700,0,86400,50,300,0,0,0,0,1,0,0
188,Great Migration,Gorgrond,"Every year, great herds of clefthoof migrate through Gorgrond, causing tremors and dust storms. We must divert them from our camp.",0,0,0,0,2,3,1,1,0,824,0,103,0,15,27788,19,93,0,2700,0,86400,35,400,0,0,0,0,1,0,0
