ID,SoundEntriesIDDay,SoundEntriesIDNight,SoundAmbienceID
367,25500,25500,1050
368,32188,32188,1053
369,33572,33572,930
370,33571,33571,930
371,33574,33574,925
372,33575,33575,926
373,33572,33572,802
374,33595,33595,802
375,33601,33601,1044
376,33619,33619,1054
377,33621,33621,1054
378,33632,33632,1055
379,33633,33633,1055
380,33634,33634,1055
381,33635,33635,1055
382,33633,33633,1056
383,33635,33635,1056
386,0,33665,918
387,33712,33712,976
388,27246,27246,1058
389,27244,27244,1060
390,33926,33926,1060
392,33926,33926,1061
393,33717,33717,1012
394,34612,34612,1012
395,34951,34951,1066
396,34952,34952,1066
397,34953,34953,1066
398,34954,34954,1066
399,34946,34946,1066
400,34947,34947,1066
401,34948,34948,1066
402,34949,34949,1066
403,33173,33173,1067
405,35010,35010,1068
406,35011,35011,1068
407,35017,35017,1069
408,35018,35018,1069
409,35019,35019,1069
410,35021,35021,1070
413,35022,35022,1069
414,35023,35023,1071
415,35024,35024,1071
416,35025,35025,1071
418,35028,35028,1072
419,35029,35029,1072
420,35033,35033,1073
422,35034,35034,1073
423,35036,35036,1074
424,35037,35037,1074
425,35028,35028,1075
426,35029,35029,1075
427,35044,35044,1076
428,35044,35044,1077
429,35046,35046,1077
430,35047,35047,1077
431,35044,35044,1078
432,35044,35044,1079
433,35044,35044,1080
434,35044,35044,1081
435,35054,35054,1081
436,35059,35059,1082
437,35060,35060,1082
438,35044,35044,1083
439,35066,35066,1085
440,35204,35204,1085
441,35073,35073,1086
442,35075,35075,1086
443,35074,35074,1086
444,35076,35076,1086
445,27200,27200,1068
446,32084,32084,1087
447,35082,35082,1087
448,35084,35084,1087
451,25500,25500,1088
452,33963,33963,1088
454,35010,35010,1090
455,35011,35011,1090
456,27200,27200,1090
458,31141,31141,1088
460,35010,35010,1091
461,35011,35011,1091
462,27200,27200,1091
463,32010,32010,1091
464,33569,33569,1091
465,35075,35075,1092
466,35074,35074,1092
467,35010,35010,1093
468,35096,35096,1093
469,35100,35100,1093
479,35116,35116,1093
480,35044,35044,1095
481,35254,35254,1095
482,36160,31924,1096
483,36161,36161,1096
484,35011,35011,1096
485,36160,31924,1097
486,35011,35011,1097
487,33056,33056,1097
488,36208,36208,1096
490,27235,27235,1098
491,33397,33397,1098
492,25610,25610,1098
493,32757,32756,1098
494,35010,35010,1099
495,35011,35011,1099
496,27200,27200,1099
497,33397,33397,1099
498,25610,25610,1099
499,36286,36286,1096
500,36556,36556,1090
501,36556,36556,1088
502,36556,36556,1091
503,36556,36556,1093
504,36556,36556,1100
505,36208,36208,1100
506,35010,35010,1100
508,36766,36766,1073
509,32023,32023,1101
510,27243,27243,1101
512,36848,36848,1071
513,32080,32083,1102
515,37083,37083,1104
516,35075,35075,1104
517,35074,35074,1104
518,32084,32084,1108
519,35082,35082,1108
520,35084,35084,1108
521,32080,32083,1112
522,37837,37838,922
523,33117,33117,1113
524,37842,37842,1113
527,37872,37872,1123
528,38005,38005,1124
529,37872,37872,1125
530,37872,37872,1126
531,37872,37872,1127
533,37872,37872,1129
534,37872,37872,1130
538,37941,37941,1130
543,38004,38004,1130
545,37942,37942,1131
546,38004,38004,1131
547,37941,37941,1131
548,37942,37942,1125
549,38005,38005,1123
550,38004,38004,1123
552,38004,38004,1124
554,38005,38005,1125
555,37946,37946,1125
556,37946,37946,1127
557,37942,37942,1127
558,38004,38004,1127
559,37872,37872,1128
560,27189,27189,1128
564,33572,33572,1137
565,33571,33571,1137
566,27253,27253,1140
567,39666,39666,1141
568,32084,32080,1142
569,33347,33347,1142
570,25581,25581,1164
571,27186,27186,1166
572,40034,40034,1166
573,40066,40066,1144
574,40099,40099,1146
575,39033,39033,1168
576,40100,40100,1169
578,40028,40028,1170
580,40066,40066,1147
581,40229,40229,1169
582,40229,40229,1173
583,40231,40231,1169
584,40231,40231,1173
585,0,40297,1180
586,40298,40518,1180
587,42337,42337,1182
588,40371,40371,1180
589,40432,40433,1149
590,40434,40434,1151
591,40435,40436,1150
595,40868,40868,1197
596,40869,40869,1197
597,40870,40870,1197
598,40873,40873,1195
599,40890,40890,1199
600,40891,40891,1199
602,40889,40889,1200
603,40890,40890,1200
604,40891,40891,1200
605,40891,40891,1201
608,40891,40891,1202
609,40895,40895,1202
610,40896,40896,1202
611,40891,40891,1203
612,40896,40896,1203
613,40895,40895,1203
614,40889,40889,1204
615,40890,40890,1204
616,40891,40891,1204
617,40889,40889,1205
618,40890,40890,1205
619,40891,40891,1205
620,40891,40891,1206
621,40896,40896,1206
623,40891,40891,1207
624,40897,40897,1207
626,40889,40889,1208
627,40890,40890,1208
628,40891,40891,1208
629,40889,40889,1209
630,40891,40891,1209
631,40918,40918,1209
632,40889,40889,1210
633,40890,40890,1210
634,40891,40891,1210
635,40889,40889,1211
636,40890,40890,1211
637,40891,40891,1211
639,40918,40918,1202
640,40918,40918,1203
641,40919,40919,1203
642,40920,40920,1203
643,40918,40918,1199
644,40895,40895,1209
652,41192,41192,1226
653,41192,41192,1219
655,41386,41386,1180
657,27200,27200,1234
658,41512,41512,1234
659,40229,40229,1235
660,40231,40231,1235
661,41529,41529,1235
667,27244,27244,1242
669,42852,42852,1244
671,0,40297,1245
672,41386,41386,1245
673,42445,42445,1245
674,42446,42446,1245
675,42447,42447,1245
678,42553,42553,1236
687,42852,42852,1250
688,42337,42337,1251
689,43966,43966,1250
690,43966,43966,1244
691,42852,42852,1251
692,42852,42852,1252
693,42337,42337,1252
694,27189,27189,1253
695,43108,43108,1254
696,43131,43131,1222
697,43316,43316,1254
698,43108,43108,1256
699,43316,43316,1256
700,27189,27189,1257
701,32974,32974,1257
702,27190,27190,1259
703,32023,32023,1260
704,27243,27243,1260
705,43477,43477,1262
706,43476,43476,1262
707,43475,43475,1262
708,43480,43480,1183
709,43481,43481,1183
710,43720,43720,1263
711,43721,43721,1263
712,43776,43776,1222
714,40297,40297,1264
715,40371,40371,1264
716,43824,36581,1266
717,43967,43967,1267
718,44192,44192,1288
722,41386,0,1290
724,33350,0,1172
725,43966,0,1172
726,45143,45143,1172
727,45850,45850,1292
728,27189,27189,1293
729,32080,33350,1294
732,46824,46824,1143
733,46854,46854,1220
735,41386,41386,1274
736,46924,46924,1298
737,46925,43966,1298
738,46824,46824,1300
739,46956,46956,1300
741,46824,46824,1302
742,46965,46965,1302
743,31828,31828,1302
744,40371,40371,1258
745,47037,47037,1303
746,46924,46924,1304
747,47203,47203,1307
748,43966,43966,1187
749,47857,47857,1313
750,47858,47858,1313
751,47857,47857,1315
752,46108,46108,1316
754,43775,43775,1317
755,48255,48255,1332
756,48276,48276,1333
757,48279,48279,1334
759,48336,48336,1194
760,40099,40099,1342
762,31979,31979,1343
763,31979,31979,1344
764,40099,40099,1351
765,48850,48850,1163
766,43130,43130,1222
767,43477,43477,1361
768,43476,43476,1361
769,43475,43475,1361
772,27243,27243,1370
773,43108,43108,1372
774,35044,35044,1373
775,27243,27243,1381
776,33712,33712,1381
777,25610,25610,1382
779,43108,43108,1377
780,43108,43108,1391
781,33712,33712,1394
783,37711,0,1396
784,33963,33963,1398
788,49867,49867,1399
789,49869,49869,1400
790,49870,49870,1400
791,40889,40889,1401
792,40890,40890,1401
793,40891,40891,1401
795,35010,35010,1403
796,35011,35011,1403
797,27200,27200,1403
798,36556,36556,1403
799,53343,53343,1407
800,53344,53344,1407
803,53625,53625,1408
804,53638,0,1406
805,53636,53636,1408
806,53635,53635,1408
807,53637,0,1379
808,53634,53634,1408
809,53646,0,1405
810,53344,53344,1409
811,53343,53343,1409
812,53846,53846,1406
813,53343,53343,1410
814,53344,53344,1410
815,56611,56612,1413
816,56612,56611,1413
817,43108,43108,1415
818,53683,53683,1416
819,53929,53929,1416
820,33963,33963,1418
821,53973,53973,1420
822,53929,53929,1420
823,53978,53978,1420
824,53979,53979,1420
826,53344,53344,1422
827,53343,53343,1422
828,33468,33468,1426
829,35075,35075,1426
830,42445,42447,1428
831,44192,44192,1429
832,33468,33468,1430
833,35075,35075,1430
834,54252,54252,1432
835,27243,27243,1434
836,33712,33712,1434
837,54279,54279,1435
838,54304,54304,1436
839,54305,54305,1436
840,33468,33468,1445
841,35075,35075,1445
842,33468,33468,1447
843,35075,35075,1447
844,33468,33468,1448
845,35075,35075,1448
852,57194,57194,1458
853,57197,57197,1459
854,57196,57196,1459
855,57200,57200,1460
856,57199,57199,1460
857,53344,53344,1461
858,53343,53343,1461
859,53344,53344,1462
860,53343,53343,1462
865,64490,64490,1483
866,64489,64489,1483
869,64491,64491,1483
870,58327,58327,1483
872,53638,0,1485
873,53846,53846,1485
874,0,58709,1487
875,0,58709,1488
876,56611,56612,1492
877,56612,56611,1492
881,82657,82657,1495
882,82658,82658,1495
883,82659,82659,1495
885,64046,0,1405
886,64045,0,1405
887,53638,0,1440
888,27189,27189,1497
889,27200,27200,1500
892,58326,58326,1420
893,58327,58327,1420
894,68231,68231,1509
896,0,58709,1510
897,69071,69071,1509
898,69667,69667,1509
899,53636,0,1511
900,53635,0,1511
901,53634,0,1511
902,0,53636,1511
903,0,53635,1511
904,0,53634,1511
905,69684,69684,1509
906,69901,0,1509
907,69946,0,1509
908,70153,70153,1509
909,53636,53636,1516
910,53635,53635,1516
911,53634,53634,1516
913,69683,69683,1509
914,71050,0,1509
915,53634,0,1517
916,0,53634,1517
917,54252,54252,1517
918,53636,53636,1517
920,70183,70183,1517
922,70686,70686,1519
923,70687,70687,1519
925,58709,58709,1520
926,58709,58709,1521
927,58709,58709,1504
928,57197,57197,1523
929,57196,57196,1523
930,71957,71957,1523
932,57197,57197,1524
933,57196,57196,1524
934,71957,71957,1524
935,72135,72135,1524
936,53625,53625,1526
937,53636,53636,1526
938,53635,53635,1526
939,53634,53634,1526
942,72837,72837,1527
943,72838,72838,1527
945,32084,32080,1530
946,33347,33347,1530
947,0,33665,1530
948,73603,73603,1420
949,74367,74367,1497
950,74369,74369,1497
951,74985,0,1406
952,74987,0,1406
955,74990,0,1440
956,74989,0,1440
957,74988,0,1440
958,74984,0,1440
959,74991,0,1404
960,74985,0,1404
961,74984,0,1404
963,74987,0,1489
964,74984,0,1489
965,74985,0,1489
966,74988,0,1489
967,74989,0,1489
970,74988,0,1405
971,76729,76729,1539
972,68231,68231,1540
973,69071,69071,1540
974,69946,0,1540
975,77407,77407,1540
976,58709,58709,1544
977,79306,79306,1544
978,79307,79307,1544
979,79308,79308,1544
980,79309,79309,1544
981,56611,56611,1546
982,56611,56611,1546
983,74991,0,1547
984,74985,0,1547
985,74984,0,1547
986,79730,79730,1547
987,79729,79729,1547
988,79773,79773,1548
991,32084,32080,1567
992,33347,33347,1567
993,0,33665,1567
997,33963,33963,1572
1001,85240,0,1573
1002,85246,0,1573
1003,85248,0,1573
1004,85249,0,1573
1005,85250,0,1573
1006,43131,43131,1574
1007,43776,43776,1574
1009,43131,43131,1575
1010,43776,43776,1575
1011,33173,33173,1580
1013,85982,85982,1584
1014,85983,85983,1584
1015,85984,85984,1584
1016,85985,85985,1581
1017,85986,85986,1581
1018,85987,85987,1581
1019,86060,86060,1586
1020,86059,86059,1586
1021,86426,86426,1592
1022,86427,86427,1592
1023,86428,86428,1592
1031,88510,88510,1597
1032,88510,88510,1598
1033,33468,33468,1616
1034,35075,35075,1616
1035,90822,90826,1612
1036,90831,90831,1612
1037,90821,90821,1612
1038,90820,90820,1612
1039,90830,90824,1612
1040,90962,90962,1612
1042,90828,90826,1613
1043,90821,90821,1613
1044,86428,86428,1623
1045,90863,90863,1622
1048,90865,93405,1614
1049,90866,90866,1614
1050,90868,104323,1614
1051,90883,90883,1625
1052,90941,0,1614
1053,90943,0,1614
1054,90822,0,1613
1055,90962,90962,1613
1056,90823,90823,1613
1057,91005,91005,1612
1058,91005,91005,1613
1059,90825,90825,1620
1060,90821,90821,1620
1061,91005,91005,1620
1062,90823,90823,1620
1063,90822,90822,1620
1064,33468,33468,1632
1065,35075,35075,1632
1066,90826,90826,1633
1067,90831,90831,1633
1068,90821,90821,1633
1069,90820,90820,1633
1070,90830,90824,1633
1071,90962,90962,1633
1072,93262,93262,1633
1074,93289,93289,1633
1075,93288,93288,1633
1076,90823,90823,1633
1077,94606,94606,1636
1078,94610,94610,1637
1079,94609,94609,1637
1080,114396,114396,1636
1081,95004,95004,1571
1082,95169,95168,1639
1083,95167,95167,1639
1084,95173,95448,1640
1085,95446,95447,1640
1086,95565,95565,1641
1087,96437,96437,1634
1088,96438,0,1634
1089,90822,0,1634
1090,96441,90832,1643
1091,96438,0,1643
1092,97222,0,1643
1093,96441,90832,1644
1094,96442,96442,1644
1095,96438,0,1644
1096,97221,0,1643
1098,97222,0,1645
1099,97221,0,1645
1100,96441,0,1645
1101,96438,90832,1645
1103,99314,53846,1648
1104,99313,99313,1648
1105,99315,99315,1648
1106,99314,53846,1649
1107,99313,0,1649
1108,99315,99315,1649
1109,99333,0,1570
1110,99337,0,1570
1111,99334,0,1570
1112,99335,0,1570
1113,99336,0,1570
1114,99343,99343,1651
1115,99342,99342,1651
1116,90822,90826,1652
1117,90831,90831,1652
1118,90821,90821,1652
1119,90820,90820,1652
1120,90830,90824,1652
1121,90962,90962,1652
1122,91005,91005,1652
1123,99392,99392,1648
1124,90826,90826,1653
1125,90831,90831,1653
1126,90821,90821,1653
1127,90820,90820,1653
1128,90830,90824,1653
1129,90962,90962,1653
1130,93262,93262,1653
1131,99394,99394,1653
1132,93288,93288,1653
1133,90823,90823,1653
1134,95169,95168,1626
1135,101119,101119,1626
1136,101125,0,1626
1137,101126,101126,1626
1138,95173,95448,1655
1139,95446,95447,1655
1140,101687,101687,1658
1141,101701,101701,1658
1142,101689,101689,1658
1143,101690,101690,1658
1144,101691,101691,1658
1145,101708,101708,1658
1146,101692,101692,1658
1147,101693,101693,1658
1148,101723,101723,1658
1149,101724,101724,1658
1150,95173,95448,1664
1151,95446,95447,1664
1152,95173,95448,1665
1153,95446,95447,1665
1154,95447,95447,1666
1155,95173,0,1666
1157,96437,0,1668
1158,96438,0,1668
1159,0,102066,1668
1160,102990,102990,1640
1161,102990,102990,1665
1162,102990,102993,1639
1163,95446,95446,1670
1164,104249,104249,1658
1165,104412,104412,1622
1166,104413,104413,1614
1167,90865,90865,1626
1168,90866,90866,1626
1169,104572,104572,1671
1177,107439,107439,1694
1178,107440,107440,1694
1179,107441,107441,1694
1180,107639,107639,1696
1181,107640,107640,1696
1182,49867,49867,1697
1183,107808,107808,1697
1184,107822,107822,1697
1185,107823,107823,1697
1186,107824,107824,1697
1187,107827,107827,1697
1188,107828,107828,1697
1189,49867,49867,1698
1190,107808,107808,1698
1196,110602,110602,1700
1197,107639,107639,1705
1198,107640,107640,1705
1199,27235,27235,1707
1200,110907,110907,1707
1201,111027,111027,1709
1202,0,90832,1619
1203,119070,119070,1711
1215,112021,112021,1714
1217,112042,0,1715
1218,112043,0,1715
1219,112044,0,1715
1220,112471,112471,1716
1221,112472,112472,1716
1223,112688,112688,1717
1227,112633,112633,1717
1228,112671,112671,1717
1239,112695,112695,1571
1240,112735,112735,1712
1241,112736,0,1712
1242,112021,112021,1722
1243,112760,112760,1724
1244,112762,112762,1724
1245,112763,112763,1724
1246,112764,112764,1724
1348,113442,113442,1826
1349,113511,113511,1828
1350,113510,113510,1828
1356,112042,0,1829
1357,114205,0,1829
1359,112042,0,1830
1360,112043,0,1830
1361,114205,0,1830
1362,114245,0,1831
1363,112042,0,1832
1364,114205,0,1832
1365,114303,0,1832
1372,114363,114364,1834
1373,114365,114365,1834
1374,114366,114367,1834
1375,112042,0,1835
1376,112043,0,1835
1377,112044,0,1835
1378,114365,114365,1835
1379,114363,114364,1835
1380,114366,114367,1835
1381,53646,0,1836
1382,64046,0,1836
1383,64045,0,1836
1384,74988,0,1836
1385,114385,114385,1836
1386,112042,0,1836
1387,112043,0,1836
1388,94610,94610,1837
1389,94609,94609,1837
1390,114396,114396,1650
1391,114435,114435,1650
1392,114396,114396,1838
1393,114435,114435,1838
1394,114437,114437,1725
1395,114437,114437,1838
1396,114435,114435,1636
1397,114396,114396,1839
1398,114435,114435,1839
1399,114435,114435,1841
1401,114867,114867,1842
1402,114435,114435,1843
1404,114435,114435,1844
1405,114437,114437,1844
1407,114435,114435,1845
1408,94606,94606,1846
1409,114435,114435,1846
1413,115174,115174,1848
1414,115177,115177,1848
1415,95173,95448,1849
1416,95446,95447,1849
1417,115182,115182,1849
1418,115183,115183,1849
1419,43776,43776,1851
1420,115436,115436,1851
1423,115833,115833,1852
1424,115841,115841,1854
1425,115847,115847,1856
1429,115847,115847,1858
1431,115847,115847,1859
1433,115847,115847,1860
1435,115847,115847,1861
1437,115847,115847,1862
1440,115861,115861,1863
1441,115876,115876,1860
1442,115876,115876,1856
1443,115876,115876,1865
1444,115925,115925,1865
1446,115929,115929,1865
1447,115847,115847,1865
1449,115847,115847,1868
1450,115876,115876,1869
1451,115925,115925,1869
1452,115929,115929,1869
1453,115847,115847,1869
1454,115959,115959,1869
1455,115847,115847,1870
1456,115960,115960,1870
1457,116168,116168,1856
1459,95446,95446,1873
1460,101687,101687,1874
1461,101701,101701,1874
1462,101689,101689,1874
1463,101693,101693,1874
1464,101723,101723,1874
1465,101724,101724,1874
1471,118432,118432,1876
1472,118434,118434,1876
1473,118500,118500,1877
1476,118500,118500,1878
1477,118500,118500,1694
1478,118500,118500,1879
1479,96438,0,1879
1480,90822,0,1879
1481,96441,90832,1880
1482,96442,96442,1880
1484,96441,90832,1881
1486,118833,118833,1882
1487,110907,0,1883
1488,118500,118500,1884
1489,118500,118500,1885
1490,118833,118833,1887
1491,118888,118888,1887
1492,118888,0,1887
1493,119926,119926,1853
1494,119926,119926,1723
1495,120842,120842,1889
1497,121661,121661,1890
1498,121662,121662,1890
1499,95169,95168,1893
1500,95167,95167,1893
1501,102990,102993,1893
1502,114205,114205,1896
1503,114205,114205,1897
1506,114385,114385,1897
1507,123044,123044,1897
1508,123057,123057,1897
1510,123060,123060,1897
1511,114385,114385,1896
1512,123057,123057,1896
1513,123060,123060,1896
1515,112042,0,1898
1516,114205,114205,1898
1517,114303,0,1898
1518,112042,0,1899
1519,114205,114205,1899
1520,114385,114385,1899
1521,123057,123057,1899
1522,74991,0,1899
1523,74990,0,1899
1524,74987,0,1899
1526,114385,114385,1898
1527,123057,123057,1898
1528,112042,0,1900
1529,114205,114205,1900
1530,114385,114385,1900
1531,123057,123057,1900
1533,95173,95448,1901
1534,95446,95447,1901
1535,102990,102990,1901
1536,124493,124493,1901
1537,58326,58326,1902
1538,53973,53973,1902
1539,53979,53979,1902
1540,58327,58327,1902
1541,107439,107439,1902
1542,79773,79773,1902
1543,73603,73603,1902
1544,124503,124503,1902
1545,124516,124516,1901
1546,124517,124517,1901
1547,124521,124521,1901
1549,124526,124526,1903
1550,124527,124527,1903
1551,124530,124530,1903
1552,116168,116168,1904
1553,115960,115960,1904
1554,115925,115925,1904
1555,115876,115876,1904
1556,115847,115847,1904
1557,115959,115959,1904
1558,115960,115960,1905
1559,115925,115925,1905
1560,115876,115876,1905
1561,115847,115847,1905
1562,115959,115959,1905
1563,116168,116168,1905
1564,125233,125233,1906
1565,125177,125177,1906
1566,125234,125234,1906
1567,125235,125235,1906
1568,125239,125239,1906
1569,125240,125240,1906
1570,125204,125204,1907
1571,125203,125203,1907
1572,125202,125202,1907
1573,125201,125201,1907
1574,125199,125199,1907
1576,125204,125204,1908
1577,125203,125203,1908
1578,125202,125202,1908
1579,125201,125201,1908
1580,125199,125199,1908
1581,125224,125224,1909
1582,125226,125226,1909
1583,125228,125228,1909
1584,125227,125227,1909
1585,125223,125223,1909
1586,32084,32080,1910
1587,33347,33347,1910
1588,0,33665,1910
1589,125434,125434,1910
1590,18381,18381,1910
1591,125597,125597,1911
1592,125599,125599,1911
1593,125602,125602,1911
1594,125606,125606,1912
1595,125607,125607,1912
1596,125597,125597,1913
1597,125599,125599,1913
1599,121662,121662,1913
1600,114396,114396,1913
1601,125633,125633,1890
1602,125633,125633,1913
1603,114396,114396,1890
1604,121662,121662,1914
1608,125602,125602,1914
1609,114396,114396,1914
1611,0,126836,579
1612,0,126837,579
1613,129136,129136,1917
1615,127764,127764,1918
1619,127983,127983,778
1620,127991,127991,778
1622,128092,128092,778
1623,128091,128091,778
1624,128090,128090,778
1625,95169,95168,1922
1626,95167,95167,1922
1627,102990,102993,1922
1631,129735,129735,1923
1635,130032,130032,1925
1636,130033,130033,1925
1637,130034,130034,1925
1638,130035,130035,1925
2140,48586,48586,1927
2141,37942,37942,1927
2142,37872,37872,1927
2143,37946,37946,1927
2144,130139,130139,1639
2235,130139,130139,1053
2236,130139,130139,1054
2237,130139,130139,1087
2239,130139,130139,1143
2240,130139,130139,1141
2242,130139,130139,1147
2243,130139,130139,1148
2244,130139,130139,1149
2245,130139,130139,1150
2246,130139,130139,1161
2247,130139,130139,1169
2248,130139,130139,1170
2249,130139,130139,1018
2250,130139,130139,1029
2253,130139,130139,996
2255,130139,130139,999
2259,130139,130139,928
2260,130139,130139,955
2262,130139,130139,449
2265,130139,130139,456
2268,130139,130139,438
2269,130139,130139,585
2271,130139,130139,588
2272,130139,130139,589
2273,130139,130139,591
2274,130139,130139,592
2276,130139,130139,597
2278,130139,130139,602
2279,130139,130139,603
2280,130139,130139,634
2281,130139,130139,655
2283,130139,130139,604
2284,130139,130139,605
2285,130139,130139,606
2286,130139,130139,607
2287,130139,130139,628
2288,130139,130139,660
2290,130139,130139,615
2294,130139,130139,629
2297,130139,130139,627
2298,130139,130139,630
2299,130139,130139,632
2300,130139,130139,636
2302,130139,130139,647
2303,130139,130139,648
2304,130139,130139,50
2305,130139,130139,446
2306,130139,130139,150
2308,130139,130139,30
2314,130139,130139,569
2318,130139,130139,573
2320,130139,130139,575
2327,130139,130139,583
2330,130139,130139,440
2331,130139,130139,450
2334,130139,130139,379
2336,130139,130139,374
2338,130139,130139,39
2339,130139,130139,44
2340,130139,130139,48
2341,130139,130139,210
2343,130139,130139,70
2346,130139,130139,29
2353,130139,130139,41
2355,130139,130139,45
2360,130139,130139,461
2363,130139,130139,437
2364,130139,130139,457
2365,130139,130139,458
2367,130139,130139,447
2370,130139,130139,917
2372,130139,130139,921
2374,130139,130139,931
2375,130139,130139,1008
2377,130139,130139,1014
2379,130139,130139,1183
2380,130139,130139,1187
2383,130139,130139,1179
2384,130139,130139,1191
2385,130139,130139,1227
2386,130139,130139,1300
2388,130139,130139,1391
2389,130139,130139,1405
2393,130139,130139,1428
2394,130139,130139,1219
2396,130139,130139,1264
2397,130139,130139,1265
2398,130139,130139,1266
2399,130139,130139,1290
2400,130139,130139,1341
2401,130139,130139,1342
2402,130139,130139,1346
2403,130139,130139,1347
2404,130139,130139,1355
2405,130139,130139,1361
2406,130139,130139,1377
2407,130139,130139,1378
2408,130139,130139,1379
2409,130139,130139,1380
2410,130139,130139,1398
2411,130139,130139,1449
2412,130139,130139,1450
2413,130139,130139,1274
2415,130139,130139,1418
2418,130139,130139,1231
2419,130139,130139,1295
2420,130139,130139,1313
2422,130139,130139,1252
2423,130139,130139,1258
2424,130139,130139,1294
2425,130139,130139,1330
2426,130139,130139,1331
2427,130139,130139,1426
2428,130139,130139,1432
2429,130139,130139,1437
2430,130139,130139,1446
2431,130139,130139,1248
2432,130139,130139,1305
2433,130139,130139,1315
2434,130139,130139,1333
2435,130139,130139,1334
2436,130139,130139,1375
2437,130139,130139,1390
2439,130139,130139,1440
2440,130139,130139,1447
2441,130139,130139,1448
2442,130139,130139,1217
2443,130139,130139,1218
2444,130139,130139,1244
2445,130139,130139,1257
2446,130139,130139,1388
2448,130139,130139,1453
2452,130139,130139,1235
2453,130139,130139,1250
2454,130139,130139,1251
2455,130139,130139,1350
2456,130139,130139,1351
2457,130139,130139,1374
2458,130139,130139,1384
2459,130139,130139,1385
2460,130139,130139,1387
2461,130139,130139,1395
2463,130139,130139,1469
2464,130139,130139,1475
2465,130139,130139,1476
2466,130139,130139,1478
2467,130139,130139,1484
2468,130139,130139,1487
2469,130139,130139,1488
2470,130139,130139,1485
2471,130139,130139,1486
2472,130139,130139,1479
2473,130139,130139,1489
2477,130139,130139,1511
2478,130139,130139,1573
2480,130139,130139,1612
2481,130139,130139,1613
2482,130139,130139,1627
2483,130139,130139,1520
2484,130139,130139,1600
2485,130139,130139,1601
2486,130139,130139,1602
2487,130139,130139,1603
2488,130139,130139,1604
2489,130139,130139,1605
2490,130139,130139,1611
2491,130139,130139,1540
2492,130139,130139,1619
2493,130139,130139,1516
2494,130139,130139,1517
2495,130139,130139,1526
2496,130139,130139,1563
2497,130139,130139,1570
2498,130139,130139,1571
2499,130139,130139,1625
2500,130139,130139,1515
2501,130139,130139,1544
2502,130139,130139,1574
2503,130139,130139,1575
2504,130139,130139,1614
2505,130139,130139,1510
2507,130139,130139,1547
2508,130139,130139,1622
2509,130139,130139,1623
2510,130139,130139,1626
2511,130139,130139,1655
2513,130139,130139,1633
2514,130139,130139,1634
2515,130139,130139,1635
2518,130139,130139,1665
2519,130139,130139,1666
2520,130139,130139,1670
2521,130139,130139,1652
2522,130139,130139,1659
2523,130139,130139,1663
2524,130139,130139,1668
2525,130139,130139,1695
2526,130139,130139,1630
2528,130139,130139,1644
