SourceText_lang,ID,ItemID,PvpFaction,SourceTypeEnum,SpellID
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (70)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2569,0,-1,3,2666
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2570,0,0,0,2667
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (105)|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2571,0,-1,3,2668
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (105)|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2572,0,-1,3,2670
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (120)|n|cFFFFD200Cost: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2573,0,-1,3,2672
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (125)|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2574,0,-1,3,2674
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (145)|n|cFFFFD200Cost: |r52|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2575,0,-1,3,2675
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (15)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2576,0,-1,3,2737
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (110)|n|cFFFFD200Cost: |r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2577,0,-1,3,2740
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (115)|n|cFFFFD200Cost: |r17|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2578,0,-1,3,2741
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (20)|n|cFFFFD200Cost: |r75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2579,0,-1,3,2738
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (25)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2580,0,-1,3,2739
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (120)|n|cFFFFD200Cost: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2581,0,-1,3,2742
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (125)|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2587,0,-1,3,3117
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (65)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2588,0,-1,3,3116
|cFFFFD200Profession Trainer: |rClassic Alchemy (90)|n|cFFFFD200Cost: |r6|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2589,0,-1,3,3171
|cFFFFD200Profession Trainer: |rClassic Alchemy (120)|n|cFFFFD200Cost: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2590,0,-1,3,3173
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2591,0,0,0,3174
|cFFFFD200Profession Trainer: |rClassic Alchemy (125)|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2592,0,-1,3,3176
|cFFFFD200Profession Trainer: |rClassic Alchemy (130)|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2593,0,-1,3,3177
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2594,0,0,0,2333
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2595,0,0,0,3188
|cFFFFD200Profession Trainer: |rClassic Alchemy (15)|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2596,0,-1,3,3170
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2597,0,0,0,3230
|cFFFFD200Profession Trainer: |rClassic Mining (115)|n|cFFFFD200Cost: |r17|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2598,0,-1,3,3308
|cFFFFD200Profession Trainer: |rClassic Mining (100)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2599,0,-1,3,3307
|cFFFFD200Profession Trainer: |rClassic Mining (50)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2600,0,-1,3,3304
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (95)|n|cFFFFD200Cost: |r7|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2601,0,-1,3,3292
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (35)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2602,0,-1,3,3293
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (70)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2603,0,-1,3,3294
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2604,0,0,0,3295
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (130)|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2605,0,-1,3,3296
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2606,0,0,0,3297
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (20)|n|cFFFFD200Cost: |r75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2607,0,-1,3,3319
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (25)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2608,0,-1,3,3320
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2609,0,0,0,3321
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (40)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2610,0,-1,3,3323
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (45)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2611,0,-1,3,3324
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2612,0,0,0,3325
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (75)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2613,0,-1,3,3326
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (110)|n|cFFFFD200Cost: |r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2614,0,-1,3,3328
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2615,0,0,0,3330
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (130)|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2616,0,-1,3,3331
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (135)|n|cFFFFD200Cost: |r35|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2617,0,-1,3,3333
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2618,0,0,0,3334
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2619,0,0,0,3336
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (125)|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2620,0,-1,3,3337
|cFFFFD200Profession Trainer: |rClassic Alchemy (110)|n|cFFFFD200Cost: |r15|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2621,0,-1,3,3447
|cFFFFD200Profession Trainer: |rClassic Alchemy (165)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2622,0,-1,3,3448
|cFFFFD200Profession Trainer: |rClassic Alchemy (165)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2623,0,-1,3,3449
|cFFFFD200Profession Trainer: |rClassic Alchemy (175)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t55|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2624,0,-1,3,3450
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2625,0,0,0,3451
|cFFFFD200Profession Trainer: |rClassic Alchemy (160)|n|cFFFFD200Cost: |r90|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2626,0,-1,3,3452
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2627,0,0,0,3453
|cFFFFD200Vendor: |rBro'kin|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2628,0,-1,2,3454
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (105)|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2630,0,-1,3,3491
|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2631,0,-1,2,3492
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2632,0,0,0,3493
"|cFFFFD200Vendor: |rHigh Admiral ""Shelly"" Jorrik|n|cFFFFD200Zone: |rWestfall|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rMuuran|n|cFFFFD200Zone: |rDesolace|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",2633,0,0,2,3494
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2634,0,0,0,3495
|cFFFFD200Vendor: |rZarena Cromwind|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2635,0,-1,2,3496
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2636,0,0,0,3497
|cFFFFD200Vendor: |rJaquilina Dramet|n|cFFFFD200Zone: |rNorthern Stranglethorn|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rVharr|n|cFFFFD200Zone: |rNorthern Stranglethorn|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2637,0,-1,2,3498
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2638,0,0,0,3500
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (165)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2639,0,-1,3,3501
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (170)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2640,0,-1,3,3502
|cFFFFD200Vendor: |rKrinkle Goodsteel|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rKrinkle Goodsteel|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r44|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2641,0,-1,2,3503
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2642,0,0,0,3504
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2643,0,0,0,3505
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (155)|n|cFFFFD200Cost: |r77|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2644,0,-1,3,3506
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2645,0,0,0,3507
|cFFFFD200Profession Trainer: |rClassic Blacksmithing (180)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t80|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2646,0,-1,3,3508
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2647,0,0,0,3511
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2648,0,0,0,3513
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2649,0,0,0,3515
|cFFFFD200Profession Trainer: |rClassic Mining (125)|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2652,0,-1,3,3569
|cFFFFD200Profession Trainer: |rClassic Leatherworking (25)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2655,0,-1,3,3753
|cFFFFD200Profession Trainer: |rClassic Leatherworking (55)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2656,0,-1,3,3756
|cFFFFD200Profession Trainer: |rClassic Leatherworking (75)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2657,0,-1,3,3759
|cFFFFD200Profession Trainer: |rClassic Leatherworking (150)|n|cFFFFD200Cost: |r65|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2658,0,-1,3,3760
|cFFFFD200Profession Trainer: |rClassic Leatherworking (85)|n|cFFFFD200Cost: |r5|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t25|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2659,0,-1,3,3761
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2660,0,0,0,3762
|cFFFFD200Profession Trainer: |rClassic Leatherworking (80)|n|cFFFFD200Cost: |r4|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2661,0,-1,3,3763
|cFFFFD200Profession Trainer: |rClassic Leatherworking (145)|n|cFFFFD200Cost: |r52|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2662,0,-1,3,3764
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2663,0,0,0,3765
|cFFFFD200Profession Trainer: |rClassic Leatherworking (125)|n|cFFFFD200Cost: |r25|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2664,0,-1,3,3766
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop|n|n|cFFFFD200Gather: |rWorld Nodes,2665,0,0,0,3767
|cFFFFD200Profession Trainer: |rClassic Leatherworking (130)|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2666,0,-1,3,3768
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2667,0,0,0,3769
|cFFFFD200Profession Trainer: |rClassic Leatherworking (135)|n|cFFFFD200Cost: |r35|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2668,0,-1,3,3770
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2669,0,0,0,3771
|cFFFFD200Vendor: |rGeorge Candarte|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2670,0,0,2,3772
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2671,0,0,0,3773
|cFFFFD200Profession Trainer: |rClassic Leatherworking (160)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2672,0,-1,3,3774
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2673,0,0,0,3775
|cFFFFD200Profession Trainer: |rClassic Leatherworking (180)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t80|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2674,0,-1,3,3776
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2675,0,0,0,3777
|cFFFFD200Vendor: |rRikqiz|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2676,0,-1,2,3778
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rWorld Drop,2677,0,0,0,3779
|cFFFFD200Profession Trainer: |rClassic Leatherworking (35)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2678,0,-1,3,3816
|cFFFFD200Profession Trainer: |rClassic Leatherworking (100)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2679,0,-1,3,3817
|cFFFFD200Profession Trainer: |rClassic Leatherworking (150)|n|cFFFFD200Cost: |r65|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2680,0,-1,3,3818
|cFFFFD200Profession Trainer: |rClassic Leatherworking (150)|n|cFFFFD200Cost: |r65|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2681,0,-1,3,3780
|cFFFFD200Profession Trainer: |rClassic Tailoring (10)|n|cFFFFD200Cost: |r30|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2687,0,-1,3,2385
|cFFFFD200Drop: |rWorld Creatures|n|n|cFFFFD200Treasure: |rOutland,2688,0,0,0,2389
|cFFFFD200Profession Trainer: |rClassic Tailoring (65)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t75|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2689,0,-1,3,2386
|cFFFFD200Profession Trainer: |rClassic Tailoring (40)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2690,0,-1,3,2392
|cFFFFD200Profession Trainer: |rClassic Tailoring (1)|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2691,0,-1,3,2393
|cFFFFD200Profession Trainer: |rClassic Tailoring (40)|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2692,0,-1,3,2394
|cFFFFD200Profession Trainer: |rClassic Tailoring (60)|n|cFFFFD200Cost: |r2|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t50|TINTERFACE\MONEYFRAME\UI-COPPERICON.BLP:0|t,2693,0,-1,3,2397
|cFFFFD200Profession Trainer: |rClassic Tailoring (70)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2694,0,-1,3,2395
|cFFFFD200Profession Trainer: |rClassic Tailoring (70)|n|cFFFFD200Cost: |r3|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,2695,0,-1,3,2396
