Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
"Explore Elwynn Forest, revealing the covered areas of the world map.",Explore Elwynn Forest,,776,-1,-1,0,14777,0,0,0,10,236761,0,123351,0,0,0,0
"Explore Deadwind Pass, revealing the covered areas of the world map.",Explore Deadwind Pass,,777,-1,-1,0,14777,0,0,0,6,236741,0,127901,0,0,0,0
"Explore Duskwood, revealing the covered areas of the world map.",Explore Duskwood,,778,-1,-1,0,14777,0,0,0,8,236757,0,123364,0,0,0,0
"Explore Loch Modan, revealing the covered areas of the world map.",Explore Loch Modan,,779,-1,-1,0,14777,0,0,0,13,236808,0,123102,0,0,0,0
"Explore Redridge Mountains, revealing the covered areas of the world map.",Explore Redridge Mountains,,780,-1,-1,0,14777,0,0,0,14,236814,0,124738,0,0,0,0
"Explore Stranglethorn Vale, revealing the covered areas of the world map.",Explore Stranglethorn Vale,,781,-1,-1,0,14777,0,0,0,18,236844,0,123710,0,0,0,0
"Explore Swamp of Sorrows, revealing the covered areas of the world map.",Explore Swamp of Sorrows,,782,-1,-1,0,14777,0,0,0,19,236845,0,123738,0,0,0,0
"Explore Westfall, revealing the covered areas of the world map.",Explore Westfall,,802,-1,-1,0,14777,0,0,0,22,236852,0,126395,0,0,0,0
"Explore Wetlands, revealing the covered areas of the world map.",Explore Wetlands,,841,-1,-1,0,14777,0,0,0,23,236853,0,126140,0,0,0,0
"Explore Teldrassil, revealing the covered areas of the world map.",Explore Teldrassil,,842,-1,-1,0,14778,0,0,0,17,236740,0,124236,0,0,0,0
"Explore Darkshore, revealing the covered areas of the world map.",Explore Darkshore,,844,-1,-1,0,14778,0,0,0,4,236739,0,127706,0,0,0,0
"Explore Ashenvale, revealing the covered areas of the world map.",Explore Ashenvale,,845,-1,-1,0,14778,0,0,0,1,236713,0,126972,0,0,0,0
"Explore Thousand Needles, revealing the covered areas of the world map.",Explore Thousand Needles,,846,-1,-1,0,14778,0,0,0,18,236848,0,126991,0,0,0,0
"Explore Stonetalon Mountains, revealing the covered areas of the world map.",Explore Stonetalon Mountains,,847,-1,-1,0,14778,0,0,0,15,236831,0,127488,0,0,0,0
"Explore Desolace, revealing the covered areas of the world map.",Explore Desolace,,848,-1,-1,0,14778,0,0,0,5,236742,0,127001,0,0,0,0
"Explore Feralas, revealing the covered areas of the world map.",Explore Feralas,,849,-1,-1,0,14778,0,0,0,9,236764,0,127552,0,0,0,0
"Explore Dustwallow Marsh, revealing the covered areas of the world map.",Explore Dustwallow Marsh,,850,-1,-1,0,14778,0,0,0,7,236758,0,127353,0,0,0,0
"Explore Tanaris, revealing the covered areas of the world map.",Explore Tanaris,,851,-1,-1,0,14778,0,0,0,16,236846,0,123940,0,0,0,0
"Explore Azshara, revealing the covered areas of the world map.",Explore Azshara,,852,-1,-1,0,14778,0,0,0,2,236714,0,127905,0,0,0,0
"Explore Felwood, revealing the covered areas of the world map.",Explore Felwood,,853,-1,-1,0,14778,0,0,0,8,236763,0,125345,0,0,0,0
"Explore Un'Goro Crater, revealing the covered areas of the world map.",Explore Un'Goro Crater,,854,-1,-1,0,14778,0,0,0,19,236850,0,121720,0,0,0,0
"Explore Moonglade, revealing the covered areas of the world map.",Explore Moonglade,,855,-1,-1,0,14778,0,0,0,10,135758,0,127084,0,0,0,0
"Explore Silithus, revealing the covered areas of the world map.",Explore Silithus,,856,-1,-1,0,14778,0,0,0,14,236829,0,125171,0,0,0,0
"Explore Winterspring, revealing the covered areas of the world map.",Explore Winterspring,,857,-1,-1,0,14778,0,0,0,20,236854,0,121728,0,0,0,0
,Warlord Zaela kills (Upper Blackrock Spire),,9275,1358,-1,0,15233,0,0,1,1,136243,0,38168,0,0,0,0
,Has Died,,15329,-1,-1,0,14821,0,0,1050624,26,136243,0,94296,0,0,0,0
,Survivor of the Firelord,,15330,-1,-1,0,14821,0,0,1050624,27,136243,0,94292,0,0,0,0
,Survivor,,15332,-1,-1,0,14821,0,0,1050624,32,136243,0,94307,0,0,0,0
,Survivor of the Shadow Flame,,15333,-1,-1,0,14821,0,0,1050624,28,136243,0,94311,0,0,0,0
,Survivor of the Old God,,15334,-1,-1,0,14821,0,0,1050624,29,136243,0,94313,0,0,0,0
,Survivor of the Damned,,15335,-1,-1,0,14821,0,0,1050624,30,136243,0,94315,0,0,0,0
,<Hidden> Adventure Awaits - Hit 60 with Buff Adventure Awaits,,15578,-1,-1,0,14821,0,0,1048580,59,136243,0,95385,0,0,0,0
,The Immortal,,15637,-1,-1,0,15425,0,0,1048576,3,135922,191481,95610,0,0,0,0
,UNUSED Bael'Gar Defeated (Daily),,19563,-1,-1,0,14821,0,0,1050624,31,136243,0,0,0,0,0,0
,[DNT] Discoverer's Delight - Reach Level 25 in Phase 2 (hidden),,20129,-1,-1,0,15425,0,0,1050628,44,136243,0,156290,0,0,0,0
,[DNT] Discoverer's Delight - Reach Level 40 in Phase 3 (hidden),,20130,-1,-1,0,15425,0,0,1050628,45,136243,0,157566,0,0,0,0
,[DNT] Discoverer's Delight - Reach Level 60 in Phase 4 (hidden),,20131,-1,-1,0,15425,0,0,1050628,51,136243,0,161531,0,0,0,0
,[DNT] Discoverer's Delight - Reach Level 60 in Phase 5 (hidden),,20132,-1,-1,0,15425,0,0,1050628,52,136243,0,156296,0,0,0,0
,[DNT] Self-Found Soul (Level 1),,20133,-1,-1,0,15425,0,0,1050628,34,136243,0,156298,0,0,0,0
,[DNT] Self-Found Soul (Level 10),,20134,-1,-1,0,15425,0,0,1050628,38,136243,0,156301,0,0,0,0
,[DNT] Self-Found Soul (Level 20),,20135,-1,-1,0,15425,0,0,1050628,39,136243,0,156304,0,0,0,0
,[DNT] Self-Found Soul (Level 30),,20136,-1,-1,0,15425,0,0,1050628,40,136243,0,156307,0,0,0,0
,[DNT] Self-Found Soul (Level 40),,20137,-1,-1,0,15425,0,0,1050628,41,136243,0,156310,0,0,0,0
,[DNT] Self-Found Soul (Level 50),,20138,-1,-1,0,15425,0,0,1050628,42,136243,0,156313,0,0,0,0
,[DNT] Self-Found Soul (Level 60),,20139,-1,-1,0,15425,0,0,1050628,43,136243,0,156316,0,0,0,0
,[DNT] Self-Found Soul (Removed Self-Found),,20193,-1,-1,0,15425,0,0,1050628,37,136243,0,156405,0,0,0,0
,[DNT] Discoverer's Delight - Reach Level 40 in Phase 3 - Update (hidden),,40131,-1,-1,0,15425,0,0,1050628,48,136243,0,156292,0,0,0,0
,[DNT] Discoverer's Delight - Reach Level 50 in Phase 3 (hidden),,40132,-1,-1,0,15425,0,0,1050628,46,136243,0,161525,0,0,0,0
,[DNT] Discoverer's Delight - Reach Level 40 in Phase 3.5 - Update (hidden),,40133,-1,-1,0,15425,0,0,1050628,49,136243,0,161527,0,0,0,0
,[DNT] Discoverer's Delight - Reach Level 50 in Phase 3.5 (hidden),,40135,-1,-1,0,15425,0,0,1050628,47,136243,0,161529,0,0,0,0
,[DNT] Discoverer's Delight - Reach Level 50 in Phase 4 - Update (hidden),,40137,-1,-1,0,15425,0,0,1050628,50,136243,0,156294,0,0,0,0
,Rune Learned - Shared Acquisition - Illari Duskfeather (40),,41008,-1,-1,0,15425,0,0,1048576,57,236449,0,169195,0,0,0,0
,Rune Learned - Shared Acquisition - Dark Riders (40),,41009,-1,-1,0,15425,0,0,1048576,58,136243,0,169197,0,0,0,0
,Rune Learned - Shared Acquisition - Ley Lines (50),,41010,-1,-1,0,15425,0,0,1048576,59,136243,0,169201,0,0,0,0
,[DNT] Balnazzar Defeated,,42133,-1,-1,0,15425,0,0,9570308,35,136243,0,210009,0,0,0,0
,[DNT] Balnazzar Defeated (Backup Achievement),,42186,-1,-1,0,15425,0,0,9439236,36,136243,0,210320,0,0,0,0
Reach level 25 for the first time on a Warrior.,Novice Warrior,Earn 1 Legacy Point.,61499,-1,-1,0,15585,0,0,134349824,1,626008,0,219255,0,0,0,0
Reach level 45 for the first time on a Warrior.,Experienced Warrior,Earn 1 Legacy Point.,61500,-1,-1,0,15585,0,0,134349824,4,626008,0,219278,0,0,0,0
Reach level 60 for the first time on a Warrior.,Master Warrior,Earn 1 Legacy Point.,61501,-1,-1,0,15585,0,0,134349824,6,626008,0,219280,0,0,0,0
Reach level 25 for the first time on a Druid.,Novice Druid,Earn 1 Legacy Point.,61502,-1,-1,0,15577,0,0,134349824,1,625999,0,219282,0,0,0,0
Reach level 45 for the first time on a Druid.,Experienced Druid,Earn 1 Legacy Point.,61503,-1,-1,0,15577,0,0,134349824,4,625999,0,219284,0,0,0,0
Reach level 60 for the first time on a Druid.,Master Druid,Earn 1 Legacy Point.,61504,-1,-1,0,15577,0,0,134349824,6,625999,0,219286,0,0,0,0
,1.60.0 - Lost Ones Tracking Achievement <HIDDEN>,,61515,-1,-1,0,1,0,0,68157440,1,136243,0,219337,0,0,0,0
Reach level 25 for the first time on a Hunter.,Novice Hunter,Earn 1 Legacy Point.,61989,-1,-1,0,15578,0,0,134349824,1,626000,0,221439,0,0,0,0
Reach level 45 for the first time on a Hunter.,Experienced Hunter,Earn 1 Legacy Point.,61992,-1,-1,0,15578,0,0,134349824,4,626000,0,221463,0,0,0,0
Reach level 60 for the first time on a Hunter.,Master Hunter,Earn 1 Legacy Point.,61993,-1,-1,0,15578,0,0,134349824,6,626000,0,221465,0,0,0,0
Reach level 25 for the first time on a Mage.,Novice Mage,Earn 1 Legacy Point.,61994,-1,-1,0,15579,0,0,134349824,1,626001,0,221467,0,0,0,0
Reach level 45 for the first time on a Mage.,Experienced Mage,Earn 1 Legacy Point.,61995,-1,-1,0,15579,0,0,134349824,4,626001,0,221469,0,0,0,0
Reach level 60 for the first time on a Mage.,Master Mage,Earn 1 Legacy Point.,61996,-1,-1,0,15579,0,0,134349824,6,626001,0,221471,0,0,0,0
Reach level 25 for the first time on a Paladin.,Novice Paladin,Earn 1 Legacy Point.,61997,-1,-1,0,15580,0,0,134349824,1,626003,0,221473,0,0,0,0
Reach level 45 for the first time on a Paladin.,Experienced Paladin,Earn 1 Legacy Point.,61998,-1,-1,0,15580,0,0,134349824,4,626003,0,221475,0,0,0,0
Reach level 60 for the first time on a Paladin.,Master Paladin,Earn 1 Legacy Point.,61999,-1,-1,0,15580,0,0,134349824,6,626003,0,221477,0,0,0,0
Reach level 25 for the first time on a Priest.,Novice Priest,Earn 1 Legacy Point.,62000,-1,-1,0,15581,0,0,134349824,1,626004,0,221479,0,0,0,0
Reach level 45 for the first time on a Priest.,Experienced Priest,Earn 1 Legacy Point.,62001,-1,-1,0,15581,0,0,134349824,4,626004,0,221481,0,0,0,0
Reach level 60 for the first time on a Priest.,Master Priest,Earn 1 Legacy Point.,62002,-1,-1,0,15581,0,0,134349824,6,626004,0,221483,0,0,0,0
Reach level 25 for the first time on a Rogue.,Novice Rogue,Earn 1 Legacy Point.,62003,-1,-1,0,15582,0,0,134349824,2,626005,0,221485,0,0,0,0
Reach level 45 for the first time on a Rogue.,Experienced Rogue,Earn 1 Legacy Point.,62004,-1,-1,0,15582,0,0,134349824,3,626005,0,221487,0,0,0,0
Reach level 60 for the first time on a Rogue.,Master Rogue,Earn 1 Legacy Point.,62005,-1,-1,0,15582,0,0,134349824,6,626005,0,221489,0,0,0,0
Reach level 25 for the first time on a Shaman.,Novice Shaman,Earn 1 Legacy Point.,62006,-1,-1,0,15583,0,0,134349824,1,626006,0,221491,0,0,0,0
Reach level 45 for the first time on a Shaman.,Experienced Shaman,Earn 1 Legacy Point.,62007,-1,-1,0,15583,0,0,134349824,4,626006,0,221493,0,0,0,0
Reach level 60 for the first time on a Shaman.,Master Shaman,Earn 1 Legacy Point.,62008,-1,-1,0,15583,0,0,134349824,6,626006,0,221495,0,0,0,0
Reach level 25 for the first time on a Warlock.,Novice Warlock,Earn 1 Legacy Point.,62009,-1,-1,0,15584,0,0,134349824,1,626007,0,221497,0,0,0,0
Reach level 45 for the first time on a Warlock.,Experienced Warlock,Earn 1 Legacy Point.,62010,-1,-1,0,15584,0,0,134349824,4,626007,0,221499,0,0,0,0
Reach level 60 for the first time on a Warlock.,Master Warlock,Earn 1 Legacy Point.,62011,-1,-1,0,15584,0,0,134349824,6,626007,0,221501,0,0,0,0
Reach 150 skill in Alchemy for the first time.,Journeyman Alchemist,Earn 1 Legacy Point.,62012,-1,-1,0,15587,0,0,134349824,1,136240,0,221503,0,0,0,0
Reach 225 skill in Alchemy for the first time.,Expert Alchemist,Earn 1 Legacy Point.,62013,-1,-1,0,15587,0,0,134349824,4,136240,0,221505,0,0,0,0
Reach 300 skill in Alchemy for the first time.,Artisan Alchemist,Earn 1 Legacy Point.,62014,-1,-1,0,15587,0,0,134349824,6,136240,0,221507,0,0,0,0
Reach 150 skill in Blacksmithing for the first time.,Journeyman Blacksmith,Earn 1 Legacy Point.,62015,-1,-1,0,15588,0,0,134349824,2,136241,0,221509,0,0,0,0
Reach 225 skill in Blacksmithing for the first time.,Expert Blacksmith,Earn 1 Legacy Point.,62016,-1,-1,0,15588,0,0,134349824,3,136241,0,221511,0,0,0,0
Reach 300 skill in Blacksmithing for the first time.,Artisan Blacksmith,Earn 1 Legacy Point.,62017,-1,-1,0,15588,0,0,134349824,6,136241,0,221513,0,0,0,0
Reach 150 skill in Enchanting for the first time.,Journeyman Enchanter,Earn 1 Legacy Point.,62018,-1,-1,0,15589,0,0,134349824,1,136244,0,221515,0,0,0,0
Reach 225 skill in Enchanting for the first time.,Expert Enchanter,Earn 1 Legacy Point.,62019,-1,-1,0,15589,0,0,134349824,4,136244,0,221517,0,0,0,0
Reach 300 skill in Enchanting for the first time.,Artisan Enchanter,Earn 1 Legacy Point.,62020,-1,-1,0,15589,0,0,134349824,6,136244,0,221519,0,0,0,0
Reach 150 skill in Engineering for the first time.,Journeyman Engineer,Earn 1 Legacy Point.,62021,-1,-1,0,15590,0,0,134349824,2,136243,0,221521,0,0,0,0
Reach 225 skill in Engineering for the first time.,Expert Engineer,Earn 1 Legacy Point.,62022,-1,-1,0,15590,0,0,134349824,3,136243,0,221523,0,0,0,0
Reach 300 skill in Engineering for the first time.,Artisan Engineer,Earn 1 Legacy Point.,62023,-1,-1,0,15590,0,0,134349824,6,136243,0,221525,0,0,0,0
Reach 150 skill in Leatherworking for the first time.,Journeyman Leatherworker,Earn 1 Legacy Point.,62024,-1,-1,0,15591,0,0,134349824,1,136247,0,221527,0,0,0,0
Reach 225 skill in Leatherworking for the first time.,Expert Leatherworker,Earn 1 Legacy Point.,62025,-1,-1,0,15591,0,0,134349824,4,136247,0,221529,0,0,0,0
Reach 300 skill in Leatherworking for the first time.,Artisan Leatherworker,Earn 1 Legacy Point.,62026,-1,-1,0,15591,0,0,134349824,6,136247,0,221531,0,0,0,0
Reach 150 skill in Tailoring for the first time.,Journeyman Tailor,Earn 1 Legacy Point.,62028,-1,-1,0,15592,0,0,134349824,1,136249,0,221533,0,0,0,0
Reach 225 skill in Tailoring for the first time.,Expert Tailor,Earn 1 Legacy Point.,62029,-1,-1,0,15592,0,0,134349824,4,136249,0,221535,0,0,0,0
Reach 300 skill in Tailoring for the first time.,Artisan Tailor,Earn 1 Legacy Point.,62030,-1,-1,0,15592,0,0,134349824,6,136249,0,221537,0,0,0,0
Complete the following dungeons.,Novice Spelunker,Earn 1 Legacy Point.,62031,-1,-1,0,15593,0,0,134349824,1,4504543,0,230759,0,0,0,0
Complete the following dungeons.,Experienced Spelunker,Earn 1 Legacy Point.,62032,-1,-1,0,15593,0,0,134349824,4,236695,0,230767,0,0,0,0
Complete the following dungeons.,Master Spelunker,Earn 1 Legacy Point.,62033,-1,-1,0,15593,0,0,134349824,6,236696,0,230779,0,0,0,0
Defeat the following encounters in Hyjal Summit.,Conquerer of the Wilds,Earn 1 Legacy Point.,62034,-1,-1,0,15594,0,0,134349824,1,409547,0,230811,0,0,0,0
Defeat the following encounters in the Barrow Deeps.,Conquerer of the Deeps,Earn 1 Legacy Point.,62035,-1,-1,0,15594,0,0,134349824,4,1417431,0,230799,0,0,0,0
Reach the rank of Sergeant in the Player vs. Player Honor System.,Rank 3,Earn 1 Legacy Point.,62041,-1,-1,0,15597,0,0,134349824,1,236597,0,230739,0,0,0,0
Reach the rank of Knight-Lieutenant or Blood Guard in the Player vs. Player Honor System.,Rank 7,Earn 1 Legacy Point.,62042,-1,-1,0,15597,0,0,134349824,3,236601,0,230741,0,0,0,0
Reach the rank of Lieutenant-Commander or Champion in the Player vs. Player Honor System.,Rank 10,Earn 1 Legacy Point.,62043,-1,-1,0,15597,0,0,134349824,5,236604,0,230743,0,0,0,0
Reach the rank Field Marshal or Warlord in the Player vs. Player Honor System.,Rank 13,Earn 1 Legacy Point.,62044,-1,-1,0,15597,0,0,134349824,8,236607,0,230745,0,0,0,0
Reach the rank of Grand Marshal or High Warlord in the Player vs. Player Honor System.,Rank 14,Earn 1 Legacy Point.,62045,-1,-1,0,15597,0,0,134349824,10,236608,0,230747,0,0,0,0
Reach exalted reputation with the Frostwolf Clan or Stormpike Guard.,Master of Alterac Valley,Earn 1 Legacy Point.,62046,-1,-1,0,15598,0,0,134349824,1,236711,0,221565,0,0,0,0
Reach exalted reputation with the Defilers or League of Arathor.,Master of Arathi Basin,Earn 1 Legacy Point.,62047,-1,-1,0,15598,0,0,134349824,3,236712,0,221568,0,0,0,0
Reach exalted reputation with the Warsong Outriders or Silverwing Sentinels.,Master of Warsong Gulch,Earn 1 Legacy Point.,62048,-1,-1,0,15598,0,0,134349824,6,236396,0,221571,0,0,0,0
Reach exalted reputation with the Darkspear Raiders or Theramore Expeditionary Force.,Master of Darkspear Islands,Earn 1 Legacy Point.,62049,-1,-1,0,15598,0,0,134349824,8,441150,0,230736,0,0,0,0
Complete the zone map for all existing zones in Eastern Kingdoms and Kalimdor on a single character.,Explore Azeroth,,62053,-1,-1,0,15607,0,0,0,1,237388,0,223475,0,0,0,0
"Complete the questline beginning with An Earnest Proposition, and ending with Saving the Best for Last.",Lord Valthalak Laid to Rest,Earn 1 Legacy Point.,62054,-1,-1,0,15596,0,0,134349824,2,1002601,0,221563,0,0,0,0
Complete the maps of Eastern Kingdoms on a single character:,Explore Eastern Kingdoms,,62353,-1,-1,0,15607,0,0,0,11,236759,0,223429,0,0,0,0
"Explore Riverglades, revealing the covered areas of the world map.",Explore Riverglades,,62354,-1,-1,0,14777,0,0,0,15,1032150,0,232119,0,0,0,0
Complete the maps of Kalimdor on a single character:,Explore Kalimdor,,62355,-1,-1,0,15607,0,0,0,12,236807,0,223453,0,0,0,0
"Explore Mount Hyjal, revealing the covered areas of the world map.",Explore Mount Hyjal,,62356,-1,-1,0,14778,0,0,0,11,409547,0,232132,0,0,0,0
Have a character with the Explore Azeroth achievement.,Explorer,Earn 1 Legacy Point.,62382,-1,-1,0,15596,0,0,134349824,4,237387,0,223519,0,0,0,0
Complete Week 4 of the Field of Honor Journey.,Field of Honor: Week 4,Earn 1 Legacy Point.,63340,-1,-1,0,15620,0,0,134349824,1,2022756,0,229457,0,0,0,0
Complete Week 7 of the Field of Honor Journey.,Field of Honor: Week 7,Earn 1 Legacy Point.,63341,-1,-1,0,15620,0,0,134349824,4,2022756,0,229460,0,0,0,0
Complete Week 10 of the Field of Honor Journey.,Field of Honor: Week 10,Earn 1 Legacy Point.,63342,-1,-1,0,15620,0,0,134349824,6,2022756,0,229462,0,0,0,0
"Explore Shen'dralas, revealing the covered areas of the world map.",Explore Shen'dralas,,63684,-1,-1,0,14778,0,0,0,13,132368,0,232142,0,0,0,0
Reach level 25 for the first time on a Warrior.,Novice Warrior,Earn 1 Legacy Point.,63969,-1,-1,0,15585,0,0,268567552,2,626008,0,234036,0,0,0,0
Reach level 45 for the first time on a Warrior.,Experienced Warrior,Earn 1 Legacy Point.,63970,-1,-1,0,15585,0,0,268567552,3,626008,0,234038,0,0,0,0
Reach level 60 for the first time on a Warrior.,Master Warrior,Earn 1 Legacy Point.,63971,-1,-1,0,15585,0,0,268567552,5,626008,0,234040,0,0,0,0
Reach level 25 for the first time on a Druid.,Novice Druid,Earn 1 Legacy Point.,63972,-1,-1,0,15577,0,0,268567552,2,625999,0,234042,0,0,0,0
Reach level 45 for the first time on a Druid.,Experienced Druid,Earn 1 Legacy Point.,63973,-1,-1,0,15577,0,0,268567552,3,625999,0,234044,0,0,0,0
Reach level 60 for the first time on a Druid.,Master Druid,Earn 1 Legacy Point.,63974,-1,-1,0,15577,0,0,268567552,5,625999,0,234046,0,0,0,0
Reach level 25 for the first time on a Hunter.,Novice Hunter,Earn 1 Legacy Point.,63975,-1,-1,0,15578,0,0,268567552,2,626000,0,234048,0,0,0,0
Reach level 45 for the first time on a Hunter.,Experienced Hunter,Earn 1 Legacy Point.,63976,-1,-1,0,15578,0,0,268567552,3,626000,0,234050,0,0,0,0
Reach level 60 for the first time on a Hunter.,Master Hunter,Earn 1 Legacy Point.,63977,-1,-1,0,15578,0,0,268567552,5,626000,0,234052,0,0,0,0
Reach level 25 for the first time on a Mage.,Novice Mage,Earn 1 Legacy Point.,63978,-1,-1,0,15579,0,0,268567552,2,626001,0,234054,0,0,0,0
Reach level 45 for the first time on a Mage.,Experienced Mage,Earn 1 Legacy Point.,63979,-1,-1,0,15579,0,0,268567552,3,626001,0,234056,0,0,0,0
Reach level 60 for the first time on a Mage.,Master Mage,Earn 1 Legacy Point.,63980,-1,-1,0,15579,0,0,268567552,5,626001,0,234058,0,0,0,0
Reach level 25 for the first time on a Paladin.,Novice Paladin,Earn 1 Legacy Point.,63981,-1,-1,0,15580,0,0,268567552,2,626003,0,234060,0,0,0,0
Reach level 45 for the first time on a Paladin.,Experienced Paladin,Earn 1 Legacy Point.,63982,-1,-1,0,15580,0,0,268567552,3,626003,0,234062,0,0,0,0
Reach level 60 for the first time on a Paladin.,Master Paladin,Earn 1 Legacy Point.,63983,-1,-1,0,15580,0,0,268567552,5,626003,0,234064,0,0,0,0
Reach level 25 for the first time on a Priest.,Novice Priest,Earn 1 Legacy Point.,63984,-1,-1,0,15581,0,0,268567552,2,626004,0,234066,0,0,0,0
Reach level 45 for the first time on a Priest.,Experienced Priest,Earn 1 Legacy Point.,63985,-1,-1,0,15581,0,0,268567552,3,626004,0,234068,0,0,0,0
Reach level 60 for the first time on a Priest.,Master Priest,Earn 1 Legacy Point.,63986,-1,-1,0,15581,0,0,268567552,5,626004,0,234070,0,0,0,0
Reach level 25 for the first time on a Rogue.,Novice Rogue,Earn 1 Legacy Point.,63987,-1,-1,0,15582,0,0,268567552,1,626005,0,234072,0,0,0,0
Reach level 45 for the first time on a Rogue.,Experienced Rogue,Earn 1 Legacy Point.,63988,-1,-1,0,15582,0,0,268567552,4,626005,0,234074,0,0,0,0
Reach level 60 for the first time on a Rogue.,Master Rogue,Earn 1 Legacy Point.,63989,-1,-1,0,15582,0,0,268567552,5,626005,0,234076,0,0,0,0
Reach level 25 for the first time on a Shaman.,Novice Shaman,Earn 1 Legacy Point.,63990,-1,-1,0,15583,0,0,268567552,2,626006,0,234078,0,0,0,0
Reach level 45 for the first time on a Shaman.,Experienced Shaman,Earn 1 Legacy Point.,63991,-1,-1,0,15583,0,0,268567552,3,626006,0,234080,0,0,0,0
Reach level 60 for the first time on a Shaman.,Master Shaman,Earn 1 Legacy Point.,63992,-1,-1,0,15583,0,0,268567552,5,626006,0,234082,0,0,0,0
Reach level 25 for the first time on a Warlock.,Novice Warlock,Earn 1 Legacy Point.,63993,-1,-1,0,15584,0,0,268567552,2,626007,0,234084,0,0,0,0
Reach level 45 for the first time on a Warlock.,Experienced Warlock,Earn 1 Legacy Point.,63994,-1,-1,0,15584,0,0,268567552,3,626007,0,234086,0,0,0,0
Reach level 60 for the first time on a Warlock.,Master Warlock,Earn 1 Legacy Point.,63995,-1,-1,0,15584,0,0,268567552,5,626007,0,234088,0,0,0,0
Reach 150 skill in Alchemy for the first time.,Journeyman Alchemist,Earn 1 Legacy Point.,63996,-1,-1,0,15587,0,0,268567552,2,136240,0,234090,0,0,0,0
Reach 225 skill in Alchemy for the first time.,Expert Alchemist,Earn 1 Legacy Point.,63997,-1,-1,0,15587,0,0,268567552,3,136240,0,234092,0,0,0,0
Reach 300 skill in Alchemy for the first time.,Artisan Alchemist,Earn 1 Legacy Point.,63998,-1,-1,0,15587,0,0,268567552,5,136240,0,234094,0,0,0,0
Reach 150 skill in Blacksmithing for the first time.,Journeyman Blacksmith,Earn 1 Legacy Point.,63999,-1,-1,0,15588,0,0,268567552,1,136241,0,234096,0,0,0,0
Reach 225 skill in Blacksmithing for the first time.,Expert Blacksmith,Earn 1 Legacy Point.,64000,-1,-1,0,15588,0,0,268567552,4,136241,0,234098,0,0,0,0
Reach 300 skill in Blacksmithing for the first time.,Artisan Blacksmith,Earn 1 Legacy Point.,64001,-1,-1,0,15588,0,0,268567552,5,136241,0,234100,0,0,0,0
