ID,ParticulateID,DaySound,NightSound,EnterSound,ExitSound
376,542,0,0,0,0
377,543,0,0,0,0
378,544,0,0,0,0
379,545,0,0,0,0
380,546,0,0,0,0
382,548,0,0,0,0
383,549,0,0,0,0
384,550,0,0,0,0
385,551,0,0,0,0
386,552,0,0,0,0
387,553,0,0,0,0
388,554,0,0,0,0
389,555,0,0,0,0
396,561,0,0,0,0
397,562,0,0,0,0
398,563,0,0,0,0
400,564,0,0,0,0
402,565,0,0,0,0
403,566,0,0,0,0
412,574,0,0,0,0
423,583,0,0,0,0
424,585,0,0,0,0
425,586,0,0,0,0
426,587,0,0,0,0
427,588,0,0,0,0
433,596,0,0,0,0
518,679,0,0,0,0
519,680,0,0,0,0
520,681,0,0,0,0
521,682,0,0,0,0
522,683,0,0,0,0
523,684,0,0,0,0
524,685,0,0,0,0
525,686,0,0,0,0
526,687,0,0,0,0
527,688,0,0,0,0
528,689,0,0,0,0
529,690,0,0,0,0
530,691,0,0,0,0
531,692,0,0,0,0
532,693,0,0,0,0
533,694,0,0,0,0
534,695,0,0,0,0
537,698,0,0,0,0
540,701,0,0,0,0
541,702,0,0,0,0
542,703,0,0,0,0
543,704,0,0,0,0
544,705,0,0,0,0
545,706,0,0,0,0
546,707,0,0,0,0
547,708,0,0,0,0
548,709,0,0,0,0
549,710,0,0,0,0
550,711,0,0,0,0
551,712,0,0,0,0
552,713,0,0,0,0
553,714,0,0,0,0
554,715,0,0,0,0
555,716,0,0,0,0
556,717,0,0,0,0
557,718,0,0,0,0
558,719,0,0,0,0
559,720,0,0,0,0
560,721,0,0,0,0
561,722,0,0,0,0
562,723,0,0,0,0
563,724,0,0,0,0
564,725,0,0,0,0
565,726,0,0,0,0
566,727,0,0,0,0
567,728,0,0,0,0
568,729,0,0,0,0
569,730,0,0,0,0
570,731,0,0,0,0
571,732,0,0,0,0
581,742,0,0,0,0
582,743,0,0,0,0
583,744,0,0,0,0
584,745,0,0,0,0
585,746,0,0,0,0
586,747,0,0,0,0
587,748,0,0,0,0
588,749,0,0,0,0
589,750,0,0,0,0
590,751,0,0,0,0
591,752,0,0,0,0
593,754,0,0,0,0
594,755,0,0,0,0
622,777,0,0,0,0
623,778,0,0,0,0
624,779,0,0,0,0
625,780,0,0,0,0
626,781,0,0,0,0
627,782,0,0,0,0
628,783,0,0,0,0
629,784,0,0,0,0
630,785,0,0,0,0
631,786,0,0,0,0
632,787,0,0,0,0
633,788,0,0,0,0
634,789,0,0,0,0
635,790,0,0,0,0
636,791,0,0,0,0
637,792,0,0,0,0
638,793,0,0,0,0
639,794,0,0,0,0
640,795,0,0,0,0
641,796,0,0,0,0
642,797,0,0,0,0
643,798,0,0,0,0
644,799,0,0,0,0
645,800,0,0,0,0
646,801,0,0,0,0
647,802,0,0,0,0
648,803,0,0,0,0
649,804,0,0,0,0
650,805,0,0,0,0
651,806,0,0,0,0
652,807,0,0,0,0
653,808,0,0,0,0
654,809,0,0,0,0
656,811,0,0,0,0
657,812,0,0,0,0
658,813,0,0,0,0
659,814,0,0,0,0
660,815,0,0,0,0
661,816,0,0,0,0
662,817,0,0,0,0
663,818,0,0,0,0
664,819,0,0,0,0
665,820,0,0,0,0
666,821,0,0,0,0
667,822,0,0,0,0
668,823,0,0,0,0
675,830,0,0,0,0
676,831,0,0,0,0
677,832,0,0,0,0
678,833,0,0,0,0
679,834,0,0,0,0
680,835,0,0,0,0
681,836,0,0,0,0
682,837,0,0,0,0
683,838,0,0,0,0
684,839,0,0,0,0
685,840,0,0,0,0
686,841,0,0,0,0
687,842,0,0,0,0
688,843,0,0,0,0
689,844,0,0,0,0
690,845,0,0,0,0
705,858,0,0,0,0
712,865,0,0,0,0
713,866,0,0,0,0
714,867,0,0,0,0
715,868,0,0,0,0
716,869,0,0,0,0
718,871,0,0,0,0
725,878,0,0,0,0
726,879,0,0,0,0
727,880,0,0,0,0
728,881,0,0,0,0
729,882,0,0,0,0
730,883,0,0,0,0
731,884,0,0,0,0
732,885,0,0,0,0
740,893,0,0,0,0
785,938,0,0,0,0
827,980,0,0,0,0
841,994,0,0,0,0
846,999,0,0,0,0
847,1000,0,0,0,0
848,1001,0,0,0,0
849,1002,0,0,0,0
850,1003,0,0,0,0
851,1004,0,0,0,0
852,1005,0,0,0,0
853,1006,0,0,0,0
854,1007,0,0,0,0
855,1008,0,0,0,0
856,1009,0,0,0,0
857,1010,0,0,0,0
858,1011,0,0,0,0
875,1027,0,0,0,0
894,1046,0,0,0,0
895,1047,0,0,0,0
898,1050,0,0,0,0
899,1051,0,0,0,0
900,1052,0,0,0,0
901,1053,0,0,0,0
902,1054,0,0,0,0
903,1055,0,0,0,0
904,1056,0,0,0,0
905,1057,0,0,0,0
906,1058,0,0,0,0
907,1059,0,0,0,0
909,1061,0,0,0,0
910,1062,0,0,0,0
911,1063,0,0,0,0
912,1064,0,0,0,0
913,1065,0,0,0,0
914,1066,0,0,0,0
915,1067,0,0,0,0
916,1068,0,0,0,0
917,1069,0,0,0,0
918,1070,0,0,0,0
919,1071,0,0,0,0
920,1072,0,0,0,0
921,1073,0,0,0,0
922,1074,0,0,0,0
923,1075,0,0,0,0
924,1076,0,0,0,0
925,1077,0,0,0,0
926,1078,0,0,0,0
927,1079,0,0,0,0
928,1080,0,0,0,0
929,1081,0,0,0,0
930,1082,0,0,0,0
931,1083,0,0,0,0
932,1084,0,0,0,0
933,1085,0,0,0,0
934,1086,0,0,0,0
935,1087,0,0,0,0
936,1088,0,0,0,0
937,1089,0,0,0,0
940,1092,0,0,0,0
941,1093,0,0,0,0
944,1096,0,0,0,0
945,1097,0,0,0,0
946,1098,0,0,0,0
947,1099,0,0,0,0
948,1100,0,0,0,0
949,1101,0,0,0,0
950,1102,0,0,0,0
951,1103,0,0,0,0
952,1104,0,0,0,0
953,1105,0,0,0,0
954,1106,0,0,0,0
955,1107,0,0,0,0
956,1108,0,0,0,0
957,1109,0,0,0,0
958,1110,0,0,0,0
959,1111,0,0,0,0
960,1112,0,0,0,0
961,1113,0,0,0,0
962,1114,0,0,0,0
964,1116,0,0,0,0
965,1117,0,0,0,0
966,1118,0,0,0,0
967,1119,0,0,0,0
971,1123,0,0,0,0
973,1125,0,0,0,0
974,1126,0,0,0,0
975,1127,0,0,0,0
976,1128,0,0,0,0
977,1129,0,0,0,0
978,1130,0,0,0,0
979,1131,0,0,0,0
980,1132,0,0,0,0
981,1133,0,0,0,0
982,1134,0,0,0,0
983,1135,0,0,0,0
984,1136,0,0,0,0
985,1137,0,0,0,0
986,1138,0,0,0,0
987,1139,0,0,0,0
988,1140,0,0,0,0
989,1141,0,0,0,0
990,1142,0,0,0,0
991,1143,0,0,0,0
996,1148,0,0,0,0
1000,1152,0,0,0,0
1001,1153,0,0,0,0
1004,1156,0,0,0,0
1006,1158,0,0,0,0
1007,1159,0,0,0,0
1010,1162,0,0,0,0
1011,1163,0,0,0,0
1012,1164,0,0,0,0
1013,1165,0,0,0,0
1014,1166,0,0,0,0
1015,1167,0,0,0,0
1016,1168,0,0,0,0
1017,1169,0,0,0,0
1019,1171,0,0,0,0
1020,1172,0,0,0,0
1022,1174,0,0,0,0
1024,1176,0,0,0,0
1025,1177,0,0,0,0
1026,1178,0,0,0,0
1027,1179,0,0,0,0
1028,1180,0,0,0,0
1029,1181,0,0,0,0
1030,1182,0,0,0,0
1031,1183,0,0,0,0
1034,1186,0,0,0,0
1035,1187,0,0,0,0
1036,1188,0,0,0,0
1037,1189,0,0,0,0
1042,1194,0,0,0,0
1049,1201,0,0,0,0
1052,1204,0,0,0,0
1074,1226,0,0,0,0
1099,1251,0,0,0,0
1101,1253,0,0,0,0
1102,1254,0,0,0,0
1103,1255,0,0,0,0
1104,1256,0,0,0,0
1119,1271,0,0,0,0
1120,1272,0,0,0,0
1121,1273,0,0,0,0
1122,1274,0,0,0,0
1123,1275,0,0,0,0
1129,1281,0,0,0,0
1132,1284,0,0,0,0
1133,1285,0,0,0,0
1135,1287,0,0,0,0
1136,1288,0,0,0,0
1137,1289,0,0,0,0
1138,1290,0,0,0,0
1139,1291,0,0,0,0
1140,1292,0,0,0,0
1141,1293,0,0,0,0
1142,1294,0,0,0,0
1143,1295,0,0,0,0
1144,1296,0,0,0,0
1145,1297,0,0,0,0
1146,1298,0,0,0,0
1147,1299,0,0,0,0
1149,1301,0,0,0,0
1151,1303,0,0,0,0
1152,1304,0,0,0,0
1153,1305,0,0,0,0
1154,1306,0,0,0,0
1159,1311,0,0,0,0
1166,1318,0,0,0,0
1177,1329,0,0,0,0
1178,1330,0,0,0,0
1180,1331,0,0,0,0
1182,1333,0,0,0,0
1183,1334,0,0,0,0
1184,1335,0,0,0,0
1185,1336,0,0,0,0
1186,1337,0,0,0,0
1187,1338,0,0,0,0
1188,1339,0,0,0,0
1189,1340,0,0,0,0
1191,1342,0,0,0,0
1193,1344,0,0,0,0
1194,1345,0,0,0,0
1195,1346,0,0,0,0
1197,1348,0,0,0,0
1199,1350,0,0,0,0
1200,1351,0,0,0,0
1201,1352,0,0,0,0
1202,1353,0,0,0,0
1203,1354,0,0,0,0
1204,1355,0,0,0,0
1205,1356,0,0,0,0
1206,1357,0,0,0,0
1207,1358,0,0,0,0
1208,1359,0,0,0,0
1209,1360,0,0,0,0
1212,1363,0,0,0,0
1215,1366,0,0,0,0
1216,1367,0,0,0,0
1217,1368,0,0,0,0
1218,1369,0,0,0,0
1219,1370,0,0,0,0
1220,1371,0,0,0,0
1221,1372,0,0,0,0
1222,1373,0,0,0,0
1223,1374,0,0,0,0
1224,1375,0,0,0,0
1225,1376,0,0,0,0
1226,1377,0,0,0,0
1227,1378,0,0,0,0
1228,1379,0,0,0,0
1230,1381,0,0,0,0
1231,1382,0,0,0,0
1232,1383,0,0,0,0
1233,1384,0,0,0,0
1236,1387,0,0,0,0
1237,1388,0,0,0,0
1239,1390,0,0,0,0
1240,1391,0,0,0,0
1241,1392,0,0,0,0
1242,1393,0,0,0,0
1243,1394,0,0,0,0
1244,1395,0,0,0,0
1245,1396,0,0,0,0
1246,1397,0,0,0,0
1247,1398,0,0,0,0
1248,1399,0,0,0,0
1249,1400,0,0,0,0
1250,1401,0,0,0,0
1251,1402,0,0,0,0
1252,1403,0,0,0,0
1253,1404,0,0,0,0
1254,1405,0,0,0,0
1256,1407,0,0,0,0
1257,1408,0,0,0,0
1258,1409,0,0,0,0
1259,1410,0,0,0,0
1260,1411,0,0,0,0
1262,1413,0,0,0,0
1263,1414,0,0,0,0
1264,1415,0,0,0,0
1265,1416,0,0,0,0
1268,1419,0,0,0,0
1271,1421,0,0,0,0
1272,1422,0,0,0,0
1273,1423,0,0,0,0
1329,1478,0,0,0,0
1330,1479,0,0,0,0
