ID,ItemEffectID,ItemID
93308,98274,6738
93309,98273,6831
93312,97773,6898
93313,98249,6904
93314,98060,6909
93315,98263,6972
93320,98781,7052
93325,98669,7133
93326,98225,7189
93327,98206,7284
93328,98028,7297
93329,98140,7344
93334,98081,7375
93336,98078,7391
93337,98708,7507
93338,98354,7508
93342,98625,7515
93345,98433,7710
93347,98707,7717
93351,98084,7730
93352,98021,7747
93354,98836,7753
93365,98681,7936
93367,98940,7939
93371,98373,7953
93372,98941,7954
93373,98399,7959
93374,98113,7960
93375,98942,7961
93377,98333,8006
93378,98891,8190
93379,98562,8197
93380,101155,8223
93381,98621,8224
93382,99336,8225
93383,98456,8345
93384,99111,8346
93386,98606,8348
93387,98158,8367
93388,100523,9239
93389,98585,9372
93392,98353,9379
93394,98389,9386
93397,98478,9394
93398,98511,9397
93399,98611,9404
93402,98687,9412
93404,98386,9418
93405,98539,9419
93406,98481,9423
93407,99051,9425
93411,98308,9446
93413,98990,9449
93414,98491,9452
93415,98498,9453
93417,101978,9458
93419,98925,9467
93421,98590,9475
93422,98865,9477
93423,98875,9478
93427,98961,9485
93428,99327,9486
93429,99071,9492
93430,98528,9511
93433,98336,9608
93435,99026,9639
93438,98437,9651
93439,98962,9978
93453,98866,10030
93456,100429,10036
93463,99022,10501
93465,98770,10506
93467,98826,10515
93468,98827,10518
93470,99363,10543
93471,98933,10567
93474,98969,10588
93475,99011,10623
93477,98847,10625
93478,98920,10626
93479,98917,10627
93480,99293,10628
93482,98919,10696
93484,102052,10697
93486,98331,10698
93487,98735,10721
93488,98831,10724
93489,99243,10726
93490,99292,10761
93491,98833,10772
93495,98556,10797
93496,99352,10803
93497,99353,10804
93503,98739,10847
93504,101975,11086
93505,101976,11086
93506,99036,11121
93509,99185,11522
93510,99213,11603
93511,99316,11607
93512,99325,11608
93520,99362,11635
93524,99055,11684
93529,99197,11744
93537,99573,11803
93539,99200,11808
93540,99201,11809
93541,99796,11817
93548,99622,11861
93550,98881,11902
93555,99439,11920
93578,99586,12185
93584,99699,12243
93585,99628,12250
93590,99718,12443
93591,99684,12463
93593,233966,12469
93595,99648,12528
93596,99985,12531
93597,99618,12532
93602,99886,12582
93603,99654,12583
93607,99690,12588
93609,99558,12590
93610,99559,12592
93617,99381,12621
93620,99179,12628
93621,99460,12631
93622,99469,12632
93627,99114,12639
93632,99723,12641
93643,101987,12769
93648,99585,12777
93649,100590,12781
93652,99501,12790
93653,99491,12791
93654,99605,12792
93655,99418,12794
93656,99419,12795
93657,99420,12796
93658,99892,12797
93659,100358,12798
93660,99073,12802
93678,99695,12969
93679,99811,12974
93680,99235,12992
93684,101742,13016
93690,99211,13032
93691,99652,13035
93694,99815,13040
93699,99063,13051
93701,99849,13053
93702,99893,13054
93705,99794,13057
93706,99433,13060
93713,99939,13146
93714,99061,13148
93723,99678,13183
93726,99819,13198
93728,99874,13204
93734,99885,13218
93735,99989,13243
93745,99465,13256
93747,99430,13262
93748,99639,13285
93749,100867,13286
93750,99814,13289
93752,99938,13315
93756,99583,13348
93758,99595,13353
93761,99564,13361
93764,99630,13375
93772,99917,13393
93777,100105,13399
93779,99860,13401
93783,99732,13408
93784,99626,13505
93788,99514,13603
93790,99983,13699
93792,99394,13700
93794,99396,13701
93808,99609,13937
93811,100007,13953
93824,99974,13983
93825,101242,13984
93826,99910,14024
93837,99285,14134
93844,99880,14145
93848,99905,14152
93850,99907,14153
93853,99544,14154
93855,100350,14487
93858,99868,14531
93861,100212,14541
93870,99859,14554
93871,99834,14555
93872,99852,14576
93913,100027,15107
93915,100312,15108
93918,100143,15138
93921,100306,15418
93926,100265,15814
93927,100021,15853
93930,100324,15866
93933,102413,16004
93993,100682,16391
93995,100684,16392
93998,101286,16397
94000,101308,16403
94001,100663,16406
94002,100140,16410
94033,100584,16440
94042,100134,16446
94043,100691,16448
94061,101402,16463
94067,100372,16471
94087,101380,16484
94090,100354,16487
94097,100707,16496
94098,100708,16498
94113,100076,16510
94117,100463,16518
94129,100822,16530
94141,100850,16540
94149,101834,16548
94158,101213,16555
94160,100364,16558
94174,100082,16571
94176,100084,16573
94192,100791,16768
94313,100730,16907
94403,100772,17002
94404,101948,17054
94405,100750,17066
94408,100812,17067
94409,101016,17068
94415,100697,17071
94417,100794,17073
94419,100797,17074
94420,100798,17074
94421,101218,17075
94422,100443,17076
94427,101462,17104
94432,100825,17112
94436,101343,17182
94437,101344,17182
94438,101883,17193
94439,100870,17223
94440,100871,17223
94442,101124,17564
94452,100724,17577
94459,100606,17584
94462,101006,17588
94469,100732,17596
94484,100890,17608
94490,100893,17617
94493,101116,17620
94502,100382,17704
94503,100397,17705
94511,101560,17730
94514,101363,17738
94519,100778,17752
94520,101005,17753
94522,100572,17766
94526,100512,17780
94527,101278,17943
94533,100541,18161
94534,100542,18162
94535,100341,18163
94536,101195,18164
94537,100423,18165
94538,100989,18168
94539,100990,18168
94540,101079,18202
94541,101080,18203
94571,101497,18326
94578,101288,18348
94613,100622,18410
94673,101519,18582
94674,101575,18583
94676,101453,18608
94677,101454,18608
94679,101858,18609
94682,101542,18671
94704,101173,18722
94729,101600,18801
94730,101601,18801
94743,100936,18816
94750,102134,18825
94751,102149,18826
94798,102049,18881
94799,102050,18881
94800,101953,18882
94802,101091,19019
94816,101856,19099
94817,102153,19100
94850,102061,19158
94851,102062,19158
94854,101072,19166
94857,101824,19169
94858,101825,19170
94870,101968,19323
94871,102201,19324
94872,101760,19334
94882,101669,19353
94998,102411,19852
95018,102537,19874
95044,102799,19901
95054,101777,19908
95056,101779,19910
95058,102266,19918
95078,102866,19968
95082,102516,19982
95086,102788,19986
95089,101912,19998
95094,101732,20005
95100,102643,20035
95111,101581,20048
95112,102796,20049
95113,102867,20050
95114,101567,20051
95115,102868,20052
95117,102351,20053
95119,102272,20054
95140,102518,20091
95141,102519,20092
95142,102808,20093
95143,102745,20094
95145,102826,20095
95147,102711,20096
95153,102509,20100
95155,102667,20101
95157,102862,20102
95160,102700,20109
95161,102234,20110
95162,102817,20111
95163,102818,20112
95165,102820,20113
95167,102840,20114
95173,102576,20121
95174,102358,20122
95175,102660,20123
95177,102400,20127
95178,102464,20128
95179,102476,20129
95192,101677,20154
95193,101678,20155
95194,101734,20156
95195,101748,20157
95196,101571,20159
95198,101654,20160
95200,101656,20161
95202,101658,20162
95210,102844,20167
95212,102762,20168
95214,102764,20169
95215,102767,20170
95224,102858,20181
95225,103559,20182
95226,102552,20183
95227,102687,20185
95228,102558,20186
95230,102501,20187
95232,103460,20188
95233,102503,20189
95244,101665,20199
95245,101666,20200
95246,101687,20201
95247,102760,20202
95251,101689,20208
95252,102661,20209
95253,102662,20210
95254,102663,20211
95263,101568,20255
95284,102490,20370
95286,102310,20372
95323,103708,20578
95395,103555,20905
95401,103352,21128
95402,103668,21134
95603,103239,21517
95681,103552,21679
95722,102899,21856
95732,103242,22003
95736,102933,22013
95737,102937,22015
95738,103314,22060
95740,103316,22061
95817,103026,22191
95820,103029,22194
95824,104451,22196
95828,103156,22198
95829,102641,22206
96055,104206,22589
96056,104207,22589
96059,103913,22630
96060,103914,22630
96061,103915,22631
96063,103917,22631
96064,103918,22632
96066,103920,22632
96067,103921,22632
96091,103861,22691
96092,103862,22691
96095,103865,22691
96174,104528,22856
96176,104530,22857
96180,104427,22862
96181,104443,22863
96184,104399,22865
96188,104339,22868
96189,104328,22869
96191,104342,22870
96234,103749,22988
96279,103903,23072
96282,104006,23073
96313,102897,23221
96315,102540,23238
96350,103669,23274
96355,103226,23279
96356,104350,23280
96358,102925,23282
96363,104355,23285
96365,103992,23286
96366,103977,23288
96369,103979,23290
96624,101582,20221
96637,99597,13307
97131,101630,20130
97155,103507,21190
97287,99666,13331
97288,99766,13333
97289,99661,13332
97291,99459,8631
97292,98474,8632
97293,99153,8629
97294,98122,8588
97295,98132,8591
97296,98133,8592
97305,99300,5864
97307,97751,5873
97309,97750,5872
97312,98697,8563
97313,99289,8595
97314,99998,13321
97315,99660,13322
97316,100124,15277
97317,99798,15290
97318,97184,1132
97319,98282,5665
97320,97767,5668
97321,97479,2414
97322,97756,5655
97324,97390,2411
97513,140321,190181
97516,140324,190186
97517,140325,190187
97529,140337,190308
97530,140338,190307
97531,99125,11122
97532,101640,11905
97533,97437,2820
97534,101515,19120
97830,140646,191204
97840,140656,191267
97841,140657,191268
97844,140660,191272
97846,140662,191280
97847,140663,191288
97850,140666,191292
97859,140675,191313
97861,140677,191267
97862,140678,191268
97863,140679,191272
97864,140680,191280
97865,140681,191288
97866,140682,191292
97868,140684,191313
97878,140694,191414
97882,103015,21321
97884,140699,191414
97947,140762,191459
97949,140764,191459
97951,140766,191477
97953,140768,191480
98024,147565,191312
98047,147587,191660
98048,147588,191660
98049,147589,191661
98050,147590,191661
108674,172543,202251
108679,172548,202256
108754,172609,202316
109578,173458,203726
109601,173481,203750
109605,173485,203751
109612,173492,203784
109613,173493,203785
109614,173494,203786
109615,173495,203787
109706,173580,203745
109707,173579,203745
109708,173582,203746
109709,173581,203746
109710,173584,203747
109711,173583,203747
109712,173586,203748
109713,173585,203748
109714,173588,203749
109715,173587,203749
109717,173590,203753
109718,173591,203752
109720,173593,203756
109744,173616,203960
109745,173617,203961
109746,173618,203962
109772,173644,203990
109773,173645,203991
109774,173646,203992
109776,173648,203994
109872,173744,204174
110050,173929,204441
110145,174024,204572
110212,174092,204688
110213,174093,204689
110214,174094,204690
110227,174107,204703
110233,174114,204716
110246,174128,204795
110254,174136,204806
110255,174137,204807
110258,174140,204809
110295,174177,204864
110329,174197,204905
110330,174199,204912
110381,174250,205022
110550,174419,205182
110553,174422,205215
110558,174427,205218
110559,174428,205218
110563,174432,205228
110567,174436,205230
110573,174442,205218
110638,174502,205230
110657,174522,205420
110658,174523,205420
110659,174524,205420
110688,174555,205683
110691,174557,205683
110693,174559,205685
110694,174560,205685
110724,178190,205897
110725,178191,205897
110727,178193,205905
110731,178197,205905
110732,178198,205932
110733,178199,205932
110742,178208,205940
110743,178209,205940
110744,178210,205942
110745,178211,205942
110746,178212,205943
110747,178213,205943
110748,178214,205944
110749,178215,205944
110750,178216,205945
110751,178217,205945
110752,178218,205946
110753,178219,205946
110754,178220,205947
110755,178221,205947
110756,178222,205948
110757,178223,205948
110758,178224,205949
110759,178225,205949
110760,178226,205950
110761,178227,205950
110762,178228,205951
110763,178229,205951
110764,178230,205952
110765,178231,205952
110766,178232,205953
110767,178233,205953
110772,178238,205961
110776,178243,205979
110777,178244,205979
110797,178264,205995
110834,178293,206032
110835,178294,206032
110864,178317,206155
110865,178318,206155
110869,178322,206159
110876,178329,206168
110877,178330,206168
110878,178331,206169
110879,178332,206169
110886,178339,206176
110887,178340,206177
110900,178353,206264
110901,178354,206264
110938,178391,206344
114074,178402,205228
114077,178405,206376
114078,178406,206376
114079,178407,206376
114082,178410,206381
114083,178411,206381
114084,178412,206381
114085,178413,206382
114086,178414,206382
114087,178415,206382
114088,178416,206383
114089,178417,206383
114090,178418,206383
114091,178419,206384
114092,178420,206384
114093,178421,206384
114094,178422,206385
114095,178423,206385
114096,178424,206385
114097,178425,206386
114098,178426,206386
114099,178427,206386
114100,178428,206387
114101,178429,206387
114102,178430,206387
114103,178431,206388
114104,178432,206388
114105,178433,206388
114106,178434,206389
114107,178435,206389
114108,178436,206389
114109,178437,206390
114110,178438,206390
114111,178439,206390
114112,178440,206391
114113,178441,206391
114114,178442,206391
114186,178514,206469
114383,178714,206466
114386,178717,206954
114387,178718,206954
114388,178719,206954
114395,178726,206963
114396,178727,206963
114402,178733,206966
114403,178734,206970
114404,178735,206970
114412,178743,206975
114421,178752,206985
114422,178753,206985
114424,178755,206989
114425,178756,206989
114426,178757,206992
114427,178758,206992
114563,178945,207106
114570,178946,207107
114576,178947,207108
114613,178948,207109
114614,178949,207110
114891,179246,207590
114896,179248,207631
114994,179346,207731
115054,179406,207974
115057,179409,208005
115059,179411,208007
115061,179413,208034
115062,179414,208035
115063,179415,208036
115064,179416,208037
115065,179417,208038
115091,98902,11243
115092,179443,208085
115143,179494,208139
115156,179507,208180
115159,179510,208183
115163,179515,208192
115165,179517,208196
115170,179522,208213
115171,179523,208215
115174,179526,208218
115175,179527,208219
115176,179528,208220
115177,179529,208222
115288,179633,208414
115289,179634,208414
115290,179635,208414
115298,179643,208425
115442,179787,204795
115453,179798,208601
115454,179799,208602
115455,179800,208603
115456,179801,208604
115457,179802,208605
115458,179803,208607
115459,179804,208608
115460,179805,208609
115485,179810,208618
115509,179834,208687
115510,179835,208687
115511,179836,208689
115512,179837,208689
115513,179838,208689
115517,179842,208701
115518,179843,208701
115521,179846,208208
115530,179855,208682
115531,179856,208739
115534,179859,208739
115535,179860,208741
115536,179861,208741
115542,179867,208743
115543,179868,208744
115544,179869,208744
115545,179871,208749
115546,179872,208750
115547,179873,208750
115553,179879,208753
115554,179880,208753
115555,179881,208754
115557,179882,208756
115560,179885,208758
115561,179886,208758
115562,179887,208760
115563,179888,208764
115564,179889,208764
115565,179890,208765
115566,179891,208766
115567,179892,208767
115568,179893,208767
115569,179894,208768
115570,179895,208771
115571,179896,208771
115572,179897,208772
115573,179898,208772
115574,179899,208773
115575,179900,208774
115576,179901,208777
115577,179902,208777
115578,179903,208778
115579,179904,208778
115584,179909,208799
115585,179910,208799
115589,97849,5634
115590,99960,13446
115591,99861,13444
115592,98007,8766
115593,100120,14529
115594,99716,8952
115595,179914,208823
115599,179918,208828
115600,179919,208828
115602,179921,208833
115606,179925,208843
115610,179929,208847
115611,179930,208849
115612,179931,208849
115613,179932,208849
115616,179935,208851
115617,179936,208851
115618,179937,208851
115619,179938,208853
115620,179939,208853
115621,179940,208854
115622,179941,208855
115623,99627,13506
115733,180051,209027
115734,180052,209028
115735,180053,209030
115739,180057,209041
115740,180058,209045
115741,180059,209047
115745,180063,209057
115746,180064,209056
115747,180065,209058
115749,180067,209059
115769,180087,209420
115774,180092,209436
115875,180176,209525
115876,180177,209526
115888,180189,209562
115894,180195,209576
115895,180196,209577
115897,180198,209579
115898,180199,209580
115912,180213,209608
115914,180215,209611
115915,180216,209612
115916,180217,209613
115917,180218,209614
115918,180219,209615
115919,180220,209616
115920,180221,209617
115921,180222,209618
115922,180223,209619
115923,180224,209620
115924,180225,209621
115925,180226,209622
115926,180227,209623
115927,180228,209624
115928,180229,209625
115929,180230,209626
115964,180265,209677
115965,180266,209678
115966,180267,209681
115971,180272,209691
116015,180316,209816
116018,180319,209819
116020,180321,209821
116021,180322,209823
116032,180333,209841
116033,180334,209842
116035,180336,209852
116036,180337,209852
116087,180388,210015
116088,180389,210015
116127,180428,210056
116153,180454,210137
116154,180455,210137
116183,180484,210178
116184,180485,210179
116198,180499,210195
116199,180500,210195
116202,180503,210195
116203,180504,210195
116210,180511,210186
116212,180513,210209
116214,180515,210213
116215,180516,210212
116221,180522,210229
116222,180523,210229
116232,97764,5816
116241,180541,210252
116242,180542,210252
116243,180543,210253
116250,180550,210322
116251,180551,210322
116252,180552,210323
116263,180563,210410
116267,180567,203990
116274,180574,204703
116275,180575,204441
116281,180581,204809
116282,180582,204716
116318,180614,205215
116319,180615,204912
116333,180629,210499
116334,180630,210500
116335,180631,210500
116340,180636,210534
116341,180637,210534
116342,180638,210534
116360,180656,210569
116361,180657,210569
116367,180663,210573
116368,180664,210573
116371,180667,210589
116372,180668,210589
116389,180685,210596
116390,180686,210596
116409,180705,210653
116410,180706,210653
116411,180707,210654
116412,180708,210654
116413,180709,210655
116435,180732,210696
116437,180733,210708
116438,180734,210709
116440,180736,210712
116442,180738,210713
116443,180739,210713
116458,182635,210741
116460,180756,210746
116461,180757,210746
116478,180774,210771
116490,180786,210779
116500,180796,210794
116502,180798,210811
116503,180799,210811
116504,180800,204806
116506,180802,210817
116507,180803,210817
116508,180804,210818
116509,180805,210818
116511,180807,210820
116512,180808,210820
116514,180810,210822
116515,180811,210822
116516,180812,210823
116517,180813,210823
116518,180814,210824
116520,180816,210825
116521,180817,210825
116522,180818,210178
116564,180860,210955
116579,180874,210963
116583,180878,210968
116598,180893,210979
116599,180894,210979
116600,180895,210980
116601,180896,210980
116684,180979,211205
116685,180980,211205
116701,180984,211247
116706,180989,210795
116718,181001,211272
116719,181002,211273
116726,181013,211301
116727,181014,211301
116731,181023,211315
116732,181024,211316
116733,181025,211317
116734,181026,211318
116735,181027,211319
116736,181028,211320
116737,181029,211321
116738,181030,211322
116739,181031,211323
116740,181032,211324
116741,181033,211325
116742,181034,211326
116743,181035,211327
116744,181036,211328
116745,181037,211329
116746,181038,211330
116747,181039,211331
116748,181040,211332
116786,181079,211385
116787,181080,211385
116788,181081,211386
116789,181082,211386
116790,181083,211387
116791,181084,211387
116792,181085,211390
116793,181086,211390
116794,181087,211391
116795,181088,211391
116796,181089,211392
116797,181090,211392
116798,181091,211393
116799,181092,211393
116800,181099,210147
116812,181111,211420
116813,181112,211421
116821,181116,211426
116838,181142,211471
116839,181143,211472
116840,181144,211472
116841,181146,211472
116842,181148,211476
116843,181149,211476
116844,181150,211477
116845,181151,211477
116847,181153,211482
116851,181157,211487
116852,181158,211488
116853,181159,211488
116854,181160,211490
116855,181161,211490
116857,181163,211498
116858,181164,211499
116863,181169,211423
116865,181171,211502
116876,181183,211514
116877,181184,211514
116885,181192,211527
116886,181193,211528
116887,181194,211530
116888,181195,211530
116889,181196,211531
116890,181197,211531
116891,181198,211534
116981,181288,211691
116982,181289,211691
117005,181312,205022
117006,181313,203994
117008,181315,203991
117009,181316,204174
117022,181329,211800
117026,181333,211815
117027,181334,211816
117028,181335,211819
117029,181336,211820
117030,181337,211821
117031,181338,211822
117032,181339,211823
117033,181340,211824
117034,181341,211825
117035,181342,211826
117036,181343,211827
117037,181344,211828
117038,181345,211829
117039,181346,211830
117040,181347,211831
117041,181348,211832
117042,181349,211833
117043,181350,211834
117044,181351,211835
117045,181352,211836
117046,181353,211837
117047,181354,211838
117051,181358,211845
117052,181359,211846
117053,181360,211848
117054,181361,211849
117061,181368,211500
117062,181369,211856
117063,181370,211857
117113,181607,211925
117115,181609,211933
117116,181610,211934
117117,181611,211935
117119,181613,211940
117120,181614,211941
117123,181617,211944
117132,181626,211953
117133,181627,211954
117134,181628,211955
117135,181629,211956
117136,181630,211957
117146,181641,210824
117147,181642,212160
117161,181657,212225
117168,181664,212230
117197,181693,212347
117282,181780,212546
117283,181781,212548
117284,181782,212548
117285,181783,212549
117286,181784,212549
117287,181785,212550
117288,181786,212550
117289,181787,212551
117290,181788,212551
117291,181789,212552
117292,181790,212552
117297,181795,212559
117298,181796,212559
117299,181797,212560
117300,181798,212560
117301,181799,212561
117302,181800,212561
117303,181801,212562
117304,181802,212562
117306,181804,212568
117546,182106,212982
117569,182133,213036
117589,182153,213074
117590,182154,213074
117598,182162,213086
117599,182163,213086
117600,182164,213090
117601,182165,213090
117604,182168,213092
117605,182169,213092
117606,182170,213093
117607,182171,213093
117608,182172,213094
117609,182173,213094
117610,182174,213095
117611,182175,213095
117612,182176,213096
117613,182177,213096
117614,182178,213098
117615,182179,213098
117616,182180,213100
117617,182181,213100
117618,182182,213101
117619,182183,213101
117620,182184,213102
117621,182185,213102
117622,182186,213103
117623,182187,213103
117624,182188,213104
117625,182189,213104
117626,182190,213109
117627,182191,213109
117628,182192,213110
117629,182193,213110
117630,182194,213111
117631,182195,213111
117632,182196,213112
117633,182197,213112
117634,182198,213113
117635,182199,213113
117636,182200,213114
117637,182201,213114
117638,182202,213115
117639,182203,213115
117640,182204,213116
117641,182205,213116
117642,182206,213117
117643,182207,213117
117644,182208,213118
117645,182209,213118
117646,182210,213119
117647,182211,213119
117648,182212,213120
117649,182213,213120
117650,182214,213121
117651,182215,213122
117652,182216,213122
117653,182217,213123
117654,182218,213123
117655,182219,213124
117656,182220,213124
117657,182221,213125
117658,182222,213125
117659,182223,213126
117660,182224,213126
117662,182226,213128
117663,182227,213128
117664,182228,213129
117665,182229,213129
117666,182230,213130
117667,182231,213130
117668,182232,213131
117669,182233,213131
117670,182234,213132
117671,182235,213132
117676,182240,213135
117677,182241,213135
117678,182242,213136
117679,182243,213136
117680,182244,213137
117681,182245,213137
117682,182246,213138
117683,182247,213138
117684,182248,213139
117685,182249,213139
117686,182250,213140
117687,182251,213140
117688,182252,213141
117689,182253,213141
117690,182254,213142
117691,182255,213142
117692,182256,213143
117693,182257,213143
117694,182258,213144
117695,182259,213144
117699,182263,213168
117700,182264,213169
117701,182265,213170
117714,182278,203993
117715,182279,203993
117730,182294,213281
117733,182297,213289
117735,182299,213291
117737,182301,213296
117763,182327,213407
117769,182333,213426
117777,182341,213105
117778,182342,213448
117779,182343,213449
117780,182344,213450
117781,182345,213452
117782,182346,213513
117783,182347,213513
117784,182348,213513
117809,182372,213554
117810,182373,213558
117812,182375,213295
117815,182378,213286
117819,182382,213409
117821,182384,213562
117826,182389,213573
117827,182390,213574
117836,182403,213583
117837,182404,213594
117838,182405,213594
117840,182406,213594
117849,182416,213599
117850,182417,213599
117895,182462,213308
117904,182471,213632
117905,182472,213633
117906,182473,213634
117908,182470,213036
117911,182478,213737
117919,182490,214435
117925,182496,213350
117941,182512,213341
117959,182530,215118
117969,182540,215126
117970,182541,215127
117971,182542,215128
117972,182543,215129
117981,182552,215138
117983,182554,215140
117984,182555,215141
117987,182558,215149
117988,182559,215150
117989,182560,215151
117990,182561,215152
117991,182562,215153
117992,182563,215155
117993,182564,215156
117994,182565,215157
117996,182567,215162
117997,182568,215163
117998,182569,211422
117999,182570,215168
118064,180754,210741
118069,182640,213353
118109,182680,213278
118241,182816,213444
118244,182819,215367
118245,182820,215368
118246,182821,213445
118247,182822,215369
118248,182823,215370
118249,182824,213446
118250,182825,215371
118266,182841,213349
118267,182309,213347
118271,182845,213348
118281,182856,215383
118282,182857,215384
118283,182858,215385
118284,182859,215386
118285,182860,215387
118286,182861,215388
118287,182862,215389
118288,182863,215390
118289,182864,215391
118290,182865,215392
118291,182866,215393
118292,182867,215394
118293,182868,215395
118294,182869,215396
118295,182870,215397
118296,182871,215398
118297,182872,215399
118298,182873,215400
118299,182874,215401
118300,182875,215402
118301,182876,215403
118302,182877,215404
118303,182878,215405
118304,182879,215406
118305,182880,215407
118306,182881,215408
118307,182882,215409
118308,182883,215410
118309,182884,215411
118310,182885,215412
118311,182886,215413
118312,182887,215414
118313,182888,215415
118314,182889,215416
118315,182890,215417
118316,182891,215418
118317,182892,215419
118318,182893,215420
118319,182894,215421
118320,182895,215422
118321,182896,215423
118322,182897,215424
118323,182898,215429
118324,182899,215431
118325,182900,215432
118326,182901,215433
118327,182902,215434
118333,182908,215435
118334,182909,215436
118335,182910,215437
118343,182919,215449
118344,182922,215461
118347,182925,215454
118364,182946,216483
118371,182953,216490
118372,182954,216492
118373,182955,216493
118374,182956,216494
118376,182958,216497
118378,182960,216499
118388,182970,216505
118403,182985,216514
118404,182986,216515
118413,182995,216523
118415,183001,216549
118416,183002,216570
118419,182963,216500
118421,183007,216606
118422,183008,216606
118424,183010,216517
118425,183011,216509
118427,183055,216513
118428,183014,216503
118430,183016,216607
118431,183017,216609
118432,183018,216615
118435,183021,216619
118460,183013,216513
118461,183056,216516
118473,183068,216522
118476,183071,216502
118477,183072,216509
118485,183080,216499
118497,183092,216635
118515,183110,216635
118527,183130,213548
118532,183137,216679
118536,183143,215428
118541,183148,215425
118542,183149,215426
118543,183150,215427
118558,183167,216738
118559,183168,216738
118560,183169,216740
118561,183170,216740
118562,183171,216744
118563,183172,216744
118564,183173,216745
118565,183174,216745
118566,183175,216746
118567,183176,216746
118568,183177,216747
118569,183178,216747
118570,183179,216748
118571,183180,216748
118573,183182,216764
118574,183183,216764
118576,183185,216767
118577,183186,216767
118578,183187,216768
118579,183188,216768
118580,183189,216769
118581,183190,216769
118582,183191,215381
118583,183192,215111
118585,183194,215167
118586,183195,215161
118588,183197,216770
118589,183198,216770
118590,183199,213390
118591,183200,216771
118592,183201,216771
118601,183210,216879
118610,183219,215114
118612,183221,216891
118613,183222,216892
118626,183235,216884
118658,183267,216938
118659,183268,216939
118662,183271,216941
118663,183272,216941
118682,183196,215115
118695,183308,213564
118696,183309,215257
118715,183329,217244
118716,183330,217249
118717,183331,217251
118718,183332,217254
118719,183333,217258
118720,183334,217260
118721,183335,217262
118722,183336,217264
118723,183337,217266
118724,183338,217271
118726,183340,217274
118727,183341,217276
118728,183342,217278
118729,183343,217280
118730,183344,217282
118731,183345,217284
118732,183346,217286
118774,99374,10725
118775,183388,217308
118805,183437,217345
118806,183438,217346
118807,183439,217347
118814,183446,215461
118820,183452,215115
118821,183453,217398
118822,183454,217399
118832,183464,217495
118834,183466,217496
118839,183471,213550
118868,183498,217693
118871,183501,217704
118878,99500,13325
118879,183508,217716
118880,183509,217717
118882,183511,217719
118883,183512,217720
118884,183513,217721
118885,183514,217718
118891,183520,217727
118898,183527,217736
118899,183528,217736
118938,183193,215382
118940,183220,215166
118995,183636,216635
119021,183671,218117
119022,183672,218117
119119,183809,219147
119120,183810,219147
119171,183856,219326
119172,183857,219345
119174,183859,219223
119219,183906,219343
119308,184007,219945
119309,184008,219963
119310,184009,219965
119311,184010,219983
119312,184011,219984
119313,184012,219985
119314,184013,219986
119315,184014,219987
119316,184015,219988
119317,184016,219989
119318,184017,219990
119319,184018,219991
119320,184019,219992
119321,184020,219993
119322,184021,219994
119323,184022,219995
119324,184023,219996
119325,184024,219997
119326,184025,219998
119327,184026,220053
119328,184027,220054
119329,184028,220055
119330,184029,220056
119331,184030,220057
119332,184031,220058
119333,184032,220059
119334,184033,220060
119335,184034,220061
119336,184035,220062
119337,184036,220063
119338,184037,220064
119339,184038,220065
119340,184039,220066
119341,184040,220067
119342,184041,220068
119343,184042,220069
