ID,FromTaxiNode,ToTaxiNode,Cost
816,245,247,6000
817,247,245,6000
818,247,244,4000
819,190,248,4000
820,244,247,4000
821,250,249,4000
822,249,250,4000
823,251,244,4000
824,244,251,4000
825,244,252,4000
826,248,190,4000
827,252,244,4000
828,254,250,4000
829,253,244,4000
830,250,254,6000
831,244,253,4000
832,250,248,6000
834,255,253,4000
835,253,255,4000
836,248,250,4000
837,190,254,12000
838,185,253,4000
839,254,190,8000
841,253,185,6000
842,256,252,4000
843,252,256,4000
844,256,254,5000
845,254,256,4000
846,257,258,4000
847,258,257,4000
848,259,257,4000
849,257,259,4000
852,260,256,4000
853,256,260,4000
854,235,225,4000
855,235,257,4000
856,235,245,4000
867,204,254,0
868,203,261,0
869,262,263,0
872,266,264,0
873,266,265,0
874,266,241,0
875,267,268,0
876,269,270,0
877,271,272,0
878,273,274,0
879,275,276,0
880,277,278,0
881,280,279,0
882,282,281,0
883,284,283,0
884,285,286,0
885,287,288,0
888,289,257,4000
889,289,245,4000
892,252,254,4000
893,254,252,4000
894,256,258,6000
895,258,256,6000
896,259,258,4000
897,258,259,4000
898,192,248,4000
899,248,192,4000
900,249,192,6000
901,192,249,6000
902,249,191,6000
903,191,249,6000
904,184,255,6000
905,255,184,6000
906,251,247,4000
907,247,251,4000
908,251,252,4000
909,252,251,4000
910,247,246,6000
911,246,247,6000
912,247,252,4000
913,252,247,4000
914,260,252,4000
915,252,260,4000
918,290,291,0
919,289,246,4000
920,246,289,4000
921,245,289,4000
922,257,289,4000
923,259,289,4000
924,289,259,4000
925,258,289,4000
926,289,258,4000
927,289,226,5000
928,226,289,5000
930,295,294,7000
931,295,185,4000
932,185,295,4000
933,183,295,4000
934,295,183,4000
935,294,295,7000
936,190,295,4000
937,295,190,4000
938,248,295,4000
939,295,248,4000
940,256,294,4000
941,294,256,4000
942,254,294,4000
943,294,254,4000
944,247,294,4000
945,294,247,4000
946,244,294,4000
947,294,244,4000
948,294,252,4000
949,252,294,4000
950,296,257,4000
951,296,258,4000
952,296,245,4000
953,296,246,4000
954,296,294,6000
955,258,296,4000
956,297,298,0
957,257,296,4000
958,246,296,4000
960,245,296,4000
961,294,296,6000
962,296,247,6000
963,247,296,6000
964,299,196,0
965,300,36,0
966,300,196,0
967,300,24,0
968,301,302,0
969,260,254,4000
970,254,260,4000
971,250,192,6000
972,192,250,6000
974,184,253,6000
975,253,184,6000
978,304,307,4000
979,307,304,4000
982,306,304,4000
983,304,306,4000
984,305,306,4000
985,306,305,4000
987,305,304,4000
988,304,305,4000
990,252,305,6000
991,305,252,6000
992,307,255,6000
993,255,307,6000
994,249,307,6000
995,307,249,6000
998,249,304,6000
999,304,249,6000
1000,253,306,6000
1001,306,253,6000
1002,250,306,6000
1003,306,250,6000
1004,306,244,6000
1005,244,306,6000
1006,306,254,6000
1007,254,306,6000
1008,305,244,6000
1009,244,305,6000
1010,305,254,6000
1011,254,305,6000
1012,251,305,6000
1013,305,251,6000
1014,305,260,6000
1015,260,305,6000
1016,309,308,4000
1017,308,309,4000
1018,246,309,6000
1019,309,246,6000
1020,259,309,6000
1021,309,259,6000
1022,246,308,6000
1023,308,246,6000
1024,259,308,6000
1025,308,259,6000
1026,260,310,6000
1027,310,260,6000
1028,251,310,6000
1029,310,251,6000
1030,310,305,6000
1031,305,310,6000
1034,310,252,6000
1035,252,310,6000
1036,294,310,6000
1037,310,294,6000
1038,239,240,0
1039,311,312,0
1040,313,312,0
1041,292,293,0
1042,314,312,0
1043,304,255,6000
1044,255,304,6000
1045,249,306,6000
1046,306,249,6000
1048,67,315,730
1049,315,67,730
1050,68,315,730
1052,315,68,730
1053,316,317,0
1054,318,319,0
1055,227,47,5
1056,320,305,6000
1057,305,320,6000
1058,310,320,6000
1059,320,310,6000
1060,321,320,4000
1061,320,321,4000
1064,323,320,4000
1066,324,320,4000
1067,320,323,4000
1068,320,324,4000
1073,321,326,4000
1076,326,321,4000
1079,231,230,0
1080,324,323,4000
1081,323,324,4000
1084,324,307,6000
1085,307,324,6000
1086,327,326,4000
1088,326,327,4000
1090,327,323,4000
1091,323,327,4000
1092,321,327,4000
1093,327,321,4000
1094,328,330,0
1095,329,330,0
1096,248,254,7000
1097,254,248,7000
1098,331,307,4000
1099,307,331,4000
1100,326,324,4000
1101,324,326,4000
1102,326,323,4000
1103,323,326,4000
1104,325,308,6000
1105,308,325,6000
1106,309,325,6000
1107,325,309,6000
1108,303,310,6000
1110,332,310,6000
1112,333,325,4000
1113,325,333,4000
1114,334,310,6000
1115,310,334,6000
1116,321,334,6000
1117,334,321,6000
1118,334,323,6000
1119,323,334,6000
1120,333,334,4000
1121,334,333,4000
1123,327,333,6000
1124,333,327,6000
1125,303,251,6000
1128,303,247,6000
1129,303,308,6000
1131,332,308,6000
1134,332,258,6000
1136,332,256,6000
1137,335,334,4000
1138,334,335,4000
1139,335,310,6000
1140,310,335,6000
1141,335,333,4000
1142,333,335,4000
1144,303,335,6000
1146,332,335,6000
1147,336,305,6000
1148,305,336,6000
1149,337,305,6000
1150,305,337,6000
1151,337,320,6000
1152,320,337,6000
1153,336,320,6000
1154,320,336,6000
1155,337,310,4000
1156,336,310,4000
1157,310,337,4000
1158,310,336,4000
1159,336,244,6000
1160,244,336,6000
1161,326,307,6000
1162,307,326,6000
1163,322,324,4000
1164,324,322,4000
1165,322,326,4000
1166,326,322,4000
1167,322,320,4000
1168,320,322,4000
1169,322,307,6000
1170,307,322,6000
1171,335,303,6000
1172,335,332,6000
1173,310,332,6000
1174,310,303,6000
1175,251,303,6000
1176,256,332,6000
1177,247,303,6000
1178,258,332,6000
1179,308,303,6000
1180,308,332,6000
1185,325,332,6000
1186,332,325,6000
1187,325,303,6000
1188,303,325,6000
1189,335,325,4000
1190,325,335,4000
1191,341,342,0
1192,327,340,6000
1193,340,327,6000
1194,333,340,4000
1195,340,333,4000
1196,335,340,4000
1197,340,335,4000
1198,310,340,6000
1199,340,310,6000
1202,333,332,6000
1203,332,333,6000
1204,303,333,6000
1205,333,303,6000
1206,308,310,7000
1207,310,308,7000
1221,348,196,0
1222,99,128,1020
1224,128,99,1020
1247,353,0,0
1248,352,0,0
1252,352,0,0
1268,358,359,0
1813,0,0,0
1814,376,0,0
1815,377,0,0
1816,376,0,0
1817,377,0,0
1818,376,0,0
1819,376,0,0
1824,383,66,730
1825,66,383,730
1826,383,68,1020
1827,68,383,1020
1828,383,67,1020
1829,67,383,1020
1830,11,383,1020
1831,383,11,1020
1832,383,13,730
1833,13,383,730
1834,0,0,0
1835,384,383,730
1836,383,384,730
1837,384,13,730
1838,13,384,730
1839,11,384,730
1840,384,11,730
1895,392,393,0
1899,394,395,0
1960,404,405,0
1977,438,439,0
1978,438,440,0
