ID,Name_lang,HordeName_lang,ParentTradeSkillCategoryID,SkillLineID,OrderIndex,Flags
2512,Wands,,2427,2940,230,0
2513,Off-Hands,,2427,2940,240,0
2514,Camping,,2427,2940,1,0
2515,Parts,,2428,2941,10,0
2516,Explosives,,2428,2941,20,0
2517,Fireworks,,2428,2941,30,0
2518,Consumable Devices,,2428,2941,40,0
2519,Devices,,2428,2941,50,0
2520,Gadgets,,2428,2941,60,0
2521,Pets and Guardians,,2428,2941,70,0
2522,Cloth Headgear,,2428,2941,80,0
2523,Leather Headgear,,2428,2941,90,0
2524,Mail Headgear,,2428,2941,100,0
2525,Plate Headgear,,2428,2941,110,0
2526,Ranged Weapons,,2428,2941,120,0
2527,Scopes,,2428,2941,130,0
2528,Ammunition,,2428,2941,140,0
2529,Camping,,2428,2941,1,0
2530,Bandages,,2429,2942,10,0
2531,Healing Potions,,2429,2942,10,0
2532,Poultices,,2429,2942,10,0
2533,Curatives,,2429,2942,10,0
2534,Miscellaneous,,2429,2942,10,0
2535,Camping,,2429,2942,1,0
2536,Reagents,,2399,2933,10,0
2537,Necks,,2399,2933,20,0
2538,Rings,,2399,2933,30,0
2539,Crowns,,2399,2933,40,0
2540,Cuffs,,2399,2933,50,0
2541,Trinkets,,2399,2933,60,0
2542,Red Gems,,2399,2933,70,0
2543,Orange Gems,,2399,2933,80,0
2544,Yellow Gems,,2399,2933,90,0
2545,Green Gems,,2399,2933,100,0
2546,Blue Gems,,2399,2933,110,0
2547,Purple Gems,,2399,2933,120,0
2548,Meta Gems,,2399,2933,130,0
2549,Camping,,2399,2933,1,0
2550,Reagents,,2432,2945,100,0
2551,Bags,,2432,2945,200,0
2552,Cloaks,,2432,2945,300,0
2553,Leather Helmets,,2432,2945,400,0
2554,Leather Pauldrons,,2432,2945,500,0
2555,Leather Chestguards,,2432,2945,600,0
2556,Leather Bracers,,2432,2945,700,0
2557,Leather Gauntlets,,2432,2945,800,0
2558,Leather Belts,,2432,2945,900,0
2559,Leather Legguards,,2432,2945,1000,0
2560,Leather Boots,,2432,2945,1100,0
2561,Mail Helmets,,2432,2945,1200,0
2562,Mail Pauldrons,,2432,2945,1300,0
2563,Mail Chestguards,,2432,2945,1400,0
2564,Mail Bracers,,2432,2945,1500,0
2565,Mail Gauntlets,,2432,2945,1600,0
2566,Mail Belts,,2432,2945,1700,0
2567,Mail Legguards,,2432,2945,1800,0
2568,Mail Boots,,2432,2945,1900,0
2569,Armor Kits,,2432,2945,2000,0
2570,Quivers,,2432,2945,2100,0
2571,Ammo Pouches,,2432,2945,2200,0
2572,Crossbows,,2432,2945,2300,0
2573,Arrows,,2432,2945,2400,0
2574,Camping,,2432,2945,1,0
2575,Smelted Bars,,2433,2946,100,0
2576,Reagents,,2435,2948,100,0
2577,Embroideries,,2435,2948,200,0
2578,Bags,,2435,2948,300,0
2579,Specialty Bags,,2435,2948,400,0
2580,Cloaks,,2435,2948,500,0
2581,Hoods,,2435,2948,600,0
2582,Spaulders,,2435,2948,700,0
2583,Robes and Vests,,2435,2948,800,0
2584,Bracers,,2435,2948,900,0
2585,Gloves,,2435,2948,1000,0
2586,Belts,,2435,2948,1100,0
2587,Leggings,,2435,2948,1200,0
2588,Shoes,,2435,2948,1300,0
2589,Shirts,,2435,2948,1400,0
2590,Dressed for the Occasion,,2435,2948,1500,0
2591,Camping,,2435,2948,1,0
2592,SEASON OF DISCOVERY,,0,171,9999,0
2593,SEASON OF DISCOVERY,,0,164,9999,0
2594,SEASON OF DISCOVERY,,0,185,9999,0
2595,SEASON OF DISCOVERY,,0,333,9999,0
2596,SEASON OF DISCOVERY,,0,202,9999,0
2597,SEASON OF DISCOVERY,,0,165,9999,0
2598,SEASON OF DISCOVERY,,0,197,9999,0
2599,Miscellaneous,,2432,2945,2450,0
2600,Miscellaneous,,2435,2948,1550,0
2607,Alchemy - NYI / PH,,2424,2937,8888,0
2608,Blacksmithing - NYI / PH,,2425,2938,8888,0
2609,Cooking - NYI / PH,,2426,2939,8888,0
2610,Enchanting - NYI / PH,,2427,2940,8888,0
2611,Engineering - NYI / PH,,2428,2941,8888,0
2612,First Aid - NYI / PH,,2429,2942,8888,0
2613,Fishing - NYI / PH,,2430,2943,8888,0
2614,Herbalism - NYI / PH,,2431,2944,8888,0
2615,Jewelcrafting - NYI / PH,,2399,2933,8888,0
2616,Leatherworking - NYI / PH,,2432,2945,8888,0
2617,Mining - NYI / PH,,2433,2946,8888,0
2618,Skinning - NYI / PH,,2434,2947,8888,0
2619,Tailoring - NYI / PH,,2435,2948,8888,0
2620,Greater Transmutations,,2424,2937,65,0
2621,Recovery Potions,,2424,2937,20,0
2632,Everyday Meals,,2426,2939,10,0
2633,Strength Food,,2426,2939,20,0
2634,Agility Food,,2426,2939,30,0
2635,Intellect Food,,2426,2939,40,0
2636,Miscellaneous Cuisines,,2426,2939,200,0
2638,Winter Veil Treats,,2426,2939,300,0
2639,Meal Prep,,2426,2939,5,0
2640,Stamina Food,,2426,2939,15,0
2641,Spell Damage Food,,2426,2939,50,0
2642,Combat Prowess Food,,2426,2939,70,0
2643,Attack Power Food,,2426,2939,60,0
2644,Fisherman's Delights,,2426,2939,88,0
2645,Delightful Drinks,,2426,2939,90,0
2646,Soothing Drinks,,2426,2939,100,0
2651,Draughts,,2424,2937,55,0
2714,Camping,,2426,2939,1,0
2715,Camping,,2430,2943,1,0
2716,Camping,,2431,2944,1,0
2717,Camping,,2433,2946,1,0
2718,Camping,,2434,2947,1,0
2733,Poisons,,0,40,0,0
2734,Poisons,,2733,2988,0,0
2757,Comprehension,,0,3012,0,0
2770,Thrown,,2425,2938,285,0
2771,Armor Food,,2426,2939,80,0
