ID,DyeColorCategoryID,HouseDecorID,OrderIndex,Channel
1817,3,9630,1,1
1855,2,15547,0,0
1856,3,15547,1,1
1857,1,15547,2,2
1858,2,15548,0,0
1859,3,15548,1,1
1860,1,15548,2,2
1861,2,15549,0,0
1862,3,15549,1,1
1863,1,15549,2,2
1864,2,15550,0,0
1865,3,15550,1,1
1866,1,15550,2,2
1867,2,15551,0,0
1944,2,15598,0,0
1945,3,15598,1,1
1946,1,15598,2,2
1947,2,15599,0,0
1948,3,15599,1,1
1949,1,15599,2,2
1970,2,12214,0,0
1971,3,12214,1,1
1972,1,12214,2,2
1980,2,16100,0,0
1981,3,16100,1,1
1982,2,16101,0,0
1983,3,16101,1,1
1997,1,1700,2,2
2067,2,17358,0,0
2068,3,17358,1,1
2070,2,17359,0,0
2071,3,17359,1,1
2072,1,17359,2,2
2130,2,991,0,0
2131,3,991,1,1
2132,3,17740,0,1
2133,1,17740,1,2
2134,2,16098,0,0
2135,3,16098,1,1
2136,2,16099,0,0
2137,3,16099,1,1
2138,2,17750,0,0
2139,3,17750,1,1
2140,2,17752,0,0
2141,3,17752,1,1
2142,2,17787,0,0
2143,3,17787,1,1
2144,1,17787,2,2
2154,2,17887,0,0
2155,3,17887,1,1
2176,2,18795,0,0
2177,3,18795,1,1
2178,2,18796,0,0
2179,3,18796,1,1
2180,3,18797,1,1
2181,1,18797,2,2
2300,2,15289,0,0
2301,3,15289,1,1
2302,1,15289,2,2
2303,3,15601,1,1
2352,3,12244,0,1
2353,1,12245,0,2
2354,1,12246,0,2
2404,2,12265,0,0
2405,3,12265,1,1
2406,1,12265,2,2
2416,3,984,0,1
2417,1,984,1,2
2439,3,2443,1,1
2440,1,15229,0,2
2441,3,15552,0,1
2442,2,9473,0,0
2443,3,9473,1,1
2444,1,9473,2,2
2469,2,20679,0,0
2470,3,20679,1,1
2525,2,21106,0,0
2526,3,21106,1,1
2527,1,21106,2,2
2547,2,21060,0,0
2548,3,21060,1,1
2549,2,21061,0,0
2550,3,21061,1,1
2559,2,2458,0,0
2580,3,15668,1,1
2581,1,15668,2,2
2614,2,21945,0,0
2615,3,21945,1,1
2616,3,16102,0,1
2617,1,16102,1,2
2618,3,21946,0,1
2619,1,21946,1,2
2620,3,21947,0,1
2621,1,21947,1,2
2646,2,22389,0,0
2647,3,22389,1,1
2648,1,22389,2,2
2649,2,22397,0,0
2650,3,22397,1,1
2651,1,22397,2,2
2652,2,22398,0,0
2653,3,22398,1,1
2654,1,22398,2,2
2876,2,22895,0,0
2877,1,22895,1,2
2899,2,23175,0,0
2900,1,23175,1,2
3051,2,23554,0,0
3052,2,23557,0,0
3053,2,23558,0,0
3054,2,23560,0,0
3055,2,23708,0,0
3056,2,23709,0,0
3057,2,23710,0,0
3076,2,23559,0,0
3077,2,23707,0,0
3078,2,22144,0,0
3079,1,22144,2,2
3080,2,23868,0,0
3081,1,23868,2,2
3082,2,23869,0,0
3083,3,23869,1,1
3084,2,23870,0,0
3085,1,23870,1,2
3115,2,15669,0,0
3116,3,15669,1,1
3117,1,15669,2,2
3118,2,24630,0,0
3193,1,24631,0,0
3194,3,24631,1,1
3195,2,24631,2,2
3204,2,17751,0,0
3205,3,17751,1,1
3206,3,17888,1,1
3207,1,17888,2,2
3217,1,21950,0,2
3219,2,25765,0,0
3220,3,25765,1,1
3221,1,25765,2,2
3222,2,25895,0,0
3223,2,25896,0,0
3224,3,25896,1,1
3228,2,25967,0,0
3229,3,25967,1,1
3230,1,25967,2,2
3231,2,25968,0,0
3232,3,25968,1,1
3233,1,25968,2,2
3234,2,25969,0,0
3235,3,25969,1,1
3236,1,25969,2,2
3237,2,25970,0,0
3238,3,25970,1,1
3239,1,25970,2,2
3240,2,25971,0,0
3241,3,25971,1,1
3242,1,25971,2,2
3243,2,25972,0,0
3244,3,25972,1,1
3245,1,25972,2,2
3246,2,25973,0,0
3247,3,25973,1,1
3248,1,25973,2,2
3249,2,25974,0,0
3250,3,25974,1,1
3251,1,25974,2,2
3252,2,25975,0,0
3253,1,25975,2,2
3254,2,25976,0,0
3255,3,25976,1,1
3256,1,25976,2,2
3257,2,25977,0,0
3258,1,25977,2,2
3259,2,25978,0,0
3260,3,25978,1,1
3261,1,25978,2,2
3262,2,25979,0,0
3263,3,25979,1,1
3264,1,25979,2,2
3265,2,25980,0,0
3266,3,25980,1,1
3267,1,25980,2,2
3268,2,25981,0,0
3269,3,25981,1,1
3270,1,25981,2,2
3271,2,25982,0,0
3272,3,25982,1,1
3273,1,25982,2,2
3274,2,25983,0,0
3275,3,25983,1,1
3276,1,25983,2,2
3277,2,25984,0,0
3278,3,25984,1,1
3279,1,25984,2,2
3280,2,25985,0,0
3281,3,25985,1,1
3282,1,25985,2,2
3283,2,25986,0,0
3284,3,25986,1,1
3285,1,25986,2,2
3286,2,25987,0,0
3287,1,25987,2,2
3288,2,25988,0,0
3289,1,25988,2,2
3290,2,25989,0,0
3291,1,25989,2,2
3292,2,25990,0,0
3293,3,25990,1,1
3294,1,25990,2,2
3295,2,25991,0,0
3296,3,25991,1,1
3297,1,25991,2,2
3298,2,25992,0,0
3299,3,25992,1,1
3300,1,25992,2,2
3301,2,25993,0,0
3302,3,25993,1,1
3303,1,25993,2,2
3304,2,25994,0,0
3305,3,25994,1,1
3306,1,25994,2,2
3307,2,25995,0,0
3308,1,25995,2,2
3309,2,25996,0,0
3310,3,25996,1,1
3311,1,25996,2,2
3312,2,25997,0,0
3313,3,25997,1,1
3314,1,25997,2,2
3315,2,25998,0,0
3316,3,25998,1,1
3317,1,25998,2,2
3318,2,25999,0,0
3319,1,25999,2,2
3320,2,26000,0,0
3321,1,26000,2,2
3322,2,26001,0,0
3323,3,26001,1,1
3324,1,26001,2,2
3325,2,26002,0,0
3326,3,26002,1,1
3327,1,26002,2,2
3328,2,26003,0,0
3329,3,26003,1,1
3330,1,26003,2,2
3331,2,26004,0,0
3332,3,26004,1,1
3333,1,26004,2,2
3334,2,26005,0,0
3335,1,26005,2,2
3336,2,26008,0,0
3337,1,26008,2,2
3338,3,17753,1,1
3339,1,17753,2,2
3370,2,26703,0,0
3371,3,26703,1,1
3372,1,26703,2,2
3373,2,26704,0,0
3374,3,26704,1,1
3375,1,26704,2,2
3376,2,26705,0,0
3377,3,26705,1,1
3378,1,26705,2,2
3379,1,26706,0,2
3380,1,26707,0,2
3381,2,26708,0,0
3382,3,26708,1,1
3383,1,26708,2,2
3387,2,26875,0,0
3388,3,26875,1,1
3389,2,26876,0,0
3390,3,26876,1,1
3391,1,26876,2,2
3392,2,26877,0,0
3393,3,26877,1,1
3394,1,26877,2,2
3395,1,26878,2,2
3396,1,26879,2,2
3397,2,26940,0,0
3398,3,26940,1,1
3399,1,26940,2,2
3400,2,27045,0,0
3401,3,27045,1,1
3402,1,27045,2,2
3403,2,27046,0,0
3404,1,27046,1,2
3405,1,27167,0,2
3426,2,23553,0,0
3427,2,23555,0,0
3428,2,23556,0,0
3452,2,27973,0,0
3453,3,27973,1,1
3454,1,27973,2,2
3538,1,1864,2,2
3539,1,1865,2,2
3540,1,1866,2,2
3541,1,1867,2,2
3542,2,15261,0,0
3543,3,15261,1,1
3544,1,15261,2,2
3545,2,15262,0,0
3546,3,15262,1,1
3547,1,15262,2,2
3548,1,15263,2,2
3549,1,17873,2,2
3550,1,17874,2,2
3551,1,17918,2,2
3552,1,17919,2,2
3553,1,19159,2,2
3554,1,19215,2,2
3555,1,19216,2,2
3556,1,19217,2,2
