Name_lang,EntryOffset[0],EntryOffset[1],EntryOffset[2],ID,Size,HouseExteriorWmoDataID,ParentComponentID,ModelFileDataID,Flags,Field_12_0_0_63534_007,Type,Field_12_0_0_63534_009,GameObjectID,Field_11_2_7_64044_011,ItemID
Winged Window,0,0,0,640,1,56,0,6892578,2,5,12,1,0,0,267726
Elegant Dormer - Crimson,0,0,0,641,1,56,0,6892582,2,5,14,1,0,37,267727
Simple Spire - Crimson,0,0,0,642,1,56,0,6892498,2,5,15,1,0,37,267728
Faceted Spire - Crimson,0,0,0,643,1,56,0,6892592,2,5,15,1,0,37,267729
Sturdy Spire - Crimson,0,0,0,644,1,56,0,6892590,2,5,15,1,0,37,267730
Tiered Roof,0,0,0,645,2,56,0,6892569,2,5,10,1,0,0,267731
Covered Entry - Crimson,-3.7703,0.1048,1.383,975,1,87,0,7118913,2,2,11,1,602706,37,0
Drawbridge Entry - Crimson,-4.4534,0.3277,2.4228,976,1,87,0,7118912,3,2,11,1,602705,37,0
Scrap Metal Entry - Crimson,-2.9469,0.4999,2.1383,977,1,87,0,7118914,2,2,11,1,602707,37,0
Arched Window,0,0,0,978,1,87,0,7118916,2,2,12,1,0,0,0
Round Window,0,0,0,979,1,87,0,7118917,2,2,12,1,0,0,0
Covered Window,0,0,0,980,1,87,0,7118918,2,2,12,1,0,0,0
Shuttered Window,0,0,0,981,1,87,0,7118919,2,2,12,1,0,0,0
Angled Window,0,0,0,982,1,87,0,7118915,3,2,12,1,0,0,0
Round Window,0,0,0,984,1,87,0,7118922,2,2,14,1,0,0,0
Spoked Chimney,0,0,0,986,1,87,0,7338373,2,2,16,1,0,0,0
Furnace Chimney,0,0,0,987,1,87,0,7118925,2,2,16,1,0,0,0
Simple Chimney,0,0,0,988,1,87,0,7118924,2,2,16,1,0,0,0
Stone Chimney - Crimson,0,0,0,989,1,87,0,7118923,3,2,16,1,0,0,0
Vented Chimney,0,0,0,990,1,87,0,7338375,2,2,16,1,0,0,0
Smooth Stone,0,0,0,999,4,87,0,6648679,2,2,9,1,0,0,0
Reclaimed Wood,0,0,0,1000,4,87,0,6648678,3,2,9,1,0,0,0
Smooth Stone,0,0,0,1003,2,87,0,6648685,2,2,9,1,0,0,0
Reclaimed Wood,0,0,0,1004,2,87,0,6648684,3,2,9,1,0,0,0
Reclaimed Wood,0,0,0,1006,3,87,0,6648681,3,2,9,1,0,0,0
Worn Stone,0,0,0,1009,4,87,0,7118902,2,2,9,1,0,0,0
Worn Stone,0,0,0,1011,2,87,0,7118901,2,2,9,1,0,0,0
Worn Stone,0,0,0,1012,3,87,0,7118900,2,2,9,1,0,0,0
Smooth Stone,0,0,0,1207,3,87,0,6648682,2,2,9,0,0,0,0
Square Window,0,0,0,1379,1,9,0,7118946,2,1,12,0,0,0,0
Simple Entryway - Ocean,-3.0023,0.0171,2.0121,1380,1,9,0,7450804,3,1,11,0,586576,8,0
Simple Entryway - Mustard,-3.0023,0.0171,2.0121,1381,1,9,1380,7450818,2,1,11,0,586576,44,0
Simple Entryway - Violet,-3.0023,0.0171,2.0121,1382,1,9,1380,7450815,2,1,11,0,586576,36,0
Simple Entryway - Crimson,-3.0023,0.0171,2.0121,1383,1,9,1380,7450812,2,1,11,0,586576,37,0
Simple Entryway - Nutmeg,-3.0023,0.0171,2.0121,1384,1,9,1380,7450809,2,1,11,0,586576,9,0
Simple Entryway - Forest,-3.0023,0.0171,2.0121,1385,1,9,1380,7450805,2,1,11,0,586576,21,0
Regal Tower - Ocean,0,0,0,1386,1,9,0,7450803,2,1,15,0,0,8,0
Regal Tower - Mustard,0,0,0,1387,1,9,1386,7450862,2,1,15,0,0,44,0
Regal Tower - Violet,0,0,0,1388,1,9,1386,7450857,2,1,15,0,0,36,0
Regal Tower - Crimson,0,0,0,1389,1,9,1386,7450852,2,1,15,0,0,37,0
Regal Tower - Nutmeg,0,0,0,1390,1,9,1386,7450847,2,1,15,0,0,9,0
Regal Tower - Forest,0,0,0,1391,1,9,1386,7450842,2,1,15,0,0,21,0
Square Tower - Ocean,0,0,0,1392,1,9,0,7450802,2,1,15,0,0,8,0
Square Tower - Mustard,0,0,0,1393,1,9,1392,7450860,2,1,15,0,0,44,0
Square Tower - Violet,0,0,0,1394,1,9,1392,7450855,2,1,15,0,0,36,0
Square Tower - Crimson,0,0,0,1395,1,9,1392,7450850,2,1,15,0,0,37,0
Square Tower - Nutmeg,0,0,0,1396,1,9,1392,7450845,2,1,15,0,0,9,0
Square Tower - Forest,0,0,0,1397,1,9,1392,7450840,2,1,15,0,0,21,0
Watch Tower - Ocean,0,0,0,1398,1,9,0,7450801,2,1,15,0,0,8,0
Watch Tower - Mustard,0,0,0,1399,1,9,1398,7450861,2,1,15,0,0,44,0
Watch Tower - Violet,0,0,0,1400,1,9,1398,7450856,2,1,15,0,0,36,0
Watch Tower - Crimson,0,0,0,1401,1,9,1398,7450851,2,1,15,0,0,37,0
Watch Tower - Nutmeg,0,0,0,1402,1,9,1398,7450846,2,1,15,0,0,9,0
Watch Tower - Forest,0,0,0,1403,1,9,1398,7450841,2,1,15,0,0,21,0
Large Tower - Ocean,0,0,0,1404,1,9,0,7450800,3,1,15,0,0,8,0
Large Tower - Mustard,0,0,0,1405,1,9,1404,7450858,2,1,15,0,0,44,0
Large Tower - Violet,0,0,0,1406,1,9,1404,7450853,2,1,15,0,0,36,0
Large Tower -  Crimson,0,0,0,1407,1,9,1404,7450848,2,1,15,0,0,37,0
Large Tower - Nutmeg,0,0,0,1408,1,9,1404,7450843,2,1,15,0,0,9,0
Large Tower - Forest,0,0,0,1409,1,9,1404,7450838,2,1,15,0,0,21,0
Square Dormer - Ocean,0,0,0,1410,1,9,0,7450799,2,1,14,0,0,8,0
Square Dormer - Mustard,0,0,0,1411,1,9,1410,7450837,2,1,14,0,0,44,0
Square Dormer - Violet,0,0,0,1412,1,9,1410,7450833,2,1,14,0,0,36,0
Square Dormer - Crimson,0,0,0,1413,1,9,1410,7450829,2,1,14,0,0,37,0
Square Dormer - Nutmeg,0,0,0,1414,1,9,1410,7450826,2,1,14,0,0,9,0
Square Dormer - Forest,0,0,0,1415,1,9,1410,7450823,2,1,14,0,0,21,0
Simple Chimney,0,0,0,1416,1,9,0,7118950,3,1,16,0,0,0,0
Shuttered Window,0,0,0,1417,1,9,0,7448532,2,1,12,0,0,0,0
Simple Window,0,0,0,1418,1,9,0,7118944,3,1,12,0,0,0,0
Square Entryway - Ocean,-3.0145,0.0317,1.9748,1419,1,9,0,7450798,2,1,11,0,602702,8,0
Square Entryway - Mustard,-3.0145,0.0317,1.9748,1420,1,9,1419,7450819,2,1,11,0,602702,44,0
Square Entryway - Violet,-3.0145,0.0317,1.9748,1421,1,9,1419,7450816,2,1,11,0,602702,36,0
Square Entryway - Crimson,-3.0145,0.0317,1.9748,1422,1,9,1419,7450813,2,1,11,0,602702,37,0
Square Entryway - Nutmeg,-3.0145,0.0317,1.9748,1423,1,9,1419,7450810,2,1,11,0,602702,9,0
Square Entryway - Forest,-3.0145,0.0317,1.9748,1424,1,9,1419,7450806,2,1,11,0,602702,21,0
Sloped Entryway - Ocean,-3.0059,0.0387,2.0029,1425,1,9,0,7450797,2,1,11,0,602700,8,0
Sloped Dormer - Mustard,-3.0059,0.0387,2.0029,1426,1,9,1425,7450836,2,1,14,0,0,44,0
Sloped Dormer - Violet,-3.0059,0.0387,2.0029,1427,1,9,1425,7450832,2,1,14,0,0,36,0
Sloped Dormer - Crimson,-3.0059,0.0387,2.0029,1428,1,9,1425,7450828,2,1,14,0,0,37,0
Sloped Dormer - Nutmeg,-3.0059,0.0387,2.0029,1429,1,9,1425,7450825,2,1,14,0,0,9,0
Sloped Dormer - Forest,-3.0059,0.0387,2.0029,1430,1,9,1425,7450822,2,1,14,0,0,21,0
Sloped Entryway - Mustard,-3.0059,0.0387,2.0029,1431,1,9,1425,7450820,2,1,11,0,602700,44,0
Sloped Entryway - Violet,-3.0059,0.0387,2.0029,1432,1,9,1425,7450817,2,1,11,0,602700,36,0
Sloped Entryway - Crimson,-3.0059,0.0387,2.0029,1433,1,9,1425,7450814,2,1,11,0,602700,37,0
Sloped Entryway - Nutmeg,-3.0059,0.0387,2.0029,1434,1,9,1425,7450811,2,1,11,0,602700,9,0
Sloped Entryway - Forest,-3.0059,0.0387,2.0029,1435,1,9,1425,7450808,2,1,11,0,602700,21,0
Wide Window,0,0,0,1436,1,9,0,7448531,2,1,12,0,0,0,0
Round Window,0,0,0,1437,1,9,0,7118945,2,1,12,0,0,0,0
Mage Tower - Ocean,0,0,0,1438,1,9,0,7450796,2,1,15,0,0,8,0
Mage Tower - Mustard,0,0,0,1439,1,9,1438,7450859,2,1,15,0,0,44,0
Mage Tower - Violet,0,0,0,1440,1,9,1438,7450854,2,1,15,0,0,36,0
Mage Tower - Crimson,0,0,0,1441,1,9,1438,7450849,2,1,15,0,0,37,0
Mage Tower - Nutmeg,0,0,0,1442,1,9,1438,7450844,2,1,15,0,0,9,0
Mage Tower - Forest,0,0,0,1443,1,9,1438,7450839,2,1,15,0,0,21,0
Tall Brick Chimney,0,0,0,1444,1,9,0,7118954,2,1,16,0,0,0,0
Covered Chimney,0,0,0,1445,1,9,0,7118953,2,1,16,0,0,0,0
Simple Dormer - Ocean,0,0,0,1446,1,9,0,7450795,3,1,14,0,0,8,0
Simple Dormer - Mustard,0,0,0,1447,1,9,1446,7450835,2,1,14,0,0,44,0
Simple Dormer - Violet,0,0,0,1448,1,9,1446,7450830,2,1,14,0,0,36,0
Simple Dormer - Crimson,0,0,0,1449,1,9,1446,7450827,2,1,14,0,0,37,0
Simple Dormer - Nutmeg,0,0,0,1450,1,9,1446,7450824,2,1,14,0,0,9,0
Simple Dormer - Forest,0,0,0,1451,1,9,1446,7450821,2,1,14,0,0,21,0
Reinforced Chimney,0,0,0,1452,1,9,0,7118952,2,1,16,0,0,0,0
Wide Brick Chimney,0,0,0,1453,1,9,0,7118951,2,1,16,0,0,0,0
Sloped Dormer - Ocean,0,0,0,1454,1,9,0,7450794,2,1,14,0,0,8,0
Square Roof,0,0,0,1455,4,9,0,7420575,2,1,10,0,0,8,0
Square Roof,0,0,0,1456,4,9,1455,7420574,2,1,10,0,0,44,0
Square Roof,0,0,0,1457,4,9,1455,7420578,2,1,10,0,0,36,0
Square Roof,0,0,0,1458,4,9,1455,7420579,2,1,10,0,0,37,0
Square Roof,0,0,0,1459,4,9,1455,7420576,2,1,10,0,0,9,0
Square Roof,0,0,0,1460,4,9,1455,7420577,2,1,10,0,0,21,0
Sloped Roof,0,0,0,1461,4,9,0,7420568,2,1,10,0,0,8,0
Sloped Roof,0,0,0,1462,4,9,1461,7420573,2,1,10,0,0,44,0
Sloped Roof,0,0,0,1463,4,9,1461,7420571,2,1,10,0,0,36,0
Sloped Roof,0,0,0,1464,4,9,1461,7420572,2,1,10,0,0,37,0
Sloped Roof,0,0,0,1465,4,9,1461,7420569,2,1,10,0,0,9,0
Sloped Roof,0,0,0,1466,4,9,1461,7420570,2,1,10,0,0,21,0
Simple Roof,0,0,0,1467,4,9,0,7420563,3,1,10,0,0,8,0
Simple Roof,0,0,0,1468,4,9,1467,7420562,2,1,10,0,0,44,0
Simple Roof,0,0,0,1469,4,9,1467,7420566,2,1,10,0,0,36,0
Simple Roof,0,0,0,1470,4,9,1467,7420567,2,1,10,0,0,37,0
Simple Roof,0,0,0,1471,4,9,1467,7420564,2,1,10,0,0,9,0
Simple Roof,0,0,0,1472,4,9,1467,7420565,2,1,10,0,0,21,0
Square Roof,0,0,0,1473,3,9,0,7420586,2,1,10,0,0,8,0
Square Roof,0,0,0,1474,3,9,1473,7420599,2,1,10,0,0,44,0
Square Roof,0,0,0,1475,3,9,1473,7420595,2,1,10,0,0,36,0
Square Roof,0,0,0,1476,3,9,1473,7420598,2,1,10,0,0,37,0
Square Roof,0,0,0,1477,3,9,1473,7420589,2,1,10,0,0,9,0
Square Roof,0,0,0,1478,3,9,1473,7420592,2,1,10,0,0,21,0
Sloped Roof,0,0,0,1479,3,9,0,7420585,2,1,10,0,0,8,0
Sloped Roof,0,0,0,1480,3,9,1479,7420600,2,1,10,0,0,44,0
Sloped Roof,0,0,0,1481,3,9,1479,7420594,2,1,10,0,0,36,0
Sloped Roof,0,0,0,1482,3,9,1479,7420597,2,1,10,0,0,37,0
Sloped Roof,0,0,0,1483,3,9,1479,7420588,2,1,10,0,0,9,0
Sloped Roof,0,0,0,1484,3,9,1479,7420591,2,1,10,0,0,21,0
Simple Roof,0,0,0,1485,3,9,0,7420584,3,1,10,0,0,8,0
Simple Roof,0,0,0,1486,3,9,1485,7420601,2,1,10,0,0,44,0
Simple Roof,0,0,0,1487,3,9,1485,7420593,2,1,10,0,0,36,0
Simple Roof,0,0,0,1488,3,9,1485,7420596,2,1,10,0,0,37,0
Simple Roof,0,0,0,1489,3,9,1485,7420587,2,1,10,0,0,9,0
Simple Roof,0,0,0,1490,3,9,1485,7420590,2,1,10,0,0,21,0
Square Roof,0,0,0,1491,2,9,0,7420604,2,1,10,0,0,8,0
Square Roof,0,0,0,1492,2,9,1491,7420617,2,1,10,0,0,44,0
Square Roof,0,0,0,1493,2,9,1491,7420611,2,1,10,0,0,36,0
Square Roof,0,0,0,1494,2,9,1491,7420616,2,1,10,0,0,37,0
Square Roof,0,0,0,1495,2,9,1491,7420605,2,1,10,0,0,9,0
Square Roof,0,0,0,1496,2,9,1491,7420610,2,1,10,0,0,21,0
Sloped Roof,0,0,0,1497,2,9,0,7420603,2,1,10,0,0,8,0
Sloped Roof,0,0,0,1498,2,9,1497,7420618,2,1,10,0,0,44,0
Sloped Roof,0,0,0,1499,2,9,1497,7420612,2,1,10,0,0,36,0
Sloped Roof,0,0,0,1500,2,9,1497,7420615,2,1,10,0,0,37,0
Sloped Roof,0,0,0,1501,2,9,1497,7420606,2,1,10,0,0,9,0
Sloped Roof,0,0,0,1502,2,9,1497,7420609,2,1,10,0,0,21,0
Simple Roof,0,0,0,1503,2,9,0,7420602,3,1,10,0,0,8,0
Simple Roof,0,0,0,1504,2,9,1503,7420619,2,1,10,0,0,44,0
Simple Roof,0,0,0,1505,2,9,1503,7420613,2,1,10,0,0,36,0
Simple Roof,0,0,0,1506,2,9,1503,7420614,2,1,10,0,0,37,0
Simple Roof,0,0,0,1507,2,9,1503,7420607,2,1,10,0,0,9,0
Simple Roof,0,0,0,1508,2,9,1503,7420608,2,1,10,0,0,21,0
Angled Window - Nutmeg,0,0,0,2434,1,87,0,7462697,2,2,14,0,0,9,0
Angled Window - Rust,0,0,0,2435,1,87,0,7462696,2,2,14,0,0,32,0
Angled Window - Ocean,0,0,0,2436,1,87,0,7462695,2,2,14,0,0,8,0
Angled Window - Mustard,0,0,0,2437,1,87,0,7462694,2,2,14,0,0,44,0
Arched Window - Nutmeg,0,0,0,2438,1,87,0,7462693,2,2,14,0,0,9,0
Arched Window - Rust,0,0,0,2439,1,87,0,7462692,2,2,14,0,0,32,0
Arched Window - Ocean,0,0,0,2440,1,87,0,7462691,2,2,14,0,0,8,0
Arched Window - Mustard,0,0,0,2441,1,87,0,7462690,2,2,14,0,0,44,0
Angled Window  - Forest,0,0,0,2442,1,87,0,7462689,2,2,14,0,0,21,0
Arched Window - Forest,0,0,0,2443,1,87,0,7462688,2,2,14,0,0,21,0
Wood Window Fortification - Nutmeg,0,0,0,2444,1,87,0,7462687,2,2,15,0,0,9,0
Stone Window Fortification - Nutmeg,0,0,0,2445,1,87,0,7462686,2,2,15,0,0,9,0
Covered Fortification  - Nutmeg,0,0,0,2446,1,87,0,7462685,2,2,15,0,0,9,0
Hatch Fortification - Nutmeg,0,0,0,2447,1,87,0,7462684,2,2,15,0,0,9,0
Vented Fortification - Nutmeg,0,0,0,2448,1,87,0,7462683,2,2,15,0,0,9,0
Wood Window Fortification - Rust,0,0,0,2449,1,87,0,7462682,2,2,15,0,0,32,0
Stone Window Fortification - Rust,0,0,0,2450,1,87,0,7462681,2,2,15,0,0,32,0
Covered Fortification - Rust,0,0,0,2451,1,87,0,7462680,2,2,15,0,0,32,0
Hatch Fortification - Rust,0,0,0,2452,1,87,0,7462679,2,2,15,0,0,32,0
Vented Fortification - Rust,0,0,0,2453,1,87,0,7462678,2,2,15,0,0,32,0
Wood Window Fortification - Ocean,0,0,0,2454,1,87,0,7462677,2,2,15,0,0,8,0
Stone Window Fortification - Ocean,0,0,0,2455,1,87,0,7462676,2,2,15,0,0,8,0
Covered Fortification - Ocean,0,0,0,2456,1,87,0,7462675,2,2,15,0,0,8,0
Hatch Fortification - Ocean,0,0,0,2457,1,87,0,7462674,2,2,15,0,0,8,0
Vented Fortification - Ocean,0,0,0,2458,1,87,0,7462673,2,2,15,0,0,8,0
Wood Window Fortification - Mustard,0,0,0,2459,1,87,0,7462672,2,2,15,0,0,44,0
Stone Window Fortification - Mustard,0,0,0,2460,1,87,0,7462671,2,2,15,0,0,44,0
Covered Fortification - Mustard,0,0,0,2461,1,87,0,7462670,2,2,15,0,0,44,0
Hatch Fortification - Mustard,0,0,0,2462,1,87,0,7462669,2,2,15,0,0,44,0
Vented Fortification - Mustard,0,0,0,2463,1,87,0,7462668,2,2,15,0,0,44,0
Wood Window Fortification - Forest,0,0,0,2464,1,87,0,7462667,2,2,15,0,0,21,0
Stone Window Fortification - Forest,0,0,0,2465,1,87,0,7462666,2,2,15,0,0,21,0
Covered Fortification - Forest,0,0,0,2466,1,87,0,7462665,2,2,15,0,0,21,0
Hatch Fortification - Forest,0,0,0,2467,1,87,0,7462664,2,2,15,0,0,21,0
Vented Fortification - Forest,0,0,0,2468,1,87,0,7462663,2,2,15,0,0,21,0
Plated Roof,0,0,0,2470,2,87,3805,7460533,2,2,10,0,0,9,0
Plated Roof,0,0,0,2471,2,87,3805,7460522,2,2,10,0,0,32,0
Plated Roof,0,0,0,2472,2,87,3805,7460513,2,2,10,0,0,8,0
Plated Roof,0,0,0,2473,2,87,3805,7460504,2,2,10,0,0,44,0
Plated Roof,0,0,0,2474,2,87,3805,7460495,2,2,10,0,0,21,0
Vented Roof,0,0,0,2476,2,87,3811,7460531,2,2,10,0,0,9,0
Vented Roof,0,0,0,2477,2,87,3811,7460520,2,2,10,0,0,32,0
Vented Roof,0,0,0,2478,2,87,3811,7460511,2,2,10,0,0,8,0
Vented Roof,0,0,0,2479,2,87,3811,7460502,2,2,10,0,0,44,0
Vented Roof,0,0,0,2480,2,87,3811,7460493,2,2,10,0,0,21,0
Hide Roof,0,0,0,2482,2,87,3817,7460532,2,2,10,0,0,9,0
Hide Roof,0,0,0,2483,2,87,3817,7460521,2,2,10,0,0,32,0
Hide Roof,0,0,0,2484,2,87,3817,7460512,2,2,10,0,0,8,0
Hide Roof,0,0,0,2485,2,87,3817,7460503,2,2,10,0,0,44,0
Hide Roof,0,0,0,2486,2,87,3817,7460494,2,2,10,0,0,21,0
Plated Roof,0,0,0,2488,4,87,3823,7460525,2,2,10,0,0,9,0
Plated Roof,0,0,0,2489,4,87,3823,7460516,2,2,10,0,0,32,0
Plated Roof,0,0,0,2490,4,87,3823,7460507,2,2,10,0,0,8,0
Plated Roof,0,0,0,2491,4,87,3823,7460498,2,2,10,0,0,44,0
Plated Roof,0,0,0,2492,4,87,3823,7460489,2,2,10,0,0,21,0
Plated Roof,0,0,0,2494,3,87,3829,7460529,2,2,10,0,0,9,0
Plated Roof,0,0,0,2495,3,87,3829,7460519,2,2,10,0,0,32,0
Plated Roof,0,0,0,2496,3,87,3829,7460510,2,2,10,0,0,8,0
Plated Roof,0,0,0,2497,3,87,3829,7460501,2,2,10,0,0,44,0
Plated Roof,0,0,0,2498,3,87,3829,7460492,2,2,10,0,0,21,0
Hide Roof,0,0,0,2500,3,87,3835,7460528,2,2,10,0,0,9,0
Hide Roof,0,0,0,2501,3,87,3835,7460518,2,2,10,0,0,32,0
Hide Roof,0,0,0,2502,3,87,3835,7460509,2,2,10,0,0,8,0
Hide Roof,0,0,0,2503,3,87,3835,7460500,2,2,10,0,0,44,0
Hide Roof,0,0,0,2504,3,87,3835,7460491,2,2,10,0,0,21,0
Vented Roof,0,0,0,2507,3,87,3841,7460527,2,2,10,0,0,9,0
Vented Roof,0,0,0,2508,3,87,3841,7460517,2,2,10,0,0,32,0
Vented Roof,0,0,0,2509,3,87,3841,7460508,2,2,10,0,0,8,0
Vented Roof,0,0,0,2510,3,87,3841,7460499,2,2,10,0,0,44,0
Vented Roof,0,0,0,2511,3,87,3841,7460490,2,2,10,0,0,21,0
Vented Roof,0,0,0,2513,4,87,3847,7460523,2,2,10,0,0,9,0
Vented Roof,0,0,0,2514,4,87,3847,7460514,2,2,10,0,0,32,0
Vented Roof,0,0,0,2515,4,87,3847,7460505,2,2,10,0,0,8,0
Vented Roof,0,0,0,2516,4,87,3847,7460496,2,2,10,0,0,44,0
Vented Roof,0,0,0,2517,4,87,3847,7460487,2,2,10,0,0,21,0
