ID,CharComponentTextureLayoutID,SectionType,X,Y,Width,Height,OverlapSectionMask
221,110,10,1024,0,1024,1024,0
222,111,0,0,0,512,256,0
223,111,1,0,256,512,256,0
224,111,2,0,512,512,128,0
225,111,3,512,0,512,256,0
226,111,4,512,256,512,128,0
227,111,5,512,384,512,256,0
228,111,6,512,640,512,256,0
229,111,7,512,896,512,128,0
230,111,9,1024,0,1024,1024,0
231,111,10,1024,0,1024,1024,0
232,112,0,0,0,512,256,0
233,112,1,0,256,512,256,0
234,112,2,0,512,512,128,0
235,112,3,512,0,512,256,0
236,112,4,512,256,512,128,0
237,112,5,512,384,512,256,0
238,112,6,512,640,512,256,0
239,112,7,512,896,512,128,0
240,112,9,1024,0,1024,1024,0
241,112,10,1024,0,1024,1024,0
242,113,0,0,0,512,256,0
243,113,1,0,256,512,256,0
244,113,2,0,512,512,128,0
245,113,3,512,0,512,256,0
246,113,4,512,256,512,128,0
247,113,5,512,384,512,256,0
248,113,6,512,640,512,256,0
249,113,7,512,896,512,128,0
250,113,9,1024,0,1024,1024,0
251,113,10,1024,0,1024,1024,0
252,114,0,0,0,512,256,0
253,114,1,0,256,512,256,0
254,114,2,0,512,512,128,0
255,114,3,512,0,512,256,0
256,114,4,512,256,512,128,0
257,114,5,512,384,512,256,0
258,114,6,512,640,512,256,0
259,114,7,512,896,512,128,0
260,114,9,1024,0,1024,1024,0
261,114,10,1024,0,1024,1024,0
262,115,10,1024,0,1024,1024,0
263,115,0,0,0,512,256,0
264,115,1,0,256,512,256,0
265,115,2,0,512,512,128,0
266,115,3,512,0,512,256,0
267,115,4,512,256,512,128,0
268,115,5,512,384,512,256,0
269,115,6,512,640,512,256,0
270,115,7,512,896,512,128,0
271,115,9,1024,0,1024,1024,0
272,116,0,0,0,512,256,0
273,116,1,0,256,512,256,0
274,116,2,0,512,512,128,0
275,116,3,512,0,512,256,0
276,116,4,512,256,512,128,0
277,116,5,512,384,512,256,0
278,116,6,512,640,512,256,0
279,116,7,512,896,512,128,0
280,116,9,1024,0,1024,1024,0
281,116,10,1024,0,1024,1024,0
282,117,10,1024,0,1024,1024,0
283,117,0,0,0,512,256,0
284,117,1,0,256,512,256,0
285,117,2,0,512,512,128,0
286,117,3,512,0,512,256,0
287,117,4,512,256,512,128,0
288,117,5,512,384,512,256,0
289,117,6,512,640,512,256,0
290,117,7,512,896,512,128,0
291,117,9,1024,0,1024,1024,0
292,118,0,0,0,512,256,0
293,118,1,0,256,512,256,0
294,118,2,0,512,512,128,0
295,118,3,512,0,512,256,0
296,118,4,512,256,512,128,0
297,118,5,512,384,512,256,0
298,118,6,512,640,512,256,0
299,118,7,512,896,512,128,0
300,118,9,1024,0,1024,1024,0
301,118,10,1024,0,1024,1024,0
302,119,10,1024,0,1024,1024,0
303,119,0,0,0,512,256,0
304,119,1,0,256,512,256,0
305,119,2,0,512,512,128,0
306,119,3,512,0,512,256,0
307,119,4,512,256,512,128,0
308,119,5,512,384,512,256,0
309,119,6,512,640,512,256,0
310,119,7,512,896,512,128,0
311,119,9,1024,0,1024,1024,0
312,120,1,0,256,512,256,0
313,120,2,0,512,512,128,0
314,120,3,512,0,512,256,0
315,120,0,0,0,512,256,0
316,120,4,512,256,512,128,0
317,120,5,512,384,512,256,0
318,120,6,512,640,512,256,0
319,120,7,512,896,512,128,0
320,120,9,1024,0,1024,1024,0
321,120,10,1024,0,1024,1024,0
322,121,0,0,0,512,256,0
323,121,1,0,256,512,256,0
324,121,2,0,512,512,128,0
325,121,3,512,0,512,256,0
326,121,4,512,256,512,128,0
327,121,5,512,384,512,256,0
328,121,6,512,640,512,256,0
329,121,7,512,896,512,128,0
330,121,9,1024,0,1024,1024,0
331,121,10,1024,0,1024,1024,0
332,122,0,0,0,512,256,0
333,122,1,0,256,512,256,0
334,122,2,0,512,512,128,0
335,122,3,512,0,512,256,0
336,122,4,512,256,512,128,0
337,122,5,512,384,512,256,0
338,122,6,512,640,512,256,0
339,122,7,512,896,512,128,0
340,122,9,1024,0,1024,1024,0
341,122,10,1024,0,1024,1024,0
342,123,10,1024,0,1024,1024,0
343,123,0,0,0,512,256,0
344,123,1,0,256,512,256,0
345,123,2,0,512,512,128,0
346,123,3,512,0,512,256,0
347,123,4,512,256,512,128,0
348,123,5,512,384,512,256,0
349,123,6,512,640,512,256,0
350,123,7,512,896,512,128,0
351,123,9,1024,0,1024,1024,0
352,124,1,0,256,512,256,0
353,124,2,0,512,512,128,0
354,124,3,512,0,512,256,0
355,124,0,0,0,512,256,0
356,124,4,512,256,512,128,0
357,124,5,512,384,512,256,0
358,124,6,512,640,512,256,0
359,124,7,512,896,512,128,0
360,124,9,1024,0,1024,1024,0
361,124,10,1024,0,1024,1024,0
362,121,12,0,0,1024,1024,255
363,122,12,0,0,1024,1024,255
364,109,12,0,0,1024,1024,255
365,110,12,0,0,1024,1024,255
366,125,0,0,0,512,256,0
367,125,1,0,256,512,256,0
368,125,2,0,512,512,128,0
369,125,3,512,0,512,256,0
370,125,4,512,256,512,128,0
371,125,5,512,384,512,256,0
372,125,6,512,640,512,256,0
373,125,7,512,896,512,128,0
374,125,9,1024,0,1024,1024,0
375,125,10,1024,0,1024,1024,0
376,126,0,0,0,512,256,0
377,126,1,0,256,512,256,0
378,126,2,0,512,512,128,0
379,126,3,512,0,512,256,0
380,126,4,512,256,512,128,0
381,126,5,512,384,512,256,0
382,126,6,512,640,512,256,0
383,126,7,512,896,512,128,0
384,126,9,1024,0,1024,1024,0
385,126,10,1024,0,1024,1024,0
386,127,10,1024,0,1024,1024,0
387,127,0,0,0,512,256,0
388,127,1,0,256,512,256,0
389,127,2,0,512,512,128,0
390,127,3,512,0,512,256,0
391,127,4,512,256,512,128,0
392,127,5,512,384,512,256,0
393,127,6,512,640,512,256,0
394,127,7,512,896,512,128,0
395,127,9,1024,0,1024,1024,0
396,128,0,0,0,512,256,0
397,128,1,0,256,512,256,0
398,128,2,0,512,512,128,0
399,128,3,512,0,512,256,0
400,128,4,512,256,512,128,0
401,128,5,512,384,512,256,0
402,128,6,512,640,512,256,0
403,128,7,512,896,512,128,0
404,128,9,1024,0,1024,1024,0
405,128,10,1024,0,1024,1024,0
406,129,0,0,0,512,256,0
407,129,1,0,256,512,256,0
408,129,2,0,512,512,128,0
409,129,3,512,0,512,256,0
410,129,4,512,256,512,128,0
411,129,5,512,384,512,256,0
412,129,6,512,640,512,256,0
413,129,7,512,896,512,128,0
414,129,9,1024,0,1024,1024,0
415,129,10,1024,0,1024,1024,0
416,129,8,1536,768,512,256,0
417,130,0,0,0,512,256,0
418,130,1,0,256,512,256,0
419,130,2,0,512,512,128,0
420,130,3,512,0,512,256,0
421,130,4,512,256,512,128,0
422,130,5,512,384,512,256,0
423,130,6,512,640,512,256,0
424,130,7,512,896,512,128,0
425,130,9,1024,0,1024,1024,0
426,130,10,1024,0,1024,1024,0
427,130,8,1536,768,512,256,0
428,131,0,0,0,512,256,0
429,131,1,0,256,512,256,0
430,131,2,0,512,512,128,0
431,131,3,512,0,512,256,0
432,131,4,512,256,512,128,0
433,131,5,512,384,512,256,0
434,131,6,512,640,512,256,0
435,131,7,512,896,512,128,0
436,131,9,1024,0,1024,1024,0
437,131,10,1024,0,1024,1024,0
438,131,12,0,0,1024,1024,0
439,132,0,0,0,512,256,0
440,132,1,0,256,512,256,0
441,132,2,0,512,512,128,0
442,132,3,512,0,512,256,0
443,132,4,512,256,512,128,0
444,132,5,512,384,512,256,0
445,132,6,512,640,512,256,0
446,132,7,512,896,512,128,0
447,132,9,1024,0,1024,1024,0
448,132,10,1024,0,1024,1024,0
449,132,12,0,0,1024,1024,0
450,133,0,0,0,512,256,0
451,133,1,0,256,512,256,0
452,133,2,0,512,512,128,0
453,133,3,512,0,512,256,0
454,133,4,512,256,512,128,0
455,133,5,512,384,512,256,0
456,133,6,512,640,512,256,0
457,133,7,512,896,512,128,0
458,133,9,1024,0,1024,1024,0
459,133,10,1024,0,1024,1024,0
460,133,13,0,0,2048,1024,1791
461,134,0,0,0,512,256,0
462,134,1,0,256,512,256,0
463,134,2,0,512,512,128,0
464,134,3,512,0,512,256,0
465,134,4,512,256,512,128,0
466,134,5,512,384,512,256,0
467,134,6,512,640,512,256,0
468,134,7,512,896,512,128,0
469,134,9,1024,0,1024,1024,0
470,134,10,1024,0,1024,1024,0
471,134,13,0,0,2048,1024,1791
472,135,0,0,0,512,256,0
473,135,1,0,256,512,256,0
474,135,2,0,512,512,128,0
475,135,3,512,0,512,256,0
476,135,4,512,256,512,128,0
477,135,5,512,384,512,256,0
478,135,6,512,640,512,256,0
479,135,7,512,896,512,128,0
480,135,9,1024,0,1024,1024,0
481,135,10,1024,0,1024,1024,0
482,136,0,0,0,512,256,0
483,136,1,0,256,512,256,0
484,136,2,0,512,512,128,0
485,136,3,512,0,512,256,0
486,136,4,512,256,512,128,0
487,136,5,512,384,512,256,0
488,136,6,512,640,512,256,0
489,136,7,512,896,512,128,0
490,136,9,1024,0,1024,1024,0
491,136,10,1024,0,1024,1024,0
492,137,10,1024,0,1024,1024,0
493,137,0,0,0,512,256,0
494,137,1,0,256,512,256,0
495,137,2,0,512,512,128,0
496,137,3,512,0,512,256,0
497,137,4,512,256,512,128,0
498,137,5,512,384,512,256,0
499,137,6,512,640,512,256,0
500,137,7,512,896,512,128,0
501,137,9,1024,0,1024,1024,0
502,137,12,0,0,1024,1024,255
503,138,1,0,256,512,256,0
504,138,2,0,512,512,128,0
505,138,3,512,0,512,256,0
506,138,0,0,0,512,256,0
507,138,4,512,256,512,128,0
508,138,5,512,384,512,256,0
509,138,6,512,640,512,256,0
510,138,7,512,896,512,128,0
511,138,9,1024,0,1024,1024,0
512,138,10,1024,0,1024,1024,0
513,138,12,0,0,1024,1024,255
514,139,10,1024,0,1024,1024,0
515,139,0,0,0,512,256,0
516,139,1,0,256,512,256,0
517,139,2,0,512,512,128,0
518,139,3,512,0,512,256,0
519,139,4,512,256,512,128,0
520,139,5,512,384,512,256,0
521,139,6,512,640,512,256,0
522,139,7,512,896,512,128,0
523,139,9,1024,0,1024,1024,0
524,139,13,0,0,2048,1024,1791
525,140,1,0,256,512,256,0
526,140,2,0,512,512,128,0
527,140,3,512,0,512,256,0
528,140,0,0,0,512,256,0
529,140,4,512,256,512,128,0
530,140,5,512,384,512,256,0
531,140,6,512,640,512,256,0
532,140,7,512,896,512,128,0
533,140,9,1024,0,1024,1024,0
534,140,10,1024,0,1024,1024,0
535,140,13,0,0,2048,1024,1791
536,141,0,0,0,512,256,0
537,141,1,0,256,512,256,0
538,141,2,0,512,512,128,0
539,141,3,512,0,512,256,0
540,141,4,512,256,512,128,0
541,141,5,512,384,512,256,0
542,141,6,512,640,512,256,0
543,141,7,512,896,512,128,0
544,141,9,1024,0,1024,1024,0
545,141,10,1024,0,1024,1024,0
546,142,0,0,0,512,256,0
547,142,1,0,256,512,256,0
548,142,2,0,512,512,128,0
549,142,3,512,0,512,256,0
550,142,4,512,256,512,128,0
551,142,5,512,384,512,256,0
552,142,6,512,640,512,256,0
553,142,7,512,896,512,128,0
554,142,9,1024,0,1024,1024,0
555,142,10,1024,0,1024,1024,0
556,143,10,1024,0,1024,1024,0
557,143,0,0,0,512,256,0
558,143,1,0,256,512,256,0
559,143,2,0,512,512,128,0
560,143,3,512,0,512,256,0
561,143,4,512,256,512,128,0
562,143,5,512,384,512,256,0
563,143,6,512,640,512,256,0
564,143,7,512,896,512,128,0
565,143,9,1024,0,1024,1024,0
566,143,13,0,0,2048,1024,1791
567,144,1,0,256,512,256,0
568,144,2,0,512,512,128,0
569,144,3,512,0,512,256,0
570,144,0,0,0,512,256,0
571,144,4,512,256,512,128,0
572,144,5,512,384,512,256,0
573,144,6,512,640,512,256,0
574,144,7,512,896,512,128,0
575,144,9,1024,0,1024,1024,0
576,144,10,1024,0,1024,1024,0
577,144,13,0,0,2048,1024,1791
578,145,10,1024,0,1024,1024,0
579,145,0,0,0,512,256,0
580,145,1,0,256,512,256,0
581,145,2,0,512,512,128,0
582,145,3,512,0,512,256,0
583,145,4,512,256,512,128,0
584,145,5,512,384,512,256,0
585,145,6,512,640,512,256,0
586,145,7,512,896,512,128,0
587,145,9,1024,0,1024,1024,0
588,145,13,0,0,2048,1024,1791
589,146,1,0,256,512,256,0
590,146,2,0,512,512,128,0
591,146,3,512,0,512,256,0
592,146,0,0,0,512,256,0
593,146,4,512,256,512,128,0
594,146,5,512,384,512,256,0
595,146,6,512,640,512,256,0
596,146,7,512,896,512,128,0
597,146,9,1024,0,1024,1024,0
598,146,10,1024,0,1024,1024,0
599,146,13,0,0,2048,1024,1791
600,147,10,1024,0,1024,1024,0
601,147,0,0,0,512,256,0
602,147,1,0,256,512,256,0
603,147,2,0,512,512,128,0
604,147,3,512,0,512,256,0
605,147,4,512,256,512,128,0
606,147,5,512,384,512,256,0
607,147,6,512,640,512,256,0
608,147,7,512,896,512,128,0
609,147,9,1024,0,1024,1024,0
610,147,13,0,0,2048,1024,1791
611,148,1,0,256,512,256,0
612,148,2,0,512,512,128,0
613,148,3,512,0,512,256,0
614,148,0,0,0,512,256,0
615,148,4,512,256,512,128,0
616,148,5,512,384,512,256,0
617,148,6,512,640,512,256,0
618,148,7,512,896,512,128,0
619,148,9,1024,0,1024,1024,0
620,148,10,1024,0,1024,1024,0
621,148,13,0,0,2048,1024,1791
622,149,0,0,0,512,256,0
623,149,1,0,256,512,256,0
624,149,2,0,512,512,128,0
625,149,3,512,0,512,256,0
626,149,4,512,256,512,128,0
627,149,5,512,384,512,256,0
628,149,6,512,640,512,256,0
629,149,7,512,896,512,128,0
630,149,9,1024,0,1024,1024,0
631,149,10,1024,0,1024,1024,0
632,150,0,0,0,512,256,0
633,150,1,0,256,512,256,0
634,150,2,0,512,512,128,0
635,150,3,512,0,512,256,0
636,150,4,512,256,512,128,0
637,150,5,512,384,512,256,0
638,150,6,512,640,512,256,0
639,150,7,512,896,512,128,0
640,150,9,1024,0,1024,1024,0
641,150,10,1024,0,1024,1024,0
647,122,14,0,0,1024,1024,0
648,108,13,0,0,2048,1024,1791
649,107,13,0,0,2048,1024,1791
650,113,12,0,0,1024,1024,0
651,114,12,0,0,1024,1024,0
653,113,11,1024,0,1024,1024,0
654,114,11,1024,0,1024,1024,0
659,110,11,1024,0,1024,1024,0
660,117,11,1024,0,1024,1024,0
661,117,12,0,0,1024,1024,0
662,118,12,0,0,1024,1024,0
663,118,11,1024,0,1024,1024,0
664,151,12,0,0,1024,1024,255
665,151,13,0,0,1024,1024,1791
666,151,0,0,0,512,256,0
667,151,1,0,256,512,256,0
668,151,2,0,512,512,128,0
669,151,3,512,0,512,256,0
670,151,4,512,256,512,128,0
671,151,5,512,384,512,256,0
672,151,6,512,640,512,256,0
673,151,7,512,896,512,128,0
674,151,9,0,640,512,128,0
675,151,10,0,768,512,256,0
676,152,12,0,0,1024,1024,255
677,152,13,0,0,1024,1024,1791
678,152,0,0,0,512,256,0
679,152,1,0,256,512,256,0
680,152,2,0,512,512,128,0
681,152,3,512,0,512,256,0
682,152,4,512,256,512,128,0
683,152,5,512,384,512,256,0
684,152,6,512,640,512,256,0
685,152,7,512,896,512,128,0
686,152,9,0,640,512,128,0
687,152,10,0,768,512,256,0
688,153,0,0,0,256,128,0
689,153,1,0,128,256,128,0
690,153,2,0,256,256,64,0
691,153,3,256,0,256,128,0
692,153,4,256,128,256,64,0
693,153,5,256,192,256,128,0
694,153,6,256,320,256,128,0
695,153,7,256,448,256,64,0
696,153,9,0,320,256,64,0
697,153,10,0,384,256,128,0
698,154,12,0,0,1024,1024,255
699,154,13,0,0,1024,1024,1791
700,154,0,0,0,512,256,0
701,154,1,0,256,512,256,0
702,154,2,0,512,512,128,0
703,154,3,512,0,512,256,0
704,154,4,512,256,512,128,0
705,154,5,512,384,512,256,0
706,154,6,512,640,512,256,0
707,154,7,512,896,512,128,0
708,154,9,0,640,512,128,0
709,154,10,0,768,512,256,0
712,131,11,1024,0,1024,1024,0
713,132,11,1024,0,1024,1024,0
715,137,11,0,0,1024,1024,0
716,138,11,0,0,1024,1024,0
743,157,13,0,0,1024,1024,1791
744,157,0,0,0,256,128,0
745,157,1,0,128,256,128,0
746,157,2,0,256,256,64,0
747,157,3,256,0,256,128,0
748,157,4,256,128,256,64,0
749,157,5,256,192,256,128,0
750,157,6,256,320,256,128,0
751,157,7,256,448,256,64,0
752,157,9,512,0,512,512,0
753,157,10,512,0,512,512,0
754,155,11,0,0,2048,1024,0
755,155,12,1024,0,1024,1024,0
756,158,0,0,0,512,256,0
757,158,1,0,256,512,256,0
758,158,2,0,512,512,128,0
759,158,3,512,0,512,256,0
760,158,4,512,256,512,128,0
761,158,5,512,384,512,256,0
762,158,6,512,640,512,256,0
763,158,7,512,896,512,128,0
764,158,9,1024,0,1024,1024,0
765,158,10,1024,0,1024,1024,0
777,158,12,0,0,1024,1024,0
778,159,12,0,0,1024,1024,0
779,159,0,0,0,512,256,0
780,159,1,0,256,512,256,0
781,159,2,0,512,512,128,0
782,159,3,512,0,512,256,0
783,159,4,512,256,512,128,0
784,159,5,512,384,512,256,0
785,159,6,512,640,512,256,0
786,159,7,512,896,512,128,0
787,159,9,1024,0,1024,1024,0
788,159,10,1024,0,1024,1024,0
816,155,13,0,0,1024,1024,0
817,155,3,512,0,512,256,0
818,155,4,512,256,512,128,0
819,155,5,512,384,512,256,0
820,161,13,0,0,1024,1024,1791
821,161,0,0,0,256,128,0
822,161,1,0,128,256,128,0
823,161,2,0,256,256,64,0
824,161,3,256,0,256,128,0
825,161,4,256,128,256,64,0
826,161,5,256,192,256,128,0
827,161,6,256,320,256,128,0
828,161,7,256,448,256,64,0
829,161,9,512,0,512,512,0
830,161,10,512,0,512,512,0
831,164,11,0,0,512,512,0
844,166,13,0,0,1024,1024,1791
845,166,0,0,0,256,128,0
846,166,1,0,128,256,128,0
847,166,2,0,256,256,64,0
848,166,3,256,0,256,128,0
849,166,4,256,128,256,64,0
850,166,5,256,192,256,128,0
851,166,6,256,320,256,128,0
852,166,7,256,448,256,64,0
853,166,9,512,0,512,512,0
854,166,10,512,0,512,512,0
855,164,12,0,0,512,512,0
856,167,12,0,0,512,512,0
857,167,11,0,0,512,512,0
859,168,11,0,0,512,512,0
860,169,12,0,0,512,512,0
861,169,11,0,0,512,512,0
862,170,12,0,0,512,512,0
863,170,11,0,0,512,512,0
864,171,12,0,0,512,512,0
865,171,11,0,0,512,512,0
866,172,12,0,0,512,512,0
867,172,11,0,0,512,512,0
869,173,0,0,0,256,128,0
870,173,1,0,128,256,128,0
871,173,2,0,256,256,64,0
872,173,3,256,0,256,128,0
873,173,4,256,128,256,64,0
874,173,5,256,192,256,128,0
875,173,6,256,320,256,128,0
876,173,7,256,448,256,64,0
877,173,9,512,0,512,512,0
878,173,10,512,0,512,512,0
879,109,11,1024,0,1024,1024,0
890,174,11,0,0,512,512,0
891,175,11,0,0,512,512,0
892,176,11,0,0,512,512,0
893,177,11,0,0,512,512,0
894,178,11,0,0,512,512,0
896,180,0,0,0,256,128,0
897,180,1,0,128,256,128,0
898,180,2,0,256,256,64,0
899,180,3,256,0,256,128,0
900,180,4,256,128,256,64,0
901,180,5,256,192,256,128,0
902,180,6,256,320,256,128,0
903,180,7,256,448,256,64,0
904,180,9,512,0,512,512,0
905,180,10,512,0,512,512,0
906,179,0,0,0,256,128,0
907,179,1,0,128,256,128,0
908,179,2,0,256,256,64,0
909,179,3,256,0,256,128,0
910,179,4,256,128,256,64,0
911,179,5,256,192,256,128,0
912,179,6,256,320,256,128,0
913,179,7,256,448,256,64,0
914,179,9,512,0,512,512,0
915,179,10,512,0,512,512,0
916,181,12,0,0,512,512,0
917,181,11,0,0,512,512,0
918,182,12,0,0,512,512,0
919,182,11,0,0,512,512,0
920,183,12,0,0,1024,1024,255
921,183,0,0,0,512,256,0
922,183,1,0,256,512,256,0
923,183,2,0,512,512,128,0
924,183,3,512,0,512,256,0
925,183,4,512,256,512,128,0
926,183,5,512,384,512,256,0
927,183,6,512,640,512,256,0
928,183,7,512,896,512,128,0
929,183,9,1024,0,1024,1024,0
930,183,10,1024,0,1024,1024,0
931,183,11,1024,0,1024,1024,0
932,184,12,0,0,1024,1024,255
933,184,0,0,0,512,256,0
934,184,1,0,256,512,256,0
935,184,2,0,512,512,128,0
936,184,3,512,0,512,256,0
937,184,4,512,256,512,128,0
938,184,5,512,384,512,256,0
939,184,6,512,640,512,256,0
940,184,7,512,896,512,128,0
941,184,9,1024,0,1024,1024,0
942,184,10,1024,0,1024,1024,0
943,184,11,1024,0,1024,1024,0
944,185,10,1024,0,1024,1024,0
945,185,0,0,0,512,256,0
946,185,1,0,256,512,256,0
947,185,2,0,512,512,128,0
948,185,3,512,0,512,256,0
949,185,4,512,256,512,128,0
950,185,5,512,384,512,256,0
951,185,6,512,640,512,256,0
952,185,7,512,896,512,128,0
953,185,9,1024,0,1024,1024,0
954,185,13,0,0,2048,1024,1791
966,187,7,512,896,512,128,0
967,187,9,1024,0,1024,1024,0
968,187,10,1024,0,1024,1024,0
969,187,13,0,0,2048,1024,1791
970,187,1,0,256,512,256,0
971,187,2,0,512,512,128,0
972,187,3,512,0,512,256,0
973,187,0,0,0,512,256,0
974,187,4,512,256,512,128,0
975,187,5,512,384,512,256,0
976,187,6,512,640,512,256,0
987,189,0,0,0,512,256,0
988,189,1,0,256,512,256,0
989,189,2,0,512,512,128,0
990,189,3,512,0,512,256,0
991,189,4,512,256,512,128,0
992,189,5,512,384,512,256,0
993,189,6,512,640,512,256,0
994,189,7,512,896,512,128,0
995,189,9,1024,0,1024,1024,0
996,189,10,1024,0,1024,1024,0
