Position[0],Position[1],Position[2],ID,WarbandSceneID,SlotType,Rotation,Scale,Field_11_0_0_54210_004,Field_11_0_0_54210_005,Field_12_0_0_63534_008,SlotID,Field_12_0_0_63534_010
420.34,-799.094,24.9995,430,25,0,320.5,1,0,31,0,3,0
419.497,-797.422,24.9975,431,25,1,311,1,0,0,0,3,0
-2981.82,457.35,452.826,470,99,0,108,1,0,49,0,0,0
-2979.55,454.734,452.73,471,99,1,115,1,0,7,0,0,0
-2984.32,456.639,452.845,472,99,0,85,1,0,145,0,1,0
-2982.95,451.946,452.797,473,99,1,100,1,0,7,0,1,0
-2986.63,457.637,452.944,474,99,0,50,1,0,81,0,2,0
-2986.76,452.162,452.936,475,99,1,62,1,0,7,0,2,0
-2987.67,459.736,453.08,476,99,0,32,1,0,31,0,3,0
-2990.23,458.945,453.102,477,99,1,32,1,0,7,0,3,0
-2981.82,457.35,452.826,478,99,2,108,1,0,32,0,0,0
-2984.32,456.639,452.845,479,99,2,85,1,0,128,0,1,0
-2986.63,457.637,452.944,480,99,2,50,1,0,80,0,2,2
-2966.0261,412.1059,85.033195,513,110,0,0,1,0,31,0,0,0
-2965.59,408.911,84.6078,514,110,0,0,1,0,31,0,1,0
-2966.4548,406.12326,84.54319,515,110,0,0,1,0,31,0,2,0
-2966.45,406.123,84.5432,516,110,0,0,1,0,31,0,3,0
-2981.82,457.35,452.826,517,111,0,108,1,0,31,0,0,0
-2979.55,454.734,452.73,518,111,1,115,1,0,7,0,0,0
-2984.32,456.639,452.845,519,111,0,85,1,0,31,0,1,0
-2982.95,451.946,452.797,520,111,1,100,1,0,7,0,1,0
-2986.63,457.637,452.944,521,111,0,50,1,0,31,0,2,0
-2986.76,452.162,452.936,522,111,1,62,1,0,7,0,2,0
-2987.67,459.736,453.08,523,111,0,32,1,0,31,0,3,0
-2990.23,458.945,453.102,524,111,1,32,1,0,7,0,3,0
-668.5,-150.741,534.8,549,119,0,286.002,1,0,145,0,0,0
-669.95,-146.2,534.8,550,119,1,287.5,1,0,7,0,0,0
-666.25,-150.071,534.8,551,119,0,257.5,1,0,19,0,1,0
-666.35,-144,534.8,552,119,1,271.5,1,0,7,0,1,0
-664,-151.045,534.8,553,119,0,221.5,1,0,19,0,2,0
-662.75,-144.2,534.8,554,119,1,234,1,0,7,0,2,0
-663.44,-153.2,534.8,555,119,0,203.5,1,0,81,0,3,0
-658.2518,-151.33855,534.8,556,119,1,203.5,1,0,7,0,3,0
-668.5,-150,534.86,557,119,2,285.5,1,0,128,0,0,0
-662.65,-152.8,534.82,558,119,2,203.5,1,0,64,0,3,0
-2982.144,458.01562,452.86612,725,141,0,108.00001,1,0,5,0,0,0
-2982.8784,454.68924,453.33975,726,141,1,115,1,0,7,0,0,0
-2984.2778,456.55557,452.84152,727,141,0,85,1,0,31,0,1,0
-2985.2239,454.2066,452.9144,728,141,1,99.99999,1,0,7,0,1,0
-2985.8699,458.9132,452.9631,729,141,0,78.5,1,0,31,0,2,0
-2986.76,452.162,452.936,730,141,1,62,1,0,7,0,2,0
-2987.802,460.42188,453.10257,731,141,0,32,1,0,31,0,3,0
-2990.23,458.945,453.102,732,141,1,32,1,0,7,0,3,0
953.0417,-75.609375,121.02673,749,145,2,46.3331,1,0,64,0,3,2
959.8368,-76.364586,121.04918,750,145,0,113.50201,1,0,145,0,0,0
963.2639,-80.25347,121.23473,751,145,1,134.50006,1,0,7,0,0,0
957.63544,-76.90972,121.16991,752,145,0,93.5,1,0,19,0,1,0
958.98785,-82.4809,121.23321,753,145,1,101.99997,1,0,7,0,1,0
955.3299,-76.35764,121.13707,754,145,0,62.49994,1,0,19,0,2,0
952.3559,-81.265625,121.22902,755,145,1,57.99997,1,0,7,0,2,0
953.55383,-74.98264,121.09136,756,145,0,45.49994,1,0,81,0,3,0
949.27954,-77.59202,121.23785,757,145,1,32,1,0,7,0,3,0
960.11633,-76.96528,121.05594,758,145,2,114.50006,1,0,128,0,0,2
1001.1702,-141.87848,95.800835,759,146,2,327.5,1,0,64,0,3,2
1002.9913,-148.9427,95.847755,760,146,0,45.002014,1,0,81,0,0,0
1000.5729,-153.14236,96.02075,761,146,1,58.5,1,0,7,0,0,0
1001.6129,-147.08855,96.12291,762,146,0,27.5,1,0,19,0,1,0
997.15625,-150.38368,96.022995,763,146,1,37,1,0,7,0,1,0
1001.2014,-144.58333,95.969604,764,146,0,351.5,1,0,19,0,2,0
995.94617,-143.03473,96.00127,765,146,1,347,1,0,7,0,2,0
1002.0226,-142.36458,95.84162,766,146,0,331.5,1,0,81,0,3,0
998.3768,-139.42014,95.98987,767,146,1,316.5,1,0,7,0,3,0
1002.4167,-149.48785,95.825325,768,146,2,42,1,0,64,0,0,2
