Description,ID,SourceTypeEnum,ItemModifiedAppearanceID,HouseDecorID
Item Appearance: (197) - 1.0 Armor Hand - CLOTH_B_01 - Yellow,97,3,58,0
Item Appearance: (198) - 1.0 Armor Legs - LEATHER_HORDE_A_01 - Brown,98,3,59,0
Item Appearance: (199) - 1.0 Armor Feet - LEATHER_HORDE_A_01 - Brown,99,3,60,0
Item Appearance: (200) - 1.0 Armor Chest - LEATHER_B_01 - Purple,100,3,61,0
Item Appearance: (201) - 1.0 Armor Legs - LEATHER_B_01 - Purple,101,3,62,0
Item Appearance: (202) - 1.0 Armor Feet - LEATHER_B_01 - Purple,102,3,63,0
Item Appearance: (203) - 1.0 Armor Hand - LEATHER_B_01 - Purple,103,3,64,0
Item Appearance: (204) - 1.0 Armor Chest - MAIL_C_01 - Black,104,3,65,0
Item Appearance: (205) - 1.0 Armor Legs - MAIL_C_01 - Black,105,3,66,0
Item Appearance: (206) - 1.0 Armor Feet - MAIL_C_01 - Black,106,3,67,0
Item Appearance: (209) - 1.0 Armor Hand - CLOTH_HORDE_A_01 - Black,107,3,70,0
Item Appearance: (210) - 1.0 Armor Hand - LEATHER_HORDE_A_01 - Brown,108,3,71,0
Item Appearance: (211) - 1.0 Armor Hand - MAIL_C_01 - Black,109,3,72,0
Item Appearance: (230) - 1.0 Armor Feet - ROBE_A_05 - Green,110,3,91,0
Item Appearance: (231) - 1.0 Armor Hand - CLOTH_A_01 - Black,111,3,92,0
Item Appearance: (232) - 1.0 Armor Legs - CLOTH_A_01 - Black,112,3,93,0
Item Appearance: (233) - 1.0 Armor Chest - CLOTH_A_01 - Black,113,3,94,0
Item Appearance: (234) - 1.0 Armor Feet - LEATHER_A_01 - Black,114,3,95,0
Item Appearance: (235) - 1.0 Armor Hand - LEATHER_A_01 - Black,115,3,96,0
Item Appearance: (236) - 1.0 Armor Legs - LEATHER_A_01 - Black,116,3,97,0
Item Appearance: (237) - 1.0 Armor Chest - LEATHER_A_01 - Black,117,3,98,0
Item Appearance: (248) - 1.0 Armor Chest - CLOTH_A_02 - Green,118,3,109,0
Item Appearance: (249) - 1.0 Armor Legs - CLOTH_A_02 - Green,119,3,110,0
Item Appearance: (250) - 1.0 Armor Hand - CLOTH_A_02 - Green,120,3,111,0
Item Appearance: (251) - 1.0 Armor Feet - CLOTH_HORDE_A_01 - Green,121,3,112,0
Item Appearance: (252) - 1.0 Armor Feet - LEATHER_A_01 - Dark,122,3,113,0
Item Appearance: (253) - 1.0 Armor Hand - LEATHER_A_01 - Dark,123,3,114,0
Item Appearance: (254) - 1.0 Armor Legs - LEATHER_A_01 - Dark,124,3,115,0
Item Appearance: (255) - 1.0 Armor Chest - LEATHER_A_01 - Dark,125,3,116,0
Item Appearance: (256) - 1.0 Armor Chest - MAIL_B_01_SLEEVE,126,3,117,0
Item Appearance: (257) - 1.0 Armor Legs - MAIL_B_01_PANT,127,3,118,0
Item Appearance: (258) - 1.0 Armor Feet - MAIL_B_01_BOOT,128,3,119,0
Item Appearance: (259) - 1.0 Armor Hand - MAIL_B_01_GLOVE,129,3,120,0
Item Appearance: (260) - 1.0 Weapon Sword1H - SWORD_1H_SABRE_A_01 - Copper,130,3,121,0
Item Appearance: (261) - 1.0 Weapon Mace1H - MACE_1H_SPIKED_A_01_V01,131,3,122,0
Item Appearance: (262) - 1.0 Weapon Axe1H - AXE_1H,132,3,123,0
Item Appearance: (263) - 1.0 Weapon Staff - STAVE_2H_LONG_A_04 - Light,133,3,124,0
Item Appearance: (294) - 1.0 Weapon Sword2H - KNIFE_1H_DAGGER_A_01 - Silver,134,3,155,0
Item Appearance: (295) - 1.0 Weapon Sword1H - SWORD_1H_LONG_A_03 - Silver,135,3,156,0
Item Appearance: (296) - 1.0 Weapon Mace2H - HAMMER_1H_MAUL_B_02 - Black,136,3,157,0
Item Appearance: (297) - 1.0 Weapon Mace1H - MACE_1H_SPIKED_A_02 - Brass,137,3,158,0
Item Appearance: (298) - 1.0 Weapon Axe2H - AXE_2H_WAR_A_03 - Blue,138,3,159,0
Item Appearance: (228) - 1.0 Weapon Axe1H - AXE_1H,139,3,160,0
Item Appearance: (299) - 1.0 Weapon Staff - STAVE_2H_LONG_A_02 - Blue,140,3,161,0
Item Appearance: (331) - 1.0 Weapon Sword2H - SWORD_1H_SHORT_A_01RUSTY,141,3,195,0
Item Appearance: (333) - 1.0 Weapon Axe2H - AXE_2H_WAR_A_01,142,3,197,0
Item Appearance: (334) - 1.0 Weapon Mace2H - MACE_2H_STANDARD_A_01 - Silver,143,3,198,0
Item Appearance: (335) - 1.0 Weapon Sword2H - SWORD_2H_CLAYMORE_A_02 - Orange,144,3,199,0
Item Appearance: (336) - 1.0 Armor Shield - BUCKLER_DAMAGED_A_01RUSTY,145,3,200,0
Item Appearance: (337) - 1.0 Armor Shield - SHIELD_CREST_A_01 - Silver,146,3,201,0
Item Appearance: (338) - 1.0 Armor Shield - SHIELD_RECTANGLE_A_01 - Silver,147,3,202,0
Item Appearance: (376) - 1.0 Armor Chest - LEATHER_A_03 - Beige,148,3,242,0
Item Appearance: (377) - 1.0 Armor Legs - LEATHER_A_03 - Beige,149,3,243,0
Item Appearance: (378) - 1.0 Armor Feet - LEATHER_A_03 - Beige,150,3,244,0
Item Appearance: (379) - 1.0 Armor Hand - LEATHER_A_03 - Beige,151,3,245,0
Item Appearance: (380) - 1.0 Armor Waist - LEATHER_A_03 - Beige,152,3,246,0
Item Appearance: (381) - 1.0 Armor Wrist - LEATHER_A_03 - Beige,153,3,247,0
Item Appearance: (373) - 1.0 Armor Cloak - CAPE_LEATHER_A_02 - Brown (Knee Length),154,3,248,0
Item Appearance: (382) - 1.0 Armor Feet - CLOTH_HORDE_A_01 - Red,155,3,249,0
Item Appearance: (383) - 1.0 Armor Cloak - CAPE_CLOTH_A_02 - Orange (Knee Length),156,3,250,0
Item Appearance: (384) - 1.0 Armor Hand - CLOTH_HORDE_A_01 - Red,157,3,251,0
Item Appearance: (385) - 1.0 Armor Legs - CLOTH_HORDE_A_01 - Red,158,3,252,0
Item Appearance: (386) - 1.0 Armor Robe - ROBE_HORDE_A_03 - Brown,159,3,253,0
Item Appearance: (162) - 1.0 Armor Legs - CLOTH_A_01 - Blue,160,3,263,0
Item Appearance: (396) - 1.0 Armor Legs - CLOTH_A_01 - Red,161,3,264,0
Item Appearance: (460) - 1.0 Weapon Staff - STAVE_2H_LONG_B_01 - Gold,162,3,330,0
Item Appearance: (560) - 1.0 Armor Waist - LEATHER_HORDE_A_01 - Brown,163,3,461,0
Item Appearance: (561) - 1.0 Armor Wrist - LEATHER_HORDE_A_01 - Brown,164,3,462,0
Item Appearance: (562) - 1.0 Armor Waist - LEATHER_A_01 - Black,165,3,463,0
Item Appearance: (563) - 1.0 Armor Wrist - LEATHER_A_01 - Black,166,3,464,0
Item Appearance: (564) - 1.0 Armor Waist - LEATHER_A_01 - Dark,167,3,465,0
Item Appearance: (565) - 1.0 Armor Wrist - LEATHER_A_01 - Dark,168,3,466,0
Item Appearance: (494) - 1.0 Armor Waist - PLATE_A_01 - Black,169,3,467,0
Item Appearance: (566) - 1.0 Armor Wrist - MAIL_B_01_BRACER,170,3,468,0
Item Appearance: (567) - 1.0 Armor Waist - LEATHER_A_05 - Black,171,3,469,0
Item Appearance: (568) - 1.0 Armor Wrist - LEATHER_B_01 - Purple,172,3,470,0
Item Appearance: (569) - 1.0 Armor Wrist - MAIL_C_01 - Black,173,3,471,0
Item Appearance: (247) - 1.0 Armor Waist - MAIL_C_01 - Black,174,3,472,0
Item Appearance: (625) - 1.0 Weapon Sword2H - KNIFE_1H_DAGGER_A_02 - Silver,175,3,543,0
Item Appearance: (626) - 1.0 Weapon Axe2H - AXE_2H_WAR_A_03 - Gold,176,3,544,0
Item Appearance: (627) - 1.0 Weapon Mace2H - HAMMER_2H_MAUL_A_01 - Silver,177,3,545,0
Item Appearance: (556) - 1.0 Weapon Sword1H - SWORD_1H_SABRE_A_03 - Brown,178,3,546,0
Item Appearance: (628) - 1.0 Weapon Mace1H - HAMMER_1H_MAUL_A_03 - Blue,179,3,547,0
Item Appearance: (629) - 1.0 Weapon Axe1H - KNIFE_1H_CLEAVER_A_01 - Silver,180,3,548,0
Item Appearance: (630) - 1.0 Weapon Staff - STAVE_2H_OTHER_B_01 - White,181,3,549,0
Item Appearance: (674) - 1.0 Armor Feet - CLOTH_A_01 - Red,182,3,600,0
Item Appearance: (675) - 1.0 Armor Hand - CLOTH_A_05 - Red,183,3,601,0
Item Appearance: (676) - 1.0 Armor Legs - CLOTH_A_04 - Red,184,3,602,0
Item Appearance: (677) - 1.0 Armor Chest - CLOTH_A_01 - Red,185,3,603,0
Item Appearance: (678) - 1.0 Armor Waist - LEATHER_A_03 - Green,186,3,604,0
Item Appearance: (679) - 1.0 Armor Feet - LEATHER_A_03 - Green,187,3,605,0
Item Appearance: (680) - 1.0 Armor Wrist - LEATHER_A_03 - Green,188,3,606,0
Item Appearance: (681) - 1.0 Armor Hand - LEATHER_A_03 - Green,189,3,607,0
Item Appearance: (682) - 1.0 Armor Legs - LEATHER_A_03 - Green,190,3,608,0
Item Appearance: (683) - 1.0 Armor Chest - LEATHER_A_03 - Green,191,3,609,0
Item Appearance: (684) - 1.0 Armor Shield - BUCKLER_ROUND_A_01 - Purple,192,3,610,0
Item Appearance: (395) - 1.0 Weapon Mace1H - CLUB_1H_SPIKED_A_01_V01,193,3,611,0
Item Appearance: (685) - 1.0 Weapon Sword1H - SWORD_1H_SHORT_A_01RUSTY,194,3,612,0
Item Appearance: (686) - 1.0 Weapon Staff - MACE_1H_FLANGED_A_01 - Silver,195,3,613,0
Item Appearance: (687) - 1.0 Weapon Axe1H - AXE_1H,196,3,614,0
Item Appearance: (690) - 1.0 Weapon Dagger - KNIFE_1H_DAGGER_A_01 - Green,197,3,617,0
Item Appearance: (692) - 1.0 Armor Chest - LEATHER_B_02_CHEST,198,3,619,0
Item Appearance: (693) - 1.0 Armor Waist - LEATHER_A_03 - Red,199,3,620,0
Item Appearance: (694) - 1.0 Armor Feet - LEATHER_B_02_BOOT,200,3,621,0
Item Appearance: (695) - 1.0 Armor Wrist - LEATHER_B_02_GLOVE,201,3,622,0
Item Appearance: (696) - 1.0 Armor Hand - LEATHER_B_02_GLOVE,202,3,623,0
Item Appearance: (697) - 1.0 Armor Legs - LEATHER_B_02_PANT,203,3,624,0
Item Appearance: (699) - 1.0 Armor Waist - MAIL_C_01 - Silver,204,3,626,0
Item Appearance: (700) - 1.0 Armor Feet - MAIL_C_01 - Silver,205,3,627,0
Item Appearance: (701) - 1.0 Armor Wrist - MAIL_C_01 - Silver,206,3,628,0
Item Appearance: (702) - 1.0 Armor Hand - MAIL_C_01 - Silver,207,3,629,0
Item Appearance: (703) - 1.0 Armor Legs - MAIL_C_01 - Silver,208,3,630,0
Item Appearance: (482) - 1.0 Armor Chest - MAIL_C_01 - Silver,209,3,631,0
Item Appearance: (704) - 1.0 Armor Feet - ROBE_A_03 - Brown,210,3,632,0
Item Appearance: (705) - 1.0 Armor Hand - CLOTH_B_01 - Brown,211,3,633,0
Item Appearance: (706) - 1.0 Armor Legs - CLOTH_B_01 - Brown,212,3,634,0
Item Appearance: (707) - 1.0 Armor Chest - CLOTH_B_01 - Brown,213,3,635,0
Item Appearance: (737) - 1.0 Weapon Dagger - KNIFE_1H_DAGGER_B_03 - Silver,214,3,669,0
Item Appearance: (738) - 1.0 Weapon Dagger - KNIFE_1H_DAGGER_B_01 - Gold,215,3,670,0
Item Appearance: (739) - 1.0 Weapon Dagger - KNIFE_1H_DAGGER_A_02 - Gold,216,3,671,0
Item Appearance: (803) - 1.0 Armor Chest - CLOTH_HORDE_A_02 - Red,217,3,747,0
Item Appearance: (804) - 1.0 Armor Legs - CLOTH_HORDE_A_02 - Red,218,3,748,0
Item Appearance: (805) - 1.0 Armor Feet - CLOTH_HORDE_A_02 - Red,219,3,749,0
Item Appearance: (806) - 1.0 Armor Hand - CLOTH_HORDE_A_02 - Red,220,3,750,0
Item Appearance: (807) - 1.0 Armor Chest - LEATHER_HORDE_A_03 - Red,221,3,751,0
Item Appearance: (808) - 1.0 Armor Waist - LEATHER_HORDE_A_03 - Red,222,3,752,0
Item Appearance: (809) - 1.0 Armor Legs - LEATHER_HORDE_A_03 - Red,223,3,753,0
Item Appearance: (810) - 1.0 Armor Feet - LEATHER_HORDE_A_03 - Red,224,3,754,0
Item Appearance: (811) - 1.0 Armor Wrist - LEATHER_HORDE_A_03 - Red,225,3,755,0
Item Appearance: (812) - 1.0 Armor Hand - LEATHER_HORDE_A_03 - Red,226,3,756,0
Item Appearance: (813) - 1.0 Armor Shield - SHIELD_RECTANGLE_A_01 - Silver,227,3,757,0
Item Appearance: (500) - 1.0 Armor Chest - MAIL_A_01_CHEST,228,3,758,0
Item Appearance: (494) - 1.0 Armor Waist - PLATE_A_01 - Black,229,3,759,0
Item Appearance: (499) - 1.0 Armor Legs - MAIL_A_01_PANT,230,3,760,0
Item Appearance: (495) - 1.0 Armor Feet - MAIL_A_01_BOOT,231,3,761,0
Item Appearance: (496) - 1.0 Armor Wrist - MAIL_A_01_GLOVE,232,3,762,0
Item Appearance: (498) - 1.0 Armor Hand - MAIL_A_01_GLOVE,233,3,763,0
Item Appearance: (814) - 1.0 Armor Chest - MAIL_A_02_CHEST,234,3,764,0
Item Appearance: (494) - 1.0 Armor Waist - PLATE_A_01 - Black,235,3,765,0
Item Appearance: (710) - 1.0 Armor Legs - MAIL_A_02_PANT,236,3,766,0
Item Appearance: (815) - 1.0 Armor Feet - MAIL_A_02_BOOT,237,3,767,0
Item Appearance: (816) - 1.0 Armor Wrist - MAIL_A_02_BRACER,238,3,768,0
Item Appearance: (421) - 1.0 Armor Hand - MAIL_A_02_GLOVE,239,3,769,0
Item Appearance: (817) - 1.0 Armor Chest - MAIL_A_01_SLEEVE,240,3,770,0
Item Appearance: (494) - 1.0 Armor Waist - PLATE_A_01 - Black,241,3,771,0
Item Appearance: (499) - 1.0 Armor Legs - MAIL_A_01_PANT,242,3,772,0
Item Appearance: (495) - 1.0 Armor Feet - MAIL_A_01_BOOT,243,3,773,0
Item Appearance: (496) - 1.0 Armor Wrist - MAIL_A_01_GLOVE,244,3,774,0
Item Appearance: (818) - 1.0 Armor Hand - MAIL_A_01_GLOVE,245,3,775,0
Item Appearance: (292) - 1.0 Armor Chest - MAIL_A_02_SLEEVE,246,3,776,0
Item Appearance: (494) - 1.0 Armor Waist - PLATE_A_01 - Black,247,3,777,0
Item Appearance: (710) - 1.0 Armor Legs - MAIL_A_02_PANT,248,3,778,0
Item Appearance: (815) - 1.0 Armor Feet - MAIL_A_02_BOOT,249,3,779,0
Item Appearance: (816) - 1.0 Armor Wrist - MAIL_A_02_BRACER,250,3,780,0
Item Appearance: (421) - 1.0 Armor Hand - MAIL_A_02_GLOVE,251,3,781,0
Item Appearance: (819) - 1.0 Armor Chest - MAIL_D_01 - Silver,252,3,783,0
Item Appearance: (820) - 1.0 Armor Legs - MAIL_D_01 - Silver,253,3,784,0
Item Appearance: (821) - 1.0 Armor Waist - MAIL_D_01 - Silver,254,3,785,0
Item Appearance: (822) - 1.0 Armor Feet - MAIL_D_01 - Silver,255,3,786,0
Item Appearance: (823) - 1.0 Armor Wrist - MAIL_D_01 - Silver,256,3,787,0
Item Appearance: (824) - 1.0 Armor Hand - MAIL_D_01 - Silver,257,3,788,0
Item Appearance: (825) - 1.0 Armor Chest - MAIL_D_01 - Gold,258,3,789,0
Item Appearance: (826) - 1.0 Armor Waist - MAIL_D_01 - Gold,259,3,790,0
Item Appearance: (827) - 1.0 Armor Legs - MAIL_D_01 - Gold,260,3,791,0
Item Appearance: (828) - 1.0 Armor Feet - MAIL_D_01 - Gold,261,3,792,0
Item Appearance: (829) - 1.0 Armor Wrist - MAIL_D_01 - Gold,262,3,793,0
Item Appearance: (830) - 1.0 Armor Hand - MAIL_D_01 - Gold,263,3,794,0
Item Appearance: (831) - 1.0 Armor Chest - CLOTH_B_01 - Gray,264,3,795,0
Item Appearance: (832) - 1.0 Armor Legs - CLOTH_B_01 - Gray,265,3,796,0
Item Appearance: (833) - 1.0 Armor Feet - CLOTH_B_01 - Gray,266,3,797,0
Item Appearance: (834) - 1.0 Armor Hand - CLOTH_B_01 - Gray,267,3,798,0
Item Appearance: (835) - 1.0 Armor Chest - CLOTH_C_02 - Purple,268,3,799,0
Item Appearance: (836) - 1.0 Armor Legs - CLOTH_C_02 - Purple,269,3,800,0
Item Appearance: (837) - 1.0 Armor Feet - CLOTH_C_02 - Purple,270,3,801,0
Item Appearance: (838) - 1.0 Armor Hand - CLOTH_C_02 - Purple,271,3,802,0
Item Appearance: (839) - 1.0 Armor Shield - SHIELD_CREST_A_01 - Silver,272,3,803,0
Item Appearance: (840) - 1.0 Armor Shield - SHIELD_RECTANGLE_B_01 - Blue,273,3,804,0
Item Appearance: (841) - 1.0 Armor Shield - SHIELD_RECTANGLE_B_01 - Green,274,3,805,0
Item Appearance: (842) - 1.0 Armor Shield - SHIELD_CREST_B_03WOODSTEEL03,275,3,806,0
Item Appearance: (843) - 1.0 Armor Chest - LEATHER_B_04 - Purple,276,3,807,0
Item Appearance: (844) - 1.0 Armor Waist - LEATHER_B_04 - Purple,277,3,808,0
Item Appearance: (845) - 1.0 Armor Legs - LEATHER_B_04 - Purple,278,3,809,0
Item Appearance: (846) - 1.0 Armor Feet - LEATHER_B_04 - Purple,279,3,810,0
Item Appearance: (847) - 1.0 Armor Wrist - LEATHER_B_04 - Purple,280,3,811,0
Item Appearance: (848) - 1.0 Armor Hand - LEATHER_B_04 - Purple,281,3,812,0
Item Appearance: (849) - 1.0 Armor Chest - LEATHER_C_01_SLEEVE,282,3,813,0
Item Appearance: (850) - 1.0 Armor Waist - LEATHER_C_01_BELT,283,3,814,0
Item Appearance: (851) - 1.0 Armor Legs - LEATHER_C_01_PANT,284,3,815,0
Item Appearance: (852) - 1.0 Armor Feet - LEATHER_C_01_BOOT,285,3,816,0
Item Appearance: (853) - 1.0 Armor Wrist - LEATHER_C_01_GLOVE,286,3,817,0
Item Appearance: (854) - 1.0 Armor Hand - LEATHER_C_01_GLOVE,287,3,818,0
Item Appearance: (855) - 1.0 Weapon Axe2H - AXE_2H_WAR_A_01 - Blue,288,3,819,0
Item Appearance: (856) - 1.0 Weapon Mace2H - MACE_2H_FLANGED_A_01 - Silver,289,3,820,0
Item Appearance: (154) - 1.0 Weapon Mace1H - MACE_1H_FLANGED_A_01 - Silver,290,3,821,0
Item Appearance: (607) - 1.0 Weapon Sword2H - SWORD_2H_CLAYMORE_A_01RUSTY,291,3,822,0
Item Appearance: (388) - 1.0 Weapon Axe1H - AXE_1H_FLINT_A_01 - Brown,292,3,823,0
Item Appearance: (857) - 1.0 Weapon Axe2H - AXE_2H_BATTLE_A_03 - Red,293,3,824,0
Item Appearance: (858) - 1.0 Weapon Mace1H - CLUB_1H_TORCH_A_02,294,3,825,0
Item Appearance: (859) - 1.0 Weapon Mace2H - HAMMER_1H_MAUL_A_01 - Silver,295,3,826,0
Item Appearance: (860) - 1.0 Weapon Dagger - KNIFE_1H_DAGGER_A_01 - Silver,296,3,827,0
Item Appearance: (861) - 1.0 Weapon Staff - STAVE_2H_LONG_A_03 - Blue,297,3,828,0
Item Appearance: (862) - 1.0 Weapon Bows - BOW_1H_SHORT_A_01 - Red,298,3,829,0
Item Appearance: (863) - 1.0 Weapon Bows - BOW_1H_SHORT_A_01 - Red,299,3,830,0
Item Appearance: (864) - 1.0 Weapon Bows - BOW_1H_STANDARD_A_02 - Gold,300,3,831,0
Item Appearance: (865) - 1.0 Weapon Bows - BOW_1H_S - Tan,301,3,832,0
Item Appearance: (866) - 1.0 Weapon Guns - FIREARM_2H_RIFLE_A_01 - Silver,302,3,833,0
Item Appearance: (867) - 1.0 Weapon Guns - FIREARM_2H_RIFLE_A_01 - Copper,303,3,834,0
Item Appearance: (866) - 1.0 Weapon Guns - FIREARM_2H_RIFLE_A_01 - Silver,304,3,835,0
Item Appearance: (868) - 1.0 Weapon Guns - FIREARM_2H_RIFLE_B_01 - Bronze,305,3,836,0
Item Appearance: (871) - 1.0 Weapon Sword1H - SWORD_1H_LONG_B_03 - Blue,306,3,841,0
Item Appearance: (872) - 1.0 Weapon Sword2H - SWORD_2H_CLAYMORE_A_02 - Black,307,3,842,0
Item Appearance: (873) - 1.0 Weapon Axe1H - AXE_1H,308,3,843,0
Item Appearance: (874) - 1.0 Weapon Axe2H - AXE_2H_WAR_B_02RUSTY,309,3,844,0
Item Appearance: (875) - 1.0 Weapon Mace1H - MACE_1H_SPIKED_B_01 - Bronze,310,3,845,0
Item Appearance: (876) - 1.0 Weapon Mace2H - HAMMER_1H_MAUL_B_02 - White,311,3,846,0
Item Appearance: (877) - 1.0 Weapon Dagger - KNIFE_1H_DAGGER_A_02 - Green,312,3,847,0
Item Appearance: (878) - 1.0 Weapon Staff - STAVE_2H_JEWELED_B_01 - White,313,3,848,0
Item Appearance: (698) - 1.0 Weapon Sword1H - SWORD_1H_SCIMITAR_A_02_V01,314,3,849,0
Item Appearance: (879) - 1.0 Weapon Sword2H - SWORD_2H_BROADSWORD_A_03 - Bronze,315,3,850,0
Item Appearance: (880) - 1.0 Weapon Axe1H - THROWN_1H_AXE_A_02 - Gold,316,3,851,0
Item Appearance: (881) - 1.0 Weapon Axe2H - AXE_2H_WAR_B_01 - Gold,317,3,852,0
Item Appearance: (882) - 1.0 Weapon Mace1H - MACE_1H_FLANGED_A_01 - Silver,318,3,853,0
Item Appearance: (883) - 1.0 Weapon Mace2H - HAMMER_1H_MAUL_B_03 - Red,319,3,854,0
Item Appearance: (884) - 1.0 Weapon Dagger - KNIFE_1H_DAGGER_B_02 - Green,320,3,855,0
Item Appearance: (885) - 1.0 Weapon Staff - STAVE_2H_JEWELED_A_03 - Green,321,3,856,0
Item Appearance: (913) - 1.0 Armor Robe - ROBE_A_01 - Black,322,3,889,0
Item Appearance: (914) - 1.0 Armor Robe - ROBE_A_01 - Red,323,3,890,0
Item Appearance: (915) - 1.0 Armor Robe - ROBE_A_02 - Gray,324,3,891,0
Item Appearance: (916) - 1.0 Armor Robe - ROBE_B_01 - Purple,325,3,892,0
Item Appearance: (917) - 1.0 Armor Robe - ROBE_B_01 - White,326,3,893,0
Item Appearance: (918) - 1.0 Armor Robe - ROBE_B_01 - Red,327,3,894,0
Item Appearance: (919) - 1.0 Armor Robe - ROBE_B_04 - White,328,3,895,0
Item Appearance: (1056) - 1.0 Weapon Guns - FIREARM_2H_RIFLE_A_01 - Copper,330,3,1062,0
Item Appearance: (1057) - 1.0 Weapon Guns - FIREARM_2H_RIFLE_A_01 - Silver,331,3,1063,0
Item Appearance: (1058) - 1.0 Weapon Guns - FIREARM_2H_RIFLE_A_01 - Copper,332,3,1064,0
Item Appearance: (1059) - 1.0 Weapon Bows - BOW_1H_SHORT_A_01 - Red,333,3,1065,0
Item Appearance: (1060) - 1.0 Weapon Bows - BOW_1H_STANDARD_A_02 - Blue,334,3,1066,0
Item Appearance: (1185) - 1.0 Armor Waist - CLOTH_HORDE_A_01 - Red,335,3,1224,0
Item Appearance: (1187) - 1.0 Armor Wrist - CLOTH_HORDE_A_01 - Red,336,3,1226,0
Item Appearance: (937) - 1.0 Weapon Generic - MISC_1H_FLOWER_A_04 - Red,337,3,1247,0
Item Appearance: (1203) - 1.0 Weapon Axe1H - MISC_1H_FLOWER_A_04 - Black,338,3,1248,0
Item Appearance: (936) - 1.0 Weapon Generic - MISC_1H_FLOWER_B_01 - Pink,339,3,1249,0
Item Appearance: (1204) - 1.0 Weapon Axe1H - MISC_1H_FLOWER_B_01YELLOW - Purple,340,3,1250,0
Item Appearance: (1205) - 1.0 Weapon Generic - MISC_1H_FLOWER_A_04 - White,341,3,1251,0
Item Appearance: (1206) - 1.0 Weapon Axe1H - MISC_1H_FLOWER_A_04 - Black,342,3,1252,0
Item Appearance: (1207) - 1.0 Armor Shirt - ROBE_B_04 - Yellow,343,3,1253,0
Item Appearance: (1208) - 1.0 Armor Shirt - ROBE_B_02 - Black,344,3,1254,0
Item Appearance: (1282) - 1.0 Armor Waist - CLOTH_C_02 - Purple,345,3,1340,0
Item Appearance: (1283) - 1.0 Armor Wrist - CLOTH_C_02 - Purple,346,3,1341,0
Item Appearance: (1284) - 1.0 Armor Waist - ROBE_A_01 - Gray,347,3,1342,0
Item Appearance: (1285) - 1.0 Armor Wrist - CLOTH_HORDE_A_01 - Green,348,3,1343,0
Item Appearance: (1286) - 1.0 Armor Waist - CLOTH_HORDE_B_03 - Brown,349,3,1344,0
Item Appearance: (1287) - 1.0 Armor Wrist - CLOTH_B_01 - Brown,350,3,1345,0
Item Appearance: (1288) - 1.0 Armor Waist - CLOTH_B_02 - Brown,351,3,1346,0
Item Appearance: (1289) - 1.0 Armor Wrist - CLOTH_B_01 - Gray,352,3,1347,0
