ID,Difficulty[0],Difficulty[1],Difficulty[2],Difficulty[3],Difficulty[4],Difficulty[5],Difficulty[6],Difficulty[7],Difficulty[8],Difficulty[9]
100,0,1510,3770,7540,11300,15070,18840,22610,30140,0
101,0,1520,3800,7610,11410,15210,19010,22820,30420,0
102,0,1530,3840,7670,11510,15340,19180,23010,30680,0
103,0,1550,3870,7740,11610,15480,19350,23220,30960,0
104,0,1560,3910,7810,11720,15620,19530,23430,31240,0
105,0,1580,3940,7880,11820,15760,19700,23640,31520,0
106,0,1590,3980,7950,11930,15900,19880,23850,31800,0
107,0,1600,4010,8020,12030,16040,20050,24060,32080,0
108,0,1620,4040,8090,12130,16170,20210,24260,32340,0
109,0,1630,4080,8160,12230,16310,20390,24470,32620,0
110,0,1650,4110,8230,12340,16450,20560,24680,32900,0
111,0,1660,4150,8300,12440,16590,20740,24890,33180,0
112,0,1670,4180,8370,12550,16730,20910,25100,33460,0
113,0,1690,4220,8440,12650,16870,21090,25310,33740,0
114,0,1700,4250,8510,12760,17010,21260,25520,34020,0
115,0,1720,4290,8580,12860,17150,21440,25730,34300,0
116,0,1730,4320,8650,12970,17290,21610,25940,34580,0
117,0,1740,4360,8720,13070,17430,21790,26150,34860,0
118,0,1760,4390,8790,13180,17570,21960,26360,35140,0
119,0,1770,4430,8860,13280,17710,22140,26570,35420,0
120,0,1790,4460,8930,13390,17850,22310,26780,35700,0
121,0,1790,4460,8930,13390,17850,22310,26780,35700,0
122,0,1790,4460,8930,13390,17850,22310,26780,35700,0
123,0,1790,4460,8930,13390,17850,22310,26780,35700,0
124,0,1790,4460,8930,13390,17850,22310,26780,35700,0
125,0,1790,4460,8930,13390,17850,22310,26780,35700,0
126,0,1790,4460,8930,13390,17850,22310,26780,35700,0
127,0,1790,4460,8930,13390,17850,22310,26780,35700,0
128,0,1790,4460,8930,13390,17850,22310,26780,35700,0
129,0,1790,4460,8930,13390,17850,22310,26780,35700,0
130,0,1790,4460,8930,13390,17850,22310,26780,35700,0
