ID,MaxScale
113750,1
113753,1
113756,1
113761,1
113769,1
113774,1
113782,1
113790,1
113797,1
113800,1
113807,1
113816,1
113821,1
113828,1
113838,1
113843,1
113849,1
113852,1
113856,1
113862,1
113869,1
113872,1
113875,1
113878,1
113881,1
113897,1
113910,1
113913,1
113916,1
113922,1
113925,1
113933,1
113942,1
113944,1
113947,1
113950,1
113958,1
113964,1
113966,1
113968,1
113970,1
113972,1
113974,1
113976,1
113978,1
113980,1
113982,1
113990,1
113992,1
114097,1
114099,1
114101,1
114103,1
114105,1
114107,1
114109,1
114111,1
114115,1
114117,1
114119,1.5
114127,1
114133,1
114135,1
114137,1
114139,1
114141,1
114143,1
114145,1
114149,1
114151,1
114159,1
114161,1
114174,1
114182,1
114191,1
114194,1
114196,1
114200,1
114204,1
114206,1
114208,1
114210,1
114214,1
114216,1
114218,1
114222,1
114224,1
114235,1
114240,1
114251,1
114255,1
114257,1
114261,1
114264,1
114274,1
114278,1
114280,1
114282,1
114286,1
114290,1
114292,1
114294,1
114297,1
114416,1
114418,1
114422,1
114424,1
114426,1
114428,1
114449,1
114452,1
114454,1
114456,1
114464,1
114466,1
114547,1
114549,1
114551,1
114553,1
114557,1
114562,1
114564,1
114566,1
114568,1
114570,1
114572,1
114580,1
114582,1
114584,1
114586,1
114588,1
114590,1
114592,1
114594,1
114596,1
114598,1
114600,1
114602,1
114604,1
114606,1
114608,1
114610,1
114612,1
114853,1
114861,1
114863,1
114865,1
114867,1
114871,1
114878,1
114880,1
114884,1
114906,1
114934,1
114971,1
114977,1
114989,1
114992,1
114995,1
114998,1
115003,1
115022,1
115030,1
115034,1
115130,1
115292,1
115404,1
115475,1
115494,1
115617,1
115669,1
115719,1
115749,1
115751,1
115755,1
115757,1
115759,1
115767,1
115775,1
115807,1
115833,1
115843,1
115856,1
115862,1
115864,1
115889,1
115980,1
116003,1
116021,1
116023,1
116025,1
116027,1
116029,1
116031,1
116033,1
116216,1
116218,1
116226,1
116236,1
116251,1
116261,1
116264,1
116270,1
116279,1
116283,1
116288,1
116290,1
116294,1
116296,1
116302,1
116304,1
116310,1
116317,1
116324,1
116334,1
116342,1
219574,1
219576,1
219578,1
219580,1
219582,1
219588,1
219590,1
219592,1
219594,1
219596,1
219598,1
248249,1
248253,1
248256,1
248441,1
248477,1
248625,1
248629,1
248650,1
248652,1
248974,1
249014,1
249066,1
249877,1
249905,1
250239,1
250241,1
250609,1
254042,1
254762,1
255201,1
255414,1
294062,1
303662,1
304162,1
304702,1
304704,1
304945,1
307029,1
307724,1
308349,1
308564,1
308858,1
308869,1
309105,1
309592,1
310019,1
310954,1
311070,1
311198,1
311740,1
313786,1
314518,1
315398,1
315503,1
315525,1
316387,1
317164,1
321999,1
322057,1
326702,1
326705,1
328958,1
328960,1
329001,1
329866,1
329868,1
329870,1
329872,1
329875,1
330329,1
330890,1
330902,1
330929,1
331156,1
331158,1
331463,1
331471,1
331475,1
331484,1
332285,1
332289,1
332611,1
332617,1
332620,1
332625,1
333477,1
333480,1
334949,1
335886,1
335888,1
335890,1
336024,1
336026,1
336028,1
336202,1
336205,1
337210,1
337213,1
337758,1
337761,1
337787,1
338669,1
348887,1
367952,1
368529,1
375783,1
376005,1
376027,1
376029,1
384722,1
387612,1
391331,1
391333,1
400786,1
405671,1
409131,1
409133,1
409137,1
427035,1
427314,1
427657,1
427678,1
428570,1
428573,1
429613,1
445769,1
445936,1
446610,1
446773,1
448938,1
449982,1
449987,1
449991,1
450408,1
452482,1
452806,1
457550,1
457667,1
458544,1
458899,1
458901,1
461920,1
461925,1
461928,1
462350,1
462695,1
466263,1
467774,1
467776,1
537895,1
575272,1
654144,1
774028,1
797198,1
892757,1
902309,1
942297,1
962050,1
999166,1
1026572,1
1088063,1
1088356,1
1088357,1
1088571,1
1093943,1
1093945,1
1109583,1
1115200,1
1125933,1
1126445,1
1138481,1
1139487,1
1139497,1
1237596,1
1237597,1
1242554,1
1247680,1
1261251,1
1261252,1
1261548,1
1332806,1
1366819,1
1366936,1
1379781,1
1569339,1
1581220,1
1693577,1
1719969,2.8359647
1719973,5
1725207,1
1830539,1
1846142,1
1851982,1
1851990,1
1852985,1.3599999
2123376,1
2141484,1
2182464,1
2320848,1
2324291,1
2532411,1
2623739,1
2623740,1
2737378,1
2737384,1
2737386,1
2737389,1
2737403,1
2837577,1
2837579,1
2837580,1
2839515,1
2839517,1
2839520,1
2844351,1
2844352,1
2844365,1
2844367,1
2844368,1
2844369,1
2844373,1
2845906,1
2902219,1
2902221,1
2902959,1
2902960,1
2958230,1
3004159,1
3006996,1
3034995,1
3041315,1
3054086,1
3055448,1
3058437,1
3061712,1
3063085,1
3088313,1
3088314,1
3107986,1
3107987,1
3151588,1
3166242,1
3208089,1
3527357,1
3582023,1
3622447,1
3759384,1
3759586,1
3759587,1
3759588,1
3759589,1
3759590,1
3924066,1
3924067,1
3924068,1
3931283,1
3937974,1.6336935
4224769,1
5145541,1.36
5145542,1.06
6356262,1.245
6356263,1.24
6356264,1.235
6356265,1.245
6403827,1
6715105,1
6715107,0.90000004
6928083,1
7116370,1
7212893,1
7216078,1
7258865,1
7258867,1
7302482,1
7377922,1
7385605,1
7442757,1
7489624,1
7490002,1
7543871,1
7543873,1
7549696,1
7556031,1
7556033,1
7556307,1
7571130,1
7571131,1
7571132,1
7571133,1
7575421,1
7575422,1
7575423,1
7575424,1
7575425,1
7575427,1
7575428,1
7575429,1
7575430,1
7578997,1
7578998,1
7578999,1
7579000,1
7579001,1
7579002,1
7579003,1
7652286,1
7660554,1
7660739,1
7660740,1
7660741,0.62999994
7675285,1
7675287,1
7675707,1
7675708,1
7675709,1
7675710,1.09
7675711,1
7675712,1
7675713,1
7675714,1
7675715,1
7675716,1
7675717,1
7675718,1
7675719,1
7675720,1
7675721,1
7675722,1
7675723,1
7679483,1
7679485,1
7679486,1
7679487,1
7679488,1
7679489,1
7679490,1
7679491,1
7679494,1
7679495,1
7679496,1
7679497,1
7679498,1
7679499,1
7679500,1
7679501,1
7679502,1
7679503,1
7679504,1
7684412,1
7684415,1
7704153,1
7704155,1
7704156,1
7704157,1
7704158,1
7704159,1
7704160,1
7704161,1
7704163,1
7704164,1
7713392,1
7729248,1
7729249,1
7729253,1
7732775,1
7733752,1
7733753,1
7733754,1
7733755,1
7733756,2.9699996
7733757,1
7734963,1
7734964,1
7748962,1
7748964,1
7748965,1
7748966,1
7748967,1
7748968,1
7748969,1
7748970,1
7748971,1
7749471,1
7765528,1
7765529,1
7790214,1
7793195,1
7801267,1
7810292,1
7814111,0.58
7873184,1
7873738,1
7902366,1
7928324,1
7936602,1
7940880,1
7952254,1
7952258,1
7952330,1
7952336,1
7952344,1
7952345,1
7952346,1
7952349,1
7952590,1
7952787,1
7952788,1
7952789,1
7956012,1
7956013,1
7958650,1
7958652,1
7958653,1
7958654,1
7960306,0.5
7960309,1
7962574,1
7962691,1
7962739,1
7964229,1
7964231,1
7973038,1
8293297,1
8426820,1
